Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,34.8000,-0.0339,3.0608,0.0776,0.0000,0.7009,1.0668,0.0000,0.6429,0.0417,0.6130,-1.6874,0.0489
2023-10-16,36.5000,0.0477,1.4151,0.0452,0.0000,0.3241,1.1972,1.0000,0.6637,0.0014,0.5898,-1.0818,0.0219
2023-10-17,38.3000,0.0481,0.1945,0.0470,0.0000,0.0445,1.2823,2.0000,0.7086,0.0000,0.5967,-0.9225,-0.0261
2023-10-18,37.3000,-0.0265,2.8503,0.0590,0.0000,0.6527,1.3475,0.0000,0.7498,0.0000,0.5742,-1.8387,0.0496
2023-10-19,39.1500,0.0484,0.8607,0.0294,0.0000,0.1971,1.3771,1.0000,0.6034,0.0456,0.5426,-1.3608,0.0498
2023-10-22,41.1000,0.0486,5.6923,0.0024,0.0000,0.2852,1.3959,2.0000,0.3911,0.0473,0.6076,1.7932,0.0231
2023-10-24,43.1500,0.0487,6.3429,0.0278,0.0000,0.0920,1.3562,3.0000,0.2329,0.0499,0.6510,3.6349,-0.0255
2023-10-25,45.3000,0.0486,3.2802,0.0000,0.0000,0.0180,1.3471,4.0000,0.0675,0.0498,0.6278,3.2862,-0.0717
2023-10-26,47.5500,0.0485,1.7858,0.0011,0.0000,0.0016,1.1466,5.0000,-0.1445,0.0497,0.6137,2.8085,-0.1157
2023-10-29,49.9000,0.0482,0.8671,0.0000,0.0000,0.0000,1.1631,6.0000,-0.3093,0.0494,0.5881,2.3940,-0.1573
2023-10-30,52.3500,0.0479,1.9324,0.0000,0.0000,0.0000,0.8245,7.0000,-0.4789,0.0491,0.5518,2.3040,-0.1968
2023-10-31,54.9500,0.0485,3.6011,0.0000,0.0000,0.0000,0.8130,8.0000,-0.7182,0.0497,0.5697,2.4795,-0.2348
2023-11-01,57.6500,0.0480,3.2141,0.0000,0.0000,0.0000,0.8032,9.0000,-0.8012,0.0491,0.5482,2.5084,-0.2706
2023-11-02,54.8000,-0.0507,2.5777,0.1040,0.0000,0.1026,1.0555,0.0000,-0.8172,0.0494,0.5201,1.6638,-0.2327
2023-11-05,52.1000,-0.0505,0.6806,0.0000,0.0000,0.0000,1.4019,0.0000,-0.8349,-0.0493,0.4903,1.3485,-0.1929
2023-11-06,49.5000,-0.0512,0.8970,0.0000,0.0000,0.0000,1.6053,0.0000,-0.7773,-0.0499,0.4713,1.0410,-0.1505
2023-11-07,47.0500,-0.0508,0.8122,0.0000,0.0000,0.0000,1.7138,0.0000,-0.7230,-0.0495,0.4589,0.7777,-0.1063
2023-11-08,44.7000,-0.0512,0.9938,0.0000,0.0000,0.0000,1.7408,0.0000,-0.4856,-0.0499,0.4521,0.4869,-0.0593
2023-11-09,44.7000,0.0000,0.5300,0.0302,0.0000,0.0000,1.6618,0.0000,-0.5919,-0.0302,0.4316,0.4211,-0.0593
2023-11-12,47.0000,0.0502,0.4996,0.0021,0.0000,0.0000,1.6421,1.0000,-0.6032,0.0492,0.4069,0.4751,-0.1053
2023-11-14,45.4500,-0.0335,0.4437,0.0473,0.0000,0.0000,1.5242,0.0000,-0.6038,0.0117,0.4073,0.2898,-0.0748
2023-11-15,44.0000,-0.0324,0.0681,0.0330,0.0000,0.0000,1.3383,0.0000,-0.3812,0.0000,0.4167,0.1958,-0.0443
2023-11-16,46.2000,0.0488,0.4172,0.0693,0.0000,0.0000,1.3232,1.0000,-0.3810,-0.0182,0.3933,0.2364,-0.0898
2023-11-19,43.9000,-0.0511,1.2904,0.1048,0.0000,0.0000,1.3081,0.0000,-0.3601,0.0498,0.3821,-0.3234,-0.0421
2023-11-20,42.0500,-0.0431,0.1710,0.0119,0.0000,0.0000,1.2797,0.0000,-0.1397,-0.0319,0.3810,-0.5921,0.0273
2023-11-21,44.0000,0.0453,0.0263,0.0443,0.0000,0.0000,1.3722,1.0000,-0.1397,0.0000,0.4197,-0.8091,-0.0182
2023-11-22,44.2500,0.0057,0.7671,0.0452,0.0000,0.0000,1.3100,2.0000,-0.0507,0.0455,0.4111,-0.5717,-0.0237
2023-11-23,46.0000,0.0388,0.4972,0.0652,0.0000,0.0000,1.2642,3.0000,-0.0491,0.0000,0.4197,-0.3948,-0.0609
2023-11-27,44.4000,-0.0354,0.2039,0.0360,0.0000,0.0000,1.3131,0.0000,0.1599,0.0000,0.4469,-0.5206,-0.0270
2023-11-28,44.4000,0.0000,0.0144,0.0158,0.0000,0.0000,1.1940,0.0000,0.2655,0.0158,0.4752,-0.5298,-0.0270
2023-11-29,43.2000,-0.0274,0.1514,0.0324,0.0000,0.0000,1.1762,0.0000,0.4672,-0.0191,0.5047,-0.5652,0.0185
2023-11-30,44.0000,0.0183,2.1447,0.0727,0.0000,0.0000,1.1533,1.0000,0.4952,0.0000,0.4913,0.4223,0.0318
2023-12-03,45.6000,0.0357,0.4654,0.0658,0.0000,0.0000,1.0936,2.0000,0.4796,0.0045,0.4728,0.9941,-0.0044
2023-12-04,45.6000,0.0000,1.7783,0.0493,0.0000,0.0000,0.9567,0.0000,0.3618,-0.0351,0.4263,1.2322,-0.0044
2023-12-05,46.6000,0.0217,1.2316,0.0826,0.0000,0.0000,0.8236,1.0000,0.1719,0.0000,0.4253,1.9994,-0.0258
2023-12-06,48.7500,0.0451,2.3106,0.0595,0.0000,0.0000,0.8139,2.0000,-0.0075,0.0021,0.4369,2.7019,-0.0687
2023-12-07,47.2000,-0.0323,1.2668,0.0392,0.0000,0.0000,0.9068,0.0000,0.0222,0.0051,0.4369,1.8211,-0.0381
2023-12-10,48.8500,0.0344,0.1820,0.0839,0.0000,0.0000,0.8883,1.0000,-0.1438,0.0000,0.4656,1.6490,-0.0706
2023-12-11,50.0000,0.0233,1.6231,0.0840,0.0000,0.0000,0.7838,2.0000,-0.2424,0.0000,0.4636,1.9276,-0.0920
2023-12-12,52.4500,0.0478,4.7832,0.0286,0.0000,0.0000,0.8328,3.0000,-0.2526,0.0500,0.5317,2.8468,-0.1344
2023-12-13,50.0000,-0.0478,2.3415,0.1040,0.0000,0.0000,0.9402,0.0000,-0.2827,0.0496,0.5288,1.7280,-0.0920
2023-12-14,47.7000,-0.0471,0.9594,0.0839,0.0000,0.0000,1.0872,0.0000,-0.2982,-0.0320,0.4968,1.2506,-0.0482
2023-12-17,45.4000,-0.0494,0.6678,0.0165,0.0000,0.0000,1.1492,0.0000,-0.1255,-0.0335,0.4926,0.9319,0.0011
2023-12-18,45.4500,0.0011,0.1303,0.0330,0.0000,0.0000,1.1533,1.0000,-0.2251,0.0000,0.5235,0.8798,0.0495
2023-12-19,47.7000,0.0483,2.7576,0.0943,0.0000,0.0000,1.2111,2.0000,-0.4059,-0.0495,0.5146,1.6531,0.0398
2023-12-20,50.0500,0.0481,1.8640,0.0250,0.0000,0.0000,1.2242,3.0000,-0.3950,0.0493,0.4785,2.0341,-0.0090
2023-12-21,52.5500,0.0487,1.3132,0.0000,0.0000,0.0000,1.2272,4.0000,-0.4615,0.0500,0.4719,2.1179,-0.0561
2023-12-25,55.1500,0.0483,1.1279,0.0000,0.0000,0.0000,1.2630,5.0000,-0.4460,0.0495,0.4541,2.1047,-0.1006
2023-12-26,57.9000,0.0487,1.9504,0.0000,0.0000,0.0000,1.3105,6.0000,-0.6710,0.0499,0.4280,2.2823,-0.1434
