Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,15.2410,0.0474,0.8159,0.0417,0.0000,0.1943,0.6281,3.0000,0.2852,0.0194,0.3832,-0.6566,-0.0694
2023-10-31,15.9819,0.0475,0.5291,0.0022,0.0000,0.1260,0.7272,4.0000,0.2700,0.0486,0.3870,-0.4213,-0.1126
2023-11-01,16.0877,0.0066,1.5187,0.0548,0.0000,0.3617,0.6573,5.0000,0.1503,0.0486,0.3890,0.2523,-0.1184
2023-11-02,15.7702,-0.0199,0.2549,0.0000,0.0000,0.0607,0.6834,0.0000,0.2305,-0.0197,0.4141,0.2893,-0.1007
2023-11-05,15.4527,-0.0203,0.2555,0.0205,0.0000,0.0609,0.7355,0.0000,0.2379,-0.0201,0.4374,0.3000,-0.0822
2023-11-06,15.2410,-0.0138,0.2682,0.0046,0.0000,0.0639,0.7682,0.0000,0.2202,-0.0137,0.4591,0.2825,-0.0694
2023-11-07,15.5233,0.0184,0.1717,0.0091,0.0000,0.0409,0.7349,1.0000,0.0746,0.0185,0.4849,0.4226,-0.0864
2023-11-08,15.7702,0.0158,0.3539,0.0157,0.0000,0.0843,0.7296,2.0000,0.0809,0.0159,0.5002,0.7212,-0.1007
2023-11-09,15.7349,-0.0022,0.0705,0.0022,0.0000,0.0168,0.7387,0.0000,0.1913,-0.0022,0.5285,0.9662,-0.0987
2023-11-12,15.4174,-0.0204,0.1460,0.0206,0.0000,0.0348,0.7612,0.0000,0.6535,-0.0202,0.5433,1.0021,-0.0801
2023-11-14,15.2410,-0.0115,0.1757,0.0069,0.0000,0.0419,0.6432,0.0000,0.8012,-0.0114,0.4813,0.8397,-0.0694
2023-11-15,14.9588,-0.0187,0.1332,0.0212,0.0000,0.0317,0.4411,0.0000,0.8713,-0.0185,0.4688,0.7607,-0.0519
2023-11-16,14.7118,-0.0166,0.3628,0.0024,0.0000,0.0864,0.4279,0.0000,0.9036,-0.0165,0.4780,0.5917,-0.0360
2023-11-19,14.8177,0.0072,0.6100,0.0262,0.0000,0.1453,0.4350,1.0000,0.8041,0.0072,0.4818,0.6982,-0.0429
2023-11-20,14.8177,0.0000,0.1862,0.0143,0.0000,0.0443,0.4135,0.0000,0.7883,0.0000,0.5007,0.6227,-0.0429
2023-11-21,14.6060,-0.0144,0.5374,0.0193,0.0000,0.1280,0.4185,0.0000,0.9142,-0.0143,0.5076,0.4019,-0.0290
2023-11-22,14.6060,0.0000,0.1715,0.0000,0.0000,0.0408,0.3548,0.0000,0.8725,-0.0121,0.5300,0.3331,-0.0290
2023-11-23,14.4649,-0.0097,0.2174,0.0098,0.0000,0.0518,0.2766,0.0000,0.8997,-0.0097,0.5301,0.1749,-0.0195
2023-11-27,14.1826,-0.0197,0.5087,0.0174,0.0000,0.1212,0.2858,0.0000,1.1015,-0.0195,0.5293,-0.1585,0.0000
2023-11-28,14.3237,0.0099,0.5779,0.0074,0.0000,0.1377,0.3217,1.0000,1.2630,0.0099,0.5327,-0.1444,-0.0099
2023-11-29,14.6060,0.0195,0.6606,0.0386,0.0000,0.1574,0.4040,2.0000,1.1348,0.0197,0.5007,0.0426,-0.0290
2023-11-30,14.5354,-0.0048,0.8199,0.0291,0.0000,0.1953,0.3768,0.0000,0.4661,-0.0048,0.4790,-0.9695,-0.0243
2023-12-03,14.7118,0.0121,0.3610,0.0072,0.0000,0.0860,0.3704,1.0000,0.4424,0.0121,0.2904,-0.7027,-0.0360
2023-12-04,14.4296,-0.0194,0.7835,0.0196,0.0000,0.1866,0.4034,0.0000,0.4470,-0.0192,0.2877,-1.2573,-0.0171
2023-12-05,14.7118,0.0194,0.9460,0.0264,0.0000,0.2253,0.4537,1.0000,0.2859,0.0196,0.2806,-0.4148,-0.0360
2023-12-06,14.4649,-0.0169,0.7855,0.0195,0.0000,0.1871,0.4623,0.0000,0.2837,-0.0168,0.2717,-0.9972,-0.0195
2023-12-07,14.1826,-0.0197,1.3735,0.0025,0.0000,0.3272,0.4935,0.0000,0.4679,-0.0195,0.2735,-1.7841,0.0448
2023-12-10,14.8882,0.0486,2.0945,0.0450,0.0000,0.4989,0.6760,1.0000,1.3295,0.0025,0.2674,-0.2001,-0.0047
2023-12-11,15.6291,0.0486,1.5671,0.0000,0.0000,0.3733,0.7433,2.0000,1.2113,0.0498,0.2562,1.3175,-0.0519
2023-12-12,16.2289,0.0377,8.2141,0.0478,0.0000,1.9566,0.7834,3.0000,0.9411,0.0474,0.5049,4.0790,-0.0870
2023-12-13,15.9466,-0.0175,2.6790,0.0774,0.0000,0.6381,0.8236,0.0000,0.9293,0.0196,0.5241,2.1724,-0.0708
2023-12-14,15.5585,-0.0246,1.9176,0.0499,0.0000,0.4568,0.8697,0.0000,0.8842,-0.0420,0.5159,1.1076,-0.0476
2023-12-17,14.8177,-0.0488,1.7562,0.0476,0.0000,0.4183,0.9911,0.0000,0.4261,-0.0045,0.5163,0.1710,0.0167
2023-12-18,15.4880,0.0442,1.0641,0.0683,0.0000,0.2535,1.0330,1.0000,0.3637,-0.0214,0.5161,0.6835,-0.0273
2023-12-19,15.2410,-0.0161,1.8546,0.0741,0.0000,0.4418,1.0427,0.0000,0.4320,0.0410,0.5005,-0.3502,-0.0116
2023-12-20,15.5233,0.0184,0.6105,0.0614,0.0000,0.1454,1.0375,1.0000,0.2587,0.0000,0.5001,-0.0249,-0.0295
2023-12-21,15.5233,0.0000,0.7946,0.0659,0.0000,0.1893,1.0065,0.0000,0.2587,0.0000,0.4774,-0.0446,-0.0295
2023-12-25,15.9113,0.0247,0.5403,0.0399,0.0000,0.1287,0.9478,1.0000,0.0787,0.0045,0.4584,0.2390,-0.0532
2023-12-26,15.2763,-0.0407,1.0064,0.0647,0.0000,0.2397,0.9338,0.0000,-0.0005,0.0000,0.4492,-0.4157,-0.0139
