Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,115.3500,0.0048,0.6338,0.0438,0.0000,0.3486,0.5815,4.0000,0.0216,-0.0135,0.4170,2.2901,-0.0217
2023-10-31,112.8500,-0.0219,0.5475,0.0465,0.0000,0.3012,0.6274,0.0000,0.2292,-0.0117,0.4163,1.7945,0.0390
2023-11-01,117.2500,0.0382,2.4269,0.0635,0.0000,1.3350,0.6837,1.0000,0.1544,0.0279,0.4361,2.2910,0.0009
2023-11-02,117.3500,0.0009,1.0769,0.0392,0.0000,0.5924,0.6856,2.0000,0.2625,-0.0107,0.4305,2.2003,0.0021
2023-11-05,117.6000,0.0021,1.1916,0.0451,0.0000,0.6555,0.6509,3.0000,0.3247,-0.0158,0.4275,2.1429,0.0128
2023-11-06,119.1000,0.0127,0.3735,0.0357,0.0000,0.2055,0.6410,4.0000,0.1682,0.0361,0.4380,1.9051,0.0437
2023-11-07,125.0500,0.0488,2.5759,0.0444,0.0000,1.4170,0.6540,5.0000,0.4669,0.0034,0.4484,2.1547,-0.0060
2023-11-08,129.1000,0.0319,1.1396,0.0519,0.0000,0.6269,0.6541,6.0000,0.3427,0.0316,0.4238,2.0352,-0.0372
2023-11-09,133.5500,0.0339,2.4733,0.0857,0.0000,1.3606,0.6727,7.0000,0.1229,-0.0101,0.4197,2.1754,-0.0693
2023-11-12,129.5500,-0.0304,0.9096,0.0695,0.0000,0.5004,0.8083,0.0000,0.1598,0.0183,0.4090,1.7019,-0.0405
2023-11-14,129.2000,-0.0027,0.8872,0.0805,0.0000,0.4880,0.8192,0.0000,0.1579,0.0343,0.3996,1.3471,-0.0379
2023-11-15,128.3500,-0.0066,0.7725,0.0405,0.0000,0.4249,0.7647,0.0000,0.1544,0.0000,0.3903,1.0704,-0.0316
2023-11-16,129.8500,0.0116,0.9751,0.0574,0.0000,0.5364,0.7197,1.0000,0.0360,0.0000,0.3704,1.1556,-0.0427
