Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,67.4803,-0.0225,0.1315,0.0345,0.0000,0.0521,0.5920,0.0000,-1.3953,-0.0079,0.3861,-0.1123,-0.0220
2023-10-31,68.4712,0.0146,0.7035,0.0492,0.0000,0.4187,0.5340,1.0000,-1.4038,0.0132,0.3811,0.0439,-0.0362
2023-11-01,68.5703,0.0014,0.1117,0.0181,0.0000,0.0572,0.5184,2.0000,-1.3793,0.0051,0.4104,-0.0445,-0.0376
2023-11-02,68.2235,-0.0051,0.1960,0.0254,0.0000,0.0617,0.4680,0.0000,-1.3339,0.0101,0.4346,-0.2938,-0.0327
2023-11-05,66.9849,-0.0183,0.3138,0.0518,0.0000,0.0867,0.4785,0.0000,-1.2654,0.0145,0.4440,-0.5437,-0.0148
2023-11-06,67.4803,0.0074,0.1363,0.0140,0.0000,0.0329,0.4663,1.0000,-1.2627,0.0015,0.4131,-0.4306,-0.0220
2023-11-07,68.0253,0.0080,0.3390,0.0408,0.0000,0.0934,0.4250,2.0000,-1.3432,-0.0125,0.4254,-0.2101,-0.0299
2023-11-08,67.0344,-0.0147,0.8342,0.0392,0.0000,0.1596,0.3539,0.0000,-1.2729,0.0146,0.4063,-0.5183,-0.0155
2023-11-09,68.4217,0.0205,0.3709,0.0442,0.0000,0.1400,0.3664,1.0000,-1.5399,0.0052,0.4097,-0.2297,-0.0355
2023-11-12,68.0253,-0.0058,0.1803,0.0320,0.0000,0.0734,0.3685,0.0000,-1.8511,0.0196,0.4289,-0.2534,-0.0299
2023-11-14,67.6785,-0.0051,0.2876,0.0190,0.0000,0.0731,0.3192,0.0000,0.4644,0.0000,0.3714,-0.4132,-0.0249
