Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-11-06,20.8500,-0.0095,1.4766,0.0504,0.0000,1.0364,1.1096,0.0000,-0.7988,0.0024,0.3256,0.5072,-0.0504
2023-11-07,20.6500,-0.0096,0.3445,0.0581,0.0000,0.1296,0.7557,0.0000,-0.7907,0.0000,0.3368,0.2367,-0.0412
2023-11-08,20.5000,-0.0073,0.9461,0.0439,0.0000,0.7547,0.7345,0.0000,-0.6683,-0.0024,0.3282,-0.4503,-0.0341
2023-11-09,20.3500,-0.0073,4.0941,0.1106,0.0000,3.2704,0.4054,0.0000,-0.5698,0.0683,0.3987,-2.9268,-0.0270
2023-11-12,20.6500,0.0146,1.8132,0.0872,0.0000,1.4722,0.3694,1.0000,-0.6419,0.0516,0.3936,-1.6444,-0.0412
2023-11-14,20.1500,-0.0245,1.5853,0.0546,0.0000,0.9101,0.3989,0.0000,-0.4475,-0.0242,0.3779,-2.3781,-0.0174
2023-11-15,20.3500,0.0099,1.5219,0.0467,0.0000,1.1701,0.4093,1.0000,-0.4127,-0.0124,0.3753,-1.2740,-0.0270
2023-11-16,20.0500,-0.0149,1.6470,0.0499,0.0000,1.3840,0.4034,0.0000,-0.3341,0.0270,0.3742,-1.9864,-0.0125
2023-11-19,19.9500,-0.0050,2.1009,0.0401,0.0000,1.6900,0.4004,0.0000,-0.2798,0.0000,0.3835,-2.5306,-0.0075
2023-11-20,19.8000,-0.0075,0.6013,0.0480,0.0000,0.3629,0.2974,0.0000,-0.2426,0.0276,0.3942,-2.2741,0.0253
2023-11-21,20.4000,0.0299,2.1122,0.0956,0.0000,1.2975,0.4863,1.0000,-0.3994,-0.0202,0.3817,-1.1488,-0.0049
2023-11-22,20.6000,0.0098,2.6705,0.0850,0.0000,2.2459,0.5311,2.0000,1.7126,0.0735,0.3884,0.2683,-0.0146
2023-11-23,20.6500,0.0024,1.0812,0.0605,0.0000,0.5394,0.5622,3.0000,1.7476,0.0316,0.3598,0.8352,-0.0169
2023-11-27,20.4000,-0.0122,1.1231,0.0319,0.0000,0.9525,0.5773,0.0000,0.5643,0.0121,0.3441,0.2358,-0.0049
2023-11-28,20.5000,0.0049,0.3406,0.0244,0.0000,0.2417,0.5530,1.0000,0.6475,0.0245,0.3654,0.4909,-0.0098
2023-11-29,20.3000,-0.0098,0.7941,0.0369,0.0000,0.2991,0.4900,0.0000,0.6844,0.0146,0.3693,0.0804,0.0074
2023-11-30,20.4500,0.0074,0.7424,0.0293,0.0000,0.4744,0.4924,1.0000,0.5653,0.0222,0.3530,0.5423,0.0024
2023-12-03,20.5000,0.0024,0.6458,0.0976,0.0000,0.1839,0.4595,2.0000,0.6953,-0.0098,0.3294,0.9376,0.0122
2023-12-04,20.7500,0.0121,0.5327,0.0434,0.0000,0.1341,0.4706,3.0000,0.4795,0.0195,0.3162,1.2091,0.0072
2023-12-05,20.9000,0.0072,0.5685,0.0239,0.0000,0.0551,0.4468,4.0000,0.3997,0.0024,0.3270,1.5032,0.0000
2023-12-06,21.2500,0.0166,0.5719,0.0282,0.0000,0.1353,0.3478,5.0000,0.1828,0.0072,0.3307,1.6732,-0.0165
2023-12-07,21.2500,0.0000,0.3813,0.0424,0.0000,0.0337,0.3480,0.0000,0.1006,0.0306,0.3166,1.5308,-0.0165
2023-12-10,20.9000,-0.0166,0.3234,0.0502,0.0000,0.0682,0.4249,0.0000,0.0754,0.0212,0.3232,1.2574,0.0072
2023-12-11,21.0500,0.0072,0.3572,0.0404,0.0000,0.1180,0.3876,1.0000,-0.0863,0.0359,0.3161,1.2697,0.0356
2023-12-12,25.2500,0.1819,7.0211,0.1644,0.0000,4.4472,1.8243,2.0000,3.8134,0.0238,0.5017,3.3384,-0.1366
2023-12-13,25.0500,-0.0080,5.8879,0.1377,0.0000,3.0982,1.8385,0.0000,3.9286,0.0871,0.5894,0.1666,-0.1297
2023-12-14,24.4500,-0.0242,0.6412,0.0798,0.0000,0.1814,1.8998,0.0000,3.8304,0.0180,0.5884,-0.1988,-0.1084
2023-12-17,24.4500,0.0000,0.5205,0.0368,0.0000,0.2551,1.9201,0.0000,3.8675,0.0225,0.5910,-0.2392,-0.1084
2023-12-18,24.2000,-0.0103,0.3258,0.1012,0.0000,0.1515,1.9403,0.0000,3.8533,0.0204,0.5996,-0.4932,-0.0992
2023-12-19,21.8000,-0.1044,0.3728,0.1583,0.0000,0.1460,2.1636,0.0000,2.0443,0.0186,0.5940,-0.8165,0.0390
2023-12-20,22.6500,0.0382,0.3279,0.0795,0.0000,0.1131,2.1707,1.0000,1.9947,0.0872,0.6003,-0.6824,0.0949
2023-12-21,25.1500,0.1047,4.6880,0.1650,0.0000,2.7218,2.2611,2.0000,1.5808,0.0132,0.6268,2.2548,-0.0139
2023-12-25,25.5500,0.0158,2.0025,0.0724,0.0000,1.0465,2.2349,3.0000,1.5415,-0.0060,0.6282,2.6751,-0.0294
2023-12-26,27.7000,0.0808,6.1892,0.2274,0.0000,3.8812,2.2341,4.0000,1.2329,0.0294,0.6748,3.6343,-0.1047
2023-12-27,28.7500,0.0372,2.0884,0.1217,0.0000,1.0805,1.6423,5.0000,1.1315,0.0108,0.6505,3.0311,-0.1374
2023-12-28,34.5000,0.1823,2.8855,0.1841,0.0000,0.8521,1.9525,6.0000,1.0774,0.0157,0.6302,2.8594,-0.2812
2023-12-31,32.5500,-0.0582,2.2306,0.1106,0.0000,0.8704,2.0113,0.0000,1.0165,0.0203,0.6007,1.8656,-0.2381
2024-01-01,31.9500,-0.0186,0.9502,0.1221,0.0000,0.4593,2.0314,0.0000,1.0345,0.0184,0.5817,1.4176,-0.2238
