Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-12-21,51.9000,0.0204,0.6020,0.0289,0.0000,0.2811,0.4996,2.0000,-0.0994,0.0079,0.1958,0.8815,-0.0077
2023-12-25,52.8500,0.0181,1.3284,0.0615,0.0000,0.8580,0.5322,3.0000,-0.2805,0.0019,0.1779,1.5323,-0.0255
2023-12-26,53.1000,0.0047,0.9259,0.0377,0.0000,0.4543,0.5391,4.0000,-0.3493,0.0076,0.1556,1.7833,-0.0301
2023-12-27,51.5000,-0.0306,0.4532,0.0301,0.0000,0.2101,0.5592,0.0000,-0.3480,-0.0169,0.1739,1.3760,0.0204
2023-12-28,52.5500,0.0202,0.6221,0.0438,0.0000,0.3181,0.5553,1.0000,-0.2559,0.0019,0.1796,1.5141,0.0124
2023-12-31,53.2000,0.0123,1.3162,0.0470,0.0000,0.5278,0.5605,2.0000,-0.3732,0.0067,0.1824,1.9830,0.0009
2024-01-01,53.2500,0.0009,1.1708,0.0451,0.0000,0.7255,0.5605,3.0000,-0.2751,-0.0075,0.1757,2.2597,0.2000
2024-01-02,63.9000,0.1823,5.8613,0.1674,0.0000,3.3075,1.3866,4.0000,2.8152,0.0038,0.3648,3.4980,0.0423
2024-01-03,67.6000,0.0563,4.9732,0.0932,0.0000,3.2848,1.2966,5.0000,2.6332,0.0329,0.4674,3.4304,-0.0229
2024-01-04,69.3500,0.0256,1.3340,0.0872,0.0000,0.7465,1.2995,6.0000,2.5975,0.0081,0.4690,2.7915,-0.0476
2024-01-07,76.7000,0.1007,2.3553,0.1538,0.0000,1.0994,1.3541,7.0000,2.1830,0.0238,0.4878,2.5834,-0.1389
2024-01-08,78.7000,0.0257,0.9268,0.0654,0.0000,0.5032,1.3575,8.0000,2.1184,0.0169,0.4880,2.2423,-0.1607
2024-01-09,78.7500,0.0006,1.3929,0.0610,0.0000,0.5105,1.3651,9.0000,2.1200,-0.0114,0.4863,2.0765,-0.1613
2024-01-10,76.9500,-0.0231,0.4189,0.0533,0.0000,0.1787,1.3460,0.0000,2.1286,0.0095,0.4839,1.7297,-0.1774
2024-01-11,73.7000,-0.0432,0.4654,0.0726,0.0000,0.1634,1.4726,0.0000,2.0026,0.0091,0.4782,1.4642,-0.1445
2024-01-14,73.7000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4869,0.0000,2.0016,0.0000,0.5119,1.3108,-0.1445
2024-01-15,68.9000,-0.0673,0.3866,0.0617,0.0000,0.1375,1.6160,0.0000,1.6354,-0.0251,0.5181,1.1325,-0.0849
2024-01-16,69.7500,0.0123,0.4433,0.0968,0.0000,0.2098,1.0723,1.0000,1.6077,-0.0196,0.5223,1.0804,-0.0961
2024-01-17,67.6500,-0.0306,0.3267,0.0769,0.0000,0.1377,1.0669,0.0000,1.6672,0.0014,0.5284,0.9390,-0.0680
2024-01-18,67.7000,0.0007,0.2478,0.0258,0.0000,0.1096,1.0478,1.0000,1.7288,0.0015,0.5316,0.8842,-0.0687
2024-01-22,68.1000,0.0059,0.3414,0.0918,0.0000,0.1479,0.6560,2.0000,1.7728,0.0724,0.5302,0.8488,-0.0742
2024-01-23,71.7500,0.0522,0.4181,0.0780,0.0000,0.1676,0.7604,3.0000,1.6217,0.0000,0.5365,0.8287,-0.1213
2024-01-24,72.6000,0.0118,0.4305,0.0441,0.0000,0.1546,0.7756,4.0000,1.6048,0.0105,0.5383,0.8174,-0.1315
2024-01-28,71.8500,-0.0104,0.4981,0.0682,0.0000,0.1500,0.7661,0.0000,1.6396,0.0055,0.5256,0.6648,-0.1225
2024-01-29,72.8000,0.0131,0.3857,0.0440,0.0000,0.1193,0.7174,1.0000,1.6617,0.0070,0.5212,0.6790,-0.1339
2024-01-30,72.1500,-0.0090,0.3277,0.0859,0.0000,0.1442,0.7191,0.0000,1.6944,0.0199,0.5303,0.5592,-0.1261
2024-01-31,70.1000,-0.0288,0.2246,0.0678,0.0000,0.0770,0.5492,0.0000,1.6797,0.0076,0.5450,0.4738,-0.1006
2024-02-01,66.6000,-0.0512,0.5923,0.1036,0.0000,0.2010,0.6535,0.0000,0.5933,0.0078,0.5021,0.1791,-0.0533
2024-02-04,66.0500,-0.0083,1.0840,0.0689,0.0000,0.4974,0.6235,0.0000,0.8069,0.0090,0.3916,-0.5409,-0.0454
2024-02-05,68.8500,0.0415,0.5725,0.0465,0.0000,0.2184,0.6985,1.0000,0.7517,0.0061,0.3812,-0.6898,-0.0842
2024-02-06,70.6000,0.0251,0.7265,0.0482,0.0000,0.2389,0.7179,2.0000,-0.2435,0.0094,0.2900,-0.3623,-0.1381
