Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,0.6500,-0.0741,2.5545,0.1538,0.0000,2.5545,1.0295,0.0000,0.2641,0.0000,0.5225,-2.9132,-0.2308
2023-10-31,0.6000,-0.0800,3.3947,0.1667,0.0000,3.3947,1.0328,0.0000,0.3545,0.0000,0.5233,-2.8321,-0.1667
2023-11-01,0.5500,-0.0870,3.5626,0.0909,0.0000,3.5626,1.0063,0.0000,0.4446,0.0000,0.5205,-2.7804,-0.0909
2023-11-02,0.6000,0.0870,1.5271,0.1667,0.0000,1.5271,1.1920,1.0000,0.5803,0.0000,0.4851,-2.0127,-0.1667
2023-11-05,0.5500,-0.0870,4.2280,0.1818,0.0000,4.2280,1.1461,0.0000,0.6812,0.0833,0.5089,-2.4464,-0.0909
2023-11-06,0.5000,-0.0953,4.0194,0.1000,0.0000,4.0194,1.1580,0.0000,0.6258,-0.0909,0.5330,-2.6414,0.0000
2023-11-07,0.5000,0.0000,1.0905,0.2000,0.0000,1.0905,1.2282,0.0000,0.7013,0.0000,0.5055,-2.1592,0.0000
2023-11-08,0.5500,0.0953,3.4023,0.0909,0.0000,3.4023,1.5535,1.0000,0.7482,0.0000,0.5084,-1.2157,-0.0909
2023-11-09,0.6000,0.0870,2.1547,0.0833,0.0000,2.1547,1.7060,2.0000,0.7843,0.0000,0.4859,-0.5948,-0.1667
2023-11-12,0.6500,0.0800,1.8053,0.1538,0.0000,1.8053,1.7579,3.0000,0.5517,0.0833,0.4564,-0.0363,-0.2308
2023-11-14,0.6000,-0.0800,0.3264,0.0000,0.0000,0.3264,1.7520,0.0000,0.6665,-0.0769,0.4424,-0.0788,-0.1667
2023-11-15,0.6000,0.0000,0.5593,0.0000,0.0000,0.5593,1.6845,0.0000,0.6665,0.0000,0.4201,-0.0230,-0.1667
2023-11-16,0.6500,0.0800,0.3913,0.0769,0.0000,0.3913,1.6093,1.0000,0.5469,0.0833,0.4024,0.1609,-0.2308
2023-11-19,0.6500,0.0000,0.2738,0.0769,0.0000,0.2738,1.5351,0.0000,0.6606,0.0000,0.4040,0.2315,-0.2308
2023-11-20,0.6000,-0.0800,0.1351,0.0000,0.0000,0.1351,1.5021,0.0000,0.7791,-0.0769,0.4185,0.2651,-0.1667
2023-11-21,0.5500,-0.0870,0.2450,0.0909,0.0000,0.2450,1.4650,0.0000,0.7821,-0.0833,0.4159,0.2616,-0.0909
2023-11-22,0.6000,0.0870,0.1590,0.0833,0.0000,0.1590,1.5142,1.0000,0.5471,0.0909,0.4245,0.4199,-0.1667
2023-11-23,0.6000,0.0000,0.0913,0.0833,0.0000,0.0913,1.4242,0.0000,0.4374,0.0000,0.4511,0.5087,-0.1667
2023-11-27,0.5500,-0.0870,0.3807,0.0909,0.0000,0.3807,1.4132,0.0000,0.4358,-0.0833,0.4657,0.4117,-0.0909
2023-11-28,0.5500,0.0000,0.1117,0.0000,0.0000,0.1117,1.2852,0.0000,0.3214,0.0000,0.4924,0.4542,-0.0909
2023-11-29,0.5500,0.0000,0.1376,0.0000,0.0000,0.1376,1.2151,0.0000,0.2074,0.0000,0.5143,0.4751,-0.0909
2023-11-30,0.5000,-0.0953,0.2353,0.1000,0.0000,0.2353,1.3074,0.0000,0.1930,-0.0909,0.5342,0.3723,0.0000
2023-12-03,0.5500,0.0953,0.1630,0.0909,0.0000,0.1630,1.3285,1.0000,0.0000,0.1000,0.5576,0.3932,-0.0909
2023-12-04,0.5000,-0.0953,0.0997,0.1000,0.0000,0.0997,1.3849,0.0000,0.1963,-0.0909,0.5794,0.3315,0.0000
2023-12-05,0.5500,0.0953,0.0790,0.0909,0.0000,0.0790,1.4826,1.0000,0.0000,0.1000,0.6031,0.2891,-0.0909
2023-12-06,0.5500,0.0000,0.2147,0.0909,0.0000,0.2147,1.3933,0.0000,-0.0875,0.0000,0.6002,0.1817,-0.0909
2023-12-07,0.5500,0.0000,0.2208,0.0000,0.0000,0.2208,1.2756,0.0000,-0.0875,0.0000,0.6145,-0.0120,-0.0909
2023-12-10,0.5000,-0.0953,0.5214,0.1000,0.0000,0.5214,1.3489,0.0000,0.0875,-0.0909,0.5576,-0.8432,0.1000
2023-12-11,0.5500,0.0953,0.6945,0.0000,0.0000,0.6945,1.3864,1.0000,0.1004,0.1000,0.4826,-0.7625,0.0000
2023-12-12,0.6000,0.0870,1.9893,0.0833,0.0000,1.9893,1.4559,2.0000,0.1064,0.0909,0.3398,0.8528,-0.0833
2023-12-13,0.5500,-0.0870,1.6006,0.0909,0.0000,1.6006,1.5421,0.0000,0.1015,-0.0833,0.3409,-0.4132,0.0000
2023-12-14,0.5500,0.0000,0.4517,0.0909,0.0000,0.4517,1.4308,0.0000,0.1015,0.0000,0.3205,-0.3757,0.0000
2023-12-17,0.6000,0.0870,0.6377,0.0833,0.0000,0.6377,1.3976,1.0000,0.1068,0.0909,0.3092,0.1574,-0.0833
