Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,14.0275,0.0036,1.2568,0.0344,0.0000,0.3272,2.1666,1.0000,0.5549,-0.0073,0.3339,0.4918,-0.0579
2023-10-31,14.1290,0.0072,0.7941,0.0126,0.0000,0.1926,2.2165,2.0000,0.5408,0.0090,0.3324,0.7872,-0.0646
2023-11-01,14.4334,0.0213,1.8236,0.0527,0.0000,0.6521,1.9563,3.0000,0.3305,0.0144,0.3341,1.4967,-0.0844
2023-11-02,15.0422,0.0413,2.9858,0.0388,0.0000,0.8853,1.8265,4.0000,0.2026,0.0193,0.3671,2.4597,-0.1214
2023-11-05,14.6110,-0.0291,6.3832,0.0920,0.0000,2.2558,1.8075,0.0000,0.1999,0.0489,0.4992,-1.6539,-0.0955
2023-11-06,14.0529,-0.0389,3.4095,0.0812,0.0000,1.4668,1.6799,0.0000,0.0825,0.0174,0.5240,-2.9833,-0.0596
2023-11-07,14.0783,0.0018,1.2735,0.0342,0.0000,0.4479,1.6756,1.0000,0.0956,0.0108,0.5039,-1.9408,-0.0613
2023-11-08,14.0022,-0.0054,1.4901,0.0344,0.0000,0.5808,1.6737,0.0000,0.1289,0.0180,0.4871,-2.2607,-0.0562
2023-11-09,13.9261,-0.0054,1.0834,0.0310,0.0000,0.4570,1.5762,0.0000,0.1623,0.0072,0.4649,-2.2657,-0.0510
2023-11-12,13.7485,-0.0128,1.7545,0.0406,0.0000,0.6294,1.5884,0.0000,0.2554,0.0182,0.4458,-2.4039,-0.0387
2023-11-14,13.6724,-0.0056,1.9505,0.0408,0.0000,0.8970,1.5835,0.0000,0.3264,0.0203,0.4313,-2.4728,-0.0334
2023-11-15,13.2158,-0.0340,2.7981,0.0595,0.0000,1.0339,1.6488,0.0000,0.3844,0.0186,0.4343,-2.6387,0.0058
2023-11-16,13.2922,0.0058,2.9076,0.0345,0.0000,0.8371,1.5464,1.0000,0.3624,0.0385,0.4542,-1.4553,0.0268
2023-11-19,13.6487,0.0265,2.7162,0.0205,0.0000,0.6530,1.3060,2.0000,0.0943,0.0230,0.4654,-0.4119,0.0317
2023-11-20,14.0816,0.0312,2.6174,0.0127,0.0000,0.9582,1.4408,3.0000,-0.0710,0.0354,0.4630,0.6949,0.0289
2023-11-21,14.4890,0.0285,2.5375,0.0141,0.0000,1.0990,1.3151,4.0000,-0.0897,0.0307,0.4520,1.7217,0.0281
2023-11-22,14.8964,0.0277,3.0478,0.0256,0.0000,1.4529,1.3862,5.0000,-0.2530,0.0422,0.4531,2.5591,0.0256
2023-11-23,15.2784,0.0253,2.4660,0.0250,0.0000,1.1822,1.3971,6.0000,-0.4138,0.0274,0.4388,2.7321,0.0200
2023-11-27,15.5840,0.0198,2.3795,0.0147,0.0000,1.1269,1.3667,7.0000,-0.4101,0.0217,0.4181,2.7170,0.0082
2023-11-28,15.8895,0.0194,1.6223,0.0112,0.0000,0.8209,1.2594,8.0000,-0.5680,0.0229,0.3865,2.5064,-0.0112
2023-11-29,16.3224,0.0269,2.2382,0.0546,0.0000,1.1325,1.1846,9.0000,-0.6633,0.0080,0.3691,2.4669,-0.0374
2023-11-30,16.7808,0.0277,1.6388,0.0091,0.0000,0.6712,0.4404,10.0000,-0.7362,0.0312,0.3339,2.3142,-0.0637
2023-12-03,17.0863,0.0180,1.6852,0.0089,0.0000,0.7546,0.2651,11.0000,-0.7261,0.0228,0.3063,2.2087,-0.0805
2023-12-04,17.4174,0.0192,1.5902,0.0073,0.0000,0.8150,0.2841,12.0000,-0.8542,0.0238,0.2845,2.1099,-0.0980
2023-12-05,17.9776,0.0317,2.2663,0.0283,0.0000,1.2163,0.2886,13.0000,-1.0946,0.0249,0.3080,2.1247,-0.1261
2023-12-06,19.4800,0.0803,3.2799,0.0706,0.0000,1.8240,0.9916,14.0000,0.4045,0.0425,0.3539,2.2742,-0.1935
2023-12-07,19.9128,0.0220,1.4621,0.0269,0.0000,0.7348,0.9947,15.0000,0.2866,0.0248,0.3258,2.1127,-0.2110
2023-12-10,20.2693,0.0177,0.8641,0.0151,0.0000,0.3742,1.0095,16.0000,0.1999,0.0243,0.2973,1.9221,-0.2249
2023-12-11,20.3457,0.0038,1.3319,0.0175,0.0000,0.3105,1.1027,17.0000,0.1990,0.0163,0.2657,1.8458,-0.2278
2023-12-12,16.6789,-0.1987,2.8011,0.2504,0.0000,1.5963,2.6299,0.0000,-3.3723,0.0113,0.2895,1.1991,-0.0580
2023-12-13,16.9336,0.0152,1.2267,0.1023,0.0000,0.6771,2.6184,1.0000,-3.4567,0.0779,0.2660,1.2934,-0.0722
2023-12-14,16.1951,-0.0446,0.9029,0.1179,0.0000,0.3918,2.6109,0.0000,-3.3544,0.0541,0.2485,1.0200,-0.0299
2023-12-17,15.8386,-0.0223,0.8468,0.0611,0.0000,0.3432,2.5985,0.0000,-3.1916,0.0157,0.2344,0.7669,-0.0080
2023-12-18,16.8317,0.0608,1.1054,0.0650,0.0000,0.5906,2.6345,1.0000,-3.0577,0.0305,0.2219,0.9267,-0.0666
2023-12-19,15.7113,-0.0689,1.0994,0.1475,0.0000,0.4915,2.5997,0.0000,-2.5429,0.0182,0.2102,0.5891,0.0340
2023-12-20,16.2460,0.0335,0.5616,0.0799,0.0000,0.2339,2.4243,1.0000,-2.5392,-0.0032,0.2108,0.6610,0.0679
2023-12-21,18.6736,0.1393,1.3026,0.0764,0.0000,0.5658,2.6320,2.0000,-1.5734,0.1118,0.2159,0.9621,-0.0709
2023-12-25,18.0285,-0.0352,0.4422,0.0847,0.0000,0.2138,2.6121,0.0000,-1.3904,0.0127,0.2302,0.7601,-0.0377
2023-12-26,17.8587,-0.0095,0.2935,0.0494,0.0000,0.1341,2.6089,0.0000,-1.3143,0.0358,0.2553,0.5952,-0.0285
2023-12-27,17.3495,-0.0289,0.3575,0.0626,0.0000,0.1645,1.7906,0.0000,-1.1786,0.0266,0.2681,0.3867,0.0078
2023-12-28,17.4853,0.0078,0.5265,0.0563,0.0000,0.3458,1.7874,1.0000,-1.1436,0.0137,0.2813,0.5376,0.0116
2023-12-31,18.2322,0.0418,0.3731,0.0428,0.0000,0.2258,1.7336,2.0000,-1.1528,0.0330,0.2977,0.6688,-0.0298
2024-01-01,18.3341,0.0056,0.3116,0.0259,0.0000,0.1838,1.7009,3.0000,-1.1261,0.0112,0.3195,0.8316,-0.0352
2024-01-02,18.5717,0.0129,0.3547,0.0238,0.0000,0.2187,1.6343,4.0000,-1.1141,0.0241,0.3379,1.1410,-0.0475
2024-01-03,18.6736,0.0055,0.2489,0.0164,0.0000,0.1262,1.4281,5.0000,-1.0696,0.0110,0.3623,1.4279,-0.0564
2024-01-04,19.8280,0.0600,0.7641,0.0753,0.0000,0.4248,1.4557,6.0000,-1.1353,0.0091,0.3377,1.8540,-0.1336
2024-01-07,22.5102,0.1269,1.6671,0.1237,0.0000,1.0320,1.2801,7.0000,-0.7954,0.0103,0.3435,2.5439,-0.2459
2024-01-08,21.7632,-0.0337,1.4461,0.1279,0.0000,0.8833,1.2686,0.0000,-0.6688,0.0211,0.3399,1.3438,-0.2215
2024-01-09,21.4577,-0.0141,0.4727,0.0490,0.0000,0.2603,1.2760,0.0000,-0.6247,0.0140,0.3537,1.0364,-0.2358
2024-01-10,21.5256,0.0032,0.4500,0.0237,0.0000,0.2538,1.2088,1.0000,1.0403,0.0063,0.3145,1.1735,-0.2571
2024-01-11,21.4916,-0.0016,0.4518,0.0300,0.0000,0.2711,1.2196,0.0000,1.0862,0.0079,0.3238,0.8570,-0.2591
2024-01-14,21.4916,0.0000,0.0000,0.0000,0.0000,0.0000,1.2131,0.0000,1.1208,0.0000,0.3633,0.7741,-0.2591
2024-01-15,20.8465,-0.0305,0.4674,0.0537,0.0000,0.2776,1.2690,0.0000,1.1087,0.0000,0.3728,0.4748,-0.2362
2024-01-16,20.6428,-0.0098,0.5257,0.0674,0.0000,0.3302,1.2821,0.0000,1.3530,-0.0065,0.3725,0.1702,-0.2286
2024-01-17,20.2014,-0.0216,1.2593,0.0874,0.0000,0.7551,1.3070,0.0000,1.6850,-0.0066,0.3586,-0.5637,-0.2118
2024-01-18,19.3526,-0.0429,1.1536,0.0509,0.0000,0.5319,1.2599,0.0000,1.7297,0.0000,0.3586,-1.2662,-0.1772
2024-01-22,17.6890,-0.0899,1.2542,0.0710,0.0000,0.6668,0.7066,0.0000,1.1641,-0.0333,0.3230,-1.6878,-0.0998
2024-01-23,18.3680,0.0377,0.6444,0.0444,0.0000,0.3590,0.8508,1.0000,0.9415,0.0115,0.3273,-1.3132,-0.1331
2024-01-24,18.2322,-0.0074,0.5882,0.0410,0.0000,0.2694,0.8570,0.0000,0.9356,0.0074,0.3303,-1.4900,-0.1266
2024-01-28,17.9946,-0.0131,0.8672,0.0302,0.0000,0.5061,0.8398,0.0000,0.9199,0.0074,0.3298,-1.7519,-0.1151
2024-01-29,18.4020,0.0224,0.6879,0.0369,0.0000,0.2918,0.8924,1.0000,0.8560,0.0189,0.3320,-1.3800,-0.1347
2024-01-30,18.4020,0.0000,0.5430,0.0240,0.0000,0.2736,0.8924,0.0000,1.0344,0.0148,0.3400,-1.2714,-0.1347
2024-01-31,18.3341,-0.0037,0.5523,0.0241,0.0000,0.2770,0.8860,0.0000,1.0709,0.0111,0.3452,-1.3293,-0.1315
2024-02-01,18.1643,-0.0093,0.5807,0.0336,0.0000,0.2700,0.8857,0.0000,1.1600,0.0185,0.3497,-1.3635,-0.1234
2024-02-04,17.6211,-0.0304,0.8387,0.0424,0.0000,0.4371,0.8913,0.0000,1.2435,0.0056,0.3395,-1.4506,-0.0963
2024-02-05,17.1797,-0.0254,0.8810,0.0494,0.0000,0.3573,0.8586,0.0000,1.6011,0.0154,0.3364,-1.5212,-0.0731
2024-02-06,16.9760,-0.0119,1.0180,0.0400,0.0000,0.4425,0.5165,0.0000,-0.9275,0.0237,0.2796,-1.6687,-0.0700
2024-02-07,16.9420,-0.0020,1.0239,0.0321,0.0000,0.6316,0.3647,0.0000,-1.1344,0.0140,0.2095,-1.7047,-0.0721
2024-02-08,16.3988,-0.0326,1.4840,0.0538,0.0000,0.7660,0.4116,0.0000,-0.9925,0.0160,0.2179,-1.8040,-0.0476
2024-02-11,15.9914,-0.0252,1.1113,0.0488,0.0000,0.6751,0.4264,0.0000,-0.8516,0.0145,0.2170,-1.8342,-0.0807
2024-02-12,15.9235,-0.0043,0.8144,0.0384,0.0000,0.5775,0.3155,0.0000,-0.8447,0.0064,0.2173,-1.7963,-0.1045
2024-02-13,16.5346,0.0377,1.5704,0.0801,0.0000,1.1098,0.5116,1.0000,-0.4951,0.0064,0.1832,-1.3129,-0.1376
