Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2026-02-10,58.2100,-0.0130,0.9855,0.0476,0.0000,0.5184,1.1009,0.0000,0.9992,-0.0080,0.3809,1.2432,-0.0548
2026-02-11,57.5700,-0.0111,0.3784,0.0375,0.0000,0.1604,1.1152,0.0000,1.1437,-0.0148,0.3932,1.0215,-0.0443
2026-02-12,58.0200,0.0078,0.4509,0.0298,0.0000,0.1696,1.1318,1.0000,1.1033,-0.0056,0.3643,1.0919,-0.0517
2026-02-15,57.4900,-0.0092,0.2780,0.0240,0.0000,0.0992,1.1551,0.0000,1.1054,-0.0243,0.3856,0.9598,-0.0430
2026-02-16,59.2400,0.0300,3.0514,0.1028,0.0000,1.2254,0.7973,1.0000,1.0763,0.0000,0.3723,1.9125,-0.0712
2026-02-17,58.7900,-0.0076,0.3779,0.0561,0.0000,0.1495,0.8073,0.0000,1.1254,0.0381,0.3866,1.5719,-0.0641
2026-02-18,58.7600,-0.0005,3.5106,0.0271,0.0000,1.7300,0.8096,0.0000,1.2139,-0.0134,0.4349,0.0270,-0.0636
2026-02-19,59.0900,0.0056,0.6299,0.0350,0.0000,0.2923,0.8264,1.0000,1.4684,0.0000,0.4374,0.2512,-0.0741
2026-02-22,60.0000,0.0153,1.0895,0.0393,0.0000,0.3693,0.7078,2.0000,1.3310,0.0129,0.4331,0.6609,-0.0932
2026-02-23,60.3900,0.0065,1.8361,0.0397,0.0000,0.4722,0.5918,3.0000,1.3021,0.0000,0.4235,1.4003,-0.1061
2026-02-24,60.3700,-0.0003,1.9369,0.0492,0.0000,0.8313,0.5461,0.0000,1.4558,0.0000,0.4088,0.3048,-0.1524
2026-02-25,61.6800,0.0215,1.8926,0.0452,0.0000,0.7851,0.5446,1.0000,1.3067,0.0237,0.4016,1.3706,-0.2109
2026-02-26,61.9100,0.0037,1.2460,0.0359,0.0000,0.6702,0.5468,2.0000,1.2944,0.0000,0.3807,2.0320,-0.2139
