Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,82.5500,-0.0216,0.1436,0.0684,0.0000,0.0770,1.8645,0.0000,0.9749,0.0166,0.6141,0.9089,-0.0145
2023-10-31,82.2000,-0.0042,0.0700,0.0268,0.0000,0.0375,1.8643,0.0000,0.9412,0.0055,0.6294,0.8008,-0.0103
2023-11-01,82.6500,0.0055,0.0988,0.0411,0.0000,0.0530,1.8637,1.0000,0.8701,0.0067,0.6459,0.7493,-0.0157
2023-11-02,82.3500,-0.0036,0.1003,0.0407,0.0000,0.0538,1.0624,0.0000,0.8833,0.0012,0.6542,0.6401,-0.0121
2023-11-05,83.1500,0.0097,0.0747,0.0265,0.0000,0.0400,0.9569,1.0000,0.9275,0.0000,0.6719,0.5889,-0.0216
2023-11-06,81.6500,-0.0182,0.1656,0.0404,0.0000,0.0888,0.5451,0.0000,1.0731,0.0090,0.6830,0.4585,-0.0037
2023-11-07,81.3500,-0.0037,0.1115,0.0320,0.0000,0.0598,0.3934,0.0000,1.1831,0.0043,0.6910,0.3397,0.0006
2023-11-08,81.4000,0.0006,0.0689,0.0264,0.0000,0.0369,0.3932,1.0000,1.3405,0.0135,0.7056,0.2826,0.0025
2023-11-09,85.4500,0.0486,0.1762,0.0854,0.0000,0.0945,0.4682,2.0000,1.1371,0.0000,0.7063,0.2659,-0.0451
2023-11-12,94.1500,0.0970,0.6084,0.0611,0.0000,0.3262,0.8499,3.0000,1.0769,0.0802,0.7164,0.4811,-0.1333
2023-11-14,98.5000,0.0452,0.7128,0.0325,0.0000,0.3822,0.8331,4.0000,1.0380,0.0499,0.7220,0.7540,-0.1716
2023-11-15,96.5500,-0.0200,0.0683,0.0000,0.0000,0.0366,0.8648,0.0000,1.0572,-0.0198,0.7438,0.6633,-0.1548
2023-11-16,94.6500,-0.0199,0.0337,0.0000,0.0000,0.0181,0.9024,0.0000,1.0522,-0.0197,0.7640,0.6586,-0.1379
2023-11-19,92.7500,-0.0203,0.2813,0.0000,0.0000,0.1509,0.9295,0.0000,-0.0774,-0.0201,0.6304,1.2595,-0.1202
2023-11-20,90.9000,-0.0201,0.5367,0.0000,0.0000,0.2878,0.9581,0.0000,0.0218,-0.0199,0.5283,1.1976,-0.1023
2023-11-21,89.1000,-0.0200,0.2550,0.0000,0.0000,0.1367,0.9597,0.0000,1.4249,-0.0198,0.4169,1.0072,-0.0903
2023-11-22,87.3500,-0.0198,0.5964,0.0166,0.0000,0.3198,0.9783,0.0000,1.7511,-0.0196,0.4140,0.7405,-0.0721
2023-11-23,85.9000,-0.0167,0.4117,0.0169,0.0000,0.2208,0.9925,0.0000,1.7767,-0.0166,0.4208,0.5478,-0.0565
2023-11-27,87.6000,0.0196,0.5367,0.0194,0.0000,0.2878,0.9368,1.0000,1.9310,0.0198,0.4284,0.6393,-0.0748
2023-11-28,87.6000,0.0000,0.3888,0.0177,0.0000,0.2085,0.5284,0.0000,1.9574,0.0000,0.4416,0.5821,-0.0748
2023-11-29,87.9500,0.0040,0.3112,0.0159,0.0000,0.1669,0.3312,1.0000,1.9432,0.0040,0.4577,0.5990,-0.0785
2023-11-30,86.2000,-0.0201,0.1670,0.0203,0.0000,0.0895,0.3308,0.0000,1.9270,-0.0199,0.4788,0.4845,-0.0597
2023-12-03,85.0000,-0.0140,0.3998,0.0118,0.0000,0.2144,0.3241,0.0000,1.9852,-0.0139,0.4897,0.3141,-0.0465
2023-12-04,83.3000,-0.0202,0.3721,0.0204,0.0000,0.1995,0.3235,0.0000,1.9856,-0.0200,0.5010,0.1428,-0.0270
2023-12-05,83.3000,0.0000,1.0203,0.0156,0.0000,0.5471,0.3256,0.0000,2.0504,0.0000,0.4968,0.0765,-0.0270
2023-12-06,81.6500,-0.0200,0.5667,0.0043,0.0000,0.3038,0.3252,0.0000,2.0446,-0.0198,0.4999,-0.1953,-0.0073
2023-12-07,81.6000,-0.0006,0.7132,0.0018,0.0000,0.3824,0.3167,0.0000,2.0305,-0.0006,0.5010,-0.6197,-0.0067
2023-12-10,83.2000,0.0194,0.6946,0.0144,0.0000,0.3724,0.3587,1.0000,1.8866,0.0196,0.4973,-0.5897,-0.0258
2023-12-11,84.8500,0.0196,0.4689,0.0018,0.0000,0.2515,0.3587,2.0000,2.1637,0.0198,0.4996,-0.6582,-0.0448
2023-12-12,86.5000,0.0193,0.8305,0.0000,0.0000,0.4453,0.3958,3.0000,1.0557,0.0194,0.4206,-0.2854,-0.0630
2023-12-13,88.0000,0.0172,2.0441,0.0023,0.0000,1.0961,0.4184,4.0000,0.6010,0.0173,0.2586,0.7015,-0.0790
2023-12-14,86.2500,-0.0201,0.8508,0.0145,0.0000,0.4562,0.4248,0.0000,0.6007,-0.0199,0.2560,0.4708,-0.0603
2023-12-17,84.5500,-0.0199,0.5255,0.0053,0.0000,0.2818,0.4386,0.0000,0.6006,-0.0197,0.2460,0.3716,-0.0414
2023-12-18,83.5000,-0.0125,0.2939,0.0210,0.0000,0.1576,0.4201,0.0000,0.5890,-0.0124,0.2688,0.3474,-0.0293
2023-12-19,81.8500,-0.0200,0.7245,0.0202,0.0000,0.3885,0.4476,0.0000,0.5897,-0.0198,0.2587,-0.0851,-0.0098
2023-12-20,81.0500,-0.0098,0.3942,0.0099,0.0000,0.2114,0.4274,0.0000,0.5647,-0.0098,0.2712,-0.3106,0.0197
2023-12-21,82.6500,0.0195,1.0211,0.0188,0.0000,0.5475,0.4541,1.0000,0.3498,0.0197,0.2665,0.4477,0.0127
2023-12-25,86.7500,0.0484,1.8175,0.0202,0.0000,0.9746,0.5634,2.0000,0.6890,0.0333,0.2808,1.6368,-0.0352
2023-12-26,85.4000,-0.0157,2.4019,0.0585,0.0000,1.2879,0.5650,0.0000,0.9267,0.0236,0.3115,-0.2209,-0.0199
2023-12-27,83.7000,-0.0201,1.7043,0.0382,0.0000,0.9139,0.5601,0.0000,0.9852,-0.0205,0.3152,-1.4437,0.0161
2023-12-28,85.0500,0.0160,1.3788,0.0447,0.0000,0.7393,0.5572,1.0000,0.8739,0.0084,0.3059,-0.2711,0.0065
2023-12-31,85.7500,0.0082,0.7133,0.0309,0.0000,0.3825,0.5491,2.0000,0.7395,0.0100,0.2852,0.3500,-0.0017
2024-01-01,85.8000,0.0006,1.3586,0.0455,0.0000,0.7285,0.5250,3.0000,0.6660,0.0134,0.2788,1.3981,-0.0023
2024-01-02,88.5000,0.0310,2.2088,0.0548,0.0000,1.1844,0.5531,4.0000,0.4581,0.0023,0.2926,2.5756,-0.0328
2024-01-03,90.4000,0.0212,2.0643,0.0321,0.0000,1.1069,0.5173,5.0000,0.3013,0.0226,0.3081,2.8845,-0.0531
