Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,4.6000,0.0332,4.2112,0.0326,0.0000,1.9969,0.8512,2.0000,0.4346,0.0225,0.4163,3.6956,-0.0870
2023-10-16,4.5500,-0.0109,1.4626,0.0659,0.0000,0.5084,0.7144,0.0000,0.4335,0.0109,0.4179,2.2875,-0.0769
2023-10-17,4.3500,-0.0450,0.7720,0.0575,0.0000,0.3951,0.9234,0.0000,0.0127,0.0110,0.4170,1.6519,-0.0345
2023-10-18,4.4500,0.0227,1.4864,0.0674,0.0000,1.0649,0.9153,1.0000,-0.1804,0.0000,0.4116,1.9977,-0.0562
2023-10-19,4.6500,0.0440,1.7290,0.0323,0.0000,0.3802,0.9699,2.0000,-0.2397,0.0225,0.4055,2.2635,-0.0968
2023-10-22,4.4500,-0.0440,2.5810,0.0899,0.0000,1.2730,1.1214,0.0000,-0.2095,0.0215,0.4161,0.9895,-0.0562
2023-10-24,4.2500,-0.0460,0.6404,0.0588,0.0000,0.2804,1.2272,0.0000,-0.2523,0.0112,0.4025,0.6295,-0.0118
2023-10-25,4.2000,-0.0118,0.5978,0.0357,0.0000,0.2667,1.1163,0.0000,-0.1854,-0.0118,0.3895,0.2986,0.0000
2023-10-26,4.3000,0.0235,0.5167,0.0465,0.0000,0.2876,1.1479,1.0000,-0.3512,0.0000,0.3686,0.4799,-0.0233
2023-10-29,4.2000,-0.0235,0.3848,0.0476,0.0000,0.1288,1.1291,0.0000,-0.1752,0.0000,0.3648,0.2353,0.0000
2023-10-30,4.3000,0.0235,0.9841,0.0581,0.0000,0.5230,1.0936,1.0000,-0.1748,-0.0119,0.3455,0.6720,-0.0233
2023-10-31,4.2000,-0.0235,0.8532,0.0595,0.0000,0.3428,1.1043,0.0000,-0.1748,0.0116,0.3389,0.1542,0.0119
2023-11-01,4.2500,0.0118,0.1943,0.0353,0.0000,0.0544,1.0324,1.0000,-0.1735,0.0238,0.3396,0.1944,0.0000
2023-11-02,4.3000,0.0117,0.3538,0.0233,0.0000,0.2053,1.0068,2.0000,-0.3045,0.0118,0.3540,0.3146,-0.0116
2023-11-05,4.3500,0.0116,0.4927,0.0345,0.0000,0.1523,0.8722,3.0000,-0.2670,0.0000,0.3662,0.5399,-0.0230
2023-11-06,4.3500,0.0000,0.2089,0.0230,0.0000,0.0945,0.7622,0.0000,-0.2670,0.0000,0.3914,0.4641,-0.0230
