Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,69.5000,-0.0093,1.3750,0.0460,0.0000,0.5712,1.2959,0.0000,-0.0074,0.0107,0.5707,2.1974,-0.1396
2023-10-16,66.5000,-0.0441,1.6291,0.0774,0.0000,0.7183,1.3934,0.0000,-0.1163,0.0151,0.5438,1.5163,-0.1008
2023-10-17,66.6500,0.0023,0.6774,0.0398,0.0000,0.2596,1.3644,1.0000,-0.1043,0.0331,0.5160,1.5078,-0.1028
2023-10-18,66.9000,0.0037,0.3184,0.0224,0.0000,0.1395,1.3742,2.0000,-0.0810,0.0075,0.5046,1.4169,-0.1061
2023-10-19,65.3000,-0.0242,0.2642,0.0498,0.0000,0.0808,1.3490,0.0000,-0.0279,0.0149,0.4924,1.2109,-0.0842
2023-10-22,60.7000,-0.0730,0.8090,0.1301,0.0000,0.3947,1.6080,0.0000,-0.3788,0.0260,0.4651,0.8968,-0.0148
2023-10-24,59.8000,-0.0149,2.1127,0.1054,0.0000,1.7420,1.3983,0.0000,-0.2814,-0.0140,0.4325,0.1863,0.0067
2023-10-25,60.2000,0.0067,0.9748,0.0606,0.0000,0.7777,1.2097,1.0000,-0.2539,-0.0134,0.4028,0.4396,0.0233
2023-10-26,61.6000,0.0230,0.3824,0.0414,0.0000,0.2260,1.2404,2.0000,-0.2795,0.0125,0.4032,0.4995,0.0000
2023-10-29,61.6000,0.0000,0.1368,0.0268,0.0000,0.0729,1.0916,0.0000,-0.2405,0.0130,0.4159,0.4286,0.0609
2023-10-30,73.9000,0.1821,6.2729,0.1543,0.0000,3.4721,2.1939,1.0000,1.6961,0.0260,0.5376,2.7395,-0.1157
2023-10-31,69.4500,-0.0621,4.8566,0.1375,0.0000,2.7935,2.2019,0.0000,1.5275,0.0284,0.5748,0.0588,-0.0590
2023-11-01,72.2500,0.0395,1.2635,0.0747,0.0000,0.6891,2.2100,1.0000,1.3624,0.0194,0.5478,0.7316,-0.0955
2023-11-02,69.4000,-0.0402,0.5695,0.0634,0.0000,0.2095,2.2546,0.0000,1.4038,0.0194,0.5346,0.2980,-0.0584
2023-11-05,70.9000,0.0214,0.9360,0.0571,0.0000,0.6708,2.2618,1.0000,1.5007,0.0007,0.5124,0.8621,-0.0783
2023-11-06,70.1000,-0.0113,1.1393,0.0763,0.0000,0.8521,2.0930,0.0000,1.5795,0.0014,0.5089,-0.1018,-0.0678
2023-11-07,70.5500,0.0064,0.3338,0.0347,0.0000,0.1473,2.0731,1.0000,1.8504,-0.0014,0.5268,0.0814,-0.0737
2023-11-08,71.2500,0.0099,0.5729,0.0463,0.0000,0.2995,2.0795,2.0000,2.0457,0.0064,0.5349,0.5286,-0.0828
2023-11-09,71.3000,0.0007,0.2493,0.0351,0.0000,0.0835,2.0952,3.0000,2.0924,0.0021,0.5541,0.6870,-0.0835
2023-11-12,65.3500,-0.0871,0.4535,0.0451,0.0000,0.2203,2.2446,0.0000,1.8725,-0.0877,0.5626,0.3183,0.0000
2023-11-14,65.3500,0.0000,0.2630,0.0275,0.0000,0.1171,1.2057,0.0000,1.8455,0.0000,0.5742,0.3136,0.0321
2023-11-15,70.7000,0.0787,1.7368,0.1096,0.0000,1.0440,1.3241,1.0000,1.4917,0.0099,0.5738,1.6431,-0.0460
2023-11-16,70.2000,-0.0071,0.6342,0.0463,0.0000,0.2361,1.2643,0.0000,1.5152,-0.0028,0.5627,1.0069,-0.0392
2023-11-19,69.0500,-0.0165,0.2157,0.0500,0.0000,0.0860,1.2122,0.0000,1.5596,0.0043,0.5576,0.7650,-0.0232
2023-11-20,68.9000,-0.0022,0.2510,0.0399,0.0000,0.0977,1.2014,0.0000,1.5263,0.0065,0.5484,0.5117,-0.0210
2023-11-21,67.4500,-0.0213,0.2147,0.0423,0.0000,0.0670,1.2097,0.0000,1.7444,0.0102,0.5556,0.2898,0.0341
2023-11-22,73.1000,0.0804,3.2518,0.1040,0.0000,1.9839,1.4131,1.0000,1.4000,0.0082,0.5735,2.6138,-0.0458
2023-11-23,71.5000,-0.0221,0.3960,0.0531,0.0000,0.1706,1.4296,0.0000,1.4404,0.0014,0.5753,1.9642,-0.0245
2023-11-27,72.2000,0.0097,0.4415,0.0540,0.0000,0.1694,1.4318,1.0000,1.4859,0.0000,0.5635,1.9528,-0.0339
2023-11-28,72.4000,0.0028,0.3869,0.0407,0.0000,0.2142,1.1129,2.0000,1.4793,-0.0097,0.5440,1.9088,-0.0366
2023-11-29,71.1500,-0.0174,0.2998,0.0295,0.0000,0.1482,1.1392,0.0000,0.2390,0.0097,0.5231,1.6642,-0.0197
2023-11-30,70.9000,-0.0035,0.5613,0.0430,0.0000,0.3201,0.8820,0.0000,0.2828,0.0056,0.4525,1.3042,-0.0162
2023-12-03,70.7000,-0.0028,0.3571,0.0438,0.0000,0.1458,0.8795,0.0000,0.4350,0.0197,0.4592,1.0600,-0.0134
2023-12-04,69.7500,-0.0135,0.3955,0.0394,0.0000,0.1436,0.8850,0.0000,0.4291,0.0000,0.4694,0.8326,0.0122
2023-12-05,70.6000,0.0121,0.8916,0.0737,0.0000,0.4531,0.8918,1.0000,0.4717,0.0000,0.4641,1.0316,0.0071
2023-12-06,72.1000,0.0210,0.7537,0.0374,0.0000,0.3127,0.8688,2.0000,0.3228,0.0099,0.4498,1.1623,-0.0139
2023-12-07,72.1500,0.0007,0.4309,0.0388,0.0000,0.2033,0.4045,3.0000,0.3506,0.0000,0.4545,1.1877,-0.0146
2023-12-10,71.1000,-0.0147,0.4415,0.0316,0.0000,0.1903,0.3711,0.0000,0.4587,0.0118,0.4616,0.9496,0.0113
2023-12-11,71.9000,0.0112,0.5508,0.0299,0.0000,0.2603,0.3784,1.0000,0.4069,0.0162,0.4575,1.0283,0.0111
2023-12-12,85.2500,0.1703,9.1639,0.1789,0.0000,6.4541,1.4689,2.0000,2.4818,0.0139,0.6493,3.5749,-0.1472
2023-12-13,79.1500,-0.0742,2.2182,0.1093,0.0000,1.1766,1.5996,0.0000,1.8857,0.0147,0.6449,2.2319,-0.0815
2023-12-14,76.7500,-0.0308,0.5724,0.0599,0.0000,0.1991,1.6259,0.0000,2.3035,0.0208,0.6447,1.7598,-0.0528
2023-12-17,77.0500,0.0039,0.7805,0.0688,0.0000,0.3365,1.6236,1.0000,2.2765,0.0000,0.6447,1.7370,-0.0565
2023-12-18,78.2000,0.0148,0.2515,0.0301,0.0000,0.0895,1.6111,2.0000,2.2041,0.0117,0.6407,1.5981,-0.0703
2023-12-19,72.7000,-0.0729,0.4642,0.1073,0.0000,0.1796,1.7147,0.0000,1.8367,0.0077,0.6321,1.3249,0.0261
2023-12-20,75.6000,0.0391,0.3258,0.0767,0.0000,0.1317,1.7264,1.0000,1.6365,-0.0234,0.6240,1.2922,-0.0132
2023-12-21,77.5000,0.0248,0.4700,0.0600,0.0000,0.2358,1.7301,2.0000,1.9207,-0.0198,0.6024,1.2618,-0.0374
2023-12-25,76.0500,-0.0189,0.2954,0.0480,0.0000,0.1309,1.7315,0.0000,1.9221,0.0161,0.6087,1.0759,-0.0191
2023-12-26,76.4500,0.0052,0.2444,0.0360,0.0000,0.1067,1.7332,1.0000,1.9400,0.0099,0.6188,1.0239,-0.0242
2023-12-27,75.7500,-0.0092,0.1631,0.0277,0.0000,0.0723,0.9590,0.0000,1.9712,0.0124,0.6338,0.8929,-0.0152
2023-12-28,74.9500,-0.0106,0.2111,0.0380,0.0000,0.0765,0.7883,0.0000,1.9654,-0.0007,0.6394,0.7619,-0.0047
2023-12-31,74.6000,-0.0047,0.1773,0.0382,0.0000,0.0598,0.7585,0.0000,1.9683,0.0000,0.6514,0.6445,0.0040
2024-01-01,74.9500,0.0047,0.2061,0.0487,0.0000,0.0818,0.7608,1.0000,1.9444,0.0107,0.6549,0.6163,-0.0007
2024-01-02,75.4500,0.0066,0.2615,0.0318,0.0000,0.0863,0.7528,2.0000,1.8954,0.0007,0.6560,0.6063,-0.0073
2024-01-03,75.0500,-0.0053,0.3287,0.0413,0.0000,0.1352,0.4405,0.0000,1.9545,0.0000,0.6610,0.4440,-0.0020
2024-01-04,74.9000,-0.0020,0.2206,0.0334,0.0000,0.0713,0.3045,0.0000,2.0526,0.0160,0.6696,0.2974,0.0147
2024-01-07,80.1500,0.0677,1.6507,0.1123,0.0000,0.8232,0.5987,1.0000,1.7044,0.0113,0.6662,0.8165,-0.0518
2024-01-08,77.7500,-0.0304,0.4232,0.0598,0.0000,0.1181,0.6317,0.0000,1.6946,0.0193,0.6614,0.6345,-0.0225
2024-01-09,77.9500,0.0026,0.2033,0.0295,0.0000,0.0803,0.6311,1.0000,1.7251,0.0006,0.6671,1.2975,-0.0250
2024-01-10,77.0500,-0.0116,0.3922,0.0363,0.0000,0.1395,0.6347,0.0000,-0.2892,0.0122,0.4673,1.3489,-0.0266
