Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,11.0500,-0.1153,2.9188,0.1900,0.0000,2.0472,2.0596,0.0000,1.7050,0.0040,0.6428,1.8011,-0.0633
2023-10-16,10.8500,-0.0183,2.6505,0.0829,0.0000,1.1264,2.0723,0.0000,1.7310,0.0181,0.6351,0.6338,-0.0461
2023-10-17,10.3500,-0.0472,1.8232,0.1014,0.0000,0.6691,2.1130,0.0000,1.7508,0.0138,0.6123,-0.2026,0.0000
2023-10-18,10.8500,0.0472,0.6616,0.0276,0.0000,0.2428,2.1195,1.0000,1.5105,0.0242,0.6035,0.1503,-0.0461
2023-10-19,11.3000,0.0406,0.5075,0.0310,0.0000,0.1862,2.0916,2.0000,1.3596,0.0323,0.5902,0.4215,-0.0841
2023-10-22,10.9500,-0.0315,0.2184,0.0776,0.0000,0.0801,2.1138,0.0000,1.3592,0.0221,0.5867,0.3220,-0.0548
2023-10-24,10.4500,-0.0467,0.1373,0.0526,0.0000,0.0504,2.1591,0.0000,1.3533,-0.0502,0.6085,0.2402,-0.0096
2023-10-25,10.4500,0.0000,0.1803,0.0718,0.0000,0.0662,2.1568,0.0000,1.3407,-0.0431,0.6235,0.2083,-0.0096
2023-10-26,10.8000,0.0329,0.1676,0.0463,0.0000,0.0615,1.5083,1.0000,1.2425,0.0239,0.6276,0.2575,-0.0417
2023-10-29,10.6500,-0.0140,0.0514,0.0282,0.0000,0.0188,1.2712,0.0000,1.2599,0.0000,0.6351,0.2006,-0.0282
2023-10-30,10.6000,-0.0047,0.0385,0.0330,0.0000,0.0141,0.8968,0.0000,1.2340,0.0000,0.6487,0.1450,-0.0236
2023-10-31,10.4000,-0.0190,0.0607,0.0577,0.0000,0.0223,0.8997,0.0000,1.2702,0.0094,0.6596,0.0795,-0.0048
2023-11-01,10.5000,0.0096,0.0445,0.0381,0.0000,0.0163,0.8126,1.0000,1.2299,-0.0096,0.6775,0.0504,-0.0143
2023-11-02,10.4500,-0.0048,0.0455,0.0383,0.0000,0.0167,0.6980,0.0000,1.2558,0.0238,0.6824,-0.0199,-0.0096
2023-11-05,10.5000,0.0048,0.0877,0.0667,0.0000,0.0322,0.6037,1.0000,1.2022,0.0191,0.6906,-0.0372,-0.0143
2023-11-06,10.4500,-0.0048,0.0414,0.0478,0.0000,0.0152,0.5590,0.0000,1.1906,0.0000,0.6950,-0.1262,-0.0096
2023-11-07,10.3500,-0.0096,0.0334,0.0338,0.0000,0.0123,0.3976,0.0000,1.2597,0.0096,0.7057,-0.2106,0.0000
2023-11-08,10.3500,0.0000,0.1080,0.0435,0.0000,0.0396,0.3976,0.0000,1.2470,0.0145,0.7197,-0.3155,0.0435
2023-11-09,10.8000,0.0426,0.1588,0.0602,0.0000,0.0583,0.4641,1.0000,-0.4995,0.0145,0.7479,-0.2528,0.0463
2023-11-12,11.3000,0.0453,0.2478,0.0752,0.0000,0.0909,0.5759,2.0000,-1.0331,0.0741,0.6974,0.0200,0.0044
2023-11-14,11.7000,0.0348,0.5844,0.0342,0.0000,0.2145,0.6132,3.0000,0.0555,0.0088,0.6853,1.1321,-0.0299
2023-11-15,12.2500,0.0459,1.3634,0.0571,0.0000,0.5004,0.6142,4.0000,-0.1179,0.0171,0.6143,2.3683,-0.0735
2023-11-16,12.8500,0.0478,3.0938,0.0350,0.0000,1.1354,0.6621,5.0000,-0.1536,0.0367,0.5040,3.3960,-0.1167
2023-11-19,12.3500,-0.0397,2.0745,0.1012,0.0000,0.7613,0.8090,0.0000,-0.0422,0.0272,0.4733,2.0114,-0.0810
2023-11-20,12.2000,-0.0122,0.6978,0.0738,0.0000,0.2561,0.8400,0.0000,0.1474,0.0364,0.4498,1.5539,-0.0779
2023-11-21,11.8500,-0.0291,0.6873,0.0380,0.0000,0.2522,0.9038,0.0000,0.1560,0.0000,0.4523,1.1868,-0.0506
2023-11-22,12.2500,0.0332,0.6120,0.0449,0.0000,0.2246,0.8892,1.0000,0.1576,0.0000,0.4578,1.2441,-0.0816
2023-11-23,11.9500,-0.0248,0.9590,0.0795,0.0000,0.3519,0.9474,0.0000,0.1972,-0.0367,0.4575,0.8532,-0.0628
2023-11-27,12.0000,0.0042,1.0385,0.0833,0.0000,0.3811,1.0541,1.0000,0.3365,0.0209,0.4568,1.0645,-0.0667
2023-11-28,11.7500,-0.0211,0.5075,0.0638,0.0000,0.1862,1.0252,0.0000,0.3370,0.0083,0.4504,0.8229,-0.0511
2023-11-29,11.7000,-0.0043,0.6081,0.0598,0.0000,0.2232,0.9720,0.0000,0.3349,0.0298,0.4344,0.5643,-0.0470
2023-11-30,11.4000,-0.0260,0.7945,0.0658,0.0000,0.2916,0.8604,0.0000,0.3210,0.0214,0.4212,0.2442,-0.0307
2023-12-03,11.4500,0.0044,0.5663,0.0524,0.0000,0.2078,0.6513,1.0000,0.3526,0.0175,0.4063,0.3691,-0.0349
2023-12-04,11.5000,0.0044,0.3570,0.0348,0.0000,0.1310,0.5914,2.0000,0.3030,0.0175,0.4021,0.4221,-0.0391
2023-12-05,11.4000,-0.0087,0.4301,0.0395,0.0000,0.1578,0.5892,0.0000,0.3717,0.0174,0.4079,0.1925,-0.0307
2023-12-06,11.3500,-0.0044,0.5050,0.0264,0.0000,0.1854,0.5387,0.0000,0.3699,0.0132,0.3934,-0.0936,-0.0264
2023-12-07,11.5500,0.0175,0.3171,0.0173,0.0000,0.1164,0.4373,1.0000,0.2230,0.0088,0.3856,-0.0624,-0.0433
2023-12-10,12.1000,0.0465,1.0637,0.0455,0.0000,0.3904,0.6133,2.0000,0.0880,0.0303,0.3836,0.3798,-0.0868
2023-12-11,12.5500,0.0365,2.3011,0.0398,0.0000,0.8445,0.6954,3.0000,0.0818,0.0331,0.4015,1.7563,-0.1195
2023-12-12,12.1000,-0.0365,1.1572,0.0455,0.0000,0.4247,0.7589,0.0000,0.2218,-0.0040,0.3999,0.9137,-0.0868
2023-12-13,11.9000,-0.0167,1.1791,0.0840,0.0000,0.4327,0.7782,0.0000,0.4408,0.0041,0.3995,-0.1483,-0.0714
2023-12-14,11.9500,0.0042,0.4045,0.0335,0.0000,0.1485,0.7230,1.0000,0.5233,0.0252,0.4007,0.1596,-0.0753
2023-12-17,11.8000,-0.0126,0.5827,0.0466,0.0000,0.2139,0.7442,0.0000,0.6212,0.0293,0.3382,-0.1254,-0.0636
2023-12-18,11.8000,0.0000,0.7507,0.0339,0.0000,0.2755,0.7462,0.0000,0.6913,0.0212,0.2985,-0.0585,-0.0636
2023-12-19,11.2500,-0.0477,1.0287,0.0711,0.0000,0.3775,0.8751,0.0000,0.3975,0.0000,0.2984,-0.8523,-0.0178
2023-12-20,11.5000,0.0220,0.3812,0.0522,0.0000,0.1399,0.8981,1.0000,0.1857,0.0044,0.3156,-0.5069,-0.0391
2023-12-21,11.2500,-0.0220,0.6740,0.0622,0.0000,0.2473,0.9038,0.0000,0.3761,0.0217,0.3175,-0.9594,-0.0178
2023-12-25,11.2000,-0.0045,0.6223,0.0446,0.0000,0.2284,0.7475,0.0000,0.2955,0.0222,0.3213,-1.3198,-0.0134
2023-12-26,11.3000,0.0089,0.6667,0.0354,0.0000,0.2447,0.6235,1.0000,0.2639,0.0000,0.3206,-0.7584,-0.0265
2023-12-27,11.1500,-0.0134,0.7490,0.0404,0.0000,0.2749,0.5646,0.0000,0.2403,0.0133,0.3186,-1.1746,-0.0135
2023-12-28,11.2500,0.0089,0.7939,0.0311,0.0000,0.2914,0.5776,1.0000,0.1472,-0.0090,0.3187,-0.5864,-0.0222
2023-12-31,11.0500,-0.0179,0.9312,0.0362,0.0000,0.3418,0.5779,0.0000,0.1455,0.0133,0.3177,-1.1806,-0.0045
2024-01-01,11.1000,0.0045,1.2825,0.0405,0.0000,0.4707,0.5863,1.0000,0.1445,0.0136,0.3210,-0.2902,-0.0090
2024-01-02,11.2500,0.0134,0.6450,0.0222,0.0000,0.2367,0.6119,2.0000,0.0896,0.0000,0.3129,0.1562,-0.0222
2024-01-03,11.4000,0.0132,1.1415,0.0439,0.0000,0.4189,0.4383,3.0000,-0.0560,0.0089,0.3073,0.8938,-0.0351
2024-01-04,11.3500,-0.0044,0.8648,0.0441,0.0000,0.3174,0.3843,0.0000,-0.0560,0.0175,0.3043,0.2272,-0.0308
2024-01-07,11.2500,-0.0088,0.5556,0.0311,0.0000,0.2039,0.3329,0.0000,0.1059,0.0132,0.2959,-0.2011,-0.0222
2024-01-08,11.3500,0.0088,0.8997,0.0220,0.0000,0.3302,0.3395,1.0000,-0.3490,0.0178,0.2902,0.4416,-0.0308
2024-01-09,11.3000,-0.0044,0.4576,0.0265,0.0000,0.1680,0.3335,0.0000,-0.8153,0.0132,0.2284,0.3944,-0.0265
2024-01-10,11.8500,0.0475,2.1854,0.0506,0.0000,0.8021,0.5202,1.0000,0.0984,0.0177,0.2338,2.2129,-0.0717
2024-01-11,12.4000,0.0454,2.7834,0.0444,0.0000,1.0215,0.6296,2.0000,0.1886,0.0464,0.2619,3.0755,-0.1129
2024-01-14,12.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5760,0.0000,0.2208,0.0000,0.2990,2.4453,-0.1129
2024-01-15,11.5000,-0.0753,1.6548,0.0739,0.0000,0.6073,0.9611,0.0000,-0.7861,-0.0323,0.3067,1.4417,-0.0435
2024-01-16,11.5500,0.0043,0.6021,0.0390,0.0000,0.2210,0.9562,1.0000,-0.8094,0.0130,0.3147,1.5279,-0.0476
2024-01-17,11.4500,-0.0087,0.5805,0.0437,0.0000,0.2130,0.9556,0.0000,-0.9325,0.0173,0.3233,1.1546,-0.0393
2024-01-18,11.4500,0.0000,0.7251,0.0306,0.0000,0.2661,0.9546,0.0000,-0.8769,0.0000,0.3099,1.0461,-0.0393
2024-01-22,11.0500,-0.0356,1.3761,0.0724,0.0000,0.5050,1.0180,0.0000,-0.8261,0.0000,0.3108,0.4059,-0.0045
2024-01-23,11.1000,0.0045,0.7450,0.0315,0.0000,0.2734,1.0145,1.0000,-0.8823,0.0000,0.3087,0.6490,-0.0090
2024-01-24,11.0000,-0.0090,0.8257,0.0409,0.0000,0.3030,1.0188,0.0000,-0.7740,0.0000,0.3055,0.2170,0.0000
2024-01-28,11.0000,0.0000,0.7434,0.0318,0.0000,0.2728,0.8889,0.0000,-0.8693,0.0227,0.3064,0.1375,0.0136
2024-01-29,11.5500,0.0488,1.4453,0.0476,0.0000,0.5304,0.9045,1.0000,-0.5880,0.0182,0.3081,0.7970,-0.0346
2024-01-30,11.2000,-0.0308,1.6170,0.0670,0.0000,0.4508,0.9211,0.0000,-0.5418,0.0260,0.3132,-0.2215,-0.0045
2024-01-31,11.2500,0.0045,1.0875,0.0400,0.0000,0.4487,0.6544,1.0000,-0.5414,0.0179,0.3133,0.3799,-0.0089
2024-02-01,11.7000,0.0392,2.9122,0.0427,0.0000,0.7365,0.7503,2.0000,-0.5005,0.0133,0.3515,2.1819,-0.0470
2024-02-04,11.5500,-0.0129,2.4487,0.0649,0.0000,0.7684,0.7556,0.0000,-0.3613,0.0342,0.3752,0.2973,-0.0346
2024-02-05,11.1500,-0.0352,1.5017,0.0762,0.0000,0.5586,0.8205,0.0000,-0.2507,0.0130,0.3725,-0.9433,0.0135
2024-02-06,11.4500,0.0266,0.9114,0.0437,0.0000,0.2101,0.7915,1.0000,-0.3866,0.0135,0.3600,-0.2934,-0.0349
2024-02-07,12.0000,0.0469,3.1965,0.0625,0.0000,1.1015,0.8748,2.0000,-0.3653,0.0044,0.4004,2.4787,-0.0917
2024-02-08,11.7000,-0.0253,1.1577,0.0812,0.0000,0.4453,0.9106,0.0000,-0.2769,0.0000,0.3750,1.2655,-0.1068
2024-02-11,11.4500,-0.0216,0.4913,0.0611,0.0000,0.1160,0.9410,0.0000,-0.1485,0.0342,0.3880,0.7171,-0.1310
2024-02-12,11.3000,-0.0132,0.3726,0.0354,0.0000,0.1435,0.8393,0.0000,-0.0808,0.0044,0.3999,0.4123,-0.1947
2024-02-13,12.4000,0.0929,2.2030,0.1089,0.0000,0.6653,1.0965,1.0000,0.5950,0.0000,0.3756,2.2411,-0.2661
