Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,34.8000,0.0292,0.3436,0.0632,0.0000,0.0941,1.1122,3.0000,2.0215,0.0044,0.6312,1.4742,0.0043
2023-10-16,34.9500,0.0043,0.3620,0.0358,0.0000,0.1300,1.1920,4.0000,2.0360,0.0187,0.6292,1.3972,0.0300
2023-10-17,36.1500,0.0338,1.3623,0.0982,0.0000,0.3801,1.1444,5.0000,1.8955,0.0000,0.6151,1.5566,-0.0041
2023-10-18,43.3500,0.1816,4.2304,0.1880,0.0000,2.3030,1.4140,6.0000,1.8378,0.0221,0.6217,2.3446,-0.1696
2023-10-19,39.2500,-0.0994,4.7369,0.2573,0.0000,3.0671,1.6393,0.0000,1.2018,0.0888,0.6308,0.5541,-0.0828
2023-10-22,36.4500,-0.0740,0.7965,0.1070,0.0000,0.3775,1.4793,0.0000,1.0478,-0.0089,0.6116,0.1912,-0.0123
2023-10-24,36.7000,0.0068,0.1260,0.0886,0.0000,0.0597,1.4790,1.0000,1.0528,-0.0123,0.6092,0.1794,-0.0191
2023-10-25,36.1000,-0.0165,0.1506,0.0443,0.0000,0.0714,1.4278,0.0000,1.0792,-0.0490,0.6135,0.0582,-0.0028
2023-10-26,36.9500,0.0233,0.0540,0.0893,0.0000,0.0256,1.4344,1.0000,1.0192,-0.0416,0.6128,0.0151,-0.0257
2023-10-29,36.0500,-0.0247,0.0385,0.0624,0.0000,0.0183,1.4500,0.0000,1.0292,0.0352,0.6397,-0.0973,-0.0125
2023-10-30,36.0000,-0.0014,0.0421,0.0389,0.0000,0.0200,1.4434,0.0000,1.0600,0.0000,0.6433,-0.2364,-0.0278
2023-10-31,36.0000,0.0000,0.1527,0.0278,0.0000,0.0724,1.4435,0.0000,1.1655,0.0000,0.6646,-0.3222,-0.0472
2023-11-01,36.1000,0.0028,0.0311,0.0263,0.0000,0.0148,1.4286,1.0000,1.1316,0.0000,0.6744,-0.4188,-0.0651
2023-11-02,37.0500,0.0260,0.1107,0.0486,0.0000,0.0525,0.7849,2.0000,1.0696,0.0249,0.6884,-0.4685,-0.0958
2023-11-05,37.0000,-0.0014,0.1254,0.0784,0.0000,0.0595,0.5465,0.0000,1.2501,0.0000,0.6976,-0.6601,-0.0946
2023-11-06,36.8000,-0.0054,0.0461,0.0462,0.0000,0.0219,0.2997,0.0000,1.4577,0.0378,0.7095,-0.6079,-0.1073
2023-11-07,38.6000,0.0478,0.2101,0.0596,0.0000,0.0996,0.4134,1.0000,1.2461,-0.0136,0.7236,-0.4760,-0.1490
2023-11-08,40.5000,0.0480,0.1784,0.0000,0.0000,0.0846,0.4573,2.0000,1.1298,0.0492,0.7348,-0.3837,-0.1889
2023-11-09,42.5000,0.0482,0.5356,0.0353,0.0000,0.2539,0.5039,3.0000,1.0726,0.0457,0.7345,-0.1357,-0.2271
2023-11-12,42.3500,-0.0035,0.7789,0.0909,0.0000,0.3692,0.4531,0.0000,1.0908,0.0353,0.7316,-0.4435,-0.2243
2023-11-14,41.5000,-0.0203,0.0494,0.0000,0.0000,0.0234,0.4946,0.0000,1.2119,-0.0201,0.7446,-0.4179,-0.2084
2023-11-15,40.7000,-0.0195,0.1893,0.0000,0.0000,0.0897,0.5296,0.0000,1.2524,-0.0193,0.7490,-0.4442,-0.1929
2023-11-16,40.9000,0.0049,0.1274,0.0073,0.0000,0.0604,0.5283,1.0000,1.3570,0.0049,0.7656,-0.3190,-0.1968
2023-11-19,40.1000,-0.0198,0.1997,0.0200,0.0000,0.0946,0.5519,0.0000,-0.9226,-0.0196,0.7533,-0.8563,-0.1808
2023-11-20,39.3000,-0.0202,0.3426,0.0000,0.0000,0.1624,0.5759,0.0000,-0.2287,-0.0200,0.5147,-1.3843,-0.1641
2023-11-21,38.5500,-0.0193,0.1926,0.0000,0.0000,0.0913,0.5921,0.0000,0.8968,-0.0191,0.4363,-1.3851,-0.1479
2023-11-22,37.8000,-0.0196,0.2391,0.0053,0.0000,0.1133,0.5302,0.0000,0.9790,-0.0195,0.4603,-1.3860,-0.1310
2023-11-23,37.0500,-0.0200,1.0913,0.0000,0.0000,0.5173,0.4170,0.0000,0.9690,-0.0198,0.4562,-1.8256,-0.1134
2023-11-27,36.3000,-0.0205,0.2828,0.0193,0.0000,0.1340,0.1694,0.0000,1.1975,-0.0202,0.4668,-1.7231,-0.0950
2023-11-28,35.6000,-0.0195,0.1015,0.0197,0.0000,0.0481,0.1488,0.0000,1.2262,-0.0193,0.4834,-1.5624,-0.0772
2023-11-29,35.0000,-0.0170,0.2768,0.0200,0.0000,0.1312,0.1475,0.0000,1.2741,-0.0169,0.4891,-1.5073,-0.0614
2023-11-30,34.3000,-0.0202,0.3988,0.0190,0.0000,0.1890,0.1479,0.0000,1.3310,-0.0200,0.5026,-1.4922,-0.0423
2023-12-03,33.7500,-0.0162,0.1619,0.0163,0.0000,0.0767,0.0274,0.0000,1.4228,-0.0160,0.5117,-1.3878,-0.0267
2023-12-04,33.5000,-0.0074,0.2286,0.0090,0.0000,0.1083,0.0753,0.0000,1.7261,-0.0074,0.5341,-1.3183,-0.0194
2023-12-05,33.5000,0.0000,0.1374,0.0090,0.0000,0.0651,0.1295,0.0000,1.7144,0.0000,0.5620,-1.1866,-0.0194
2023-12-06,32.8500,-0.0196,0.4002,0.0000,0.0000,0.1897,0.1298,0.0000,1.7524,-0.0194,0.5609,-1.1899,0.0183
2023-12-07,33.5000,0.0196,0.0660,0.0179,0.0000,0.0313,0.2462,1.0000,1.8929,0.0198,0.5907,-1.0580,-0.0015
2023-12-10,34.1500,0.0192,0.0967,0.0278,0.0000,0.0458,0.3016,2.0000,1.9177,0.0194,0.6177,-0.9434,-0.0205
2023-12-11,34.2000,0.0015,0.3213,0.0015,0.0000,0.1523,0.2945,3.0000,1.3504,0.0015,0.5931,-0.9277,-0.0219
2023-12-12,34.8500,0.0188,0.1150,0.0187,0.0000,0.0545,0.3136,4.0000,1.1912,0.0190,0.4520,-0.8343,-0.0402
2023-12-13,34.7500,-0.0029,0.1314,0.0072,0.0000,0.0623,0.2979,0.0000,1.0556,-0.0029,0.4796,-0.7970,-0.0374
2023-12-14,35.0000,0.0072,0.6111,0.0071,0.0000,0.2896,0.2705,1.0000,0.8097,0.0072,0.4577,-0.6006,-0.0443
2023-12-17,35.2000,0.0057,4.2358,0.0057,0.0000,2.0078,0.2594,2.0000,0.8019,0.0057,0.5036,0.5870,-0.0497
2023-12-18,35.0000,-0.0057,0.4737,0.0014,0.0000,0.2245,0.2621,0.0000,0.7229,-0.0057,0.5012,0.6365,-0.0443
2023-12-19,35.1000,0.0029,0.1389,0.0028,0.0000,0.0659,0.2614,1.0000,0.5512,0.0029,0.5223,0.8429,-0.0470
2023-12-20,35.7500,0.0183,1.3093,0.0196,0.0000,0.6206,0.2170,2.0000,0.3534,0.0185,0.5208,1.4418,-0.0643
2023-12-21,35.3000,-0.0127,0.2922,0.0184,0.0000,0.1385,0.2682,0.0000,0.3579,-0.0126,0.5381,1.5243,-0.0524
2023-12-25,35.1000,-0.0057,2.0189,0.0954,0.0000,0.9569,0.2583,0.0000,0.3232,0.0496,0.4997,0.8766,-0.0470
2023-12-26,34.4000,-0.0201,2.9573,0.0581,0.0000,1.4017,0.3210,0.0000,0.3268,0.0256,0.5252,-0.1665,-0.0276
2023-12-27,34.7500,0.0101,0.4523,0.0532,0.0000,0.2144,0.2923,1.0000,0.1414,0.0000,0.5216,0.0316,-0.0374
2023-12-28,33.4500,-0.0381,1.2318,0.0822,0.0000,0.5839,0.4245,0.0000,-0.3696,-0.0187,0.5195,-0.4027,0.0164
2023-12-31,34.0000,0.0163,1.6141,0.0838,0.0000,0.7651,0.4492,1.0000,-0.5803,0.0120,0.5214,0.1985,0.0088
2024-01-01,34.3000,0.0088,0.7705,0.0350,0.0000,0.3652,0.4739,2.0000,-0.8139,0.0206,0.5160,0.4523,0.0175
2024-01-02,34.9000,0.0173,0.3319,0.0616,0.0000,0.1573,0.5052,3.0000,-0.9556,0.0204,0.5281,0.5168,0.0215
2024-01-03,36.6000,0.0476,1.7866,0.0628,0.0000,0.8469,0.6470,4.0000,-0.1472,0.0201,0.5153,1.1365,-0.0260
2024-01-04,36.0000,-0.0165,1.6214,0.0556,0.0000,0.7685,0.6528,0.0000,-0.1365,0.0246,0.5136,0.3809,-0.0097
2024-01-07,35.6500,-0.0098,0.9605,0.0743,0.0000,0.4553,0.6521,0.0000,0.0686,-0.0333,0.4883,-0.1440,0.0491
2024-01-08,37.4000,0.0479,1.9667,0.0481,0.0000,0.9322,0.7799,1.0000,0.3826,0.0210,0.4682,0.8403,0.0000
2024-01-09,37.4500,0.0013,3.4425,0.0841,0.0000,1.6318,0.7405,2.0000,0.3836,0.0201,0.4911,2.5123,-0.0013
2024-01-10,37.4000,-0.0013,0.8010,0.0468,0.0000,0.3797,0.7456,0.0000,0.5405,0.0147,0.4619,1.7893,0.0134
2024-01-11,38.4000,0.0264,2.3361,0.0508,0.0000,1.1073,0.6104,1.0000,0.3431,0.0414,0.4429,2.6055,-0.0130
2024-01-14,39.0500,0.0168,2.5387,0.0448,0.0000,1.2033,0.6128,2.0000,0.2696,0.0469,0.4397,2.9574,-0.0294
2024-01-15,39.4500,0.0102,1.3564,0.0849,0.0000,0.6429,0.6137,3.0000,0.2339,0.0038,0.4234,2.6425,-0.0393
2024-01-16,40.4000,0.0238,4.1876,0.0755,0.0000,1.9849,0.6195,4.0000,0.0418,-0.0190,0.4681,2.9916,-0.0619
2024-01-17,39.1500,-0.0314,1.2755,0.0511,0.0000,0.6046,0.6443,0.0000,0.0077,0.0000,0.4325,2.1151,-0.0319
2024-01-18,41.1000,0.0486,2.3458,0.0474,0.0000,1.1119,0.6886,1.0000,0.1002,0.0000,0.4383,2.2763,-0.0779
2024-01-22,42.1500,0.0252,2.2951,0.0925,0.0000,1.0879,0.6556,2.0000,-0.1012,0.0353,0.4196,2.3382,-0.1008
2024-01-23,42.9500,0.0188,1.9137,0.0407,0.0000,0.9071,0.5840,3.0000,-0.2532,-0.0012,0.4154,2.2805,-0.1176
2024-01-24,44.3000,0.0309,2.2993,0.0722,0.0000,1.0899,0.5940,4.0000,-0.4754,-0.0256,0.4238,2.2881,-0.1445
2024-01-28,42.2000,-0.0486,1.2217,0.0687,0.0000,0.5791,0.8092,0.0000,-0.5941,0.0158,0.3912,1.7435,-0.1019
2024-01-29,40.5000,-0.0411,0.6622,0.0519,0.0000,0.3139,0.9097,0.0000,-0.6176,0.0000,0.3782,1.4284,-0.0642
2024-01-30,38.6000,-0.0480,1.8185,0.0907,0.0000,0.7933,0.9977,0.0000,-0.5038,0.0259,0.3659,0.9291,-0.0181
