Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2025-02-24,88.2414,-0.0146,0.3660,0.0298,0.0000,0.1242,0.9710,0.0000,0.6736,-0.0001,0.3163,-1.4556,-0.0526
2025-02-26,86.4168,-0.0209,1.5259,0.0592,0.0000,0.8034,0.9682,0.0000,0.9366,0.0143,0.3118,-1.5882,-0.0434
2025-02-27,87.8173,0.0161,2.0786,0.0728,0.0000,0.8217,1.0159,1.0000,0.8661,-0.0172,0.3184,-0.9940,-0.0586
2025-03-02,92.7191,0.0543,6.4590,0.1165,0.0000,4.3159,1.0841,2.0000,1.1533,0.0332,0.4770,1.2660,-0.1084
2025-03-03,91.8019,-0.0099,1.0799,0.0375,0.0000,0.4495,1.0925,0.0000,1.1477,-0.0107,0.4672,0.9240,-0.0995
2025-03-04,92.8769,0.0116,0.8136,0.0502,0.0000,0.4276,0.9981,1.0000,1.0045,0.0147,0.4614,1.2288,-0.1099
2025-03-05,94.0407,0.0125,1.0689,0.0320,0.0000,0.5570,0.8440,2.0000,0.9949,0.0375,0.4434,1.5936,-0.1209
2025-03-06,93.9717,-0.0007,0.4544,0.0257,0.0000,0.2215,0.8658,0.0000,0.9316,-0.0037,0.4284,1.3872,-0.1203
2025-03-09,89.9871,-0.0433,0.9736,0.0740,0.0000,0.4792,1.0211,0.0000,0.8048,0.0075,0.4136,1.0059,-0.0813
2025-03-10,90.5394,0.0061,0.8918,0.0461,0.0000,0.6139,1.0009,1.0000,0.6786,0.0138,0.3977,1.3048,-0.0869
2025-03-11,89.1587,-0.0154,1.2026,0.0442,0.0000,0.7444,1.0019,0.0000,0.6866,0.0010,0.3877,0.7987,-0.0728
2025-03-12,87.1664,-0.0226,0.5779,0.0496,0.0000,0.2776,1.0089,0.0000,0.6878,-0.0044,0.3956,0.5452,-0.0516
2025-03-16,86.6733,-0.0057,0.5759,0.0299,0.0000,0.3188,0.9979,0.0000,0.6456,-0.0076,0.3922,0.2987,-0.0462
