Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,19.6000,-0.0051,0.9793,0.0510,0.0000,0.8111,0.9104,0.0000,0.5514,0.0152,0.3070,0.6381,-0.1199
2023-10-16,19.7000,0.0051,0.4460,0.0254,0.0000,0.2105,0.9110,1.0000,0.4341,0.0000,0.3212,0.8561,-0.1244
2023-10-17,19.2500,-0.0231,0.6526,0.0416,0.0000,0.2894,0.8560,0.0000,0.4923,-0.0025,0.3254,0.3583,-0.1039
2023-10-18,19.8500,0.0307,1.7891,0.0655,0.0000,1.0076,0.9082,1.0000,0.2841,0.0026,0.3310,1.5215,-0.1310
2023-10-19,19.1500,-0.0359,1.2079,0.0548,0.0000,0.5283,0.9806,0.0000,0.3362,0.0050,0.2708,0.7103,-0.0992
2023-10-22,18.6500,-0.0265,0.5954,0.0456,0.0000,0.3595,0.9703,0.0000,0.4435,0.0052,0.2783,0.3401,-0.0751
2023-10-24,17.8000,-0.0466,1.0562,0.0983,0.0000,0.6193,0.9281,0.0000,0.3199,0.0107,0.2777,-0.3317,-0.0309
2023-10-25,17.2500,-0.0314,1.2499,0.0754,0.0000,0.8043,0.7731,0.0000,0.5160,0.0056,0.2762,-1.0603,0.0232
2023-10-26,17.8500,0.0342,0.4158,0.0252,0.0000,0.3679,0.9102,1.0000,0.3395,0.0174,0.2937,-0.7490,-0.0112
2023-10-29,17.6500,-0.0113,0.4394,0.0368,0.0000,0.3671,0.8701,0.0000,0.3328,0.0084,0.3066,-0.9960,0.0028
2023-10-30,17.7000,0.0028,0.4517,0.0367,0.0000,0.3980,0.8904,1.0000,0.3856,0.0057,0.3186,-0.7061,0.0000
2023-10-31,17.7000,0.0000,0.3222,0.0226,0.0000,0.1670,0.8819,0.0000,0.3106,0.0169,0.3395,-0.7228,0.0169
2023-11-01,18.0000,0.0168,0.8798,0.0444,0.0000,0.6259,0.9153,1.0000,0.1188,0.0169,0.3385,-0.2984,0.0000
2023-11-02,18.0000,0.0000,0.9195,0.0389,0.0000,0.5470,0.8186,0.0000,0.1349,0.0028,0.3347,-0.3495,0.0250
2023-11-05,18.4500,0.0247,0.9562,0.0407,0.0000,0.3399,0.8260,1.0000,0.0946,0.0111,0.3293,0.2065,0.0108
2023-11-06,18.8500,0.0214,0.8336,0.0584,0.0000,0.6255,0.8162,2.0000,-0.1192,0.0081,0.3207,0.6712,-0.0106
2023-11-07,18.6500,-0.0107,1.0390,0.0670,0.0000,0.6793,0.6367,0.0000,-0.0651,0.0080,0.3108,-0.0890,0.0188
2023-11-08,19.5500,0.0471,2.4422,0.1023,0.0000,1.0909,0.6194,1.0000,0.0720,0.0027,0.2808,1.5064,-0.0281
2023-11-09,19.5500,0.0000,0.8609,0.0332,0.0000,0.6566,0.5804,0.0000,0.0874,0.0179,0.2813,1.5639,-0.0281
2023-11-12,19.5500,0.0000,0.4432,0.0230,0.0000,0.3784,0.5558,0.0000,0.0171,0.0153,0.2963,1.4831,-0.0281
2023-11-14,20.3000,0.0376,1.5634,0.0369,0.0000,1.1352,0.6088,1.0000,-0.0784,0.0102,0.3028,2.0674,-0.0640
2023-11-15,20.7500,0.0219,3.3330,0.0482,0.0000,2.6774,0.5916,2.0000,-0.1553,0.0000,0.3535,2.9338,-0.0843
2023-11-16,20.4000,-0.0170,1.2504,0.0343,0.0000,0.4279,0.6791,0.0000,-0.1684,0.0072,0.3481,1.9546,-0.0686
2023-11-19,19.7000,-0.0349,1.1288,0.0711,0.0000,0.4686,0.8229,0.0000,0.0194,0.0270,0.3347,1.3709,-0.0355
2023-11-20,19.5000,-0.0102,0.8127,0.0462,0.0000,0.4226,0.8229,0.0000,0.0090,0.0178,0.3364,0.9747,-0.0256
2023-11-21,19.1000,-0.0207,0.8930,0.0576,0.0000,0.3367,0.8384,0.0000,0.0093,0.0231,0.3265,0.5808,-0.0052
2023-11-22,19.1500,0.0026,0.4521,0.0313,0.0000,0.1889,0.8284,1.0000,0.2061,0.0052,0.3417,0.6773,-0.0078
2023-11-23,19.2000,0.0026,0.4819,0.0286,0.0000,0.3798,0.6656,2.0000,0.2568,0.0078,0.3527,0.7662,-0.0104
2023-11-27,19.0500,-0.0078,0.6850,0.0236,0.0000,0.2497,0.6694,0.0000,0.4553,0.0078,0.3428,0.4406,-0.0026
2023-11-28,19.1500,0.0052,0.3729,0.0209,0.0000,0.2149,0.6738,1.0000,0.3597,0.0105,0.3458,0.5096,-0.0078
2023-11-29,19.0000,-0.0079,0.3625,0.0289,0.0000,0.1506,0.5051,0.0000,0.4270,0.0078,0.3493,0.2843,0.0026
2023-11-30,19.0500,0.0026,0.3385,0.0289,0.0000,0.1226,0.4103,1.0000,0.4063,-0.0105,0.3465,0.3541,0.0052
2023-12-03,19.1500,0.0052,0.3311,0.0235,0.0000,0.2348,0.4200,2.0000,0.5018,0.0079,0.3657,0.4339,0.0000
2023-12-04,19.1500,0.0000,0.7246,0.0235,0.0000,0.6043,0.2723,0.0000,0.5018,0.0000,0.3693,0.3531,0.0470
2023-12-05,20.0500,0.0459,2.6326,0.0673,0.0000,2.0092,0.5440,1.0000,0.6334,0.0078,0.3986,1.8004,0.0798
2023-12-06,21.6500,0.0768,4.9396,0.1132,0.0000,3.1796,0.8343,2.0000,1.1439,0.0299,0.4880,3.4123,0.0069
2023-12-07,21.8000,0.0069,3.2842,0.0550,0.0000,1.3439,0.8317,3.0000,1.0926,0.0139,0.5146,3.3278,0.1330
2023-12-10,26.1500,0.1819,6.9369,0.1663,0.0000,2.6610,1.5841,4.0000,2.7503,0.0161,0.6227,3.6113,-0.0554
2023-12-11,31.3500,0.1814,9.5427,0.0909,0.0000,8.5484,1.7684,5.0000,2.1018,0.1147,0.7381,3.8000,-0.2121
2023-12-12,34.1500,0.0855,6.0567,0.1288,0.0000,3.5953,1.7107,6.0000,1.8022,0.0335,0.7412,3.4007,-0.2767
2023-12-13,32.0500,-0.0635,2.2215,0.1685,0.0000,1.4431,1.8536,0.0000,1.6331,0.0776,0.7226,2.2900,-0.2293
2023-12-14,30.4500,-0.0512,0.0984,0.0608,0.0000,0.0754,1.9583,0.0000,1.5838,0.0078,0.7343,1.9159,-0.1888
2023-12-17,28.9500,-0.0505,0.0988,0.0000,0.0000,0.0818,2.0473,0.0000,1.5161,-0.0493,0.7380,1.6503,-0.1468
2023-12-18,27.5000,-0.0514,0.2167,0.0200,0.0000,0.1511,2.1196,0.0000,1.4718,-0.0501,0.7373,1.4306,-0.1018
2023-12-19,26.1500,-0.0503,0.5799,0.0707,0.0000,0.1939,2.1844,0.0000,1.4316,-0.0145,0.7266,1.2021,-0.0554
2023-12-20,27.3500,0.0449,0.3435,0.0951,0.0000,0.2426,2.1460,1.0000,1.2996,-0.0402,0.7205,1.1318,-0.0969
2023-12-21,26.0000,-0.0506,0.2760,0.0654,0.0000,0.1625,2.1885,0.0000,1.2856,-0.0018,0.7123,0.9848,-0.0500
2023-12-25,24.7000,-0.0513,0.1888,0.0688,0.0000,0.0903,1.8028,0.0000,1.2858,0.0000,0.7066,0.8639,0.0202
