Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,15.1500,-0.0196,0.0956,0.0000,0.0000,0.0956,0.0307,0.0000,0.7488,-0.0194,0.6096,0.1556,-0.0396
2023-10-31,14.8500,-0.0200,0.1906,0.0000,0.0000,0.1906,0.0329,0.0000,0.9444,-0.0198,0.6299,-0.0307,-0.0202
2023-11-01,14.5500,-0.0204,0.3632,0.0000,0.0000,0.3632,0.0363,0.0000,1.2490,-0.0202,0.6289,-0.2759,0.0172
2023-11-02,14.8000,0.0170,2.0666,0.0372,0.0000,2.0666,0.4500,1.0000,1.3963,0.0172,0.6276,0.2969,0.0169
2023-11-05,15.0500,0.0168,0.3070,0.0000,0.0000,0.3070,0.6031,2.0000,1.5417,0.0169,0.6366,0.3627,0.0199
2023-11-06,15.3500,0.0197,0.2063,0.0000,0.0000,0.2063,0.7192,3.0000,1.6418,0.0199,0.6235,0.3859,0.0195
2023-11-07,15.6500,0.0194,5.1401,0.0383,0.0000,5.1401,0.7785,4.0000,1.6484,0.0195,0.5738,2.4388,0.0128
2023-11-08,15.8500,0.0127,4.1120,0.0315,0.0000,4.1120,0.7772,5.0000,1.2661,0.0128,0.5901,3.1705,0.0095
2023-11-09,16.1500,0.0188,5.2014,0.0093,0.0000,5.2014,0.7729,6.0000,0.9600,0.0189,0.6305,3.2951,-0.0093
2023-11-12,16.7500,0.0365,0.9487,0.0000,0.0000,0.9487,0.8110,7.0000,0.8615,0.0372,0.6288,2.6506,-0.0448
2023-11-14,17.0500,0.0178,0.9466,0.0000,0.0000,0.9466,0.7160,8.0000,0.6157,0.0179,0.6259,2.2849,-0.0616
2023-11-15,17.3500,0.0174,0.8271,0.0000,0.0000,0.8271,0.5612,9.0000,0.3900,0.0176,0.6188,2.0292,-0.0778
2023-11-16,17.6500,0.0171,1.0129,0.0000,0.0000,1.0129,0.2521,10.0000,0.1762,0.0173,0.6125,1.8687,-0.0935
2023-11-19,17.6000,-0.0028,5.5869,0.0966,0.0000,5.5869,0.3832,0.0000,0.1065,0.0482,0.6443,0.6232,-0.0909
2023-11-20,16.8500,-0.0435,3.3805,0.0890,0.0000,3.3805,0.8513,0.0000,-0.1895,-0.0483,0.6268,-0.2553,-0.0504
2023-11-21,16.0000,-0.0518,0.7673,0.0437,0.0000,0.7673,1.1359,0.0000,-0.4365,-0.0267,0.6063,-0.4753,0.0188
2023-11-22,16.8000,0.0488,1.4429,0.0714,0.0000,1.4429,1.2431,1.0000,-0.3346,-0.0250,0.5755,-0.0991,-0.0298
2023-11-23,16.3000,-0.0302,1.3154,0.0429,0.0000,1.3154,1.3121,0.0000,-0.3111,-0.0060,0.5424,-0.5294,0.0184
2023-11-27,17.1000,0.0479,1.4530,0.0643,0.0000,1.4530,1.3949,1.0000,-0.3734,0.0061,0.5090,-0.0844,-0.0292
2023-11-28,16.6000,-0.0297,1.0453,0.0753,0.0000,1.0453,1.3960,0.0000,-0.3546,0.0322,0.4839,-0.4996,0.0211
2023-11-29,16.9500,0.0209,1.0434,0.0767,0.0000,1.0434,1.4012,1.0000,-0.5569,0.0482,0.4475,-0.1514,0.0236
2023-11-30,17.3500,0.0233,0.7198,0.0375,0.0000,0.7198,1.4114,2.0000,-0.7785,0.0029,0.4204,0.0806,0.1988
2023-12-03,20.8000,0.1814,6.8114,0.1514,0.0000,3.3935,2.1354,3.0000,2.0010,0.1009,0.5415,3.0778,0.1995
2023-12-04,24.9500,0.1819,8.1958,0.1383,0.0000,5.4396,2.3365,4.0000,1.7285,0.0409,0.6690,3.8562,0.0361
2023-12-05,27.4000,0.0937,4.4898,0.0730,0.0000,2.8003,2.1946,5.0000,1.4498,0.0261,0.6673,3.3703,-0.0566
2023-12-06,27.6000,0.0073,5.1397,0.1612,0.0000,3.2647,2.0325,6.0000,1.4687,0.0401,0.6670,3.2280,-0.0634
2023-12-07,25.8500,-0.0655,1.4023,0.1315,0.0000,0.5970,2.2247,0.0000,1.2822,0.0145,0.6575,2.2967,0.0290
2023-12-10,27.0500,0.0454,1.0085,0.0795,0.0000,0.4703,2.1159,1.0000,1.1963,0.0406,0.6460,2.0776,-0.0166
2023-12-11,27.1500,0.0037,0.7048,0.0331,0.0000,0.2424,2.1516,2.0000,1.2221,-0.0018,0.6403,1.8775,-0.0203
2023-12-12,26.6000,-0.0205,0.4274,0.0432,0.0000,0.1382,2.1212,0.0000,1.3039,0.0129,0.6257,1.5768,0.0996
2023-12-13,29.2500,0.0950,1.0469,0.0957,0.0000,0.3082,2.0843,1.0000,1.0782,0.0207,0.5995,1.5453,0.0427
2023-12-14,32.1500,0.0945,0.9256,0.0358,0.0000,0.3838,2.0384,2.0000,0.8752,0.0598,0.5714,1.5025,-0.0513
2023-12-17,35.3500,0.0949,0.4194,0.0000,0.0000,0.1385,1.7518,3.0000,0.6874,0.0995,0.5541,1.3968,-0.1372
2023-12-18,37.1000,0.0483,0.1080,0.0000,0.0000,0.0000,1.3669,4.0000,0.5908,0.0495,0.5743,1.2677,-0.1927
2023-12-19,35.2500,-0.0512,3.4939,0.1050,0.0000,1.8811,1.4220,0.0000,0.5703,0.0499,0.5767,0.5675,-0.1560
2023-12-20,33.5000,-0.0509,3.5172,0.1000,0.0000,2.0737,1.5176,0.0000,0.5729,-0.0496,0.5655,-0.2741,-0.1119
2023-12-21,34.1000,0.0178,0.9953,0.0630,0.0000,0.5547,1.3490,1.0000,0.6425,-0.0149,0.5427,-0.0994,-0.1276
2023-12-25,32.4000,-0.0511,0.4563,0.0710,0.0000,0.1677,1.4405,0.0000,0.6040,0.0000,0.5287,-0.2929,-0.0818
2023-12-26,31.3000,-0.0345,0.4424,0.0958,0.0000,0.1915,1.4867,0.0000,0.7059,0.0000,0.5153,-0.5001,-0.0495
2023-12-27,30.5000,-0.0259,0.3517,0.0721,0.0000,0.1313,1.4887,0.0000,0.7075,0.0080,0.5025,-0.7106,-0.0246
2023-12-28,32.0000,0.0480,0.3995,0.0734,0.0000,0.1899,1.3711,1.0000,0.6452,0.0000,0.4867,-0.7079,-0.0703
2023-12-31,33.6000,0.0488,0.0604,0.0000,0.0000,0.0000,1.2350,2.0000,0.5868,0.0500,0.4885,-0.8501,-0.1146
2024-01-01,35.2500,0.0479,0.3308,0.0468,0.0000,0.1387,1.0638,3.0000,0.5073,0.0298,0.5027,-0.8618,-0.1560
2024-01-02,33.9000,-0.0391,0.6732,0.0664,0.0000,0.2403,1.0171,0.0000,0.1183,0.0184,0.4970,-1.1163,-0.1224
2024-01-03,34.3000,0.0117,0.4647,0.0437,0.0000,0.2038,0.9695,1.0000,0.2069,0.0206,0.4971,-0.9068,-0.1327
2024-01-04,34.0000,-0.0088,0.3052,0.0353,0.0000,0.0998,0.8945,0.0000,0.2524,0.0000,0.4826,-0.9008,-0.1250
