Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,46.5500,-0.0202,0.0054,0.0000,0.0000,0.0021,0.8686,0.0000,0.1860,-0.0200,0.5765,1.2314,-0.1407
2023-10-16,45.6500,-0.0195,0.0414,0.0000,0.0000,0.0162,0.8500,0.0000,0.1953,-0.0193,0.6076,1.1077,-0.1238
2023-10-17,46.5500,0.0195,0.8846,0.0387,0.0000,0.3458,0.7851,1.0000,0.2664,0.0197,0.5831,1.1566,-0.1407
2023-10-18,45.6500,-0.0195,2.8279,0.0285,0.0000,1.1054,0.7055,0.0000,0.4816,-0.0193,0.5730,0.4666,-0.1238
2023-10-19,45.0000,-0.0143,0.3076,0.0111,0.0000,0.1202,0.5731,0.0000,0.4848,-0.0142,0.5784,0.3213,-0.1111
2023-10-22,44.1000,-0.0202,0.3157,0.0238,0.0000,0.1234,0.3053,0.0000,0.7267,-0.0200,0.5974,0.1857,-0.0930
2023-10-24,43.2500,-0.0195,0.1633,0.0197,0.0000,0.0638,0.3054,0.0000,0.7324,-0.0193,0.6170,0.0703,-0.0751
2023-10-25,42.4000,-0.0198,0.0281,0.0200,0.0000,0.0110,0.3047,0.0000,1.0018,-0.0197,0.6481,-0.0105,-0.0566
2023-10-26,41.5500,-0.0203,0.0273,0.0012,0.0000,0.0107,0.3057,0.0000,1.0457,-0.0200,0.6761,-0.1182,-0.0373
2023-10-29,41.5000,-0.0012,0.6985,0.0193,0.0000,0.2730,0.3216,0.0000,0.9949,-0.0012,0.6640,-0.4522,-0.0361
2023-10-30,41.4500,-0.0012,0.3145,0.0012,0.0000,0.1230,0.3304,0.0000,0.9485,-0.0012,0.6573,-0.8249,-0.0350
