Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,172.1076,0.0038,0.1918,0.0246,0.0000,0.1093,1.2791,1.0000,0.2886,0.0061,0.4130,-0.8994,-0.0231
2023-10-31,173.6491,0.0089,0.2187,0.0324,0.0000,0.1197,1.3019,2.0000,0.2749,0.0023,0.4352,-0.8983,-0.0318
2023-11-01,174.0967,0.0026,0.2170,0.0223,0.0000,0.1001,1.2909,3.0000,0.3530,0.0074,0.4561,-0.7581,-0.0343
2023-11-02,176.5831,0.0142,0.5956,0.0465,0.0000,0.3044,1.3057,4.0000,0.3111,0.0080,0.4515,-0.3410,-0.0479
2023-11-05,185.5838,0.0497,0.7522,0.0579,0.0000,0.3495,1.4084,5.0000,0.3381,0.0082,0.4419,0.2339,-0.0941
2023-11-06,179.7656,-0.0319,0.8816,0.0562,0.0000,0.4730,1.1327,0.0000,0.3463,-0.0032,0.3843,-0.2412,-0.0647
2023-11-07,180.9591,0.0066,0.7614,0.0352,0.0000,0.4035,1.0121,1.0000,0.3892,0.0053,0.3251,0.2938,-0.0709
2023-11-08,183.2466,0.0126,1.7317,0.0304,0.0000,0.6546,0.7218,2.0000,0.2087,0.0000,0.2967,1.2792,-0.0825
2023-11-09,177.9257,-0.0295,3.8001,0.0769,0.0000,1.8780,0.7645,0.0000,0.2824,-0.0510,0.3744,-1.1271,-0.0620
2023-11-12,179.1192,0.0067,1.0121,0.0372,0.0000,0.6170,0.7393,1.0000,0.3296,0.0081,0.3746,-0.3830,-0.0683
2023-11-14,179.0694,-0.0003,1.3824,0.0258,0.0000,0.9355,0.7496,0.0000,0.2178,0.0150,0.3746,-1.2604,-0.0680
2023-11-15,179.6662,0.0033,0.3752,0.0210,0.0000,0.1911,0.7479,1.0000,0.2074,0.0053,0.3809,-0.9121,-0.0711
2023-11-16,179.3181,-0.0019,1.0493,0.0313,0.0000,0.7714,0.7519,0.0000,0.0920,0.0108,0.3710,-1.5873,-0.0693
2023-11-19,171.3616,-0.0454,0.8138,0.0670,0.0000,0.2869,0.8769,0.0000,0.0866,-0.0014,0.3600,-1.9484,-0.0261
2023-11-20,168.1293,-0.0190,0.8367,0.0453,0.0000,0.3619,0.6476,0.0000,0.0674,0.0090,0.3494,-2.1560,-0.0417
2023-11-21,169.1736,0.0062,0.5994,0.0215,0.0000,0.3213,0.6178,1.0000,0.8265,0.0068,0.3566,-1.5427,-0.0476
2023-11-22,170.8644,0.0099,0.7217,0.0268,0.0000,0.4096,0.6274,2.0000,0.8608,0.0223,0.3493,-1.0794,-0.0570
2023-11-23,170.4665,-0.0023,0.6412,0.0321,0.0000,0.3550,0.6229,0.0000,0.0682,0.0058,0.3334,-1.2774,-0.0548
2023-11-27,169.5217,-0.0056,0.5790,0.0308,0.0000,0.2261,0.5649,0.0000,-0.0050,0.0093,0.3412,-1.4060,-0.0496
2023-11-28,169.2233,-0.0018,0.6351,0.0232,0.0000,0.2378,0.5525,0.0000,-0.0995,0.0085,0.3360,-1.5238,-0.0523
2023-11-29,168.9747,-0.0015,0.5500,0.0206,0.0000,0.2133,0.5511,0.0000,-0.0566,0.0068,0.3266,-1.5618,-0.0580
2023-11-30,169.1239,0.0009,0.3159,0.0106,0.0000,0.1080,0.5532,1.0000,0.0030,0.0012,0.3306,-1.2792,-0.0588
2023-12-03,171.7097,0.0152,1.3643,0.0449,0.0000,0.7093,0.6017,2.0000,-0.0698,0.0173,0.3143,-0.6264,-0.0730
2023-12-04,175.8869,0.0240,0.9691,0.0379,0.0000,0.5051,0.4229,3.0000,-0.0651,0.0084,0.3123,-0.1476,-0.0950
2023-12-05,171.9086,-0.0229,0.5793,0.0327,0.0000,0.2790,0.4508,0.0000,-0.8997,0.0051,0.3210,-0.3254,-0.0741
2023-12-06,175.7377,0.0220,0.5765,0.0345,0.0000,0.2534,0.5017,1.0000,-1.0320,0.0067,0.3287,0.0122,-0.0942
2023-12-07,170.2179,-0.0319,0.5674,0.0485,0.0000,0.2455,0.6282,0.0000,-0.7714,0.0042,0.3330,-0.1740,-0.0649
2023-12-10,169.0244,-0.0070,1.0889,0.0327,0.0000,0.3651,0.6323,0.0000,-0.6757,0.0012,0.3247,-0.7742,-0.0583
2023-12-11,166.8862,-0.0127,0.7812,0.0262,0.0000,0.2094,0.6460,0.0000,-0.7630,0.0056,0.2192,-1.1353,-0.0462
2023-12-12,170.6655,0.0224,1.0535,0.0557,0.0000,0.5144,0.7091,1.0000,-0.6464,0.0027,0.2166,-0.4263,-0.0673
2023-12-13,170.1682,-0.0029,0.8287,0.0254,0.0000,0.3872,0.7128,0.0000,-0.6226,-0.0006,0.1942,-0.9193,-0.0646
2023-12-14,168.4277,-0.0103,0.6419,0.0286,0.0000,0.2492,0.7232,0.0000,-0.4999,0.0067,0.1893,-1.3703,-0.0549
2023-12-17,167.4829,-0.0056,0.5097,0.0163,0.0000,0.2084,0.7005,0.0000,-0.4652,0.0065,0.1930,-1.6011,-0.0496
2023-12-18,166.9856,-0.0030,0.9108,0.0188,0.0000,0.3218,0.6171,0.0000,0.0284,0.0077,0.1880,-1.9423,-0.0468
2023-12-19,161.1177,-0.0358,1.9088,0.0611,0.0000,0.6259,0.6889,0.0000,-0.2823,0.0060,0.2050,-2.5351,-0.0120
2023-12-20,164.0019,0.0177,7.9471,0.1082,0.0000,6.0326,0.6634,1.0000,-0.2830,0.0000,0.4681,3.0923,-0.0294
2023-12-21,162.9079,-0.0067,1.1691,0.0455,0.0000,0.5858,0.5885,0.0000,-0.1470,0.0049,0.4701,2.0072,-0.0754
2023-12-25,161.8636,-0.0064,0.8549,0.0249,0.0000,0.2655,0.5885,0.0000,-0.1062,0.0018,0.4673,1.3658,-0.0694
2023-12-26,163.1566,0.0080,0.5725,0.0341,0.0000,0.2460,0.5934,1.0000,-0.2227,0.0028,0.4645,1.4906,-0.0768
2023-12-27,160.3718,-0.0172,0.3725,0.0344,0.0000,0.1548,0.5197,0.0000,-0.1009,0.0000,0.4726,1.1695,-0.0608
2023-12-28,159.1784,-0.0075,0.3254,0.0244,0.0000,0.1326,0.5184,0.0000,-0.0435,0.0047,0.4805,0.9123,-0.0537
2023-12-31,160.3718,0.0075,0.3523,0.0198,0.0000,0.1673,0.5455,1.0000,-0.0936,0.0047,0.4747,0.9835,-0.0608
2024-01-01,162.3112,0.0120,0.5216,0.0450,0.0000,0.2824,0.5804,2.0000,-0.0945,-0.0012,0.4756,1.1171,-0.1308
2024-01-02,163.7533,0.0088,0.8512,0.0389,0.0000,0.4313,0.5975,3.0000,-0.1983,0.0000,0.4757,1.3594,-0.1385
2024-01-03,164.4992,0.0045,0.4650,0.0317,0.0000,0.2143,0.4059,4.0000,-0.3956,0.0082,0.4785,1.3916,-0.1802
2024-01-04,170.7649,0.0374,1.6414,0.0559,0.0000,0.8813,0.5533,5.0000,0.1000,0.0030,0.4859,1.8052,-0.2103
2024-01-07,167.3834,-0.0200,0.4736,0.0282,0.0000,0.1988,0.6096,0.0000,0.2922,0.0055,0.4861,1.4359,-0.1943
2024-01-08,172.5551,0.0304,1.1232,0.0622,0.0000,0.5299,0.6762,1.0000,0.2029,0.0036,0.4868,1.6223,-0.2184
2024-01-09,168.8752,-0.0216,0.4023,0.0356,0.0000,0.1949,0.7504,0.0000,0.1811,0.0006,0.4917,1.3275,-0.2014
2024-01-10,170.1682,0.0076,0.6754,0.0359,0.0000,0.2902,0.7021,1.0000,0.2330,0.0059,0.4919,1.3888,-0.2075
2024-01-11,171.1627,0.0058,0.4298,0.0218,0.0000,0.1912,0.6808,2.0000,0.1508,0.0053,0.4950,1.3734,-0.2121
2024-01-14,171.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.6872,0.0000,0.0699,0.0000,0.5234,1.2500,-0.2121
2024-01-15,170.0190,-0.0067,0.6171,0.0383,0.0000,0.2493,0.7000,0.0000,0.0782,-0.0061,0.5109,0.9655,-0.2068
2024-01-16,166.8364,-0.0189,0.4530,0.0358,0.0000,0.2127,0.7473,0.0000,0.1428,-0.0061,0.5135,0.7507,-0.1917
2024-01-17,165.6927,-0.0069,0.5791,0.0375,0.0000,0.2860,0.7534,0.0000,0.5577,-0.0009,0.5161,0.4953,-0.1861
2024-01-18,162.9079,-0.0169,0.6151,0.0479,0.0000,0.2787,0.6044,0.0000,0.7680,0.0102,0.3010,0.2653,-0.1722
2024-01-22,150.6252,-0.0784,1.5696,0.0878,0.0000,0.5621,1.0068,0.0000,-1.3617,-0.0064,0.2932,-0.2814,-0.1047
2024-01-23,153.4597,0.0186,1.0266,0.0366,0.0000,0.6074,0.9441,1.0000,-1.4012,0.0234,0.2882,-0.0244,-0.1212
2024-01-24,155.3990,0.0126,0.4336,0.0253,0.0000,0.2000,0.9923,2.0000,-1.4012,0.0039,0.3066,0.0541,-0.1322
2024-01-28,154.6531,-0.0048,0.6281,0.0196,0.0000,0.2335,0.9743,0.0000,-1.5161,0.0000,0.3076,-0.2560,-0.1280
2024-01-29,152.6143,-0.0133,0.7752,0.0430,0.0000,0.3981,0.9569,0.0000,-1.4615,0.0084,0.2988,-0.7014,-0.1163
2024-01-30,151.6197,-0.0065,0.6505,0.0426,0.0000,0.2556,0.9493,0.0000,-1.3849,0.0134,0.2966,-1.1472,-0.1105
2024-01-31,141.0775,-0.0721,2.4208,0.0747,0.0000,1.0739,1.1308,0.0000,-1.2169,-0.0492,0.3267,-2.2692,-0.0441
2024-02-01,144.0611,0.0209,1.0419,0.0449,0.0000,0.4819,1.2095,1.0000,-1.1831,0.0025,0.3240,-1.6680,-0.0639
