Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,53.9000,-0.0256,0.7744,0.0510,0.0000,0.4875,1.6838,0.0000,-0.3356,-0.0054,0.5608,1.7239,-0.2987
2023-10-31,55.7500,0.0337,1.1762,0.0682,0.0000,0.5323,1.6405,1.0000,-0.3243,-0.0111,0.5616,1.7309,-0.3220
2023-11-01,55.1500,-0.0108,0.7551,0.0716,0.0000,0.4369,1.6674,0.0000,-0.1476,0.0305,0.5429,1.3863,-0.3146
2023-11-02,53.2500,-0.0351,0.3240,0.0516,0.0000,0.1644,1.6862,0.0000,0.0417,-0.0009,0.5418,1.1829,-0.2901
2023-11-05,50.6500,-0.0501,4.8907,0.0849,0.0000,0.8363,1.7786,0.0000,0.0664,0.0009,0.5707,-0.2253,-0.2537
2023-11-06,49.0500,-0.0321,0.7826,0.0357,0.0000,0.1338,1.5562,0.0000,0.0708,-0.0039,0.5414,-0.4875,-0.2294
2023-11-07,48.5000,-0.0113,0.1581,0.0309,0.0000,0.0270,1.3712,0.0000,0.1304,-0.0010,0.5326,-0.5641,-0.2206
2023-11-08,49.3500,0.0174,0.6053,0.0415,0.0000,0.1035,1.0759,1.0000,0.0037,0.0010,0.5085,-0.4138,-0.2340
2023-11-09,47.1500,-0.0456,0.4169,0.0732,0.0000,0.0713,0.9325,0.0000,0.0237,0.0203,0.4938,-0.5927,-0.1983
2023-11-12,45.4500,-0.0367,0.5527,0.0825,0.0000,0.0945,0.9480,0.0000,0.1105,0.0382,0.4682,-0.8210,-0.1683
2023-11-14,46.0000,0.0120,0.5047,0.0478,0.0000,0.0863,1.0067,1.0000,0.1097,0.0231,0.4570,-0.6822,-0.1783
2023-11-15,45.8000,-0.0044,0.7280,0.0404,0.0000,0.1245,0.8248,0.0000,0.0622,0.0000,0.4387,-0.9900,-0.1747
2023-11-16,45.9000,0.0022,0.6032,0.0403,0.0000,0.1031,0.8648,1.0000,0.1387,0.0251,0.4319,-0.7956,-0.1765
