Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,88.0000,0.0195,1.7160,0.0188,0.0000,0.6838,0.6068,1.0000,0.8860,0.0197,0.4139,-1.1359,0.0136
2023-10-31,89.7500,0.0197,0.2255,0.0306,0.0000,0.0899,0.6569,2.0000,0.6404,0.0199,0.4370,-0.9622,-0.0061
2023-11-01,91.5000,0.0193,0.2717,0.0191,0.0000,0.1083,0.6691,3.0000,0.4124,0.0195,0.4616,-0.7683,-0.0251
2023-11-02,93.3000,0.0195,0.7692,0.0011,0.0000,0.3065,0.6783,4.0000,0.1967,0.0197,0.4658,-0.3865,-0.0439
2023-11-05,95.1500,0.0196,0.5568,0.0016,0.0000,0.2219,0.6802,5.0000,0.1970,0.0198,0.4706,-0.0692,-0.0625
2023-11-06,93.2500,-0.0202,2.2872,0.0402,0.0000,0.9115,0.6816,0.0000,0.1966,-0.0200,0.4729,-0.9908,-0.0434
2023-11-07,92.0000,-0.0135,0.1738,0.0120,0.0000,0.0693,0.6619,0.0000,0.3284,-0.0134,0.4988,-1.0167,-0.0304
2023-11-08,91.0000,-0.0109,0.7267,0.0220,0.0000,0.2896,0.6444,0.0000,0.4188,-0.0109,0.5013,-1.3873,-0.0198
2023-11-09,89.2000,-0.0200,0.7339,0.0202,0.0000,0.2924,0.6443,0.0000,0.4171,-0.0198,0.5018,-1.8885,0.0437
2023-11-12,93.1000,0.0428,1.6482,0.0236,0.0000,0.6568,0.7553,1.0000,0.4910,0.0510,0.4531,-0.8173,0.0215
2023-11-14,95.1000,0.0213,3.2187,0.0699,0.0000,1.2826,0.8065,2.0000,0.2812,0.0000,0.4777,1.3069,0.0379
2023-11-15,98.7000,0.0372,4.8299,0.0471,0.0000,1.9247,0.8752,3.0000,0.2321,0.0300,0.5421,3.3156,0.0496
2023-11-16,103.6000,0.0485,5.5555,0.0362,0.0000,2.2139,0.9852,4.0000,0.1643,0.0117,0.6050,3.6293,0.0497
2023-11-19,108.7500,0.0485,4.4297,0.0418,0.0000,1.7652,1.0723,5.0000,0.1991,0.0497,0.6138,3.3531,0.0395
2023-11-20,114.1500,0.0485,2.2350,0.0048,0.0000,0.8906,1.1411,6.0000,0.1848,0.0483,0.5940,2.8629,-0.0096
2023-11-21,113.0500,-0.0097,3.8731,0.0301,0.0000,1.5434,1.1122,0.0000,0.1830,-0.0096,0.5867,1.5070,0.0168
2023-11-22,114.9500,0.0167,0.9336,0.0030,0.0000,0.3721,1.0467,1.0000,0.0536,0.0168,0.5550,1.5620,0.0187
2023-11-23,117.1000,0.0185,0.3846,0.0192,0.0000,0.1533,0.9656,2.0000,-0.0806,0.0187,0.5351,1.4745,0.0077
2023-11-27,118.0000,0.0077,0.3959,0.0004,0.0000,0.1578,0.7894,3.0000,-0.1253,0.0077,0.5439,1.4002,0.0195
2023-11-28,120.3000,0.0193,0.7850,0.0212,0.0000,0.3128,0.7653,4.0000,-0.2237,0.0195,0.5407,1.4192,0.0200
2023-11-29,122.7000,0.0198,1.4696,0.0008,0.0000,0.5856,0.7647,5.0000,-0.2254,0.0200,0.5338,1.5696,0.0200
2023-11-30,125.1500,0.0198,0.6203,0.0000,0.0000,0.2472,0.7476,6.0000,-0.2260,0.0200,0.5108,1.5191,0.0076
2023-12-03,127.6500,0.0198,0.3241,0.0000,0.0000,0.1292,0.6656,7.0000,-0.2293,0.0200,0.4974,1.4201,-0.0121
2023-12-04,130.2000,0.0198,0.4703,0.0000,0.0000,0.1874,0.5506,8.0000,-0.2315,0.0200,0.4884,1.3658,-0.0315
2023-12-05,132.8000,0.0198,0.4797,0.0000,0.0000,0.1912,0.3683,9.0000,-0.2325,0.0200,0.4728,1.3230,-0.0505
2023-12-06,135.4500,0.0198,0.8608,0.0000,0.0000,0.3430,0.1475,10.0000,-0.2819,0.0200,0.4703,1.3693,-0.0690
2023-12-07,138.1500,0.0197,2.9159,0.0391,0.0000,1.1620,0.1477,11.0000,-0.3600,0.0199,0.4578,1.8686,-0.0872
2023-12-10,140.9000,0.0197,0.9702,0.0064,0.0000,0.3866,0.1489,12.0000,-0.4187,0.0199,0.4332,1.8764,-0.1050
2023-12-11,138.1000,-0.0201,0.7014,0.0406,0.0000,0.2795,0.4913,0.0000,-0.4223,-0.0199,0.4100,1.5584,-0.0869
2023-12-12,140.8500,0.0197,1.1188,0.0000,0.0000,0.4458,0.4932,1.0000,-0.3617,0.0199,0.3916,1.7219,-0.1047
2023-12-13,140.0000,-0.0061,0.6709,0.0261,0.0000,0.2674,0.5594,0.0000,-0.2441,-0.0060,0.3922,1.4392,-0.0993
2023-12-14,137.2000,-0.0202,0.2043,0.0204,0.0000,0.0814,0.6853,0.0000,-0.2361,-0.0200,0.4170,1.2922,-0.0809
2023-12-17,134.5000,-0.0199,0.5057,0.0204,0.0000,0.2015,0.7540,0.0000,-0.2819,-0.0197,0.4155,1.0558,-0.0625
2023-12-18,132.0000,-0.0188,0.6052,0.0011,0.0000,0.2412,0.7785,0.0000,-0.3839,-0.0186,0.4013,0.8124,-0.0447
2023-12-19,130.1000,-0.0145,0.5645,0.0054,0.0000,0.2249,0.7572,0.0000,-0.7216,-0.0144,0.4039,0.6059,-0.0307
2023-12-20,132.7000,0.0198,0.9410,0.0392,0.0000,0.3750,0.7598,1.0000,-0.9590,0.0200,0.3497,0.7337,-0.0497
2023-12-21,135.3500,0.0198,0.6057,0.0030,0.0000,0.2414,0.7599,2.0000,-0.9615,0.0200,0.3565,0.7933,-0.0683
2023-12-25,132.6500,-0.0201,0.1978,0.0204,0.0000,0.0788,0.7242,0.0000,-0.6993,-0.0199,0.3704,0.6733,-0.0494
2023-12-26,130.0000,-0.0202,0.0236,0.0000,0.0000,0.0094,0.7245,0.0000,-0.5139,-0.0200,0.3958,0.5972,-0.0300
2023-12-27,127.4000,-0.0202,0.1180,0.0000,0.0000,0.0470,0.6456,0.0000,-0.2871,-0.0200,0.4287,0.4925,-0.0102
2023-12-28,126.1000,-0.0103,0.4305,0.0099,0.0000,0.1715,0.6454,0.0000,-0.0942,-0.0102,0.4373,0.2859,0.0500
2023-12-31,132.4000,0.0488,0.5505,0.0816,0.0000,0.2194,0.9500,1.0000,0.2913,0.0222,0.4457,0.3789,0.0498
2024-01-01,139.0000,0.0486,1.2968,0.0360,0.0000,0.5168,1.1139,2.0000,0.4216,0.0378,0.4309,0.8122,0.0500
2024-01-02,145.9500,0.0488,1.7134,0.0254,0.0000,0.6828,1.1967,3.0000,0.4466,0.0500,0.4285,1.5834,0.0497
2024-01-03,153.2000,0.0485,1.1219,0.0470,0.0000,0.4471,1.2302,4.0000,0.4178,0.0243,0.4178,2.1839,0.0235
2024-01-04,160.8500,0.0487,0.4512,0.0000,0.0000,0.1798,1.2943,5.0000,0.3642,0.0499,0.4348,2.3820,-0.0252
2024-01-07,161.4000,0.0034,3.2472,0.0548,0.0000,1.2940,1.3197,6.0000,0.4600,0.0497,0.3978,2.9475,-0.0285
2024-01-08,169.4500,0.0487,2.0997,0.0814,0.0000,0.8367,1.2735,7.0000,0.3860,0.0328,0.4066,2.7852,-0.0747
2024-01-09,166.2000,-0.0194,0.4527,0.0111,0.0000,0.1804,1.2755,0.0000,0.3874,-0.0192,0.4229,2.1542,-0.0566
2024-01-10,167.0000,0.0048,0.4522,0.0048,0.0000,0.1802,1.1518,1.0000,0.4720,0.0048,0.4289,1.9251,-0.0611
2024-01-11,170.3000,0.0196,0.6671,0.0018,0.0000,0.2658,1.0429,2.0000,0.3427,0.0198,0.4351,1.7779,-0.0910
2024-01-14,170.0000,-0.0018,0.6170,0.0218,0.0000,0.2459,1.0776,0.0000,0.3240,-0.0018,0.4252,1.4610,-0.1059
2024-01-15,166.6000,-0.0202,0.4589,0.0000,0.0000,0.1829,1.1528,0.0000,0.3230,-0.0200,0.4364,1.2334,-0.0876
2024-01-16,163.3000,-0.0200,0.4965,0.0104,0.0000,0.1979,1.1500,0.0000,0.3197,-0.0198,0.4450,1.0356,-0.0692
2024-01-17,162.5000,-0.0049,0.8217,0.0366,0.0000,0.3274,1.0349,0.0000,0.3065,-0.0049,0.4453,0.8047,-0.0646
2024-01-18,159.2500,-0.0202,0.5563,0.0003,0.0000,0.2217,0.8924,0.0000,0.4384,-0.0200,0.4501,0.6309,-0.0455
2024-01-22,159.2000,-0.0003,0.2023,0.0000,0.0000,0.0806,0.9054,0.0000,0.5499,-0.0003,0.4737,0.5239,-0.0452
2024-01-23,160.0000,0.0050,0.5529,0.0063,0.0000,0.2203,0.5700,1.0000,0.5041,0.0050,0.4589,0.5503,-0.0500
2024-01-24,160.0000,0.0000,0.2441,0.0063,0.0000,0.0973,0.5513,0.0000,0.4934,0.0000,0.4447,0.4756,-0.0500
2024-01-28,157.4500,-0.0161,0.2302,0.0368,0.0000,0.0917,0.5550,0.0000,0.5089,-0.0159,0.4396,0.3495,-0.0346
2024-01-29,157.4500,0.0000,0.4070,0.0089,0.0000,0.1622,0.4242,0.0000,0.4868,0.0000,0.4459,0.2602,-0.0346
2024-01-30,158.1000,0.0041,2.3958,0.0155,0.0000,0.9547,0.4536,1.0000,0.6800,0.0041,0.4560,0.9148,-0.0636
2024-01-31,158.5500,0.0028,0.4980,0.0123,0.0000,0.1985,0.4296,2.0000,0.8915,0.0028,0.4602,1.0864,-0.0662
2024-02-01,160.0000,0.0091,1.1172,0.0125,0.0000,0.4452,0.4025,3.0000,1.0610,0.0091,0.4509,1.5070,-0.0813
2024-02-04,156.8000,-0.0202,0.4782,0.0204,0.0000,0.1906,0.4750,0.0000,1.2471,-0.0200,0.4519,1.3221,-0.0625
2024-02-05,158.0000,0.0076,0.3041,0.0076,0.0000,0.1212,0.4223,1.0000,1.2000,0.0077,0.4668,1.5710,-0.1060
2024-02-06,156.8000,-0.0076,0.1228,0.0128,0.0000,0.0489,0.4315,0.0000,1.2986,-0.0076,0.4211,1.3656,-0.1390
2024-02-07,159.9000,0.0196,2.8359,0.0194,0.0000,1.1301,0.5200,1.0000,-0.0069,0.0198,0.3966,2.1447,-0.1557
2024-02-08,158.5500,-0.0085,0.7669,0.0249,0.0000,0.3056,0.5391,0.0000,-0.0222,-0.0084,0.3973,1.6251,-0.1753
2024-02-11,157.9000,-0.0041,0.4465,0.0193,0.0000,0.1779,0.4994,0.0000,0.0866,-0.0041,0.4096,1.3307,-0.2128
2024-02-12,154.8000,-0.0198,1.2919,0.0013,0.0000,0.5148,0.5741,0.0000,0.0720,-0.0196,0.4111,0.8636,-0.2371
2024-02-13,152.0000,-0.0183,0.9602,0.0020,0.0000,0.3827,0.6108,0.0000,0.2114,-0.0181,0.4110,0.5228,-0.2421
2024-02-14,152.0000,0.0000,0.4011,0.0164,0.0000,0.1598,0.6092,0.0000,0.0700,0.0000,0.4237,0.4793,-0.2421
2024-02-15,154.0000,0.0131,0.2971,0.0130,0.0000,0.1184,0.6354,1.0000,-0.0645,0.0132,0.4425,0.5121,-0.2519
2024-02-18,161.7000,0.0488,1.3191,0.0250,0.0000,0.5256,0.9155,2.0000,1.2792,0.0455,0.4423,0.8234,-0.2876
2024-02-19,158.4500,-0.0203,1.7842,0.0644,0.0000,0.7110,0.9683,0.0000,1.2771,-0.0015,0.4480,0.1742,-0.2730
2024-02-20,154.0000,-0.0285,0.7468,0.0614,0.0000,0.2976,1.0346,0.0000,1.0605,0.0218,0.4309,-0.1860,-0.2519
2024-02-21,156.2500,0.0145,0.7977,0.0662,0.0000,0.3179,1.0135,1.0000,0.9569,-0.0127,0.4309,0.0324,-0.2627
2024-02-22,153.0000,-0.0210,0.7595,0.0755,0.0000,0.3027,1.0418,0.0000,0.9927,0.0240,0.4160,-0.4175,-0.2471
