Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,7.5500,0.0000,1.0762,0.0199,0.0000,0.4824,0.6899,0.0000,0.0876,0.0000,0.2314,-0.6756,0.0000
2023-10-31,7.5500,0.0000,0.8396,0.0199,0.0000,0.3763,0.6899,0.0000,-0.0576,-0.0066,0.2324,-0.6188,0.0066
2023-11-01,7.6000,0.0066,0.8093,0.0263,0.0000,0.3627,0.6930,1.0000,-0.1338,0.0066,0.2165,-0.1790,-0.0066
2023-11-02,7.8000,0.0260,0.9543,0.0449,0.0000,0.4277,0.7497,2.0000,-0.0950,0.0066,0.2145,0.3467,-0.0321
2023-11-05,8.1500,0.0439,1.1330,0.0429,0.0000,0.5078,0.8192,3.0000,0.0262,0.0000,0.2162,0.9126,-0.0736
2023-11-06,8.5000,0.0420,1.8607,0.0412,0.0000,0.8340,0.7274,4.0000,0.3663,0.0368,0.2379,1.7780,-0.1118
2023-11-07,8.9000,0.0460,1.8445,0.0281,0.0000,0.8267,0.6392,5.0000,0.3114,0.0412,0.2542,2.3389,-0.1517
2023-11-08,9.0000,0.0112,4.4951,0.0889,0.0000,2.0147,0.5846,6.0000,0.3217,0.0393,0.3163,3.1639,-0.1611
2023-11-09,8.8500,-0.0168,0.2522,0.0000,0.0000,0.1130,0.6755,0.0000,0.4097,-0.0167,0.3424,2.4291,-0.1469
2023-11-12,8.5500,-0.0345,0.7437,0.0000,0.0000,0.3333,0.8358,0.0000,0.3639,-0.0339,0.3437,1.8902,-0.1170
2023-11-14,8.4000,-0.0177,0.4561,0.0119,0.0000,0.2044,0.8814,0.0000,0.3957,-0.0175,0.3487,1.5610,-0.1012
2023-11-15,8.2500,-0.0180,0.4696,0.0182,0.0000,0.2105,0.9198,0.0000,0.4630,-0.0179,0.3538,1.3013,-0.0848
2023-11-16,8.1000,-0.0183,0.3751,0.0000,0.0000,0.1681,0.9596,0.0000,0.4733,-0.0182,0.3714,1.1004,-0.0679
2023-11-19,8.2500,0.0183,1.1273,0.0000,0.0000,0.5053,0.9504,1.0000,0.3625,0.0185,0.3683,1.2294,-0.0848
