Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,53.9000,-0.0009,0.0622,0.0788,0.0000,0.0224,1.4455,0.0000,-0.3172,0.0009,0.4790,0.8722,-0.0334
2023-10-31,53.4000,-0.0093,0.0329,0.0730,0.0000,0.0119,1.2023,0.0000,-0.4097,0.0464,0.5160,0.7810,-0.0243
2023-11-01,53.7500,0.0065,0.0565,0.0251,0.0000,0.0204,1.1056,1.0000,-0.4585,0.0197,0.5531,0.7129,-0.0307
2023-11-02,54.3500,0.0111,0.1026,0.0230,0.0000,0.0371,1.1425,2.0000,-0.4401,0.0000,0.5860,0.6540,-0.0414
2023-11-05,55.2000,0.0155,0.0888,0.0353,0.0000,0.0320,0.9681,3.0000,-0.5222,0.0359,0.6119,0.5959,-0.0562
2023-11-06,57.9500,0.0486,0.2105,0.0863,0.0000,0.0760,0.9738,4.0000,-0.6747,0.0145,0.6277,0.5691,-0.1009
2023-11-07,57.2500,-0.0122,0.2760,0.0865,0.0000,0.0996,0.8305,0.0000,-0.5306,0.0431,0.6350,0.4389,-0.0900
2023-11-08,55.3500,-0.0338,0.1378,0.0759,0.0000,0.0498,0.8683,0.0000,-0.3646,0.0236,0.6621,0.3224,-0.0587
2023-11-09,55.3000,-0.0009,0.0577,0.0407,0.0000,0.0208,0.8534,0.0000,-0.3018,-0.0009,0.6901,0.2007,-0.0579
2023-11-12,55.1000,-0.0036,0.1142,0.0526,0.0000,0.0412,0.7068,0.0000,-0.2075,0.0289,0.7134,-0.0022,-0.0544
2023-11-14,55.0000,-0.0018,0.1159,0.0264,0.0000,0.0418,0.7073,0.0000,-0.1786,0.0000,0.7334,-0.6039,-0.0527
2023-11-15,55.5000,0.0090,0.3239,0.0342,0.0000,0.1169,0.6989,1.0000,-0.4960,0.0273,0.6496,-0.4562,-0.0613
2023-11-16,55.2500,-0.0045,0.5429,0.0407,0.0000,0.1960,0.7082,0.0000,-0.4886,-0.0072,0.5236,-0.9266,-0.0570
2023-11-19,53.9500,-0.0238,0.7324,0.0788,0.0000,0.2644,0.7490,0.0000,-0.3873,-0.0045,0.4143,-1.8517,-0.0343
2023-11-20,53.6500,-0.0056,0.5092,0.0354,0.0000,0.1838,0.7251,0.0000,-0.0886,0.0000,0.2975,-1.9188,-0.0671
2023-11-21,53.4000,-0.0047,0.4236,0.0356,0.0000,0.1529,0.4087,0.0000,0.0285,-0.0121,0.3087,-1.8696,-0.0627
2023-11-22,53.0500,-0.0066,0.4744,0.0198,0.0000,0.1713,0.4099,0.0000,0.2279,-0.0056,0.3003,-1.9060,-0.0566
2023-11-23,52.8000,-0.0047,0.3153,0.0152,0.0000,0.1138,0.2722,0.0000,0.3335,0.0009,0.2928,-1.7607,-0.0521
2023-11-27,52.6500,-0.0028,1.7111,0.0817,0.0000,0.6177,0.2699,0.0000,0.4624,0.0000,0.2981,-2.0649,-0.0494
