Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,60.7500,-0.0049,0.5141,0.0239,0.0000,0.4258,0.9009,0.0000,0.5648,0.0041,0.2830,-0.0478,-0.1004
2023-10-16,62.5500,0.0292,2.0186,0.0631,0.0000,0.9530,0.9332,1.0000,0.3486,0.0123,0.3021,1.3953,-0.1263
2023-10-17,59.9500,-0.0425,0.8708,0.0626,0.0000,0.3862,1.0327,0.0000,0.1161,0.0072,0.3016,0.7042,-0.0884
2023-10-18,62.6500,0.0441,1.7419,0.0806,0.0000,0.9811,1.0924,1.0000,0.0150,-0.0008,0.3108,1.7421,-0.1277
2023-10-19,60.3000,-0.0382,1.8519,0.0821,0.0000,0.8100,1.0941,0.0000,-0.0604,0.0200,0.3169,0.2836,-0.0937
2023-10-22,57.0000,-0.0563,1.1515,0.0860,0.0000,0.6952,1.1855,0.0000,-0.1389,-0.0008,0.3005,-0.7170,-0.0412
2023-10-24,56.2000,-0.0141,0.5871,0.0658,0.0000,0.3443,1.1684,0.0000,0.0234,0.0096,0.3008,-1.1730,-0.0276
2023-10-25,55.1000,-0.0198,0.9944,0.0417,0.0000,0.6399,1.1693,0.0000,0.0898,0.0018,0.2903,-1.8616,-0.0082
2023-10-26,55.1000,0.0000,0.7878,0.0372,0.0000,0.6970,1.1775,0.0000,0.0324,0.0045,0.2837,-1.7986,-0.0082
2023-10-29,55.7000,0.0108,1.1824,0.0700,0.0000,0.9877,1.1981,1.0000,-0.0528,-0.0073,0.2806,-0.8379,-0.0189
2023-10-30,55.2500,-0.0081,0.5296,0.0353,0.0000,0.4666,1.2000,0.0000,-0.0183,0.0036,0.2828,-1.1959,-0.0109
2023-10-31,54.6500,-0.0109,0.2870,0.0238,0.0000,0.1487,1.0847,0.0000,0.1273,0.0100,0.3083,-1.2670,0.0156
2023-11-01,55.6000,0.0172,0.4675,0.0252,0.0000,0.3325,1.0665,1.0000,-0.0772,0.0082,0.3222,-0.9249,-0.0018
2023-11-02,56.0500,0.0081,0.9108,0.0393,0.0000,0.5418,0.8696,2.0000,-0.0908,0.0063,0.3152,-0.3121,-0.0098
2023-11-05,56.9000,0.0151,0.4575,0.0185,0.0000,0.1626,0.8384,3.0000,-0.1327,0.0036,0.2917,0.0410,-0.0246
2023-11-06,58.4000,0.0260,0.8292,0.0522,0.0000,0.6222,0.5823,4.0000,-0.3243,0.0009,0.2941,0.6059,-0.0497
2023-11-07,58.0000,-0.0069,0.2858,0.0302,0.0000,0.1869,0.5591,0.0000,-0.2412,0.0103,0.3126,0.5197,-0.0431
2023-11-08,55.5000,-0.0441,1.3367,0.0703,0.0000,0.5971,0.7568,0.0000,-0.2341,0.0078,0.3115,-0.3277,0.0090
2023-11-09,58.2000,0.0475,1.2595,0.0644,0.0000,0.9606,0.9261,1.0000,-0.1296,0.0072,0.3036,0.5562,-0.0378
2023-11-12,56.8000,-0.0243,0.4906,0.0475,0.0000,0.4188,0.9815,0.0000,-0.0096,0.0137,0.3000,0.2210,-0.0141
2023-11-14,56.2000,-0.0106,0.4634,0.0178,0.0000,0.3365,0.9851,0.0000,0.0223,0.0053,0.3012,-0.0976,-0.0036
2023-11-15,58.5500,0.0410,1.0975,0.0487,0.0000,0.8816,1.0559,1.0000,0.0735,0.0036,0.2830,0.7305,-0.0436
2023-11-16,57.3000,-0.0216,0.4715,0.0332,0.0000,0.1613,1.0906,0.0000,0.0937,-0.0026,0.2965,0.4448,-0.0227
2023-11-19,56.0000,-0.0229,0.5164,0.0259,0.0000,0.2143,1.1250,0.0000,0.2071,-0.0026,0.2922,0.2772,0.0063
2023-11-20,57.3000,0.0229,2.3491,0.0663,0.0000,1.2215,1.1407,1.0000,0.0130,0.0107,0.2893,1.9940,-0.0166
2023-11-21,56.3500,-0.0167,0.8980,0.0382,0.0000,0.3386,1.1052,0.0000,0.4161,0.0105,0.2869,1.2156,0.0586
2023-11-22,59.6500,0.0569,2.8137,0.0696,0.0000,1.1755,1.2833,1.0000,0.4402,-0.0009,0.3289,2.5820,0.0570
2023-11-23,63.5000,0.0625,4.4949,0.0685,0.0000,3.5425,1.2696,2.0000,0.3878,0.0226,0.4234,3.4718,-0.0071
2023-11-27,64.0500,0.0086,1.8137,0.0281,0.0000,0.6611,1.1991,3.0000,0.3412,0.0102,0.4297,3.0075,-0.0156
2023-11-28,66.8500,0.0428,2.4121,0.0726,0.0000,1.3903,1.1617,4.0000,0.2234,0.0062,0.4467,2.8140,-0.0568
2023-11-29,66.3500,-0.0075,2.0065,0.0407,0.0000,0.8337,1.1517,0.0000,0.2216,0.0022,0.4433,1.8563,-0.0497
2023-11-30,66.5500,0.0030,2.5438,0.0594,0.0000,0.9216,1.1194,1.0000,0.1684,0.0098,0.4389,2.2040,-0.0526
2023-12-03,66.9000,0.0052,0.5787,0.0269,0.0000,0.4104,1.0452,2.0000,0.2351,0.0150,0.4300,1.9955,-0.0575
2023-12-04,65.8000,-0.0166,0.7187,0.0410,0.0000,0.5994,1.0289,0.0000,0.3217,-0.0052,0.4288,1.5819,-0.0418
2023-12-05,66.8000,0.0151,1.0504,0.0516,0.0000,0.8016,1.0317,1.0000,0.3216,0.0000,0.4095,1.6207,-0.0561
2023-12-06,66.0500,-0.0113,0.4308,0.0310,0.0000,0.2773,1.0089,0.0000,0.5002,-0.0150,0.4128,1.3507,-0.0454
2023-12-07,63.0500,-0.0465,0.5887,0.0690,0.0000,0.2409,1.0681,0.0000,0.3659,0.0053,0.3921,1.0916,0.0293
