Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,5.4000,-0.0364,0.0768,0.0833,0.0000,0.0317,1.1660,0.0000,-0.3261,0.0446,0.5930,0.7045,-0.1204
2023-10-16,5.4500,0.0092,0.2526,0.0642,0.0000,0.1043,0.9997,1.0000,-0.3226,0.0463,0.6035,0.6804,-0.1284
2023-10-17,5.2500,-0.0374,0.1105,0.0857,0.0000,0.0456,1.0395,0.0000,-0.2107,-0.0092,0.6181,0.5879,-0.0952
2023-10-18,5.1000,-0.0290,0.3028,0.0980,0.0000,0.1250,0.9720,0.0000,-0.0520,-0.0381,0.6365,0.4461,-0.0686
2023-10-19,5.0500,-0.0099,0.1156,0.0495,0.0000,0.0477,0.8850,0.0000,0.0805,0.0000,0.6550,0.3356,-0.0594
2023-10-22,4.8000,-0.0508,0.1773,0.0104,0.0000,0.0732,0.9424,0.0000,0.1917,-0.0495,0.6697,0.1897,-0.0104
2023-10-24,5.0000,0.0408,0.0967,0.0700,0.0000,0.0399,1.1282,1.0000,0.0524,-0.0312,0.6757,0.0823,-0.0500
2023-10-25,5.0000,0.0000,0.0178,0.0200,0.0000,0.0073,1.0828,0.0000,0.1213,0.0200,0.7095,-0.1219,-0.0500
2023-10-26,5.2000,0.0392,0.0304,0.0096,0.0000,0.0126,1.2437,1.0000,0.0994,0.0500,0.7352,-0.3459,-0.0865
2023-10-29,5.4000,0.0377,0.0053,0.0093,0.0001,0.0022,1.2767,2.0000,0.0801,0.0481,0.7558,-0.4811,-0.1204
2023-10-30,5.4000,0.0000,0.0005,0.0000,0.0000,0.0002,1.2192,0.0000,0.1344,0.0000,0.7776,-0.6156,-0.1204
2023-10-31,5.3500,-0.0093,0.0013,0.0187,0.0001,0.0005,1.2162,0.0000,0.2169,-0.0185,0.7071,-1.0140,-0.1121
2023-11-01,5.2500,-0.0189,0.0025,0.0000,0.0004,0.0010,1.1479,0.0000,0.2326,-0.0187,0.4824,-0.9293,-0.0952
2023-11-02,5.2500,0.0000,0.0142,0.0000,0.0000,0.0059,1.1045,0.0000,0.1339,0.0000,0.5226,-0.8400,-0.0952
2023-11-05,5.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0926,0.0000,0.2049,0.0000,0.5621,-0.7717,-0.0952
2023-11-06,5.0000,-0.0488,0.2891,0.0500,0.0000,0.1193,1.0572,0.0000,0.2068,-0.0190,0.5905,-0.7824,-0.0500
2023-11-07,5.0000,0.0000,1.0782,0.0500,0.0000,0.4451,0.9529,0.0000,0.2730,-0.0200,0.5701,-0.7185,-0.0500
2023-11-08,5.0000,0.0000,0.9988,0.0500,0.0000,0.4123,0.9558,0.0000,0.1932,0.0000,0.5698,-0.6420,-0.0500
2023-11-09,4.7500,-0.0513,1.6405,0.1053,0.0000,0.6772,0.9591,0.0000,0.2630,0.0500,0.5689,-1.1655,0.0842
2023-11-12,5.1500,0.0809,0.3316,0.0000,0.0000,0.0000,1.2820,1.0000,0.6870,0.0842,0.5878,-0.9530,0.0485
2023-11-14,5.4000,0.0474,3.8950,0.0000,0.0000,0.0000,1.3895,2.0000,0.4609,0.0485,0.6079,0.9318,0.0370
2023-11-15,5.6000,0.0364,6.7202,0.0893,0.0000,0.0000,1.4264,3.0000,0.3613,0.0463,0.6769,3.6069,-0.0357
2023-11-16,5.8500,0.0437,1.6547,0.0171,0.0000,0.0000,1.4393,4.0000,0.1521,0.0268,0.6737,3.1067,-0.0769
2023-11-19,6.1000,0.0418,5.1990,0.0000,0.0000,0.0021,1.4786,5.0000,-0.0643,0.0427,0.6986,3.2206,-0.1148
2023-11-20,6.3000,0.0323,6.5280,0.0317,0.0000,0.4224,1.4872,6.0000,-0.2339,0.0492,0.7317,3.3301,-0.1429
2023-11-21,6.0000,-0.0488,2.8094,0.0833,0.0000,0.4557,1.4612,0.0000,-0.2192,0.0159,0.7182,2.1338,-0.1000
2023-11-22,5.9500,-0.0084,3.7705,0.0672,0.0000,0.3672,1.4817,0.0000,-0.0407,0.0250,0.6986,1.0060,-0.0924
2023-11-23,6.1500,0.0331,3.2402,0.0325,0.0000,0.4990,1.4802,1.0000,-0.1737,0.0252,0.6620,1.7492,-0.1220
2023-11-27,6.4000,0.0398,2.1154,0.0469,0.0000,0.1881,1.2025,2.0000,-0.1742,0.0000,0.6214,2.0286,-0.1562
2023-11-28,6.7000,0.0458,5.0732,0.0522,0.0000,0.7128,1.0472,3.0000,-0.1769,0.0312,0.6304,2.8356,-0.1940
2023-11-29,6.4000,-0.0458,1.3446,0.0469,0.0000,0.1889,1.2478,0.0000,-0.1356,-0.0448,0.5900,2.0163,-0.1562
2023-11-30,6.2500,-0.0237,0.4252,0.0240,0.0000,0.0597,1.2996,0.0000,-0.0964,0.0000,0.5713,1.6506,-0.1360
2023-12-03,5.9500,-0.0492,0.7871,0.0924,0.0000,0.1106,1.3568,0.0000,-0.1055,-0.0400,0.5405,1.2819,-0.0924
2023-12-04,5.7500,-0.0342,0.0540,0.0348,0.0000,0.0076,1.3056,0.0000,-0.0147,-0.0504,0.5370,1.1425,-0.0609
2023-12-05,5.6500,-0.0175,0.0720,0.0177,0.0000,0.0101,1.2285,0.0000,0.0470,-0.0348,0.5320,1.0164,-0.0442
2023-12-06,5.8000,0.0262,1.5720,0.0517,0.0000,0.2209,1.1944,1.0000,-0.1189,0.0000,0.4929,1.3263,-0.0690
2023-12-07,6.0000,0.0339,0.1071,0.0583,0.0000,0.0150,1.2485,2.0000,-0.2382,-0.0259,0.4953,1.2294,-0.1000
2023-12-10,5.8500,-0.0253,0.1559,0.0342,0.0000,0.0219,1.2244,0.0000,-0.1575,0.0000,0.4940,1.0810,-0.0769
2023-12-11,5.8000,-0.0086,0.1695,0.0345,0.0000,0.0238,1.1110,0.0000,-0.1701,0.0000,0.4964,0.9482,-0.0690
2023-12-12,5.7000,-0.0174,0.1778,0.0614,0.0000,0.0250,0.9063,0.0000,-0.2407,-0.0259,0.4884,0.8234,-0.0526
2023-12-13,5.6000,-0.0177,0.3649,0.0536,0.0000,0.0513,0.8385,0.0000,-0.0735,-0.0175,0.4959,0.6323,-0.0357
2023-12-14,5.4000,-0.0364,0.7847,0.0833,0.0000,0.1103,0.8616,0.0000,0.1416,0.0000,0.5059,0.2599,0.0463
2023-12-17,5.6500,0.0453,0.3294,0.0531,0.0000,0.0463,0.9516,1.0000,0.1468,-0.0093,0.5066,0.3096,0.0000
2023-12-18,5.7000,0.0088,0.5216,0.0702,0.0000,0.0733,0.8998,2.0000,0.2033,0.0000,0.5223,0.4660,-0.0088
2023-12-19,5.9500,0.0429,1.5313,0.0588,0.0000,0.2151,0.9699,3.0000,0.2190,-0.0175,0.5122,1.0720,-0.0504
2023-12-20,5.7000,-0.0429,0.3053,0.0877,0.0000,0.0429,1.0372,0.0000,0.2475,-0.0504,0.5333,0.8588,-0.0088
2023-12-21,5.7500,0.0087,0.1543,0.0348,0.0000,0.0217,0.9733,1.0000,0.1642,0.0439,0.5596,0.9836,-0.0174
2023-12-25,5.6500,-0.0175,0.4502,0.0796,0.0000,0.0632,0.9553,0.0000,0.3587,-0.0087,0.5675,0.7528,0.0000
2023-12-26,5.9000,0.0433,0.3638,0.0424,0.0000,0.0511,1.0632,1.0000,0.3682,0.0000,0.5814,1.0215,-0.0424
2023-12-27,5.8000,-0.0171,1.0251,0.0776,0.0000,0.1440,1.0656,0.0000,0.5391,0.0424,0.4720,0.4969,-0.0259
2023-12-28,6.0000,0.0339,0.4130,0.0750,0.0000,0.0580,1.0805,1.0000,0.3626,0.0172,0.4701,0.6878,-0.0583
2023-12-31,6.0000,0.0000,0.4891,0.0917,0.0000,0.0687,0.9776,0.0000,0.2644,-0.0417,0.4790,0.6271,-0.0583
2024-01-01,6.1500,0.0247,2.0020,0.0732,0.0000,0.2813,0.9178,1.0000,0.1791,-0.0417,0.4817,1.5530,-0.0813
2024-01-02,5.8500,-0.0500,0.3483,0.0940,0.0000,0.0489,1.0760,0.0000,0.0517,0.0000,0.4670,1.2596,-0.0342
2024-01-03,5.6500,-0.0348,0.5663,0.0619,0.0000,0.0796,1.0293,0.0000,0.0642,0.0256,0.4461,0.8690,0.0442
2024-01-04,5.9000,0.0433,1.1122,0.0169,0.0000,0.1563,1.0299,1.0000,0.0819,0.0354,0.3906,1.3470,0.0424
2024-01-07,6.1500,0.0415,0.4364,0.0000,0.0000,0.0000,1.0944,2.0000,0.0925,0.0424,0.3818,1.4208,0.0163
2024-01-08,6.4500,0.0476,1.2482,0.0000,0.0000,0.0001,1.1192,3.0000,-0.0947,0.0488,0.3699,1.7864,-0.0310
2024-01-09,6.7500,0.0455,1.6221,0.0000,0.0000,0.0000,1.1192,4.0000,-0.2495,0.0465,0.3633,2.1395,-0.0889
2024-01-10,7.0500,0.0435,0.2154,0.0000,0.0000,0.0000,1.1026,5.0000,-0.4482,0.0444,0.3768,1.8959,-0.1489
2024-01-11,7.4000,0.0485,0.3292,0.0000,0.0000,0.0000,1.1257,6.0000,-0.6477,0.0496,0.3949,1.7650,-0.1892
2024-01-14,7.1000,-0.0414,8.5001,0.0986,0.0000,0.0000,1.2557,0.0000,-0.6577,0.0473,0.5910,-2.6964,-0.1972
2024-01-15,6.7500,-0.0506,4.7660,0.1037,0.0000,0.0000,1.3894,0.0000,-0.4627,0.0141,0.6319,-3.4477,-0.1556
2024-01-16,6.7000,-0.0074,1.2116,0.0672,0.0000,0.0000,1.2598,0.0000,-0.3890,-0.0148,0.6293,-2.8337,-0.1493
2024-01-17,6.6000,-0.0150,0.0747,0.0909,0.0000,0.0000,1.2009,0.0000,-0.2096,-0.0448,0.6518,-2.2813,-0.1364
2024-01-18,6.9000,0.0445,0.5710,0.0870,0.0000,0.0000,1.1951,1.0000,-0.4168,0.0379,0.6459,-1.8283,-0.1739
