Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,121.5000,-0.0395,1.4652,0.0630,0.0000,0.1887,1.1055,0.0000,0.5821,0.0158,0.5011,0.2349,-0.0111
2023-10-31,120.2500,-0.0103,0.2871,0.0316,0.0000,0.1174,1.0877,0.0000,0.6980,0.0123,0.5080,0.0849,-0.0008
2023-11-01,125.2000,0.0403,2.5622,0.0535,0.0000,0.1614,1.1942,1.0000,0.5972,0.0316,0.5088,1.7231,-0.0403
2023-11-02,125.6000,0.0032,0.5636,0.0398,0.0000,0.2970,1.2038,2.0000,0.5310,0.0132,0.5143,1.7965,-0.0434
2023-11-05,120.1500,-0.0444,1.5366,0.0658,0.0000,0.4741,1.2652,0.0000,0.3768,0.0111,0.5165,0.7715,0.0017
2023-11-06,121.5000,0.0112,0.6684,0.0309,0.0000,0.2440,1.2194,1.0000,0.1939,0.0071,0.5188,1.0806,-0.0095
2023-11-07,121.7500,0.0021,0.1600,0.0201,0.0000,0.0557,1.1967,2.0000,0.1904,0.0160,0.5412,1.0700,-0.0115
2023-11-08,126.5500,0.0387,1.4235,0.0664,0.0000,0.7883,1.2458,3.0000,0.1791,0.0185,0.5387,1.7176,-0.0545
2023-11-09,123.8000,-0.0220,0.2241,0.0267,0.0000,0.1452,1.1312,0.0000,0.3705,-0.0269,0.5531,1.4077,-0.0654
2023-11-12,125.8000,0.0160,0.2070,0.0151,0.0000,0.0678,1.1334,1.0000,0.2460,0.0258,0.5681,1.3619,-0.0803
2023-11-14,128.0000,0.0173,0.2929,0.0281,0.0000,0.1353,1.0112,2.0000,0.1619,0.0064,0.5618,1.3613,-0.0961
2023-11-15,127.1500,-0.0067,0.2776,0.0303,0.0000,0.1415,1.0027,0.0000,0.0965,0.0039,0.5656,1.1096,-0.0901
