Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,7.1764,-0.0060,1.1316,0.0424,0.0000,0.2544,1.6123,0.0000,0.5162,0.0060,0.3196,2.2614,-0.0121
2023-10-31,7.0894,-0.0122,0.9525,0.0307,0.0000,0.2989,1.6308,0.0000,0.5350,0.0061,0.3097,1.4923,0.0245
2023-11-01,7.2634,0.0242,1.8409,0.0240,0.0000,0.2653,1.6566,1.0000,0.3691,0.0184,0.3207,2.1458,0.0479
2023-11-02,7.6548,0.0525,4.5955,0.0966,0.0000,1.4751,1.7586,2.0000,0.4142,0.0120,0.4150,3.2502,-0.0057
2023-11-05,8.6552,0.1228,9.2929,0.1909,0.0000,4.0777,2.1385,3.0000,1.6978,0.0341,0.6311,3.9175,-0.1206
2023-11-06,8.8727,0.0248,3.7671,0.0931,0.0000,1.5513,1.7990,4.0000,1.5817,0.0201,0.6429,3.2573,-0.1422
2023-11-07,8.6552,-0.0248,1.4561,0.0502,0.0000,0.3795,1.9324,0.0000,1.5589,0.0098,0.6303,2.2959,-0.1206
2023-11-08,8.0898,-0.0676,2.0202,0.1075,0.0000,0.3974,2.2088,0.0000,0.9618,0.0000,0.6108,1.5815,-0.0591
2023-11-09,7.6114,-0.0610,1.4931,0.0800,0.0000,0.3736,2.3733,0.0000,0.8002,-0.0161,0.5988,1.1064,0.0514
2023-11-12,8.3942,0.0979,1.9883,0.1451,0.0000,0.6901,2.3607,1.0000,0.6589,0.0057,0.5798,1.4302,-0.0466
2023-11-14,8.6552,0.0306,1.3160,0.0653,0.0000,0.4143,2.3374,2.0000,0.5348,0.0466,0.5559,1.5538,-0.0754
2023-11-15,8.4812,-0.0203,0.5848,0.0564,0.0000,0.2436,2.3472,0.0000,0.5561,0.0101,0.5379,1.2623,-0.0564
2023-11-16,8.2638,-0.0260,0.6252,0.0421,0.0000,0.2186,2.3936,0.0000,0.5974,0.0051,0.5187,1.0008,-0.0316
2023-11-19,8.3072,0.0052,0.7327,0.0471,0.0000,0.3041,2.3374,1.0000,0.5815,0.0105,0.4937,1.0751,-0.0366
2023-11-20,8.4377,0.0156,0.6343,0.0258,0.0000,0.2516,1.8089,2.0000,0.6172,0.0000,0.4816,1.1212,-0.0515
2023-11-21,8.2638,-0.0208,1.4195,0.0789,0.0000,0.5891,1.7748,0.0000,0.6837,0.0052,0.4615,0.6534,-0.0316
2023-11-22,8.2638,0.0000,0.5749,0.0474,0.0000,0.2371,1.7666,0.0000,0.7264,0.0000,0.4363,0.5778,-0.0316
2023-11-23,8.3072,0.0052,0.5128,0.0314,0.0000,0.2400,1.5647,1.0000,0.7305,0.0105,0.4163,0.6613,-0.0366
2023-11-27,8.3072,0.0000,0.5884,0.0314,0.0000,0.2904,1.3314,0.0000,0.7502,-0.0052,0.3982,0.5867,-0.0366
2023-11-28,8.2203,-0.0105,0.2625,0.0212,0.0000,0.0853,0.6567,0.0000,0.9974,0.0000,0.4174,0.4173,-0.0265
2023-11-29,8.0028,-0.0268,0.3997,0.0435,0.0000,0.1048,0.5541,0.0000,1.0175,0.0053,0.4064,0.1693,0.0326
2023-11-30,8.6117,0.0733,2.2456,0.1061,0.0000,0.8423,1.0324,1.0000,0.7546,0.0109,0.3979,1.2686,-0.0404
2023-12-03,8.5247,-0.0102,0.9866,0.0663,0.0000,0.3367,0.9895,0.0000,0.8641,0.0202,0.3793,0.6845,-0.0306
2023-12-04,8.4377,-0.0103,0.3533,0.0412,0.0000,0.0820,1.0209,0.0000,1.0895,0.0051,0.3971,0.3630,-0.0206
2023-12-05,8.5247,0.0103,0.9551,0.0510,0.0000,0.5984,1.0145,1.0000,0.8505,0.0155,0.3235,1.2735,-0.0306
2023-12-06,8.2638,-0.0311,1.1099,0.0579,0.0000,0.3180,1.0474,0.0000,1.0418,-0.0051,0.2985,0.2170,0.0158
2023-12-07,8.3942,0.0157,0.4078,0.0311,0.0000,0.1126,1.0615,1.0000,0.8929,0.0158,0.3151,0.6296,0.0155
2023-12-10,8.6552,0.0306,1.5688,0.0502,0.0000,0.6956,1.1062,2.0000,1.0559,0.0363,0.3153,1.9328,-0.0151
2023-12-11,8.6552,0.0000,1.1909,0.0302,0.0000,0.4454,1.1076,0.0000,1.5489,0.0201,0.3152,1.8728,-0.0151
2023-12-12,8.5247,-0.0152,0.7468,0.0510,0.0000,0.3040,1.1154,0.0000,1.3211,0.0101,0.3069,1.0243,0.1837
2023-12-13,10.0905,0.1686,8.4827,0.1681,0.0000,5.3865,1.7884,1.0000,2.7832,0.0051,0.5457,4.0640,0.0086
2023-12-14,11.1778,0.1023,7.5128,0.1401,0.0000,4.8022,1.8054,2.0000,2.1443,0.0431,0.6515,3.8519,-0.0895
2023-12-17,12.5261,0.1139,5.0717,0.1944,0.0000,3.5421,1.8288,3.0000,1.6869,-0.0233,0.6699,3.3963,-0.1875
2023-12-18,12.0477,-0.0389,1.5060,0.0794,0.0000,0.5786,1.8926,0.0000,1.6026,0.0069,0.6605,2.3601,-0.1552
2023-12-19,10.8734,-0.1026,0.9604,0.1240,0.0000,0.2367,2.1397,0.0000,1.0090,-0.0108,0.6475,1.8244,-0.0640
2023-12-20,10.3514,-0.0492,0.3289,0.0504,0.0000,0.0811,2.1584,0.0000,0.9813,-0.0480,0.6501,1.5418,-0.0168
2023-12-21,10.6994,0.0331,0.1597,0.0569,0.0000,0.0394,2.1528,1.0000,0.8893,0.0000,0.6516,1.3972,-0.0813
2023-12-25,10.3514,-0.0331,0.1575,0.0756,0.0000,0.0388,2.1897,0.0000,0.9331,0.0244,0.6523,1.2272,-0.0588
2023-12-26,10.1775,-0.0169,0.1234,0.0598,0.0000,0.0304,2.2041,0.0000,0.9612,0.0210,0.6564,1.0872,-0.0427
2023-12-27,10.3949,0.0211,0.2737,0.0795,0.0000,0.0675,2.1837,1.0000,0.8866,0.0000,0.6458,1.0273,-0.0628
2023-12-28,10.2645,-0.0126,0.2194,0.0636,0.0000,0.0541,1.7279,0.0000,0.8752,-0.0042,0.6408,0.8938,-0.0509
2023-12-31,10.3949,0.0126,0.1274,0.0544,0.0000,0.0314,1.4997,1.0000,1.0565,0.0000,0.6568,0.8278,-0.0628
2024-01-01,10.5254,0.0125,0.1417,0.0413,0.0000,0.0349,1.0576,2.0000,1.0054,0.0084,0.6662,0.7686,-0.0744
2024-01-02,10.3079,-0.0209,0.1104,0.0549,0.0000,0.0272,1.0377,0.0000,1.0171,0.0083,0.6681,0.6706,-0.0549
2024-01-03,10.3949,0.0084,0.1371,0.0293,0.0000,0.0338,0.6780,1.0000,1.0221,0.0169,0.6755,0.6191,-0.0628
2024-01-04,10.3949,0.0000,0.1578,0.0377,0.0000,0.0389,0.5412,0.0000,0.9907,0.0209,0.6818,0.5442,-0.0628
2024-01-07,10.4819,0.0083,0.1975,0.0332,0.0000,0.0487,0.4615,1.0000,1.0111,0.0167,0.6778,0.5104,-0.0705
2024-01-08,10.5254,0.0041,0.1325,0.0289,0.0000,0.0327,0.3655,2.0000,1.0906,0.0249,0.6867,0.4660,-0.0744
2024-01-09,10.3514,-0.0167,0.1946,0.0588,0.0000,0.0480,0.3638,0.0000,1.1181,0.0207,0.6905,0.3348,-0.0588
2024-01-10,10.3514,0.0000,0.1507,0.0336,0.0000,0.0371,0.3175,0.0000,1.0921,0.0084,0.6931,0.2454,-0.0588
2024-01-11,10.6994,0.0331,0.3142,0.0569,0.0000,0.0775,0.3966,1.0000,0.5107,0.0168,0.6938,0.3721,-0.1138
2024-01-14,10.6559,-0.0041,0.2876,0.0490,0.0000,0.0709,0.3935,0.0000,0.3976,0.0406,0.6373,0.0688,-0.1102
2024-01-15,10.4819,-0.0165,0.3720,0.0415,0.0000,0.0917,0.4103,0.0000,-1.3884,0.0041,0.4421,0.2045,-0.0954
2024-01-16,10.3079,-0.0167,0.5732,0.0338,0.0000,0.1413,0.3959,0.0000,-1.5583,-0.0083,0.3195,-0.0038,-0.0844
2024-01-17,10.2645,-0.0042,0.7015,0.0508,0.0000,0.1729,0.3893,0.0000,-0.1751,-0.0127,0.1846,-0.5344,-0.0805
2024-01-18,10.2645,0.0000,0.6855,0.0297,0.0000,0.1690,0.3893,0.0000,0.3003,0.0000,0.1591,-0.5761,-0.0805
2024-01-22,9.8295,-0.0433,1.1646,0.0619,0.0000,0.2871,0.5027,0.0000,-0.1330,0.0127,0.1607,-1.3767,-0.0487
2024-01-23,9.7425,-0.0089,0.7724,0.0402,0.0000,0.1904,0.4936,0.0000,-0.1200,0.0089,0.1629,-1.7854,-0.0446
2024-01-24,10.1340,0.0394,1.0082,0.0515,0.0000,0.2485,0.6159,1.0000,0.0788,0.0000,0.1619,-1.1221,-0.0858
2024-01-28,10.3514,0.0212,0.8715,0.0378,0.0000,0.2148,0.6444,2.0000,0.0790,0.0086,0.1373,-0.4994,-0.1176
2024-01-29,10.3079,-0.0042,0.8919,0.0422,0.0000,0.2199,0.5708,0.0000,0.0234,0.0168,0.1224,-1.1149,-0.1350
2024-01-30,10.4384,0.0126,0.8244,0.0333,0.0000,0.2032,0.5859,1.0000,0.0236,0.0000,0.1242,-0.5696,-0.1667
2024-01-31,10.7864,0.0328,1.4390,0.0363,0.0000,0.3547,0.6335,2.0000,0.0851,0.0125,0.1355,0.4006,-0.2016
2024-02-01,11.0473,0.0239,1.6575,0.0315,0.0000,0.4086,0.6264,3.0000,-0.1247,0.0121,0.1497,1.4172,-0.2205
2024-02-04,10.5689,-0.0443,1.3470,0.0741,0.0000,0.3320,0.7449,0.0000,-0.2436,0.0118,0.1551,0.4400,-0.1852
2024-02-05,10.4819,-0.0083,1.1078,0.0664,0.0000,0.2731,0.7509,0.0000,-0.1839,-0.0041,0.1556,-0.3274,-0.1909
2024-02-06,10.4819,0.0000,0.7644,0.0249,0.0000,0.1884,0.6331,0.0000,-0.1271,0.0125,0.1563,-0.2754,-0.1950
2024-02-07,10.3949,-0.0083,0.6087,0.0335,0.0000,0.1500,0.6330,0.0000,-0.0380,0.0125,0.1657,-0.6195,-0.1883
2024-02-08,10.2645,-0.0126,0.8760,0.0508,0.0000,0.2159,0.5728,0.0000,-0.0563,-0.0042,0.1638,-1.1223,-0.1780
2024-02-11,9.9600,-0.0301,0.7033,0.0655,0.0000,0.1734,0.5911,0.0000,0.0465,0.0169,0.1690,-1.4276,-0.1878
2024-02-12,9.4816,-0.0492,0.9465,0.0642,0.0000,0.2333,0.6883,0.0000,0.0068,-0.0044,0.1532,-1.8652,-0.1881
2024-02-13,9.6555,0.0182,0.6196,0.0766,0.0000,0.1527,0.7014,1.0000,-0.0889,-0.0505,0.1632,-1.3454,-0.2027
2024-02-14,9.6121,-0.0045,0.4010,0.0543,0.0000,0.0988,0.6051,0.0000,-0.1652,0.0270,0.1819,-1.4385,-0.1991
2024-02-15,9.4381,-0.0183,0.4814,0.0783,0.0000,0.1187,0.5169,0.0000,-0.1571,0.0271,0.1994,-1.5301,-0.1843
