Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,28.7600,-0.0014,0.7455,0.0403,0.0000,0.3010,0.9495,0.0000,0.2755,0.0000,0.4452,-1.4468,-0.0073
2023-10-31,28.6700,-0.0031,0.3714,0.0446,0.0000,0.1500,0.8325,0.0000,0.1927,0.0021,0.4257,-1.4422,-0.0042
2023-11-01,28.5500,-0.0042,0.4265,0.0532,0.0000,0.1722,0.8404,0.0000,0.0990,-0.0290,0.4338,-1.4548,0.0497
2023-11-02,29.9700,0.0485,1.5141,0.0627,0.0000,0.6114,1.0190,1.0000,0.0799,0.0004,0.4324,-0.7203,0.0454
2023-11-05,31.4300,0.0476,3.0448,0.0274,0.0000,1.2295,1.1465,2.0000,0.0735,0.0410,0.4473,0.7521,-0.0032
2023-11-06,32.4600,0.0322,2.5626,0.0847,0.0000,1.6974,1.1078,3.0000,-0.0893,-0.0375,0.4317,1.7079,-0.0348
2023-11-07,34.0800,0.0487,2.0306,0.0437,0.0000,0.4640,1.0716,4.0000,-0.0896,0.0092,0.4283,2.1847,-0.0807
2023-11-08,33.7000,-0.0112,2.1896,0.0656,0.0000,1.2168,0.9455,0.0000,0.0090,0.0009,0.4183,1.1415,-0.0703
2023-11-09,34.1600,0.0136,1.0092,0.0430,0.0000,0.6871,0.7873,1.0000,0.0624,-0.0068,0.3980,1.4479,-0.0828
2023-11-12,34.1100,-0.0015,0.5874,0.0287,0.0000,0.5090,0.7743,0.0000,0.1550,0.0073,0.3874,1.1305,-0.0815
2023-11-14,33.4500,-0.0195,1.2928,0.0532,0.0000,1.1215,0.8376,0.0000,0.1393,0.0003,0.3530,0.5551,-0.0634
2023-11-15,32.5100,-0.0285,1.1389,0.0560,0.0000,0.6153,0.9255,0.0000,0.3599,0.0102,0.3360,0.0691,-0.0363
2023-11-16,32.1700,-0.0105,0.7201,0.0441,0.0000,0.4866,0.9412,0.0000,0.3194,-0.0095,0.3182,-0.2298,-0.0277
2023-11-19,33.6800,0.0459,1.7093,0.0695,0.0000,0.6832,0.9372,1.0000,0.1838,0.0003,0.3017,0.6166,-0.0713
2023-11-20,34.5300,0.0249,3.3810,0.0504,0.0000,2.0793,0.8741,2.0000,0.0236,-0.0148,0.3424,2.1630,-0.0953
2023-11-21,33.2900,-0.0366,1.5367,0.0607,0.0000,1.0165,0.9352,0.0000,0.0561,0.0041,0.3443,1.2132,-0.0616
