Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,73.0000,0.0918,7.9533,0.0774,0.0000,6.5869,1.3159,1.0000,1.8564,0.0210,0.5884,4.0913,-0.0671
2023-10-16,79.7500,0.0884,10.3229,0.1103,0.0000,4.8734,1.5540,2.0000,1.5903,0.0459,0.7436,4.0833,-0.1461
2023-10-17,75.9500,-0.0488,3.7752,0.1205,0.0000,1.6743,1.6893,0.0000,1.2708,0.0345,0.7352,2.1711,-0.1034
2023-10-18,77.9500,0.0260,1.1060,0.0430,0.0000,0.6229,1.7045,1.0000,1.1302,0.0151,0.7212,2.0957,-0.1264
2023-10-19,74.8000,-0.0412,0.3550,0.0722,0.0000,0.1553,1.9392,0.0000,0.9909,0.0218,0.7073,1.7173,-0.0896
2023-10-22,71.0500,-0.0514,0.2964,0.0605,0.0000,0.1790,2.0774,0.0000,0.9135,-0.0241,0.6950,1.4464,-0.0415
2023-10-24,68.2500,-0.0402,0.6041,0.0615,0.0000,0.3542,2.1241,0.0000,1.0079,0.0028,0.6743,1.1546,-0.0022
2023-10-25,68.1000,-0.0022,1.5011,0.0786,0.0000,0.9660,2.1514,0.0000,1.1129,0.0051,0.6496,0.6572,0.0015
2023-10-26,68.2000,0.0015,1.1742,0.0689,0.0000,1.0388,2.1473,1.0000,1.2081,-0.0162,0.6242,0.9170,0.0110
2023-10-29,69.6500,0.0210,0.4355,0.0531,0.0000,0.3638,2.1358,2.0000,1.0458,0.0484,0.6065,0.9498,-0.0101
2023-10-30,68.9500,-0.0101,0.4315,0.0529,0.0000,0.3802,1.7458,0.0000,1.0753,0.0337,0.6077,0.7385,0.0305
2023-10-31,71.0500,0.0300,0.2397,0.0373,0.0000,0.1242,1.2670,1.0000,0.9327,0.0384,0.6191,0.7301,0.0176
2023-11-01,72.3000,0.0174,0.8310,0.0740,0.0000,0.5911,1.1971,2.0000,0.8404,-0.0070,0.6031,0.8943,0.0816
2023-11-02,79.5000,0.0949,2.9737,0.0906,0.0000,1.7691,1.5914,3.0000,0.7121,0.0000,0.6014,1.7330,-0.0182
2023-11-05,87.4500,0.0953,5.6691,0.1001,0.0000,2.0154,1.7026,4.0000,0.6588,0.0692,0.6400,3.0476,-0.1075
2023-11-06,88.2000,0.0085,2.9323,0.1015,0.0000,2.2004,1.5050,5.0000,0.6207,0.0743,0.6166,2.9666,-0.1202
