Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,6.5833,-0.0151,0.5653,0.0152,0.0000,0.4682,0.8703,0.0000,0.8515,-0.0150,0.4553,0.2327,0.0177
2023-10-16,6.7000,0.0176,0.4687,0.0050,0.0000,0.2213,0.4887,1.0000,0.7370,0.0177,0.4537,0.2669,0.0000
2023-10-17,6.8333,0.0197,0.3692,0.0000,0.0000,0.1637,0.6656,2.0000,0.6283,0.0199,0.4558,0.2812,-0.0195
2023-10-18,6.9667,0.0193,0.3916,0.0000,0.0000,0.2205,0.7766,3.0000,0.4618,0.0195,0.4553,0.2985,-0.0383
2023-10-19,7.1000,0.0190,0.2948,0.0000,0.0000,0.1290,0.8255,4.0000,0.3362,0.0191,0.4654,0.2896,-0.0563
2023-10-22,7.2333,0.0186,0.9107,0.0000,0.0000,0.5498,0.8369,5.0000,0.1794,0.0188,0.4527,0.4875,-0.0737
2023-10-24,7.2333,0.0000,0.5514,0.0046,0.0000,0.3234,0.8042,0.0000,0.3140,0.0000,0.4604,0.4208,-0.0737
2023-10-25,7.1000,-0.0186,0.1123,0.0000,0.0000,0.0723,0.8162,0.0000,0.4973,-0.0184,0.4754,0.2890,-0.0563
2023-10-26,7.0167,-0.0118,0.4904,0.0119,0.0000,0.4339,0.7787,0.0000,0.7244,-0.0117,0.4812,-0.0700,-0.0451
2023-10-29,7.0333,0.0024,0.2937,0.0024,0.0000,0.2453,0.6963,1.0000,0.9074,0.0024,0.4871,-0.0369,-0.0474
2023-10-30,7.0333,0.0000,0.3975,0.0190,0.0000,0.3503,0.6400,0.0000,1.0005,0.0000,0.3997,-0.0129,-0.0474
2023-10-31,6.9667,-0.0095,0.4079,0.0096,0.0000,0.2114,0.6657,0.0000,0.7001,-0.0095,0.3358,-0.0446,-0.0383
2023-11-01,6.8333,-0.0193,0.3772,0.0195,0.0000,0.2684,0.6940,0.0000,0.7002,-0.0191,0.3491,-0.0889,-0.0195
2023-11-02,6.7000,-0.0197,0.5594,0.0199,0.0000,0.3328,0.6675,0.0000,0.7004,-0.0195,0.3515,-0.2418,0.0199
2023-11-05,6.8333,0.0197,1.1508,0.0244,0.0000,0.4091,0.6724,1.0000,0.4740,0.0199,0.3323,0.4013,0.0195
2023-11-06,6.9667,0.0193,0.5240,0.0000,0.0000,0.3932,0.6758,2.0000,0.2616,0.0195,0.3218,0.7623,0.0191
2023-11-07,7.1000,0.0190,0.7401,0.0024,0.0000,0.4839,0.7551,3.0000,0.0484,0.0191,0.3265,1.1503,0.0188
2023-11-08,7.2333,0.0186,0.7015,0.0046,0.0000,0.3134,0.7580,4.0000,-0.1623,0.0188,0.3182,1.4325,0.0184
2023-11-09,7.3667,0.0183,1.0290,0.0000,0.0000,0.7848,0.7567,5.0000,-0.3745,0.0184,0.2768,1.6682,0.0905
2023-11-12,8.0333,0.0866,5.3924,0.0477,0.0000,4.6040,1.3051,6.0000,1.5728,0.0973,0.4083,3.1329,0.0415
2023-11-14,8.4167,0.0466,7.1259,0.0832,0.0000,5.1741,1.3402,7.0000,1.2885,0.0373,0.5616,3.7000,-0.0059
2023-11-15,8.6167,0.0235,3.3889,0.0677,0.0000,2.7223,1.2730,8.0000,1.2378,0.0139,0.5854,3.1752,-0.0290
2023-11-16,8.9833,0.0417,3.5136,0.0371,0.0000,1.2023,1.1304,9.0000,1.0660,0.0348,0.5980,2.9257,-0.0686
