Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,38.4500,0.0371,3.2886,0.0364,0.0000,2.7236,0.9854,1.0000,0.2108,0.0040,0.3834,2.5672,0.0117
2023-10-16,40.3500,0.0482,7.2609,0.0694,0.0000,3.4279,1.1153,2.0000,0.3887,0.0065,0.5517,3.7835,-0.0359
2023-10-17,41.2000,0.0208,3.9356,0.0316,0.0000,1.7454,1.0128,3.0000,0.1869,0.0409,0.5895,3.3193,-0.0558
2023-10-18,41.2000,0.0000,1.5370,0.0522,0.0000,0.8656,1.0235,0.0000,0.1694,-0.0049,0.5690,2.5350,-0.0558
2023-10-19,41.8500,0.0157,0.9674,0.0406,0.0000,0.4231,0.9761,1.0000,0.0361,-0.0170,0.5450,2.2490,-0.0705
2023-10-22,40.3000,-0.0377,2.3683,0.0521,0.0000,1.4297,0.9955,0.0000,-0.0148,0.0000,0.5504,1.4714,-0.0347
2023-10-24,40.7500,0.0111,0.6449,0.0503,0.0000,0.3782,0.9937,1.0000,-0.1709,0.0372,0.5383,1.4401,-0.0454
2023-10-25,38.9000,-0.0465,0.1154,0.0450,0.0000,0.0743,1.1496,0.0000,-0.3289,-0.0479,0.5434,1.2680,0.0026
2023-10-26,39.0000,0.0026,0.3727,0.0359,0.0000,0.3297,1.1478,1.0000,-0.2387,0.0026,0.5490,1.2132,0.0051
2023-10-29,39.6000,0.0153,0.1424,0.0404,0.0000,0.1189,1.1582,2.0000,-0.3176,0.0244,0.5601,1.1215,-0.0101
2023-10-30,40.4500,0.0212,0.4811,0.0717,0.0000,0.4239,1.1027,3.0000,-0.4051,0.0000,0.5502,1.1048,-0.0309
2023-10-31,40.5000,0.0012,1.1865,0.0519,0.0000,0.6148,0.9293,4.0000,-0.4044,-0.0074,0.5281,1.2303,-0.0321
2023-11-01,40.4000,-0.0025,0.7615,0.0371,0.0000,0.5417,0.8880,0.0000,-0.5071,-0.0358,0.5048,0.9594,-0.0297
2023-11-02,41.0000,0.0147,1.1305,0.0463,0.0000,0.6725,0.9178,1.0000,-0.5122,-0.0099,0.4786,1.1146,-0.0439
2023-11-05,40.9500,-0.0012,0.2567,0.0537,0.0000,0.0913,0.8995,0.0000,-0.5854,0.0195,0.4864,0.9613,-0.0427
2023-11-06,40.6000,-0.0086,0.1626,0.0357,0.0000,0.1220,0.7599,0.0000,-0.5828,0.0122,0.5030,0.8470,-0.0493
2023-11-07,39.9500,-0.0161,0.7060,0.0463,0.0000,0.4616,0.7748,0.0000,-0.3752,0.0037,0.5059,0.5917,-0.0338
2023-11-08,40.2500,0.0075,0.4968,0.0671,0.0000,0.2219,0.4606,1.0000,-0.4097,-0.0213,0.5121,0.6601,-0.0410
2023-11-09,41.3500,0.0270,0.2895,0.0580,0.0000,0.2208,0.5457,2.0000,-0.5375,0.0137,0.5052,0.6974,-0.0665
2023-11-12,41.0000,-0.0085,0.0936,0.0317,0.0000,0.0799,0.5649,0.0000,-0.4848,-0.0314,0.5214,0.6619,-0.0634
2023-11-14,40.1000,-0.0222,0.3023,0.0536,0.0000,0.2195,0.6101,0.0000,-0.3604,0.0098,0.5397,0.5832,-0.0424
2023-11-15,39.2000,-0.0227,0.2895,0.0408,0.0000,0.2326,0.7017,0.0000,-0.7451,0.0125,0.4870,0.3168,-0.0204
2023-11-16,39.4500,0.0064,2.4144,0.0659,0.0000,0.8262,0.7140,1.0000,-0.7791,0.0013,0.4435,1.8393,-0.0266
2023-11-19,42.3000,0.0698,8.7115,0.1158,0.0000,3.6162,1.1561,2.0000,0.5639,0.1153,0.6282,3.9637,-0.0922
2023-11-20,42.0500,-0.0059,1.9315,0.0571,0.0000,1.0044,1.1620,0.0000,0.7087,0.0165,0.6289,2.4359,-0.0868
2023-11-21,40.4500,-0.0388,2.9308,0.0692,0.0000,1.1052,1.2668,0.0000,0.6908,0.0048,0.6409,1.2093,-0.0507
2023-11-22,40.6000,0.0037,4.2582,0.0456,0.0000,1.7791,1.2783,1.0000,0.7454,0.0136,0.6579,2.4469,-0.0542
2023-11-23,39.9500,-0.0161,1.9949,0.0288,0.0000,1.5722,1.3867,0.0000,1.2282,0.0012,0.6305,1.4339,-0.0388
2023-11-27,40.5500,0.0149,1.7579,0.0937,0.0000,0.6408,1.3660,1.0000,1.1183,0.0989,0.6078,1.8750,-0.0530
2023-11-28,40.4000,-0.0037,0.4837,0.0359,0.0000,0.2788,1.3736,0.0000,1.2730,0.0074,0.5894,1.4855,-0.0495
2023-11-29,40.3000,-0.0025,2.3336,0.0459,0.0000,0.9696,1.3603,0.0000,1.4942,0.0149,0.5719,0.4055,-0.0471
2023-11-30,40.4000,0.0025,0.9756,0.0408,0.0000,0.3535,1.3063,1.0000,1.4838,0.0000,0.5642,0.7683,-0.0495
2023-12-03,39.9500,-0.0112,0.3808,0.0363,0.0000,0.2701,1.3352,0.0000,1.5153,0.0149,0.5639,0.5270,-0.0388
2023-12-04,40.4000,0.0112,0.2397,0.0210,0.0000,0.1999,0.7292,1.0000,1.5548,0.0050,0.5754,0.5691,-0.0495
2023-12-05,40.6000,0.0049,0.1285,0.0357,0.0000,0.0980,0.7651,2.0000,1.5023,-0.0124,0.5757,0.5584,-0.0542
2023-12-06,38.6000,-0.0505,1.5879,0.0894,0.0000,1.0222,0.8868,0.0000,0.8836,0.0086,0.5413,-0.2942,-0.0052
2023-12-07,39.0000,0.0103,0.4375,0.0359,0.0000,0.1790,0.9075,1.0000,0.7301,0.0259,0.5376,-0.1355,-0.0154
2023-12-10,39.4000,0.0102,0.2374,0.0330,0.0000,0.0911,0.9043,2.0000,0.7099,0.0103,0.5373,-0.0757,-0.0254
2023-12-11,39.1000,-0.0076,0.3412,0.0332,0.0000,0.3056,0.8690,0.0000,0.9356,0.0102,0.5271,-0.3520,-0.0179
2023-12-12,38.4000,-0.0181,0.2981,0.0365,0.0000,0.1770,0.9082,0.0000,0.9630,0.0128,0.5117,-0.6304,0.0052
2023-12-13,38.8500,0.0117,0.1426,0.0219,0.0000,0.0926,0.9445,1.0000,0.7959,0.0156,0.5107,-0.6557,-0.0064
2023-12-14,39.6500,0.0204,0.3988,0.0366,0.0000,0.3057,1.0080,2.0000,0.5866,0.0039,0.4941,-0.5137,-0.0265
2023-12-17,38.6000,-0.0268,1.3818,0.0738,0.0000,1.1442,1.0660,0.0000,0.6808,0.0088,0.4837,-1.7904,0.0013
2023-12-18,38.6500,0.0013,0.5151,0.0233,0.0000,0.3592,1.0521,1.0000,-1.0902,0.0000,0.4442,-1.2822,0.0026
2023-12-19,38.7500,0.0026,1.9480,0.0787,0.0000,0.6512,1.0504,2.0000,-1.1528,0.0194,0.4439,0.3110,-0.0116
2023-12-20,45.8500,0.1682,13.6355,0.2083,0.0000,9.6280,2.0231,3.0000,3.2684,0.0065,0.7702,4.2088,-0.1668
2023-12-21,51.3500,0.1133,12.2347,0.1227,0.0000,7.2026,2.1156,4.0000,2.3971,0.0731,0.8505,4.0422,-0.2639
2023-12-25,51.6000,0.0049,1.5170,0.1085,0.0000,0.7254,2.1580,5.0000,2.3985,-0.0010,0.8431,2.9897,-0.2694
2023-12-26,49.2000,-0.0476,0.5057,0.0996,0.0000,0.3448,2.2461,0.0000,2.2395,-0.0116,0.8392,2.3039,-0.2591
2023-12-27,46.8500,-0.0489,0.3375,0.0854,0.0000,0.1069,2.3074,0.0000,2.0890,-0.0244,0.8309,1.9019,-0.2220
2023-12-28,44.5000,-0.0515,0.1323,0.0562,0.0000,0.0427,2.3889,0.0000,1.9727,0.0000,0.8355,1.6388,-0.1809
2023-12-31,44.8000,0.0067,0.2658,0.0759,0.0000,0.1990,2.4007,1.0000,1.9595,0.0000,0.8313,1.4779,-0.1864
2024-01-01,43.8000,-0.0226,0.0996,0.0377,0.0000,0.0599,2.3874,0.0000,1.9613,0.0022,0.8289,1.3088,-0.1678
2024-01-02,42.0000,-0.0420,0.1406,0.0548,0.0000,0.1012,2.4264,0.0000,1.9832,-0.0114,0.8232,1.1624,-0.1321
2024-01-03,42.9000,0.0212,0.1096,0.0466,0.0000,0.0799,2.4359,1.0000,1.9171,0.0214,0.8172,1.0616,-0.1503
2024-01-04,43.4000,0.0116,0.0673,0.0461,0.0000,0.0591,1.6413,2.0000,1.9448,-0.0117,0.8232,0.9675,-0.1601
2024-01-07,43.4500,0.0012,0.0644,0.0449,0.0000,0.0344,0.9386,3.0000,1.9739,0.0000,0.8229,0.8821,-0.1611
2024-01-08,42.6000,-0.0198,0.1131,0.0399,0.0000,0.0677,0.9109,0.0000,2.0306,0.0115,0.8180,0.7837,-0.1444
2024-01-09,43.4500,0.0198,0.1136,0.0518,0.0000,0.0987,0.9279,1.0000,1.9419,-0.0106,0.8139,0.7170,-0.1611
2024-01-10,41.4500,-0.0471,0.1688,0.0651,0.0000,0.1237,0.9071,0.0000,1.8704,0.0000,0.8070,0.6191,-0.1206
2024-01-11,41.1000,-0.0085,0.1010,0.0377,0.0000,0.0359,0.7911,0.0000,1.9281,0.0169,0.8006,0.5306,-0.1131
2024-01-14,41.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7797,0.0000,2.0061,0.0000,0.8056,0.4545,-0.1131
2024-01-15,40.8000,-0.0073,0.0566,0.0392,0.0000,0.0460,0.7634,0.0000,1.9959,0.0061,0.8124,0.3650,-0.1066
2024-01-16,39.0000,-0.0451,0.1734,0.0538,0.0000,0.1051,0.7718,0.0000,1.9837,-0.0196,0.8069,0.2362,-0.0654
2024-01-17,38.3000,-0.0181,0.1991,0.0601,0.0000,0.0614,0.7040,0.0000,2.0279,0.0000,0.8080,0.0166,-0.0483
2024-01-18,38.2000,-0.0026,0.1364,0.0497,0.0000,0.1030,0.6672,0.0000,1.7199,0.0183,0.8106,-1.7916,-0.0458
2024-01-22,37.8000,-0.0105,0.2836,0.0357,0.0000,0.1409,0.6497,0.0000,-0.2292,-0.0039,0.5255,-1.9006,-0.0357
2024-01-23,37.7000,-0.0026,0.3716,0.0424,0.0000,0.1646,0.6567,0.0000,-0.2111,0.0159,0.3807,-2.0141,-0.0332
2024-01-24,36.4500,-0.0337,0.9216,0.0617,0.0000,0.6980,0.5738,0.0000,-0.2078,0.0146,0.3180,-2.0476,0.0055
2024-01-28,36.7500,0.0082,0.7747,0.0395,0.0000,0.3588,0.5200,1.0000,-0.3910,0.0000,0.2795,-1.5696,-0.0027
2024-01-29,36.6500,-0.0027,0.7403,0.0382,0.0000,0.5029,0.5277,0.0000,-0.4867,0.0000,0.2847,-1.5728,0.0355
2024-01-30,38.4000,0.0466,1.6087,0.0638,0.0000,0.8375,0.7803,1.0000,0.1784,0.0205,0.2561,-1.0303,-0.0117
2024-01-31,37.9500,-0.0118,0.7016,0.0685,0.0000,0.3648,0.7823,0.0000,0.1217,0.0391,0.2625,-1.1002,0.0184
