Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,39.4000,-0.0013,1.7885,0.0406,0.0000,1.3684,1.4522,0.0000,0.7473,0.0215,0.4198,-0.2240,-0.0711
2023-10-16,39.4500,0.0013,0.5456,0.0241,0.0000,0.3319,1.4003,1.0000,0.6599,0.0178,0.4256,0.1300,-0.0722
2023-10-17,39.0500,-0.0102,0.3139,0.0294,0.0000,0.1331,1.4026,0.0000,0.6446,0.0127,0.4378,-0.0907,-0.0627
2023-10-18,38.9000,-0.0038,0.4835,0.0398,0.0000,0.3091,1.3996,0.0000,0.6873,-0.0102,0.4424,-0.4317,-0.0591
2023-10-19,39.2500,0.0090,0.8696,0.0650,0.0000,0.5649,1.3842,1.0000,0.6875,-0.0013,0.4314,0.1191,-0.0675
2023-10-22,36.8500,-0.0631,1.2490,0.1099,0.0000,1.0532,1.2651,0.0000,0.5211,0.0268,0.4330,-0.7353,-0.0068
2023-10-24,36.6000,-0.0068,1.4389,0.0751,0.0000,1.2707,1.2259,0.0000,0.6316,0.0000,0.4360,-1.5377,0.0068
2023-10-25,36.8500,0.0068,0.9862,0.0393,0.0000,0.8172,0.6423,1.0000,0.5581,-0.0096,0.4266,-0.8219,0.0109
2023-10-26,38.0500,0.0320,0.4603,0.0473,0.0000,0.3262,0.7556,2.0000,0.5640,0.0109,0.4373,-0.4732,-0.0210
2023-10-29,37.5500,-0.0132,0.2248,0.0280,0.0000,0.1433,0.7515,0.0000,0.6173,-0.0131,0.4583,-0.5712,-0.0080
2023-10-30,37.2500,-0.0080,0.1677,0.0255,0.0000,0.0754,0.7536,0.0000,0.6375,-0.0040,0.4655,-0.6334,0.0215
2023-10-31,38.1000,0.0226,0.7269,0.0341,0.0000,0.6327,0.8020,1.0000,0.4489,0.0134,0.4565,-0.1840,-0.0013
2023-11-01,38.0500,-0.0013,0.2175,0.0263,0.0000,0.1566,0.7988,0.0000,0.4313,-0.0026,0.4656,-0.3252,0.0000
2023-11-02,38.4500,0.0105,0.2924,0.0377,0.0000,0.1941,0.8089,1.0000,0.4173,-0.0066,0.4695,-0.1495,-0.0104
2023-11-05,40.7500,0.0581,1.7695,0.0859,0.0000,0.8258,0.9833,2.0000,0.2444,0.0052,0.4597,0.9297,-0.0663
2023-11-06,40.2000,-0.0136,0.2486,0.0448,0.0000,0.1157,0.7098,0.0000,0.9357,0.0074,0.4775,0.6935,-0.0535
2023-11-07,39.8000,-0.0100,0.4130,0.0452,0.0000,0.1886,0.7177,0.0000,1.1531,-0.0025,0.4865,0.3807,-0.0440
2023-11-08,38.2500,-0.0397,0.6991,0.0510,0.0000,0.3723,0.8511,0.0000,0.0934,0.0025,0.3897,0.2119,-0.0052
2023-11-09,38.4000,0.0039,0.4195,0.0456,0.0000,0.2229,0.7959,1.0000,-0.0302,-0.0039,0.4036,0.7181,-0.0091
2023-11-12,38.3000,-0.0026,0.2912,0.0248,0.0000,0.1249,0.7830,0.0000,-0.1132,0.0039,0.4106,0.6336,-0.0065
2023-11-14,38.9000,0.0155,0.2089,0.0270,0.0000,0.0904,0.7848,1.0000,-0.2034,0.0000,0.4114,0.7174,-0.0219
2023-11-15,38.0500,-0.0221,0.8951,0.0355,0.0000,0.2744,0.7935,0.0000,-0.0742,-0.0154,0.4115,0.1768,0.0026
2023-11-16,38.3500,0.0079,0.4036,0.0196,0.0000,0.2109,0.7985,1.0000,-0.1880,0.0000,0.4161,0.4181,-0.0052
2023-11-19,38.1500,-0.0052,0.5713,0.0380,0.0000,0.2146,0.7941,0.0000,-0.1789,0.0287,0.4212,0.0480,0.0118
2023-11-20,40.2000,0.0523,2.8754,0.0585,0.0000,1.2948,0.7425,1.0000,0.0141,0.0000,0.4440,1.7528,-0.0435
2023-11-21,40.6000,0.0099,0.9695,0.0234,0.0000,0.3050,0.7370,2.0000,0.7120,0.0000,0.4373,1.9520,-0.0530
2023-11-22,40.7000,0.0025,0.4578,0.0319,0.0000,0.1670,0.7278,3.0000,0.6669,-0.0025,0.4279,1.9872,-0.0553
2023-11-23,39.8500,-0.0211,0.4417,0.0452,0.0000,0.1966,0.6328,0.0000,0.7239,0.0172,0.4252,1.6032,-0.0351
2023-11-27,39.6500,-0.0050,0.3653,0.0404,0.0000,0.1246,0.6387,0.0000,0.9680,0.0314,0.4386,1.3040,-0.0303
2023-11-28,39.6000,-0.0013,0.3979,0.0316,0.0000,0.2065,0.6380,0.0000,0.9318,-0.0025,0.4422,1.0413,-0.0290
2023-11-29,39.1500,-0.0114,0.4891,0.0370,0.0000,0.2178,0.6381,0.0000,0.9372,0.0000,0.4350,0.7588,-0.0179
2023-11-30,38.9000,-0.0064,0.4880,0.0437,0.0000,0.1436,0.5976,0.0000,1.1606,0.0000,0.4345,0.4707,-0.0116
2023-12-03,39.4500,0.0140,0.3701,0.0342,0.0000,0.1788,0.6060,1.0000,1.0321,0.0347,0.4408,0.5666,-0.0253
2023-12-04,40.2000,0.0188,3.1922,0.0448,0.0000,1.6692,0.6172,2.0000,0.9595,0.0241,0.4719,2.0843,-0.0435
2023-12-05,40.5000,0.0074,3.2805,0.0358,0.0000,1.6773,0.3700,3.0000,0.6603,0.0137,0.4621,2.7703,-0.0506
2023-12-06,40.0000,-0.0124,0.8251,0.0325,0.0000,0.3278,0.3749,0.0000,0.6593,0.0000,0.4575,2.0244,-0.0387
2023-12-07,39.2000,-0.0202,0.9196,0.0459,0.0000,0.3894,0.4114,0.0000,0.6490,0.0000,0.4570,1.4906,-0.0191
2023-12-10,39.6000,0.0102,0.4218,0.0177,0.0000,0.1646,0.3852,1.0000,1.1538,0.0000,0.4650,1.4508,-0.0290
2023-12-11,39.2500,-0.0089,0.8804,0.0357,0.0000,0.4690,0.3911,0.0000,1.2333,-0.0126,0.4623,1.0518,-0.0204
2023-12-12,38.9000,-0.0090,0.8002,0.0308,0.0000,0.2452,0.3982,0.0000,1.2560,0.0000,0.4528,0.7075,-0.0116
2023-12-13,39.1500,0.0064,0.4622,0.0217,0.0000,0.1238,0.3913,1.0000,1.3749,0.0039,0.4396,0.7810,-0.0179
2023-12-14,38.6000,-0.0141,0.4380,0.0285,0.0000,0.0961,0.4101,0.0000,1.5185,0.0000,0.4466,0.5575,-0.0039
2023-12-17,40.4000,0.0456,2.7750,0.0359,0.0000,0.8772,0.5896,1.0000,1.3543,0.0155,0.4598,1.5711,-0.0483
2023-12-18,41.8000,0.0341,4.7191,0.0467,0.0000,1.6621,0.6446,2.0000,1.0377,0.0025,0.5228,3.0779,-0.0801
2023-12-19,38.4500,-0.0835,5.9438,0.1235,0.0000,3.5616,1.0064,0.0000,-1.3053,0.0263,0.5984,-0.2086,0.0156
2023-12-20,39.0500,0.0155,1.7095,0.0896,0.0000,1.0982,1.0191,1.0000,-1.3031,-0.0117,0.5905,0.7284,0.0064
2023-12-21,39.3000,0.0064,0.5322,0.0420,0.0000,0.2224,1.0123,2.0000,-1.3192,0.0102,0.5831,0.9502,0.0051
2023-12-25,40.0000,0.0177,0.7280,0.0363,0.0000,0.3524,1.0215,3.0000,-1.5318,0.0178,0.5709,1.2483,-0.0125
2023-12-26,40.4500,0.0112,1.1879,0.0358,0.0000,0.6999,1.0208,4.0000,-1.6167,0.0000,0.5490,1.7289,-0.0235
2023-12-27,39.8500,-0.0149,0.3206,0.0351,0.0000,0.0899,1.0416,0.0000,-1.4982,0.0124,0.5417,1.3824,-0.0088
2023-12-28,39.5000,-0.0088,0.3265,0.0241,0.0000,0.1552,1.0471,0.0000,-1.5216,-0.0038,0.5363,1.0890,0.1025
2023-12-31,43.5500,0.0976,5.8677,0.1171,0.0000,2.3535,1.3067,1.0000,0.1686,0.0000,0.5977,3.5007,0.0413
2024-01-01,45.9500,0.0536,5.7213,0.0968,0.0000,3.0231,1.3307,2.0000,0.1040,0.0092,0.6333,3.7037,-0.0131
2024-01-02,46.8500,0.0194,1.0866,0.0544,0.0000,0.4671,1.3189,3.0000,0.1015,0.0000,0.6320,2.8801,-0.0320
2024-01-03,45.4000,-0.0314,1.1343,0.0639,0.0000,0.5218,1.0345,0.0000,0.1988,0.0000,0.6290,2.1014,-0.0011
2024-01-04,46.2500,0.0185,0.8808,0.0519,0.0000,0.3916,1.0336,1.0000,0.0693,0.0231,0.6111,1.9562,-0.0195
2024-01-07,45.3500,-0.0197,0.3232,0.0529,0.0000,0.1091,1.0812,0.0000,0.0684,0.0151,0.6067,1.6378,0.0430
