Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,135.8000,-0.0103,0.3184,0.0324,0.0000,0.1460,1.5150,0.0000,-0.3836,0.0077,0.4716,0.8007,-0.0335
2023-10-31,135.0500,-0.0055,0.2997,0.0289,0.0000,0.1374,1.3071,0.0000,-0.3887,0.0015,0.4816,0.6414,-0.0281
2023-11-01,135.8500,0.0059,0.1225,0.0140,0.0000,0.0631,1.2442,1.0000,-0.4870,0.0048,0.4953,0.5998,-0.0339
2023-11-02,137.1500,0.0095,0.1526,0.0182,0.0000,0.0884,1.2070,2.0000,-0.5453,0.0173,0.5052,0.5693,-0.0448
2023-11-05,137.5000,0.0025,0.3728,0.0273,0.0000,0.2141,1.0896,3.0000,-0.5305,0.0026,0.4942,0.5986,-0.0473
2023-11-06,139.1000,0.0116,0.2441,0.0183,0.0000,0.1181,0.7881,4.0000,-0.6877,0.0145,0.5092,0.5847,-0.0582
2023-11-07,139.8000,0.0050,0.3392,0.0240,0.0000,0.1732,0.7568,5.0000,-0.6531,0.0000,0.5173,0.5998,-0.0629
2023-11-08,136.5500,-0.0235,0.3358,0.0432,0.0000,0.1257,0.6607,0.0000,-0.5145,0.0004,0.5238,0.4284,-0.0406
2023-11-09,135.1500,-0.0103,0.2812,0.0240,0.0000,0.1275,0.4891,0.0000,-0.4048,0.0033,0.5344,0.2482,-0.0307
2023-11-12,137.2500,0.0154,0.3953,0.0306,0.0000,0.1675,0.5146,1.0000,-0.4350,-0.0011,0.5356,0.3076,-0.0455
2023-11-14,134.0000,-0.0240,1.2111,0.0474,0.0000,0.4733,0.5929,0.0000,-0.2323,0.0128,0.5322,-0.6051,-0.0224
2023-11-15,133.5500,-0.0034,0.6697,0.0206,0.0000,0.2488,0.5938,0.0000,-0.6276,0.0075,0.5203,-1.4859,-0.0191
2023-11-16,133.7500,0.0015,0.7800,0.0202,0.0000,0.3363,0.5908,1.0000,-0.6593,0.0101,0.3911,-0.9228,-0.0206
2023-11-19,131.2500,-0.0189,2.8758,0.0335,0.0000,0.3957,0.6092,0.0000,-0.5269,0.0004,0.3771,-2.6683,-0.0019
2023-11-20,132.7000,0.0110,1.2741,0.0350,0.0000,0.5804,0.6381,1.0000,-0.6747,0.0000,0.3539,-1.7726,-0.0222
2023-11-21,132.4500,-0.0019,0.9383,0.0215,0.0000,0.4913,0.5987,0.0000,0.0542,0.0087,0.3424,-2.0237,-0.0204
2023-11-22,132.7000,0.0019,0.6052,0.0132,0.0000,0.2495,0.5929,1.0000,-0.0818,0.0000,0.3482,-1.4793,-0.0222
2023-11-23,131.7500,-0.0072,1.1684,0.0213,0.0000,0.3250,0.5265,0.0000,0.2990,0.0000,0.3305,-1.8136,-0.0152
2023-11-27,132.7500,0.0076,1.1663,0.0328,0.0000,0.5149,0.5377,1.0000,-0.6655,0.0023,0.3287,-1.1357,-0.0226
2023-11-28,132.7000,-0.0004,0.4625,0.0139,0.0000,0.2066,0.4720,0.0000,-0.6278,0.0087,0.3361,-1.2110,-0.0222
2023-11-29,132.0500,-0.0049,0.8686,0.0182,0.0000,0.3573,0.3567,0.0000,-0.7082,0.0000,0.3355,-1.4201,-0.0174
2023-11-30,133.1000,0.0079,1.0246,0.0218,0.0000,0.3117,0.3769,1.0000,-0.8447,0.0068,0.3325,-0.8921,-0.0252
2023-12-03,133.4000,0.0023,1.2468,0.0214,0.0000,0.4454,0.3783,2.0000,-0.8203,0.0071,0.3108,-0.2928,-0.0274
2023-12-04,131.0000,-0.0182,1.8528,0.0351,0.0000,0.6453,0.3705,0.0000,-0.5840,0.0082,0.3065,-1.0790,-0.0095
2023-12-05,131.8000,0.0061,3.1167,0.0258,0.0000,1.1956,0.3523,1.0000,-0.6016,0.0000,0.3547,0.6673,-0.0156
2023-12-06,132.0500,0.0019,0.8556,0.0193,0.0000,0.2937,0.3571,2.0000,-0.6265,0.0091,0.3366,1.1897,-0.0174
2023-12-07,134.1500,0.0158,1.9911,0.0436,0.0000,1.1122,0.4237,3.0000,-0.4856,0.0042,0.3412,2.2396,-0.0328
2023-12-10,137.1500,0.0221,1.5505,0.0292,0.0000,0.7320,0.5000,4.0000,-0.3053,0.0127,0.3324,2.5889,-0.0540
2023-12-11,134.4500,-0.0199,0.7972,0.0376,0.0000,0.3155,0.6125,0.0000,-0.3395,0.0047,0.3135,1.9102,-0.0350
2023-12-12,135.7000,0.0093,0.6263,0.0206,0.0000,0.3703,0.6367,1.0000,-0.3791,-0.0060,0.3053,1.9546,-0.0438
2023-12-13,132.9500,-0.0205,1.6762,0.0417,0.0000,0.8642,0.7211,0.0000,-0.2907,0.0140,0.3093,1.1096,-0.0241
2023-12-14,133.7000,0.0056,0.8694,0.0206,0.0000,0.4263,0.7205,1.0000,-0.4038,0.0079,0.3078,1.3340,-0.0295
2023-12-17,132.6500,-0.0079,0.9831,0.0219,0.0000,0.4022,0.7300,0.0000,-0.2789,0.0045,0.3018,0.8509,-0.0219
2023-12-18,133.4000,0.0056,0.4970,0.0154,0.0000,0.2257,0.6722,1.0000,-0.4391,0.0026,0.2938,0.9414,-0.0274
2023-12-19,129.7500,-0.0277,1.3086,0.0401,0.0000,0.5050,0.7936,0.0000,-0.4873,0.0037,0.2962,0.3779,0.0089
2023-12-20,131.4500,0.0130,0.6265,0.0380,0.0000,0.3489,0.8212,1.0000,-0.5622,-0.0039,0.2970,0.5534,-0.0042
2023-12-21,130.9000,-0.0042,0.5091,0.0260,0.0000,0.2313,0.8067,0.0000,-0.4849,0.0114,0.2913,0.2881,0.0042
2023-12-25,132.6500,0.0133,0.6526,0.0207,0.0000,0.3363,0.7422,1.0000,-0.6393,0.0099,0.2940,0.4837,-0.0090
2023-12-26,133.3000,0.0049,1.7956,0.0488,0.0000,1.0899,0.6931,2.0000,-0.6219,0.0060,0.3020,1.1847,-0.0139
2023-12-27,132.4500,-0.0064,0.5051,0.0166,0.0000,0.2048,0.6797,0.0000,-0.5428,0.0053,0.2880,0.8653,-0.0076
2023-12-28,131.4500,-0.0076,0.7304,0.0217,0.0000,0.3288,0.6138,0.0000,-0.5095,0.0060,0.2807,0.4284,0.0004
2023-12-31,131.8500,0.0030,0.7652,0.0197,0.0000,0.3162,0.6075,1.0000,-0.4739,0.0042,0.2765,0.7911,-0.0027
2024-01-01,133.2000,0.0102,1.3875,0.0229,0.0000,0.7487,0.6210,2.0000,-0.5228,0.0004,0.2766,1.5549,-0.0128
