Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,48.2500,-0.0031,0.7780,0.0352,0.0000,0.4073,1.5616,0.0000,-0.5980,0.0124,0.5760,1.2199,-0.0497
2023-10-16,51.4500,0.0642,3.9416,0.0972,0.0000,2.5152,1.6946,1.0000,-0.3135,0.0052,0.5848,1.9058,-0.1088
2023-10-17,50.9500,-0.0098,1.9221,0.0707,0.0000,1.1185,1.7194,0.0000,-0.2542,0.0019,0.5670,1.2618,-0.1050
2023-10-18,51.4000,0.0088,0.7846,0.0409,0.0000,0.4879,1.6171,1.0000,-0.3385,-0.0088,0.5493,1.3116,-0.1128
2023-10-19,49.6500,-0.0346,0.5039,0.0483,0.0000,0.2517,1.5470,0.0000,-0.2928,0.0000,0.5324,1.0688,-0.0816
2023-10-22,47.1500,-0.0517,0.6529,0.0679,0.0000,0.3843,1.3666,0.0000,-0.3278,0.0000,0.5110,0.8097,-0.0329
2023-10-24,46.3000,-0.0182,0.4735,0.0756,0.0000,0.3169,1.3131,0.0000,-0.3102,0.0095,0.4960,0.6036,-0.0184
2023-10-25,45.8500,-0.0098,0.3758,0.0393,0.0000,0.2144,1.3036,0.0000,-0.2141,-0.0140,0.4784,0.4194,-0.0131
2023-10-26,46.7500,0.0194,0.2824,0.0321,0.0000,0.1840,1.3439,1.0000,-0.3312,0.0000,0.4678,0.4309,-0.0396
2023-10-29,47.0500,0.0064,0.3231,0.0329,0.0000,0.1897,1.3509,2.0000,-0.3175,0.0064,0.4692,0.4658,-0.0457
2023-10-30,46.5500,-0.0107,0.1987,0.0333,0.0000,0.0981,1.3539,0.0000,-0.1934,0.0032,0.4683,0.3039,-0.0354
2023-10-31,46.4500,-0.0022,0.1523,0.0194,0.0000,0.0752,0.8984,0.0000,-0.0747,0.0075,0.4915,0.1317,-0.0334
2023-11-01,46.7000,0.0054,0.2607,0.0278,0.0000,0.1564,0.9227,1.0000,-0.0853,0.0043,0.4941,0.1484,-0.0385
2023-11-02,48.3000,0.0337,0.4867,0.0600,0.0000,0.2556,1.0582,2.0000,-0.1516,0.0075,0.4995,0.4047,-0.0704
2023-11-05,47.3000,-0.0209,0.7333,0.0846,0.0000,0.4072,0.9948,0.0000,-0.0745,-0.0807,0.4689,-0.2229,-0.0507
2023-11-06,47.2000,-0.0021,0.3300,0.0318,0.0000,0.1845,0.7133,0.0000,0.5139,0.0000,0.4736,-0.7798,-0.0487
2023-11-07,47.3000,0.0021,0.4589,0.0233,0.0000,0.2395,0.6597,1.0000,0.6604,0.0095,0.4301,-0.3978,-0.0507
2023-11-08,46.7500,-0.0117,0.4573,0.0278,0.0000,0.2140,0.6686,0.0000,0.7749,0.0085,0.4393,-0.7029,-0.0396
2023-11-09,46.1500,-0.0129,0.3351,0.0217,0.0000,0.1293,0.6545,0.0000,0.8261,0.0011,0.4516,-0.9014,-0.0271
