Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2025-02-23,40.6200,0.0000,0.0380,0.0276,0.0000,0.0000,1.1421,0.0000,0.1992,0.0000,0.7230,-2.2751,-0.1371
2025-02-24,42.6200,0.0481,0.5017,0.0950,0.0000,0.0016,1.2820,1.0000,0.2018,0.0475,0.7062,-1.8723,-0.1858
2025-02-26,43.7600,0.0264,0.0643,0.0948,0.0000,0.0008,1.2830,2.0000,0.0030,0.0476,0.7197,-1.6378,-0.2070
2025-02-27,41.5700,-0.0513,0.5076,0.0561,0.0000,0.0000,1.3023,0.0000,0.2041,0.0032,0.7111,-1.5386,-0.1814
2025-03-02,39.4900,-0.0513,5.3997,0.1041,0.0000,0.5319,1.2993,0.0000,0.2041,0.0000,0.7307,-2.1858,-0.1383
2025-03-03,38.1500,-0.0345,6.6608,0.0886,0.0000,0.0173,1.2487,0.0000,0.3974,0.0489,0.7470,-2.8614,-0.1080
2025-03-04,39.9000,0.0449,0.0151,0.0439,0.0000,0.0000,1.2493,1.0000,0.2052,0.0459,0.7572,-2.3052,-0.1471
2025-03-05,40.9000,0.0248,0.1337,0.0465,0.0000,0.0000,1.1952,2.0000,0.1731,0.0476,0.7594,-1.9432,-0.1680
2025-03-06,40.9900,0.0022,0.2280,0.0986,0.0000,0.0192,1.1951,3.0000,0.1614,0.0499,0.7483,-1.6735,-0.1698
2025-03-09,42.6000,0.0385,0.6461,0.0932,0.0000,0.0054,1.2417,4.0000,0.0813,-0.0242,0.7297,-1.4089,-0.2012
2025-03-10,43.4500,0.0198,0.0969,0.0951,0.0000,0.0156,1.2650,5.0000,-0.1196,0.0469,0.7478,-1.2594,-0.2168
2025-03-11,43.0800,-0.0086,0.5373,0.1005,0.0000,0.0000,1.1939,0.0000,-0.0863,0.0495,0.7573,-1.2032,-0.2101
2025-03-12,42.8800,-0.0047,0.2471,0.0979,0.0000,0.0703,1.1661,0.0000,-0.1953,0.0497,0.7586,-1.1194,-0.2064
2025-03-16,40.7300,-0.0514,0.0234,0.1048,0.0000,0.0005,1.1651,0.0000,0.0039,-0.0501,0.7573,-1.0190,-0.1645
2025-03-17,40.7300,0.0000,0.0000,0.0000,0.0000,0.0000,1.0270,0.0000,-0.1132,0.0000,0.7586,-0.9269,-0.1645
2025-03-18,37.5300,-0.0818,3.2866,0.0991,0.0000,0.7618,1.2790,0.0000,-0.3530,-0.0643,0.7317,-1.3606,-0.0933
2025-03-19,37.0600,-0.0126,0.3961,0.0855,0.0000,0.0878,1.1661,0.0000,-0.2926,-0.0458,0.7150,-1.3184,-0.0818
2025-03-20,36.5500,-0.0139,0.1472,0.0583,0.0000,0.0102,1.1070,0.0000,-0.3957,0.0302,0.7221,-1.2543,-0.0689
2025-03-23,37.5900,0.0281,0.5748,0.0623,0.0000,0.0020,1.1674,1.0000,-0.4647,0.0397,0.7215,-1.0791,-0.0947
2025-03-24,35.9400,-0.0449,1.0316,0.0570,0.0000,0.0469,1.0742,0.0000,-0.3400,0.0056,0.7267,-1.1571,-0.0531
2025-03-25,35.0500,-0.0251,1.9547,0.0802,0.0000,0.0923,0.9909,0.0000,-0.2296,-0.0039,0.6981,-1.4284,-0.0291
2025-03-26,34.7000,-0.0100,2.6022,0.0507,0.0000,0.2901,0.9888,0.0000,-0.2389,0.0000,0.6773,-1.8652,-0.0193
2025-03-27,35.5900,0.0253,0.5293,0.0840,0.0000,0.1019,1.0845,1.0000,-0.2409,-0.0501,0.6567,-1.6534,-0.0438
2025-03-31,34.0300,-0.0448,0.7170,0.1040,0.0000,0.2334,1.0555,0.0000,-0.2400,0.0000,0.6433,-1.8199,0.0194
2025-04-01,35.7300,0.0487,0.4776,0.0347,0.0000,0.0028,1.2245,1.0000,-0.3319,0.0432,0.6516,-1.6077,-0.0291
2025-04-02,36.4900,0.0210,0.2971,0.0940,0.0000,0.0390,1.0002,2.0000,-0.5455,-0.0048,0.5989,-1.3783,-0.0493
2025-04-03,36.8300,0.0093,0.2869,0.0635,0.0000,0.0164,1.0025,3.0000,-0.6158,0.0140,0.5825,-1.1900,-0.0581
2025-04-06,36.4900,-0.0093,0.0262,0.0096,0.0000,0.0000,0.9970,0.0000,-0.5217,0.0000,0.5923,-1.0791,-0.0493
2025-04-07,35.3700,-0.0312,3.0674,0.1021,0.0000,1.6920,0.9864,0.0000,-0.3608,-0.1000,0.5848,-1.5362,-0.0192
2025-04-08,34.6900,-0.0194,0.5622,0.0686,0.0000,0.0401,0.9065,0.0000,-0.3030,0.0421,0.5892,-1.4822,0.0323
2025-04-10,35.8100,0.0318,0.4812,0.1885,0.0000,0.2144,0.9267,1.0000,-0.2614,-0.0963,0.5710,-1.2639,0.0913
2025-04-14,39.0800,0.0874,1.8739,0.0732,0.0000,0.1664,1.1790,2.0000,0.3609,0.0584,0.5635,-0.7651,0.0151
2025-04-15,41.7100,0.0651,3.3250,0.0839,0.0000,1.4959,1.2512,3.0000,0.2843,0.0977,0.5564,0.2660,-0.0489
2025-04-16,42.8400,0.0267,0.3634,0.1270,0.0000,0.0955,1.0851,4.0000,0.1198,-0.0767,0.5367,0.5091,-0.0740
2025-04-20,42.0000,-0.0198,0.6276,0.0629,0.0000,0.1860,1.1134,0.0000,0.1886,-0.0159,0.5069,0.4476,-0.0555
2025-04-21,41.6300,-0.0088,6.0493,0.1746,0.0000,2.2522,1.1360,0.0000,0.6704,0.0893,0.5852,-2.2104,-0.0471
2025-04-22,41.2200,-0.0099,0.5547,0.0718,0.0000,0.1841,1.1570,0.0000,0.6643,-0.0048,0.5769,-2.0955,-0.0376
2025-04-23,41.7900,0.0137,0.6698,0.0785,0.0000,0.3969,1.1366,1.0000,0.5587,0.0553,0.5538,-1.6061,-0.0507
2025-04-24,41.2800,-0.0123,0.2975,0.0412,0.0000,0.0015,1.0810,0.0000,0.7333,-0.0189,0.5594,-1.5842,-0.0390
2025-04-27,41.6300,0.0084,0.5446,0.1427,0.0000,0.0198,1.0253,1.0000,0.7956,-0.0962,0.5613,-1.2401,-0.0471
2025-04-28,42.3900,0.0181,1.6732,0.0731,0.0000,0.0299,1.0173,2.0000,0.6958,0.0322,0.5611,-0.4018,-0.0642
2025-04-29,41.0500,-0.0321,0.9964,0.0551,0.0000,0.2264,0.8182,0.0000,0.6427,-0.0042,0.5599,-0.7797,-0.0336
2025-05-01,39.6700,-0.0342,0.1061,0.0587,0.0000,0.0034,0.6111,0.0000,0.7582,0.0231,0.5783,-0.7496,0.0045
2025-05-04,41.0100,0.0332,0.0374,0.0232,0.0000,0.0086,0.6412,1.0000,0.7177,0.0575,0.6056,-0.6702,-0.0283
2025-05-05,40.6800,-0.0081,0.5299,0.1785,0.0000,0.2874,0.6236,0.0000,0.9754,0.0822,0.6005,-0.8119,-0.0204
2025-05-06,39.8500,-0.0206,0.4014,0.1353,0.0000,0.1665,0.6428,0.0000,1.1188,-0.1000,0.5883,-0.8899,0.0013
2025-05-07,39.9000,0.0013,0.2395,0.0469,0.0000,0.0900,0.6459,1.0000,1.1614,0.0000,0.5832,-0.7092,0.0000
2025-05-08,39.9000,0.0000,0.0380,0.0000,0.0000,0.0000,0.6312,0.0000,1.1320,0.0000,0.5814,-0.6341,0.0291
2025-05-11,41.5100,0.0396,0.5143,0.1060,0.0000,0.0860,0.7402,1.0000,0.9456,0.0777,0.5855,-0.3877,-0.0108
2025-05-12,41.0600,-0.0109,0.3301,0.0487,0.0000,0.0023,0.7420,0.0000,0.9563,0.0359,0.5876,-0.4839,0.0015
2025-05-13,43.5300,0.0584,0.9889,0.1098,0.0000,0.0352,0.9011,1.0000,0.8736,-0.0207,0.5742,-0.0502,-0.0554
2025-05-14,41.5700,-0.0461,0.1719,0.0868,0.0000,0.0038,0.9532,0.0000,0.5436,0.0186,0.5969,-0.0673,-0.0108
2025-05-15,41.6100,0.0010,1.2983,0.0981,0.0000,0.2293,0.8862,1.0000,0.4491,0.0986,0.5763,0.5802,-0.0118
2025-05-18,43.0000,0.0329,1.2421,0.1091,0.0000,0.0814,0.8887,2.0000,0.4440,0.0815,0.5615,1.5234,-0.0437
