Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,18.8000,-0.0158,0.2033,0.0160,0.0000,0.0371,0.9035,0.0000,0.5395,0.0000,0.5497,1.3851,0.0027
2023-10-31,19.0000,0.0106,0.1709,0.0263,0.0000,0.0367,0.9191,1.0000,0.4683,0.0027,0.5548,1.2933,-0.0079
2023-11-01,18.8500,-0.0079,0.3811,0.0265,0.0000,0.1030,0.8988,0.0000,0.4692,0.0132,0.5440,1.0478,0.0027
2023-11-02,19.1500,0.0158,0.7351,0.0601,0.0000,0.3810,0.9274,1.0000,0.2704,-0.0027,0.5453,1.1817,-0.0131
2023-11-05,19.2500,0.0052,0.4761,0.0338,0.0000,0.1320,0.7699,2.0000,0.2708,0.0313,0.5535,1.2145,-0.0182
2023-11-06,19.5500,0.0155,0.5506,0.0281,0.0000,0.3152,0.6152,3.0000,0.1313,0.0000,0.5576,1.2851,-0.0332
2023-11-07,19.3500,-0.0103,0.8059,0.0439,0.0000,0.3367,0.5010,0.0000,0.2035,0.0000,0.5417,0.9289,-0.0233
2023-11-08,19.3500,0.0000,0.1775,0.0310,0.0000,0.0534,0.5032,0.0000,-0.0661,0.0207,0.5165,0.8454,-0.0233
2023-11-09,19.2500,-0.0052,0.3827,0.0286,0.0000,0.1969,0.5095,0.0000,-0.0649,0.0181,0.5259,0.6602,-0.0182
2023-11-12,19.2500,0.0000,0.2635,0.0208,0.0000,0.0484,0.4541,0.0000,-0.1872,-0.0104,0.5440,0.5845,-0.0182
2023-11-14,19.1000,-0.0078,0.4859,0.0288,0.0000,0.0491,0.4074,0.0000,-0.1371,0.0130,0.5503,0.3651,-0.0105
2023-11-15,19.0500,-0.0026,0.6183,0.0289,0.0000,0.0378,0.4461,0.0000,-0.1369,0.0262,0.5437,0.0460,-0.0079
2023-11-16,19.0500,0.0000,0.8020,0.0210,0.0000,0.2087,0.4247,0.0000,-0.0452,0.0184,0.5447,-0.1116,-0.0079
2023-11-19,19.1000,0.0026,4.9687,0.1518,0.0000,3.5059,0.3683,1.0000,-0.1687,0.0000,0.5837,3.3091,-0.0105
2023-11-20,18.9000,-0.0105,0.6939,0.0317,0.0000,0.1140,0.3870,0.0000,-0.7826,0.0157,0.5190,2.3119,0.0000
2023-11-21,19.0500,0.0079,2.5794,0.0446,0.0000,1.5327,0.3043,1.0000,-0.2558,0.0053,0.5364,2.7676,-0.0079
2023-11-22,19.3500,0.0156,0.5643,0.0284,0.0000,0.1156,0.3909,2.0000,0.1992,0.0157,0.5366,2.4408,-0.0233
2023-11-23,19.3000,-0.0026,0.5293,0.0233,0.0000,0.2686,0.3937,0.0000,0.2803,0.0078,0.5194,1.9105,-0.0207
2023-11-27,19.0500,-0.0130,0.3511,0.0262,0.0000,0.0927,0.4397,0.0000,0.2609,0.0104,0.5221,1.5799,-0.0079
2023-11-28,19.1500,0.0052,0.1869,0.0418,0.0000,0.0722,0.4514,1.0000,0.2048,0.0236,0.5253,1.4453,-0.0131
2023-11-29,18.9000,-0.0131,0.6249,0.0503,0.0000,0.2013,0.4826,0.0000,0.2923,0.0157,0.5118,1.1476,0.0661
2023-11-30,21.0500,0.1077,8.3510,0.1591,0.0000,2.2623,1.5766,1.0000,3.5948,0.0000,0.6471,3.1698,-0.0428
2023-12-03,25.2500,0.1819,15.3455,0.0812,0.0000,9.6017,2.1843,2.0000,3.0298,0.1401,0.8615,4.1750,-0.2020
2023-12-04,23.2000,-0.0847,3.7137,0.1444,0.0000,1.9538,2.3844,0.0000,2.1556,0.0277,0.8476,2.3912,-0.1315
2023-12-05,21.8000,-0.0622,1.3124,0.0917,0.0000,0.3524,2.4570,0.0000,1.9515,0.0194,0.8305,1.7549,-0.0757
2023-12-06,21.5000,-0.0139,0.4390,0.0442,0.0000,0.2071,2.4700,0.0000,2.0237,0.0046,0.8224,1.4556,-0.0628
2023-12-07,22.1000,0.0275,0.6527,0.0543,0.0000,0.3362,2.4652,1.0000,1.9020,0.0209,0.8100,1.4294,-0.0882
2023-12-10,21.9000,-0.0091,0.2155,0.0205,0.0000,0.0933,2.4693,0.0000,1.9184,0.0000,0.8018,1.2371,-0.0799
