Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,24.3000,0.0335,1.1736,0.0391,0.0000,0.9720,0.9178,1.0000,-0.0430,0.0170,0.3242,1.8655,-0.1687
2023-10-16,23.8000,-0.0208,1.8401,0.0441,0.0000,0.8687,0.9674,0.0000,0.1576,0.0144,0.3307,1.0893,-0.1513
2023-10-17,23.6500,-0.0063,1.4302,0.0359,0.0000,0.6343,0.8711,0.0000,0.1220,0.0084,0.3081,0.4850,-0.1459
2023-10-18,23.6500,0.0000,0.5807,0.0233,0.0000,0.3271,0.8723,0.0000,0.2605,0.0063,0.2949,0.4135,-0.1459
2023-10-19,23.2000,-0.0192,1.3099,0.0409,0.0000,0.5730,0.8362,0.0000,0.2741,0.0000,0.2664,-0.2401,-0.1293
2023-10-22,21.0500,-0.0973,2.2777,0.1568,0.0000,1.3751,1.3203,0.0000,-0.8338,0.0108,0.2634,-1.4749,-0.0404
2023-10-24,20.3500,-0.0338,3.2037,0.0909,0.0000,1.8786,1.2873,0.0000,-0.8133,-0.0143,0.3090,-2.7595,-0.0074
2023-10-25,20.2000,-0.0074,3.1421,0.0792,0.0000,2.0220,1.2756,0.0000,-1.2310,0.0000,0.3607,-3.0790,0.0272
2023-10-26,20.7500,0.0269,0.3581,0.0988,0.0000,0.3168,1.2568,1.0000,-1.1768,0.0050,0.3766,-2.3361,0.0000
2023-10-29,20.7500,0.0000,0.1205,0.0434,0.0000,0.1007,1.2649,0.0000,-1.3896,-0.0072,0.3888,-1.9705,0.1012
2023-10-30,24.2000,0.1538,1.1894,0.1674,0.0000,1.0480,1.9304,1.0000,1.3977,0.0145,0.3625,-1.4316,-0.0558
2023-10-31,23.3000,-0.0379,0.3692,0.0794,0.0000,0.1913,1.9429,0.0000,1.4351,0.0000,0.3597,-1.3737,-0.0193
2023-11-01,22.8500,-0.0195,0.1871,0.0481,0.0000,0.1331,1.9479,0.0000,1.4376,-0.0043,0.3889,-1.2847,0.0000
2023-11-02,22.8500,0.0000,0.1058,0.0350,0.0000,0.0630,1.9479,0.0000,1.4721,-0.0066,0.4126,-1.1623,0.0066
2023-11-05,23.0000,0.0065,0.2815,0.0348,0.0000,0.1001,1.9431,1.0000,1.5903,0.0197,0.4342,-0.9944,0.0174
2023-11-06,24.9000,0.0794,2.1215,0.1345,0.0000,1.5920,1.7328,2.0000,1.2298,0.0043,0.4430,-0.4362,-0.0602
2023-11-07,29.8000,0.1796,8.5870,0.1594,0.0000,5.6142,1.9366,3.0000,1.4229,0.0080,0.6249,2.4360,-0.2148
2023-11-08,27.6500,-0.0749,0.9413,0.1031,0.0000,0.4205,2.0761,0.0000,1.2997,0.0067,0.6187,1.8711,-0.1537
2023-11-09,23.7500,-0.1520,1.7302,0.1305,0.0000,1.3196,2.3502,0.0000,0.7173,-0.0362,0.6142,1.2425,-0.0147
