Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,3.2000,0.0645,2.7101,0.0937,0.0000,1.0835,0.8399,2.0000,0.7356,0.0000,0.4100,1.4454,-0.0312
2023-10-31,3.1000,-0.0317,2.7686,0.0968,0.0000,1.2882,0.7978,0.0000,0.7486,0.0312,0.4188,-0.5811,0.0000
2023-11-01,3.1500,0.0160,2.0864,0.0635,0.0000,0.7864,0.8152,1.0000,0.5828,0.0161,0.4134,1.0189,-0.0159
2023-11-02,3.1000,-0.0160,1.0115,0.0484,0.0000,0.1528,0.8181,0.0000,0.5822,0.0317,0.3900,0.1686,0.0161
2023-11-05,3.1500,0.0160,2.9551,0.0635,0.0000,1.0216,0.8275,1.0000,0.4838,0.0484,0.3995,2.3473,0.0159
2023-11-06,3.2000,0.0157,0.9906,0.0313,0.0000,0.2278,0.8171,2.0000,0.3893,0.0159,0.3684,2.4520,0.0156
2023-11-07,3.2500,0.0155,2.2834,0.0769,0.0000,0.8595,0.7307,3.0000,0.2980,0.0000,0.3602,2.9030,0.0000
2023-11-08,3.3000,0.0153,1.8362,0.0909,0.0000,0.6610,0.7263,4.0000,0.2093,0.0000,0.3367,2.8417,-0.0152
2023-11-09,3.2500,-0.0153,0.7744,0.0462,0.0000,0.3438,0.7853,0.0000,0.2710,0.0000,0.3085,2.0542,0.0154
2023-11-12,3.3000,0.0153,1.0841,0.0606,0.0000,0.2595,0.7865,1.0000,0.2778,0.0154,0.2688,2.0874,0.0000
2023-11-14,3.3500,0.0150,1.0802,0.0299,0.0000,0.3037,0.6646,2.0000,0.2888,0.0303,0.2673,2.0718,-0.0149
2023-11-15,3.3500,0.0000,1.1309,0.0746,0.0000,0.6322,0.4928,0.0000,0.3608,0.0149,0.2670,1.7829,-0.0149
2023-11-16,3.3000,-0.0150,1.5657,0.0909,0.0000,0.5892,0.5971,0.0000,0.3608,0.0149,0.2633,1.1473,0.0000
2023-11-19,3.3500,0.0150,0.9302,0.0299,0.0000,0.1789,0.5284,1.0000,0.1864,0.0303,0.2397,1.2982,-0.0149
2023-11-20,3.3000,-0.0150,0.6866,0.0303,0.0000,0.1843,0.6001,0.0000,0.1851,0.0149,0.2402,0.9793,0.0152
2023-11-21,3.4000,0.0299,1.2484,0.0441,0.0000,0.5064,0.6680,1.0000,0.0152,0.0152,0.2211,1.2467,-0.0147
2023-11-22,3.4000,0.0000,1.0049,0.0441,0.0000,0.4646,0.6614,0.0000,0.6634,0.0000,0.2058,1.1334,-0.0147
