Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2026-02-17,89.1400,0.0019,0.6098,0.0289,0.0000,0.1634,0.3219,1.0000,0.1389,-0.0002,0.4205,0.6207,-0.2002
2026-02-18,88.2100,-0.0105,0.3547,0.0164,0.0000,0.1146,0.2230,0.0000,0.5443,0.0000,0.4302,0.4439,-0.1995
2026-02-19,89.0700,0.0097,1.2312,0.0337,0.0000,0.4671,0.2911,1.0000,0.0973,0.0024,0.4308,0.7410,-0.2343
2026-02-22,87.8900,-0.0133,0.5343,0.0197,0.0000,0.2230,0.3073,0.0000,0.8391,-0.0194,0.4318,0.4975,-0.2278
2026-02-23,85.9700,-0.0221,1.3342,0.0791,0.0000,0.7113,0.3926,0.0000,0.5860,0.0240,0.4308,-0.0738,-0.2429
2026-02-24,85.4600,-0.0059,0.5519,0.0263,0.0000,0.1993,0.4006,0.0000,0.7220,-0.0112,0.4339,-0.3951,-0.2510
2026-02-25,81.6700,-0.0454,1.5146,0.0929,0.0000,0.3040,0.6703,0.0000,-0.4444,-0.0054,0.4371,-1.1444,-0.2697
2026-02-26,79.5400,-0.0264,8.2182,0.1089,0.0000,2.2477,0.6958,0.0000,-0.2535,-0.0356,0.6102,-3.6985,-0.2502
2026-03-01,80.1500,0.0076,0.4852,0.0596,0.0000,0.2432,0.7504,1.0000,-0.3525,-0.0319,0.5975,-2.6625,-0.2559
2026-03-03,78.8000,-0.0170,0.6007,0.0419,0.0000,0.2092,0.7399,0.0000,-1.1110,-0.0001,0.5987,-2.2858,-0.2431
2026-03-04,83.7100,0.0604,0.7467,0.0776,0.0000,0.3042,1.2037,1.0000,1.5091,-0.0038,0.5886,-1.7933,-0.2875
2026-03-05,81.5100,-0.0266,0.4518,0.0404,0.0000,0.1468,1.2288,0.0000,1.4731,0.0000,0.5860,-1.6598,-0.2683
2026-03-08,78.6600,-0.0356,0.2701,0.0454,0.0000,0.1192,1.2371,0.0000,1.4053,-0.0167,0.5883,-1.5171,-0.2418
2026-03-09,78.6000,-0.0008,0.2258,0.0260,0.0000,0.0848,1.2467,0.0000,1.4558,0.0189,0.5716,-1.3899,-0.2412
2026-03-10,77.6200,-0.0125,0.4274,0.0329,0.0000,0.0637,1.2551,0.0000,1.4971,0.0075,0.5643,-1.3137,-0.2316
2026-03-11,76.5700,-0.0136,0.4734,0.0495,0.0000,0.2873,1.2523,0.0000,1.5777,0.0000,0.5642,-1.2551,-0.2211
2026-03-12,74.0100,-0.0340,1.7023,0.0639,0.0000,0.1258,1.1878,0.0000,1.5394,-0.0074,0.5615,-1.3997,-0.1942
2026-03-15,71.5900,-0.0332,0.6597,0.0490,0.0000,0.2400,1.2003,0.0000,1.5752,-0.0150,0.5618,-1.3560,-0.1669
2026-03-16,72.0800,0.0068,2.4884,0.0380,0.0000,0.1496,1.1971,1.0000,1.3916,0.0189,0.5698,-0.7950,-0.1726
2026-03-17,73.2300,0.0158,0.3399,0.0135,0.0000,0.1035,1.2448,2.0000,1.2349,0.0090,0.5680,-0.6515,-0.1856
2026-03-18,71.2900,-0.0268,0.2232,0.0274,0.0000,0.0643,0.7607,0.0000,1.3880,-0.0250,0.5764,-0.6193,-0.1634
2026-03-19,70.6100,-0.0096,0.4940,0.0385,0.0000,0.0937,0.7481,0.0000,1.3813,-0.0041,0.5621,-0.6471,-0.1554
2026-03-22,68.2000,-0.0347,0.5377,0.0554,0.0000,0.1805,0.7367,0.0000,1.5925,-0.0086,0.5643,-0.6971,-0.1255
2026-03-23,67.8700,-0.0049,0.5886,0.0527,0.0000,0.2155,0.7244,0.0000,1.5209,-0.0147,0.5537,-0.7882,-0.1213
2026-03-24,65.0900,-0.0418,6.1749,0.1383,0.0000,1.6450,0.7932,0.0000,1.4217,0.0093,0.6303,-2.7098,-0.0837
2026-03-26,64.0100,-0.0167,3.2542,0.0400,0.0000,0.5011,0.7937,0.0000,1.5040,-0.0167,0.6304,-3.1080,-0.0683
