Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,45.8828,0.0087,0.5485,0.0282,0.0000,0.3296,1.1976,1.0000,-2.3385,0.0055,0.3373,0.3634,-0.1215
2023-10-31,45.1363,-0.0164,0.4444,0.0254,0.0000,0.2267,1.1851,0.0000,-2.2880,0.0011,0.3353,0.1309,-0.1080
2023-11-01,45.5842,0.0099,0.2774,0.0306,0.0000,0.1536,1.2015,1.0000,-2.3440,0.0110,0.3520,0.1899,-0.1168
2023-11-02,46.3307,0.0162,0.3878,0.0226,0.0000,0.2297,1.1998,2.0000,-2.4089,0.0098,0.3629,0.2849,-0.1310
2023-11-05,46.3307,0.0000,0.4156,0.0172,0.0000,0.2067,1.2021,0.0000,-2.5068,0.0075,0.3727,0.1966,-0.1310
2023-11-06,46.5795,0.0054,0.3958,0.0171,0.0000,0.2076,0.4016,1.0000,-2.7260,0.0011,0.3792,0.3082,-0.1357
2023-11-07,42.9467,-0.0812,1.6006,0.1194,0.0000,0.8807,0.9210,0.0000,-2.0317,0.0053,0.3796,-1.0935,-0.0626
2023-11-08,42.0509,-0.0211,1.5227,0.0331,0.0000,0.8143,0.9211,0.0000,-2.0324,0.0000,0.3389,-2.0472,-0.0426
2023-11-09,43.4443,0.0326,1.5070,0.0504,0.0000,1.0567,0.9597,1.0000,-1.8600,-0.0047,0.3005,-0.9460,-0.0733
2023-11-12,43.0960,-0.0080,0.5981,0.0254,0.0000,0.3165,0.9597,0.0000,-1.9215,0.0080,0.3065,-1.2042,-0.0658
2023-11-14,43.2453,0.0035,0.4355,0.0207,0.0000,0.2359,0.9528,1.0000,-1.9692,0.0139,0.3221,-0.8527,-0.0690
2023-11-15,42.9965,-0.0058,0.4107,0.0150,0.0000,0.2044,0.9510,0.0000,-1.9425,0.0046,0.3346,-1.0329,-0.0637
2023-11-16,42.8472,-0.0035,0.4299,0.0325,0.0000,0.2335,0.9377,0.0000,-2.0548,0.0012,0.3472,-1.1968,-0.0604
2023-11-19,42.5983,-0.0058,0.6071,0.0222,0.0000,0.3327,0.9068,0.0000,-2.0661,0.0046,0.3522,-1.5907,-0.0549
2023-11-20,42.7476,0.0035,0.4437,0.0163,0.0000,0.2914,0.9112,1.0000,-2.1348,0.0023,0.3608,-1.2325,-0.0582
