Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,45.7628,-0.0118,0.3885,0.0476,0.0000,0.2215,1.1644,0.0000,-1.4682,0.0000,0.3714,-0.5780,-0.0087
2023-10-31,45.3666,-0.0087,0.2980,0.0262,0.0000,0.1403,1.1421,0.0000,-1.4265,0.0065,0.3829,-0.6844,0.0011
2023-11-01,45.4161,0.0011,0.4160,0.0284,0.0000,0.2155,1.1481,1.0000,-1.5929,0.0076,0.3934,-0.4529,0.0076
2023-11-02,45.7628,0.0076,0.4111,0.0184,0.0000,0.2200,1.1654,2.0000,-1.5964,0.0142,0.3938,-0.2266,0.0119
2023-11-05,46.8029,0.0225,0.7066,0.0381,0.0000,0.3661,1.2095,3.0000,-1.5805,0.0162,0.3776,0.1320,-0.0106
2023-11-06,47.2486,0.0095,0.4315,0.0210,0.0000,0.1964,0.6211,4.0000,-1.9920,0.0042,0.3854,0.3163,-0.0199
2023-11-07,47.4963,0.0052,0.4018,0.0271,0.0000,0.1908,0.4483,5.0000,-2.2683,0.0241,0.3894,0.4837,-0.0250
2023-11-08,47.1496,-0.0073,0.6882,0.0347,0.0000,0.3820,0.3972,0.0000,-2.3636,0.0146,0.2713,0.3573,-0.0179
2023-11-09,47.0505,-0.0021,0.6775,0.0316,0.0000,0.4348,0.3427,0.0000,-2.3581,0.0031,0.2647,0.1613,-0.0158
2023-11-12,47.2981,0.0052,0.3415,0.0188,0.0000,0.1588,0.3444,1.0000,-2.4796,0.0158,0.2856,0.4152,-0.0209
2023-11-14,47.2486,-0.0010,0.5046,0.0199,0.0000,0.2091,0.3065,0.0000,-2.5486,0.0000,0.2950,0.2344,-0.0199
2023-11-15,47.3477,0.0021,0.4460,0.0178,0.0000,0.2160,0.2734,1.0000,-2.5495,0.0042,0.3066,0.5989,-0.0220
2023-11-16,48.1896,0.0176,1.2870,0.0370,0.0000,0.7481,0.3039,2.0000,-2.5386,0.0084,0.3061,1.3502,-0.0391
2023-11-19,48.0906,-0.0021,0.5751,0.0330,0.0000,0.2603,0.3148,0.0000,-2.5865,0.0236,0.3115,0.9954,-0.0371
2023-11-20,47.0505,-0.0219,0.9425,0.0389,0.0000,0.3827,0.3546,0.0000,-2.3843,0.0082,0.3024,0.4591,-0.0158
2023-11-21,46.6543,-0.0085,0.8370,0.0456,0.0000,0.3591,0.3487,0.0000,-0.2266,0.0074,0.2889,-0.0254,-0.0074
2023-11-22,46.3076,-0.0075,0.8305,0.0267,0.0000,0.3145,0.3453,0.0000,0.3791,0.0042,0.2460,-0.7169,0.0000
2023-11-23,46.9019,0.0128,0.8772,0.0211,0.0000,0.2696,0.3749,1.0000,0.0934,0.0053,0.1936,-0.3788,-0.0127
2023-11-27,46.5552,-0.0074,0.6463,0.0223,0.0000,0.2261,0.3841,0.0000,0.1563,0.0053,0.1707,-0.8513,-0.0053
2023-11-28,46.7533,0.0042,1.0588,0.0371,0.0000,0.4518,0.3821,1.0000,0.1410,0.0053,0.1680,-0.1990,-0.0095
2023-11-29,46.3076,-0.0096,0.6019,0.0299,0.0000,0.2278,0.3923,0.0000,0.1534,0.0085,0.1789,-0.6563,0.0064
2023-11-30,46.6048,0.0064,1.2147,0.0255,0.0000,0.5490,0.4012,1.0000,-0.0304,0.0128,0.1738,0.0921,0.0043
2023-12-03,46.8029,0.0042,0.8369,0.0222,0.0000,0.2331,0.3409,2.0000,-0.0798,0.0159,0.1755,0.6683,0.0243
2023-12-04,48.0410,0.0261,3.2368,0.0515,0.0000,1.4339,0.4606,3.0000,0.2203,0.0011,0.2552,2.7499,-0.0021
2023-12-05,49.5269,0.0305,3.7257,0.0280,0.0000,1.9478,0.4839,4.0000,0.4920,0.0309,0.3331,3.3912,-0.0320
2023-12-06,48.5858,-0.0192,0.8949,0.0194,0.0000,0.4029,0.5313,0.0000,0.4954,-0.0070,0.3317,2.3344,-0.0133
2023-12-07,48.1896,-0.0082,0.8739,0.0257,0.0000,0.4199,0.5330,0.0000,0.6247,0.0000,0.3280,1.7172,-0.0051
2023-12-10,49.0811,0.0183,1.0677,0.0252,0.0000,0.4680,0.5467,1.0000,0.3929,0.0010,0.3304,1.8370,-0.0232
2023-12-11,48.2887,-0.0163,1.0051,0.0390,0.0000,0.5738,0.5782,0.0000,0.3940,0.0020,0.3308,1.3099,-0.0072
2023-12-12,48.4868,0.0041,0.4015,0.0153,0.0000,0.1903,0.5792,1.0000,0.4078,0.0051,0.3303,1.2993,-0.0112
2023-12-13,49.0316,0.0112,0.7802,0.0303,0.0000,0.3408,0.5625,2.0000,0.2736,0.0102,0.3234,1.3921,-0.0222
2023-12-14,47.9420,-0.0225,0.9105,0.0362,0.0000,0.2961,0.6353,0.0000,0.2649,0.0040,0.3109,0.9845,0.0062
2023-12-17,48.2392,0.0062,1.2859,0.0431,0.0000,0.8153,0.6372,1.0000,0.3353,0.0052,0.3087,1.2659,0.0113
2023-12-18,48.7840,0.0112,0.9744,0.0233,0.0000,0.4780,0.5871,2.0000,0.2008,0.0051,0.3010,1.4013,0.0051
2023-12-19,49.0316,0.0051,7.2622,0.0970,0.0000,4.8163,0.4831,3.0000,0.1586,0.0102,0.5011,3.0984,0.0131
2023-12-20,49.9231,0.0180,1.1256,0.0546,0.0000,0.7172,0.4683,4.0000,-0.0527,-0.0061,0.5011,2.6223,-0.0050
2023-12-21,49.6754,-0.0050,1.3695,0.0479,0.0000,0.5019,0.4600,0.0000,-0.0689,0.0159,0.4982,1.9142,0.0050
2023-12-25,50.0221,0.0070,0.5713,0.0277,0.0000,0.2781,0.4274,1.0000,-0.0184,0.0010,0.4918,1.7848,-0.0020
2023-12-26,50.6164,0.0118,0.9901,0.0372,0.0000,0.5522,0.3804,2.0000,-0.2072,0.0079,0.4750,1.7723,-0.0137
2023-12-27,50.4183,-0.0039,0.3824,0.0147,0.0000,0.1217,0.4043,0.0000,-0.1178,0.0068,0.4781,1.4978,-0.0098
2023-12-28,51.4089,0.0195,0.9973,0.0539,0.0000,0.4204,0.4529,1.0000,-0.3317,0.0000,0.4577,1.5525,-0.0289
2023-12-31,51.1612,-0.0048,0.6856,0.0252,0.0000,0.3411,0.3255,0.0000,-0.2108,0.0096,0.4532,1.2607,-0.0242
2024-01-01,50.9136,-0.0049,0.6969,0.0409,0.0000,0.3847,0.3514,0.0000,-0.1170,0.0048,0.4389,0.9950,-0.0195
2024-01-02,50.2698,-0.0127,0.3838,0.0197,0.0000,0.1830,0.3987,0.0000,0.0161,0.0000,0.4459,0.8170,-0.0069
2024-01-03,50.4183,0.0029,0.5136,0.0177,0.0000,0.1929,0.4035,1.0000,-0.2695,0.0049,0.4321,0.8436,-0.0098
2024-01-04,51.0622,0.0127,0.8491,0.0242,0.0000,0.4273,0.3764,2.0000,-0.4295,0.0059,0.4266,0.9399,-0.0223
