Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,40.8522,0.0123,0.1240,0.0220,0.0000,0.0375,0.6011,2.0000,0.7769,0.0124,0.4866,0.0167,-0.0452
2023-10-31,40.0541,-0.0197,0.4177,0.0187,0.0000,0.1262,0.4773,0.0000,0.8310,-0.0195,0.4856,-0.3000,-0.0262
2023-11-01,39.2560,-0.0201,0.4617,0.0216,0.0000,0.1395,0.4824,0.0000,0.8534,-0.0199,0.4817,-0.6458,-0.0064
2023-11-02,39.0066,-0.0064,0.0395,0.0243,0.0000,0.0119,0.4760,0.0000,1.0658,-0.0064,0.5083,-0.7751,0.0102
2023-11-05,39.7049,0.0177,0.1951,0.0176,0.0000,0.0590,0.5797,1.0000,0.9958,0.0179,0.5300,-0.6265,-0.0075
2023-11-06,40.2536,0.0137,0.3775,0.0285,0.0000,0.1140,0.6615,2.0000,0.8035,0.0138,0.5416,-0.4130,-0.0211
2023-11-07,39.8546,-0.0100,0.3916,0.0038,0.0000,0.1183,0.6424,0.0000,0.9277,-0.0099,0.5511,-0.7071,-0.0113
2023-11-08,39.9543,0.0025,0.3018,0.0150,0.0000,0.0912,0.6146,1.0000,0.8640,0.0025,0.5640,-0.5501,-0.0137
2023-11-09,39.4056,-0.0138,0.2159,0.0152,0.0000,0.0652,0.6345,0.0000,1.0599,-0.0137,0.5631,-0.6125,0.0190
2023-11-12,40.1539,0.0188,4.5294,0.0149,0.0000,1.3683,0.6889,1.0000,0.9897,0.0190,0.5434,2.0442,0.0062
2023-11-14,40.9519,0.0197,0.3109,0.0097,0.0000,0.0939,0.7239,2.0000,0.4021,0.0199,0.5078,1.8978,-0.0134
2023-11-15,40.9519,0.0000,1.1967,0.0195,0.0000,0.3615,0.6562,0.0000,0.4565,0.0000,0.4696,1.8550,-0.0134
2023-11-16,41.6004,0.0157,0.5812,0.0348,0.0000,0.1756,0.5796,1.0000,0.2362,0.0158,0.4789,1.9047,-0.0288
2023-11-19,41.0517,-0.0133,0.3090,0.0097,0.0000,0.0933,0.6184,0.0000,0.2409,-0.0132,0.4986,1.6290,-0.0158
2023-11-20,41.1016,0.0012,0.3413,0.0024,0.0000,0.1031,0.5912,1.0000,0.1650,0.0012,0.5126,1.5572,-0.0170
2023-11-21,40.4033,-0.0171,0.0322,0.0173,0.0000,0.0097,0.6364,0.0000,0.1791,-0.0170,0.5449,1.3918,0.0012
2023-11-22,40.4531,0.0012,0.1705,0.0012,0.0000,0.0515,0.6162,1.0000,0.0762,0.0012,0.5380,1.2991,0.0000
2023-11-23,40.4531,0.0000,0.5207,0.0000,0.0000,0.1573,0.6167,0.0000,-0.0015,0.0000,0.5425,1.1701,0.0197
2023-11-27,41.2512,0.0195,2.5848,0.0472,0.0000,0.7809,0.6136,1.0000,-0.1840,0.0469,0.5637,1.6077,0.0000
