Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,15.9000,0.0031,3.5361,0.0723,0.0000,0.8695,1.4960,4.0000,2.1031,0.0095,0.5913,3.3756,0.0409
2023-10-16,16.5500,0.0401,4.8453,0.1118,0.0000,2.2482,1.5048,5.0000,1.8711,0.0157,0.6241,3.2614,0.0725
2023-10-17,17.7500,0.0700,3.3686,0.1014,0.0000,1.6695,1.4619,6.0000,1.6555,0.0272,0.6293,2.9451,0.0085
2023-10-18,19.0500,0.0707,4.6574,0.1181,0.0000,1.8271,1.4334,7.0000,1.3308,0.0169,0.6462,2.9306,-0.0604
2023-10-19,20.9500,0.0951,3.4503,0.0764,0.0000,1.0941,1.4739,8.0000,1.1670,0.0420,0.6337,2.7384,-0.1456
2023-10-22,19.9000,-0.0514,0.7093,0.1005,0.0000,0.2249,1.5730,0.0000,1.0377,0.0430,0.6198,2.1303,-0.1005
2023-10-24,18.9000,-0.0516,0.4616,0.0529,0.0000,0.1464,1.7100,0.0000,0.9587,-0.0503,0.6166,1.7635,-0.0635
2023-10-25,18.1500,-0.0405,0.3496,0.0303,0.0000,0.1109,1.8078,0.0000,0.9148,-0.0212,0.6086,1.5051,-0.0413
2023-10-26,19.0000,0.0458,0.6073,0.0553,0.0000,0.1926,1.7976,1.0000,0.7614,-0.0083,0.5982,1.4176,-0.1026
2023-10-29,18.8500,-0.0079,0.1733,0.0610,0.0000,0.0550,1.4788,0.0000,0.7751,-0.0026,0.5923,1.2485,-0.1114
2023-10-30,18.0000,-0.0461,0.3682,0.0722,0.0000,0.1168,1.5651,0.0000,0.7338,0.0186,0.5906,1.0801,-0.0694
2023-10-31,17.9000,-0.0056,0.3187,0.0391,0.0000,0.1011,1.5784,0.0000,0.7987,0.0028,0.5862,0.9363,-0.0642
2023-11-01,18.7500,0.0464,0.2984,0.0400,0.0000,0.0946,1.5068,1.0000,0.6242,0.0307,0.5747,0.8870,-0.1067
2023-11-02,19.6500,0.0469,0.1217,0.0000,0.0000,0.0386,1.4376,2.0000,0.4657,0.0480,0.5723,0.8189,-0.1476
2023-11-05,20.6000,0.0472,0.1973,0.0000,0.0000,0.0626,1.2255,3.0000,0.4221,0.0483,0.5720,0.7672,-0.1869
2023-11-06,20.4500,-0.0073,1.4816,0.0978,0.0000,0.4698,1.1363,0.0000,0.4218,0.0485,0.5444,0.4393,-0.1809
2023-11-07,20.3500,-0.0049,0.2582,0.0541,0.0000,0.0819,1.0252,0.0000,0.4177,0.0073,0.5413,0.3099,-0.1769
2023-11-08,20.0500,-0.0149,0.1963,0.0698,0.0000,0.0622,0.9433,0.0000,0.4473,0.0319,0.5372,0.1719,-0.1646
2023-11-09,19.6500,-0.0202,0.0315,0.0000,0.0000,0.0100,0.9027,0.0000,0.5955,-0.0200,0.5506,0.0330,-0.1476
2023-11-12,19.6000,-0.0025,0.5837,0.0357,0.0000,0.1851,0.9010,0.0000,0.2575,-0.0025,0.5508,-0.3030,-0.1454
2023-11-14,19.2000,-0.0206,0.0714,0.0000,0.0000,0.0227,0.7980,0.0000,0.3174,-0.0204,0.5799,-0.6146,-0.1354
2023-11-15,18.8500,-0.0184,0.0566,0.0000,0.0000,0.0180,0.8207,0.0000,0.5080,-0.0182,0.6025,-1.0084,-0.1194
2023-11-16,18.8000,-0.0027,0.6586,0.0160,0.0000,0.2089,0.7202,0.0000,0.6925,-0.0027,0.5971,-1.6753,-0.1170
2023-11-19,18.4500,-0.0188,0.1582,0.0027,0.0000,0.0502,0.5675,0.0000,0.9274,-0.0186,0.5584,-1.5928,-0.1003
2023-11-20,18.1000,-0.0192,0.1132,0.0055,0.0000,0.0359,0.2147,0.0000,0.6469,-0.0190,0.4693,-1.4785,-0.0829
2023-11-21,18.0000,-0.0055,0.7115,0.0139,0.0000,0.2256,0.2196,0.0000,0.6998,-0.0055,0.4676,-1.4771,-0.0778
2023-11-22,17.7000,-0.0168,0.3528,0.0085,0.0000,0.1119,0.2094,0.0000,0.9108,-0.0167,0.4871,-1.3916,-0.0621
2023-11-23,17.4000,-0.0171,0.5063,0.0057,0.0000,0.1605,0.2112,0.0000,1.0394,-0.0169,0.4995,-1.3399,-0.0460
2023-11-27,17.0500,-0.0203,0.2933,0.0029,0.0000,0.0930,0.2132,0.0000,1.3434,-0.0201,0.5108,-1.2733,-0.0264
2023-11-28,16.7500,-0.0178,0.3473,0.0209,0.0000,0.1101,0.1791,0.0000,1.3781,-0.0176,0.5210,-1.2266,-0.0090
2023-11-29,17.0500,0.0178,0.5654,0.0205,0.0000,0.1793,0.3431,1.0000,1.5412,0.0179,0.5288,-1.0262,-0.0264
2023-11-30,17.1000,0.0029,0.2467,0.0117,0.0000,0.0782,0.3600,2.0000,1.4769,0.0029,0.5489,-0.8931,-0.0292
2023-12-03,17.1000,0.0000,0.1461,0.0029,0.0000,0.0463,0.3655,0.0000,1.8062,0.0000,0.5736,-0.8218,-0.0292
2023-12-04,17.1500,0.0029,0.6630,0.0233,0.0000,0.2102,0.3679,1.0000,2.0606,0.0029,0.5705,-0.6351,-0.0321
2023-12-05,16.9000,-0.0147,0.3329,0.0089,0.0000,0.1056,0.3575,0.0000,1.0083,-0.0146,0.5829,-0.7137,-0.0178
2023-12-06,17.0000,0.0059,0.5562,0.0088,0.0000,0.1764,0.3758,1.0000,0.8301,0.0059,0.4459,-0.5362,-0.0235
2023-12-07,17.1000,0.0059,0.5362,0.0058,0.0000,0.1700,0.3709,2.0000,0.7042,0.0059,0.4446,-0.3433,-0.0292
2023-12-10,16.7500,-0.0207,0.5433,0.0149,0.0000,0.1723,0.3829,0.0000,0.6930,-0.0205,0.4458,-0.3863,-0.0090
2023-12-11,16.9000,0.0089,0.2847,0.0148,0.0000,0.0903,0.3627,1.0000,0.4682,0.0090,0.4443,-0.2095,-0.0178
2023-12-12,16.8000,-0.0059,0.1457,0.0119,0.0000,0.0462,0.3278,0.0000,0.5165,-0.0059,0.3986,-0.1485,-0.0119
2023-12-13,16.6000,-0.0120,0.1861,0.0120,0.0000,0.0590,0.2917,0.0000,0.5136,-0.0119,0.4206,-0.0879,0.0181
2023-12-14,16.9000,0.0179,0.4461,0.0000,0.0000,0.1415,0.3453,1.0000,0.4184,0.0181,0.4196,0.3124,0.0473
2023-12-17,17.7000,0.0463,0.6283,0.0056,0.0000,0.1992,0.5503,2.0000,1.2763,0.0414,0.3363,0.7454,0.0311
2023-12-18,18.5500,0.0469,1.3348,0.0000,0.0000,0.4233,0.6798,3.0000,1.1812,0.0480,0.3377,1.5283,-0.0162
2023-12-19,18.2500,-0.0163,5.8201,0.0986,0.0000,1.8456,0.6994,0.0000,1.2021,0.0485,0.4646,-2.2983,0.0247
2023-12-20,18.9500,0.0376,3.0992,0.0923,0.0000,0.9828,0.7512,1.0000,0.9222,-0.0329,0.4882,0.0035,-0.0132
2023-12-21,18.7000,-0.0133,1.9963,0.0481,0.0000,0.6330,0.7829,0.0000,0.9343,0.0079,0.4986,-1.4006,0.0481
2023-12-25,19.6000,0.0470,1.4956,0.0459,0.0000,0.4743,0.7845,1.0000,0.7379,0.0000,0.5013,-0.2836,0.0128
2023-12-26,20.1500,0.0277,1.9512,0.0447,0.0000,0.6187,0.8025,2.0000,0.5646,0.0204,0.5015,1.1907,-0.0149
2023-12-27,19.8500,-0.0150,0.9012,0.0453,0.0000,0.2858,0.8309,0.0000,0.5824,0.0000,0.4976,0.3688,0.0479
2023-12-28,20.8000,0.0467,2.6613,0.0817,0.0000,0.8439,0.8191,1.0000,0.5114,0.0327,0.5111,2.3822,0.0481
2023-12-31,21.8000,0.0470,1.3127,0.0229,0.0000,0.4162,0.8466,2.0000,0.3298,0.0240,0.4957,2.6465,0.0046
2024-01-01,22.8500,0.0470,0.6224,0.0000,0.0000,0.1974,0.8502,3.0000,0.1379,0.0482,0.4782,2.4234,-0.0416
2024-01-02,23.3000,0.0195,1.8843,0.0365,0.0000,0.5975,0.8201,4.0000,0.0396,0.0197,0.4775,2.6682,-0.0601
2024-01-03,23.7500,0.0191,0.5137,0.0000,0.0000,0.1629,0.7148,5.0000,-0.0806,0.0193,0.4742,2.3225,-0.0779
2024-01-04,24.2000,0.0188,0.9429,0.0000,0.0000,0.2990,0.7070,6.0000,-0.1625,0.0189,0.4631,2.2073,-0.0950
2024-01-07,24.6500,0.0184,0.5651,0.0000,0.0000,0.1792,0.6020,7.0000,-0.2435,0.0186,0.4566,2.0139,-0.1116
2024-01-08,25.1000,0.0181,0.1961,0.0000,0.0000,0.0622,0.5785,8.0000,-0.3034,0.0183,0.4659,1.7821,-0.1275
2024-01-09,25.6000,0.0197,0.4921,0.0000,0.0000,0.1560,0.5790,9.0000,-0.3810,0.0199,0.4519,1.6752,-0.1445
2024-01-10,26.1000,0.0193,2.7890,0.0057,0.0000,0.8844,0.4112,10.0000,-0.5154,0.0195,0.4417,2.1236,-0.1609
2024-01-11,25.6000,-0.0193,0.3712,0.0117,0.0000,0.1177,0.5554,0.0000,-0.5748,-0.0192,0.4244,1.7407,-0.1836
2024-01-14,25.1000,-0.0197,0.1421,0.0000,0.0000,0.0451,0.5998,0.0000,-0.4803,-0.0195,0.4286,1.5022,-0.1673
2024-01-15,24.6000,-0.0201,0.3226,0.0000,0.0000,0.1023,0.5669,0.0000,-0.2979,-0.0199,0.4234,1.2714,-0.1504
2024-01-16,24.1000,-0.0205,0.0366,0.0000,0.0000,0.0116,0.6078,0.0000,-0.1248,-0.0203,0.4501,1.1374,-0.1328
2024-01-17,23.6500,-0.0188,0.4983,0.0000,0.0000,0.1580,0.6144,0.0000,-0.1308,-0.0187,0.4290,0.9497,-0.1163
2024-01-18,23.2500,-0.0171,1.2216,0.0172,0.0000,0.3874,0.5945,0.0000,0.0829,-0.0169,0.4206,0.6200,-0.1011
2024-01-22,22.3500,-0.0395,0.7133,0.0000,0.0000,0.2262,0.6229,0.0000,-0.0781,-0.0387,0.4250,0.3932,-0.0649
2024-01-23,21.9000,-0.0203,2.9637,0.0388,0.0000,0.9398,0.5533,0.0000,0.0927,-0.0201,0.4530,-0.4888,-0.0457
2024-01-24,22.3000,0.0181,0.2145,0.0000,0.0000,0.0680,0.5574,1.0000,0.1286,0.0183,0.4760,-0.5476,-0.0628
2024-01-28,22.7000,0.0178,0.1718,0.0000,0.0000,0.0545,0.5476,2.0000,-0.0427,0.0179,0.4984,-0.6841,-0.0793
2024-01-29,23.1500,0.0196,0.7079,0.0000,0.0000,0.2245,0.6302,3.0000,-0.1082,0.0198,0.4899,-0.6054,-0.0972
2024-01-30,23.6000,0.0193,0.4117,0.0000,0.0000,0.1306,0.6805,4.0000,-0.2675,0.0194,0.5013,-0.5870,-0.1144
2024-01-31,24.0500,0.0189,0.4227,0.0000,0.0000,0.1340,0.7041,5.0000,-0.6128,0.0191,0.5107,-0.5528,-0.1310
2024-02-01,24.5000,0.0185,1.1314,0.0000,0.0000,0.3588,0.6995,6.0000,-0.6136,0.0187,0.4977,-0.2176,-0.1469
2024-02-04,24.9500,0.0182,0.4245,0.0000,0.0000,0.1346,0.6873,7.0000,-0.6142,0.0184,0.5065,-0.1156,-0.1623
2024-02-05,24.5500,-0.0162,1.2227,0.0367,0.0000,0.3877,0.6832,0.0000,-0.4020,-0.0160,0.5060,-0.5562,-0.1487
2024-02-06,24.0500,-0.0206,0.7043,0.0395,0.0000,0.2233,0.5697,0.0000,-0.1830,-0.0204,0.5070,-0.7713,-0.1310
2024-02-07,23.6000,-0.0189,0.4196,0.0064,0.0000,0.1331,0.5608,0.0000,0.0270,-0.0187,0.4989,-0.8648,-0.1144
2024-02-08,23.1500,-0.0193,0.2477,0.0000,0.0000,0.0785,0.6016,0.0000,0.2374,-0.0191,0.5164,-0.8770,-0.0972
2024-02-11,22.0000,-0.0510,3.4066,0.1045,0.0000,1.0802,0.7685,0.0000,0.1153,0.0497,0.4897,-1.7443,-0.0500
2024-02-12,20.9000,-0.0513,0.8818,0.0455,0.0000,0.2796,0.8384,0.0000,-0.0164,-0.0250,0.4860,-1.8051,0.0478
2024-02-13,21.9000,0.0467,5.1620,0.0936,0.0000,1.6369,0.9588,1.0000,0.1291,-0.0502,0.5443,0.4120,0.0411
2024-02-14,22.9500,0.0468,3.0918,0.0806,0.0000,0.9804,1.0614,2.0000,0.0840,-0.0365,0.5511,1.9520,-0.0065
2024-02-15,23.1000,0.0065,1.0970,0.0736,0.0000,0.3479,1.0424,3.0000,-0.0553,0.0153,0.5193,2.2932,-0.0130
2024-02-18,24.2500,0.0486,1.8819,0.0474,0.0000,0.5968,1.1396,4.0000,-0.1430,0.0498,0.5112,2.6308,-0.0598
2024-02-19,25.4500,0.0483,2.1736,0.0177,0.0000,0.6893,1.2223,5.0000,-0.2720,0.0309,0.5111,2.7097,-0.1041
