Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6730,0.0000,-0.2122,0.0000,0.8525,0.3770,-0.1500
2023-10-16,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1047,0.0000,0.8703,0.2960,-0.1750
2023-10-17,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.8981,0.2071,-0.2000
2023-10-18,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6123,0.0000,0.9447,-0.2758,-0.2250
2023-10-19,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8913,0.0000,0.9463,-0.6381,-0.2250
2023-10-22,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4721,0.0000,0.9500,-0.5627,-0.2250
2023-10-24,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4721,0.0000,0.9500,-0.4873,-0.2500
2023-10-25,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4721,0.0000,0.9500,-0.4094,-0.2750
2023-10-26,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4721,0.0000,0.9500,-0.3249,-0.2750
2023-10-29,1.9000,-0.0513,13.8985,0.0000,0.0000,11.6095,0.7390,0.0000,-2.8917,-0.0500,0.9195,-3.9051,-0.2368
2023-10-30,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7452,0.0000,-2.8917,0.0000,0.9195,-2.9240,-0.2368
2023-10-31,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7513,0.0000,-4.4721,0.0000,0.9500,-2.3202,-0.2368
2023-11-01,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7573,0.0000,-4.4721,0.0000,0.9500,-1.9494,-0.2368
2023-11-02,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7827,0.0000,-4.4721,0.0000,0.9500,-1.6882,-0.2368
2023-11-05,1.8000,-0.0541,10.1039,0.0000,0.0000,3.5919,1.0339,0.0000,-2.8921,-0.0526,0.9005,-2.8292,-0.1944
2023-11-06,1.8000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0339,0.0000,-2.8921,0.0000,0.9005,-2.2694,-0.1944
2023-11-07,1.8000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0723,0.0000,-2.8921,0.0000,0.9005,-1.9175,-0.1944
