Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,9.6000,-0.0257,1.3789,0.0521,0.0000,1.1420,0.8585,0.0000,0.7778,0.0152,0.2346,-1.9096,-0.0521
2023-10-16,9.6500,0.0052,0.8629,0.0259,0.0000,0.4074,0.8608,1.0000,-0.1065,0.0156,0.2224,-1.1523,-0.0570
2023-10-17,9.4500,-0.0209,0.5566,0.0265,0.0000,0.2468,0.9165,0.0000,-0.0495,0.0000,0.1820,-1.4006,-0.0370
2023-10-18,9.3000,-0.0160,0.6253,0.0269,0.0000,0.3521,0.8868,0.0000,0.1578,0.0000,0.1576,-1.5798,-0.0215
2023-10-19,9.6000,0.0317,0.9755,0.0781,0.0000,0.4267,1.0797,1.0000,0.5415,0.0000,0.1559,-0.9052,-0.0521
2023-10-22,9.5000,-0.0105,0.9545,0.0474,0.0000,0.5762,1.0893,0.0000,0.7556,0.0052,0.1561,-1.3320,-0.0421
2023-10-24,9.2000,-0.0321,0.8317,0.0707,0.0000,0.4877,1.1907,0.0000,0.5433,0.0211,0.1416,-1.6239,-0.0217
2023-10-25,9.1000,-0.0109,0.4594,0.0659,0.0000,0.2956,1.1890,0.0000,0.5509,0.0054,0.1626,-1.6476,-0.0110
2023-10-26,9.2500,0.0163,0.8035,0.0378,0.0000,0.7109,1.1513,1.0000,0.4976,0.0110,0.1669,-1.1434,-0.0270
2023-10-29,9.2000,-0.0054,0.8217,0.0326,0.0000,0.6864,1.1300,0.0000,0.4576,0.0162,0.1700,-1.4341,-0.0217
2023-10-30,9.2500,0.0054,0.5215,0.0324,0.0000,0.4595,1.0790,1.0000,0.3504,0.0054,0.1750,-1.0488,-0.0270
2023-10-31,9.3500,0.0108,0.9405,0.0374,0.0000,0.4874,1.1003,2.0000,0.3097,0.0378,0.1729,-0.4740,-0.0374
2023-11-01,9.2000,-0.0162,1.5835,0.0489,0.0000,1.1265,1.0706,0.0000,0.3813,0.0160,0.1856,-1.3768,-0.0217
2023-11-02,9.1500,-0.0054,1.4707,0.0219,0.0000,0.8749,1.0411,0.0000,0.3212,0.0054,0.1912,-2.0257,-0.0164
2023-11-05,9.1500,0.0000,1.4035,0.0219,0.0000,0.4989,0.8030,0.0000,0.4114,0.0055,0.1944,-1.9055,-0.0219
2023-11-06,9.1500,0.0000,1.2061,0.0219,0.0000,0.9050,0.8002,0.0000,0.3575,0.0000,0.1958,-1.7491,-0.0219
2023-11-07,9.2000,0.0054,1.5592,0.0217,0.0000,1.0194,0.5696,1.0000,0.2057,0.0055,0.2045,-0.5817,-0.0326
2023-11-08,9.1500,-0.0054,1.3508,0.0219,0.0000,0.6034,0.5385,0.0000,0.1639,0.0109,0.2048,-1.3972,-0.0273
2023-11-09,9.1500,0.0000,1.6460,0.0164,0.0000,1.2554,0.4342,0.0000,0.2129,0.0109,0.2114,-1.2605,-0.0273
2023-11-12,9.2000,0.0054,1.3044,0.0217,0.0000,1.1137,0.4400,1.0000,0.2098,0.0164,0.2078,-0.1943,-0.0326
2023-11-14,9.1500,-0.0054,2.2034,0.0164,0.0000,1.5999,0.4352,0.0000,0.2490,0.0000,0.2338,-1.8009,-0.0273
2023-11-15,9.6000,0.0480,4.1804,0.0469,0.0000,3.3581,0.9485,1.0000,1.0111,0.0164,0.3390,2.0825,-0.0729
2023-11-16,10.0500,0.0458,4.6821,0.0149,0.0000,1.6022,1.0949,2.0000,0.9508,0.0469,0.4276,3.6985,-0.1144
2023-11-19,9.9500,-0.0100,2.1371,0.0603,0.0000,0.8871,1.1564,0.0000,0.9738,0.0249,0.4314,1.9505,-0.1055
2023-11-20,9.4500,-0.0516,1.4856,0.0688,0.0000,0.7725,1.5293,0.0000,0.3063,0.0050,0.4298,0.9847,-0.0582
2023-11-21,9.1000,-0.0377,1.3434,0.0659,0.0000,0.5066,1.6801,0.0000,0.2242,0.0000,0.4227,0.1390,-0.0220
2023-11-22,9.0000,-0.0110,1.9662,0.0333,0.0000,0.8215,1.7003,0.0000,0.2318,0.0165,0.4180,-1.1105,-0.0111
2023-11-23,9.0500,0.0055,1.3206,0.0276,0.0000,1.0408,1.7036,1.0000,0.1184,0.0222,0.3922,-0.1920,-0.0166
2023-11-27,9.0500,0.0000,1.1167,0.0221,0.0000,0.4071,1.7113,0.0000,0.2224,0.0110,0.3719,-0.1837,-0.0166
2023-11-28,9.1000,0.0055,1.0402,0.0220,0.0000,0.5996,1.7828,1.0000,0.1414,0.0110,0.3499,0.5557,-0.0220
2023-11-29,9.0500,-0.0055,0.7123,0.0166,0.0000,0.2960,1.7859,0.0000,0.2223,0.0055,0.3244,-0.0009,-0.0166
2023-11-30,9.0500,0.0000,0.8549,0.0166,0.0000,0.3097,1.4970,0.0000,0.3001,0.0000,0.3039,0.0039,-0.0166
2023-12-03,9.0500,0.0000,1.2242,0.0552,0.0000,0.8682,1.0971,0.0000,0.2046,0.0497,0.2959,-0.0130,-0.0166
2023-12-04,9.0500,0.0000,0.7653,0.0166,0.0000,0.6382,1.1194,0.0000,0.1640,0.0110,0.2867,-0.0513,-0.0166
2023-12-05,8.9500,-0.0111,1.2805,0.0335,0.0000,0.9773,0.7340,0.0000,0.2395,0.0055,0.2746,-1.1447,-0.0056
2023-12-06,8.9500,0.0000,0.7609,0.0168,0.0000,0.4898,0.3372,0.0000,0.2395,0.0056,0.2578,-1.1063,-0.0056
2023-12-07,8.9000,-0.0056,0.6323,0.0225,0.0000,0.2587,0.2936,0.0000,0.3233,0.0056,0.2519,-1.4940,0.0056
2023-12-10,9.0000,0.0112,1.1657,0.0167,0.0000,0.4472,0.3527,1.0000,0.2016,0.0112,0.2354,-0.5048,-0.0056
2023-12-11,9.0000,0.0000,0.7247,0.0167,0.0000,0.6492,0.3535,0.0000,0.2016,0.0000,0.2266,-0.5101,-0.0056
2023-12-12,9.0000,0.0000,2.3536,0.0167,0.0000,1.3971,0.3324,0.0000,0.2431,0.0000,0.2467,-0.4926,-0.0056
2023-12-13,8.9500,-0.0056,0.7654,0.0112,0.0000,0.4972,0.3332,0.0000,0.2440,-0.0056,0.2444,-1.1839,0.0000
2023-12-14,8.9500,0.0000,0.6264,0.0112,0.0000,0.4803,0.3332,0.0000,-0.2492,0.0056,0.2387,-1.0696,0.0223
2023-12-17,9.3500,0.0437,1.6927,0.0374,0.0000,1.4018,0.8578,1.0000,-0.3815,0.0112,0.2157,0.6294,-0.0214
2023-12-18,9.5500,0.0212,3.1250,0.0314,0.0000,2.1794,0.9032,2.0000,-0.4811,0.0374,0.2813,3.3323,-0.0419
2023-12-19,9.1500,-0.0428,1.3573,0.0874,0.0000,0.4537,1.1803,0.0000,-0.1121,0.0105,0.2867,1.8360,0.0328
2023-12-20,9.4500,0.0323,0.7848,0.0847,0.0000,0.5542,1.2639,1.0000,0.1638,-0.0055,0.2862,2.1113,0.0212
2023-12-21,9.6500,0.0209,0.6827,0.0259,0.0000,0.4019,1.2624,2.0000,-0.0487,0.0159,0.2865,2.1575,0.0933
2023-12-25,10.5500,0.0892,5.2688,0.1090,0.0000,2.5195,1.6630,3.0000,1.5432,0.1865,0.4190,3.5392,0.0000
2023-12-26,10.8000,0.0234,3.8932,0.0741,0.0000,2.6544,1.6358,4.0000,1.3792,0.0569,0.4732,3.3646,-0.0231
2023-12-27,11.2000,0.0364,1.8234,0.0312,0.0000,0.5778,1.6063,5.0000,1.1462,0.0231,0.4740,2.8539,-0.0580
2023-12-28,10.5500,-0.0598,4.8109,0.0900,0.0000,1.5515,1.8961,0.0000,0.3662,0.0179,0.5293,0.9872,0.1943
2023-12-31,12.6000,0.1776,5.6101,0.1667,0.0000,4.2014,2.2570,1.0000,1.9338,0.0190,0.5908,2.7285,0.0833
2024-01-01,13.6500,0.0800,3.2857,0.0733,0.0000,1.9770,2.2292,2.0000,1.5865,0.0714,0.5909,2.9096,0.0806
