Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,50.8500,0.0483,1.4991,0.0718,0.0000,1.0050,0.8150,1.0000,0.7143,-0.0093,0.1848,-1.3447,-0.0688
2023-10-16,53.3500,0.0480,0.5808,0.0000,0.0000,0.3893,0.9592,2.0000,0.7037,0.0492,0.1940,-0.9668,-0.1125
2023-10-17,54.8500,0.0277,3.9589,0.0638,0.0000,2.6540,0.9613,3.0000,0.5398,0.0497,0.2919,1.3502,-0.1367
2023-10-18,52.1500,-0.0505,2.4613,0.0460,0.0000,1.6501,1.1285,0.0000,0.3528,-0.0064,0.3294,-0.1826,-0.0920
2023-10-19,54.1000,0.0367,1.9357,0.0462,0.0000,1.2977,1.1769,1.0000,0.3432,0.0019,0.3469,1.1403,-0.1248
2023-10-22,51.4000,-0.0512,0.8175,0.0730,0.0000,0.5481,1.2255,0.0000,0.2200,0.0157,0.3474,0.5804,-0.0788
2023-10-24,49.9000,-0.0296,0.6239,0.0762,0.0000,0.4183,1.2670,0.0000,0.3759,0.0204,0.3532,0.2313,-0.0511
2023-10-25,48.8500,-0.0213,1.1342,0.0542,0.0000,0.7604,1.2579,0.0000,0.3944,-0.0030,0.3518,-0.5103,-0.0307
2023-10-26,49.1000,0.0051,0.7745,0.0448,0.0000,0.5192,1.2589,1.0000,0.2685,0.0010,0.3518,0.0680,-0.0356
2023-10-29,48.2000,-0.0185,0.7071,0.0695,0.0000,0.4741,1.2466,0.0000,0.4043,0.0356,0.3533,-0.3628,-0.0176
2023-10-30,47.4000,-0.0167,0.6466,0.0591,0.0000,0.4335,1.1218,0.0000,0.4282,0.0332,0.3324,-0.7680,-0.0011
2023-10-31,47.3500,-0.0011,0.9942,0.0475,0.0000,0.6665,0.9441,0.0000,0.3534,-0.0348,0.3092,-1.4059,0.0158
2023-11-01,48.1000,0.0157,0.5645,0.0301,0.0000,0.3784,0.9065,1.0000,0.1872,0.0137,0.3139,-0.8714,0.0489
2023-11-02,50.4500,0.0477,1.4178,0.0456,0.0000,0.9505,0.9772,2.0000,0.1402,0.0187,0.3208,0.3036,0.0416
2023-11-05,52.9500,0.0484,0.9932,0.0000,0.0000,0.6658,1.0284,3.0000,0.0499,0.0496,0.3188,1.0545,-0.0076
2023-11-06,55.5500,0.0479,1.7413,0.0000,0.0000,1.1674,0.9714,4.0000,-0.1339,0.0491,0.3152,2.1076,-0.0540
2023-11-07,58.3000,0.0483,1.1321,0.0000,0.0000,0.7590,0.9414,5.0000,-0.2531,0.0495,0.3135,2.3583,-0.0986
2023-11-08,59.4500,0.0195,3.3743,0.0387,0.0000,2.2622,0.8554,6.0000,-0.2395,0.0197,0.3596,3.1522,-0.1161
2023-11-09,59.2500,-0.0034,0.9266,0.0042,0.0000,0.6212,0.8831,0.0000,-0.2721,-0.0034,0.3525,2.1791,-0.1131
2023-11-12,59.2000,-0.0008,1.0496,0.0304,0.0000,0.7037,0.8160,0.0000,-0.3524,-0.0008,0.3466,1.5000,-0.1123
2023-11-14,58.0500,-0.0196,0.1019,0.0000,0.0000,0.0683,0.8285,0.0000,-0.1624,-0.0194,0.3792,1.3027,-0.0947
2023-11-15,56.9000,-0.0200,0.2124,0.0000,0.0000,0.1424,0.8995,0.0000,0.0184,-0.0198,0.3846,1.0931,-0.0764
2023-11-16,55.8000,-0.0195,0.3343,0.0197,0.0000,0.2241,0.9753,0.0000,0.2178,-0.0193,0.3790,0.9003,-0.0582
2023-11-19,54.7000,-0.0199,0.4500,0.0000,0.0000,0.3017,0.9537,0.0000,0.3619,-0.0197,0.3819,0.6744,-0.0393
2023-11-20,53.6000,-0.0203,0.7049,0.0205,0.0000,0.4725,0.8781,0.0000,0.5938,-0.0201,0.3784,0.4122,-0.0196
2023-11-21,52.5500,-0.0198,0.9465,0.0200,0.0000,0.6346,0.7251,0.0000,0.9014,-0.0196,0.3751,0.0745,0.0086
2023-11-22,53.0000,0.0085,2.2013,0.0302,0.0000,1.4758,0.4610,1.0000,0.8535,0.0086,0.3868,0.7883,0.0009
2023-11-23,54.0500,0.0196,1.4173,0.0000,0.0000,0.9502,0.4613,2.0000,0.6937,0.0198,0.3889,1.1818,-0.0185
2023-11-27,55.1000,0.0192,0.1617,0.0000,0.0000,0.1084,0.5421,3.0000,0.5978,0.0194,0.4124,1.1183,-0.0372
2023-11-28,56.2000,0.0198,0.2471,0.0000,0.0000,0.1657,0.6064,4.0000,0.4414,0.0200,0.4276,1.0931,-0.0560
2023-11-29,57.3000,0.0194,0.2121,0.0000,0.0000,0.1422,0.6298,5.0000,0.2902,0.0196,0.4428,1.0720,-0.0742
2023-11-30,58.4000,0.0190,0.2811,0.0000,0.0000,0.1884,0.6450,6.0000,0.1661,0.0192,0.4628,1.1163,-0.0916
2023-12-03,59.5500,0.0195,0.4716,0.0000,0.0000,0.3162,0.6151,7.0000,0.1421,0.0197,0.4640,1.2698,-0.1092
2023-12-04,59.0000,-0.0093,1.9739,0.0288,0.0000,1.3233,0.5681,0.0000,0.3139,-0.0092,0.4706,0.2871,-0.1008
2023-12-05,59.2000,0.0034,1.3196,0.0169,0.0000,0.8846,0.4769,1.0000,0.3821,0.0034,0.4662,0.9719,-0.1039
2023-12-06,58.6000,-0.0102,0.9868,0.0094,0.0000,0.6615,0.4089,0.0000,0.4150,-0.0101,0.4671,0.2914,-0.0947
2023-12-07,57.4500,-0.0198,0.1216,0.0000,0.0000,0.0815,0.5214,0.0000,0.0894,-0.0196,0.4987,0.1444,-0.0766
2023-12-10,56.3000,-0.0202,0.7268,0.0142,0.0000,0.4873,0.5807,0.0000,0.2977,-0.0200,0.4428,-0.1786,-0.0577
2023-12-11,55.2000,-0.0197,1.2113,0.0199,0.0000,0.8121,0.5984,0.0000,0.3791,-0.0195,0.4431,-0.7832,-0.0389
2023-12-12,54.1000,-0.0201,0.5308,0.0000,0.0000,0.3558,0.5831,0.0000,0.4891,-0.0199,0.4522,-0.9938,-0.0194
2023-12-13,53.0500,-0.0196,1.2074,0.0198,0.0000,0.8095,0.5342,0.0000,0.4891,-0.0194,0.4238,-1.4828,0.0028
2023-12-14,53.2000,0.0028,0.8687,0.0169,0.0000,0.5824,0.4564,1.0000,0.3435,0.0028,0.4077,-0.9696,0.0103
2023-12-17,55.8500,0.0486,1.0198,0.0278,0.0000,0.6837,0.7086,2.0000,0.6200,0.0329,0.3939,-0.4384,-0.0376
2023-12-18,57.0000,0.0204,2.1767,0.0632,0.0000,1.4592,0.7588,3.0000,0.4100,0.0242,0.3956,0.7364,-0.0570
2023-12-19,54.2000,-0.0504,1.6998,0.0664,0.0000,1.1396,0.8857,0.0000,-0.1213,0.0132,0.3928,-0.3693,-0.0083
2023-12-20,54.6500,0.0083,0.5125,0.0512,0.0000,0.3436,0.9053,1.0000,-0.2904,-0.0277,0.4053,-0.1771,-0.0165
