Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,45.0500,0.0190,0.9131,0.0000,0.0000,0.7562,0.5359,16.0000,-0.3306,0.0192,0.5097,2.1920,-0.2042
2023-10-16,45.9500,0.0198,1.4913,0.0011,0.0000,0.7040,0.5715,17.0000,-0.4194,0.0200,0.4979,2.0455,-0.2329
2023-10-17,46.0000,0.0011,2.5123,0.0076,0.0000,1.1142,0.6944,18.0000,-0.4119,0.0011,0.5025,2.0709,-0.2391
2023-10-18,46.9000,0.0194,2.1511,0.0000,0.0000,1.2115,0.6713,19.0000,-0.2365,0.0196,0.4807,2.0482,-0.2537
2023-10-19,47.0000,0.0021,1.6064,0.0170,0.0000,0.7026,0.6968,20.0000,0.2173,0.0021,0.4501,1.9688,-0.2553
2023-10-22,46.1000,-0.0193,0.4793,0.0195,0.0000,0.2894,0.8103,0.0000,-0.2550,-0.0191,0.4260,1.6623,-0.2408
2023-10-24,45.2000,-0.0197,0.8114,0.0398,0.0000,0.4758,0.8224,0.0000,-0.3553,-0.0195,0.3887,1.3790,-0.2257
2023-10-25,44.3000,-0.0201,0.0081,0.0000,0.0000,0.0052,0.7175,0.0000,-0.3301,-0.0199,0.4189,1.2467,-0.2099
2023-10-26,43.4500,-0.0194,0.9058,0.0035,0.0000,0.8013,0.7328,0.0000,-0.3404,-0.0192,0.3845,1.0059,-0.1945
2023-10-29,42.9000,-0.0127,0.7567,0.0128,0.0000,0.6321,0.6938,0.0000,-0.2129,-0.0127,0.3708,0.7992,-0.1841
2023-10-30,42.0500,-0.0200,0.1133,0.0178,0.0000,0.0998,0.6453,0.0000,-0.1043,-0.0198,0.3746,0.7039,-0.1677
2023-10-31,41.2000,-0.0204,0.1705,0.0121,0.0000,0.0884,0.5422,0.0000,0.0895,-0.0202,0.4064,0.5995,-0.1505
2023-11-01,40.4000,-0.0196,0.0172,0.0149,0.0000,0.0122,0.5220,0.0000,0.2904,-0.0194,0.4426,0.5214,-0.1337
2023-11-02,39.6000,-0.0200,0.7379,0.0202,0.0000,0.4390,0.2751,0.0000,0.4917,-0.0198,0.4297,0.3021,-0.1162
2023-11-05,38.8000,-0.0204,0.7486,0.0026,0.0000,0.2661,0.0893,0.0000,0.6913,-0.0202,0.4215,0.0478,-0.0979
2023-11-06,38.0500,-0.0195,0.6659,0.0013,0.0000,0.4997,0.0890,0.0000,0.8947,-0.0193,0.4299,-0.2245,-0.0802
2023-11-07,37.3000,-0.0199,0.2882,0.0054,0.0000,0.1884,0.0888,0.0000,1.0445,-0.0197,0.4405,-0.4622,-0.0617
2023-11-08,36.5500,-0.0203,0.3634,0.0178,0.0000,0.1623,0.0888,0.0000,0.8763,-0.0201,0.4611,-0.7919,-0.0424
2023-11-09,35.8500,-0.0193,0.3691,0.0195,0.0000,0.2815,0.0888,0.0000,1.1641,-0.0192,0.4801,-1.1897,-0.0237
2023-11-12,35.9000,0.0014,0.5515,0.0000,0.0000,0.4709,0.2597,1.0000,1.2797,0.0014,0.4393,-1.0897,-0.0251
2023-11-14,35.9000,0.0000,0.5562,0.0181,0.0000,0.4038,0.3349,0.0000,1.3909,-0.0181,0.4490,-1.1320,-0.0251
2023-11-15,35.2500,-0.0183,0.7570,0.0000,0.0000,0.6081,0.3299,0.0000,1.6722,-0.0181,0.4524,-1.3214,-0.0071
2023-11-16,35.0000,-0.0071,0.0900,0.0071,0.0000,0.0308,0.3395,0.0000,1.8669,-0.0071,0.4552,-1.2200,0.0114
2023-11-19,35.4000,0.0114,2.8155,0.0975,0.0000,1.1687,0.4504,1.0000,1.5137,0.0271,0.4359,-0.4532,0.0494
2023-11-20,37.1500,0.0483,2.2266,0.0673,0.0000,1.1578,0.8171,2.0000,2.7762,-0.0212,0.4187,0.2064,0.0498
2023-11-21,39.0000,0.0486,1.2854,0.0026,0.0000,0.4847,0.9846,3.0000,2.1170,0.0471,0.4140,0.7126,-0.0141
2023-11-22,40.9500,0.0488,2.0742,0.0232,0.0000,0.8666,1.0556,4.0000,1.6382,0.0256,0.4216,1.4547,-0.0611
2023-11-23,42.9500,0.0477,2.6550,0.0338,0.0000,2.0924,1.0500,5.0000,1.2682,0.0427,0.4059,2.2998,-0.1222
2023-11-27,45.0500,0.0477,2.5598,0.0289,0.0000,0.9330,0.9909,6.0000,0.9640,0.0186,0.4239,2.6120,-0.1798
2023-11-28,42.8500,-0.0501,2.9211,0.1050,0.0000,1.6837,1.2514,0.0000,0.7117,0.0488,0.4501,1.4639,-0.1540
2023-11-29,42.0000,-0.0200,0.4909,0.0000,0.0000,0.2040,1.3030,0.0000,0.7118,-0.0198,0.4330,1.2081,-0.1369
2023-11-30,41.5000,-0.0120,0.7223,0.0313,0.0000,0.2617,1.2804,0.0000,0.6960,-0.0119,0.4125,0.9147,-0.1265
2023-12-03,41.0000,-0.0121,0.5597,0.0122,0.0000,0.3969,1.2917,0.0000,0.6821,-0.0120,0.3819,0.6951,-0.1159
2023-12-04,40.2000,-0.0197,0.8809,0.0211,0.0000,0.7347,1.3455,0.0000,0.6820,-0.0195,0.3821,0.3806,-0.0983
2023-12-05,40.0000,-0.0050,0.2559,0.0000,0.0000,0.1953,1.3096,0.0000,0.6419,-0.0050,0.4045,0.2641,-0.0938
2023-12-06,40.0000,0.0000,0.8025,0.0000,0.0000,0.5165,1.2282,0.0000,0.5797,0.0000,0.4049,0.2167,-0.0938
2023-12-07,39.2000,-0.0202,0.0897,0.0013,0.0000,0.0367,1.1113,0.0000,0.5797,-0.0200,0.4214,0.1362,-0.0753
2023-12-10,39.2000,0.0000,1.1515,0.0026,0.0000,0.4417,0.9003,0.0000,0.5203,0.0000,0.4081,0.0751,-0.0753
2023-12-11,39.2000,0.0000,1.0956,0.0191,0.0000,0.9815,0.5642,0.0000,0.4638,0.0000,0.3914,0.0019,-0.0753
2023-12-12,39.9500,0.0190,0.9217,0.0113,0.0000,0.5471,0.4653,1.0000,0.3621,0.0191,0.3792,0.2886,-0.0926
2023-12-13,40.7000,0.0186,0.4730,0.0172,0.0000,0.3072,0.5226,2.0000,0.2570,0.0188,0.3791,0.4073,-0.1093
2023-12-14,40.0000,-0.0173,0.5949,0.0000,0.0000,0.4561,0.5408,0.0000,0.2566,-0.0172,0.3798,0.0452,-0.0938
