Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,216.6000,-0.0169,0.9700,0.0452,0.0000,0.4977,1.6403,0.0000,1.5490,0.0095,0.5826,2.5336,-0.0293
2023-10-31,213.6500,-0.0137,0.8284,0.0538,0.0000,0.4449,1.5188,0.0000,1.6539,0.0088,0.5788,1.9290,-0.0159
2023-11-01,219.0500,0.0250,0.8296,0.0310,0.0000,0.4125,1.4968,1.0000,1.5062,0.0152,0.5722,1.8392,-0.0402
2023-11-02,223.2000,0.0188,1.7028,0.0504,0.0000,0.8485,1.4995,2.0000,1.4782,0.0363,0.5464,1.9416,-0.0580
2023-11-05,220.9500,-0.0101,0.7657,0.0507,0.0000,0.3592,1.5219,0.0000,1.6395,0.0150,0.5347,1.5396,-0.0484
2023-11-06,218.1500,-0.0128,0.4027,0.0339,0.0000,0.1650,1.4821,0.0000,1.7504,0.0000,0.5336,1.2942,-0.0362
2023-11-07,218.7500,0.0027,0.2119,0.0247,0.0000,0.1005,1.4907,1.0000,2.0129,0.0149,0.5396,1.2085,-0.0389
2023-11-08,214.1000,-0.0215,0.4007,0.0409,0.0000,0.1634,1.4787,0.0000,1.9972,0.0002,0.5275,1.0115,-0.0180
2023-11-09,210.2500,-0.0181,0.3153,0.0430,0.0000,0.1148,0.6926,0.0000,2.0095,0.0047,0.5208,0.8491,0.0064
2023-11-12,215.0000,0.0223,0.3979,0.0530,0.0000,0.1424,0.6955,1.0000,1.8623,0.0214,0.5022,0.8570,-0.0167
2023-11-14,211.6000,-0.0159,0.2816,0.0338,0.0000,0.1057,0.6903,0.0000,1.8866,0.0007,0.4974,0.7082,-0.0009
2023-11-15,214.9500,0.0157,0.3982,0.0321,0.0000,0.1699,0.7021,1.0000,2.3225,0.0097,0.4989,0.7238,-0.0165
2023-11-16,214.0000,-0.0044,0.2673,0.0297,0.0000,0.0888,0.6219,0.0000,2.3396,0.0140,0.5144,0.5830,-0.0136
2023-11-19,220.2500,0.0288,0.6353,0.0533,0.0000,0.2881,0.6819,1.0000,2.1809,-0.0082,0.5060,0.6731,-0.0429
2023-11-20,215.8500,-0.0202,0.4235,0.0412,0.0000,0.1815,0.7243,0.0000,2.2013,0.0166,0.5091,0.4804,-0.0769
2023-11-21,214.5500,-0.0060,0.2096,0.0221,0.0000,0.0702,0.7128,0.0000,2.2822,-0.0014,0.5293,0.3363,-0.0713
2023-11-22,215.0500,0.0023,0.1517,0.0179,0.0000,0.0556,0.7124,1.0000,2.3014,0.0110,0.5472,0.2989,-0.0735
2023-11-23,228.2500,0.0596,3.4257,0.0694,0.0000,2.2240,0.9529,2.0000,1.8624,0.0228,0.5677,2.4305,-0.1271
2023-11-27,234.0000,0.0249,0.8837,0.0363,0.0000,0.3493,0.9122,3.0000,0.8112,0.0011,0.5486,3.0272,-0.1485
2023-11-28,228.6500,-0.0231,0.8845,0.0324,0.0000,0.3895,0.9747,0.0000,0.9690,-0.0043,0.4400,2.1171,-0.1286
2023-11-29,225.8500,-0.0123,0.2929,0.0237,0.0000,0.1110,1.0138,0.0000,0.9788,0.0055,0.4586,1.7206,-0.1178
2023-11-30,220.0000,-0.0262,0.5075,0.0395,0.0000,0.2002,1.0741,0.0000,0.8970,-0.0091,0.4662,1.3693,-0.0943
2023-12-03,224.6500,0.0209,0.7151,0.0487,0.0000,0.2902,1.0908,1.0000,0.9227,0.0268,0.4668,1.4471,-0.1131
