Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,21.3000,-0.0186,0.0685,0.0000,0.0000,0.0000,1.1888,0.0000,0.1910,-0.0184,0.5515,0.3708,-0.1056
2023-10-31,20.9500,-0.0166,0.2583,0.0024,0.0000,0.0000,1.0847,0.0000,0.1873,-0.0164,0.5393,0.2560,-0.0907
2023-11-01,20.5500,-0.0193,0.2039,0.0170,0.0000,0.0000,0.9172,0.0000,0.1879,-0.0191,0.5599,0.1416,-0.0730
2023-11-02,20.1500,-0.0197,0.3841,0.0124,0.0000,0.0000,0.6307,0.0000,0.1923,-0.0195,0.5726,-0.0527,-0.0546
2023-11-05,19.9000,-0.0125,0.4345,0.0050,0.0000,0.0000,0.4295,0.0000,0.1794,-0.0124,0.5819,-0.2924,-0.0427
2023-11-06,19.6000,-0.0152,0.5315,0.0128,0.0000,0.0000,0.4057,0.0000,0.3518,-0.0151,0.5855,-0.5628,-0.0281
2023-11-07,19.6000,0.0000,0.5080,0.0051,0.0000,0.0000,0.2542,0.0000,0.4620,0.0000,0.5740,-0.6222,-0.0281
2023-11-08,19.2000,-0.0206,0.3117,0.0208,0.0000,0.0000,0.2548,0.0000,0.6441,-0.0204,0.5627,-0.8119,-0.0078
2023-11-09,19.0500,-0.0078,0.1332,0.0079,0.0000,0.0000,0.2580,0.0000,0.6566,-0.0078,0.5841,-0.9724,0.0184
2023-11-12,19.4000,0.0182,0.2778,0.0155,0.0000,0.0000,0.4200,1.0000,0.6413,0.0184,0.5854,-0.9501,0.0129
2023-11-14,19.7500,0.0179,0.2241,0.0000,0.0000,0.0000,0.5132,2.0000,0.6965,0.0180,0.5936,-0.8404,-0.0051
2023-11-15,19.6500,-0.0051,0.3655,0.0025,0.0000,0.0000,0.5014,0.0000,0.8253,-0.0051,0.6011,-0.9387,0.0178
2023-11-16,20.0000,0.0177,0.2187,0.0150,0.0000,0.0000,0.5364,1.0000,0.6468,0.0178,0.6128,-0.7807,0.0025
2023-11-19,20.2000,0.0100,0.6566,0.0198,0.0000,0.0000,0.5138,2.0000,-0.0087,0.0100,0.6126,-0.4714,-0.0074
2023-11-20,20.6000,0.0196,0.5141,0.0170,0.0000,0.0000,0.5274,3.0000,-0.1185,0.0198,0.5200,-0.2434,-0.0267
2023-11-21,21.0000,0.0192,0.5341,0.0190,0.0000,0.0000,0.4985,4.0000,-0.1557,0.0194,0.3229,0.0326,-0.0452
2023-11-22,21.4000,0.0189,1.0133,0.0164,0.0000,0.0000,0.5061,5.0000,0.3490,0.0190,0.2417,0.4428,-0.0631
2023-11-23,21.0500,-0.0165,0.5424,0.0166,0.0000,0.0000,0.4735,0.0000,0.3591,-0.0164,0.2390,0.4038,-0.0475
2023-11-27,20.7500,-0.0144,1.2514,0.0145,0.0000,0.0000,0.5141,0.0000,0.3743,-0.0143,0.2394,0.0596,-0.0337
2023-11-28,20.7500,0.0000,0.7395,0.0096,0.0000,0.0000,0.5070,0.0000,0.3499,0.0000,0.2452,0.1639,-0.0337
2023-11-29,20.3500,-0.0195,0.5698,0.0025,0.0000,0.0000,0.5583,0.0000,0.3453,-0.0193,0.2274,0.0175,-0.0147
2023-11-30,20.3500,0.0000,1.1870,0.0172,0.0000,0.0000,0.5512,0.0000,0.2373,0.0000,0.2279,0.1247,-0.0147
2023-12-03,20.4500,0.0049,4.2628,0.0685,0.0000,0.0000,0.5245,1.0000,0.0959,0.0295,0.3337,2.6360,-0.0196
2023-12-04,20.0500,-0.0198,2.7811,0.0623,0.0000,0.0000,0.5715,0.0000,0.0950,0.0244,0.3755,0.7910,0.0424
2023-12-05,21.0500,0.0487,3.3308,0.0736,0.0000,0.0000,0.7615,1.0000,0.6176,0.0150,0.4220,2.5398,-0.0071
2023-12-06,22.1000,0.0487,2.2748,0.0362,0.0000,0.0000,0.8954,2.0000,0.6160,0.0451,0.4357,2.8450,-0.0543
2023-12-07,23.2000,0.0486,2.7645,0.0086,0.0000,0.0000,0.9962,3.0000,0.4993,0.0452,0.4530,2.9628,-0.0991
2023-12-10,24.3500,0.0484,1.6475,0.0431,0.0000,0.0000,1.0240,4.0000,0.3786,0.0043,0.4502,2.6997,-0.1417
2023-12-11,23.2500,-0.0462,5.1395,0.1032,0.0000,0.0000,1.1689,0.0000,-0.1081,0.0493,0.5164,0.4053,-0.1011
2023-12-12,23.2500,0.0000,1.3573,0.0387,0.0000,0.0000,1.1689,0.0000,0.0028,0.0000,0.5006,0.3464,-0.1011
2023-12-13,23.2000,-0.0022,0.7617,0.0043,0.0000,0.0000,1.1257,0.0000,0.1233,-0.0022,0.4854,-0.0712,-0.0991
2023-12-14,22.7500,-0.0196,0.2064,0.0198,0.0000,0.0000,1.1667,0.0000,0.1486,-0.0194,0.4937,-0.2296,-0.0813
2023-12-17,22.3000,-0.0200,0.6974,0.0000,0.0000,0.0000,1.2059,0.0000,0.3081,-0.0198,0.4766,-0.6386,-0.0628
2023-12-18,21.8500,-0.0204,0.3236,0.0114,0.0000,0.0000,1.2123,0.0000,0.4243,-0.0202,0.4860,-0.8130,-0.0435
2023-12-19,21.4500,-0.0185,0.4367,0.0023,0.0000,0.0000,1.1395,0.0000,0.6029,-0.0183,0.4822,-1.0103,-0.0256
2023-12-20,21.2500,-0.0094,0.4572,0.0094,0.0000,0.0000,1.0124,0.0000,0.7687,-0.0093,0.4712,-1.1777,-0.0165
2023-12-21,20.9000,-0.0166,0.3719,0.0072,0.0000,0.0000,0.8131,0.0000,0.9590,-0.0165,0.4707,-1.2585,0.0072
2023-12-25,21.1000,0.0095,0.4470,0.0237,0.0000,0.0000,0.5156,1.0000,0.8308,0.0096,0.4572,-0.9741,-0.0024
2023-12-26,21.5000,0.0188,0.5069,0.0093,0.0000,0.0000,0.4763,2.0000,0.6506,0.0190,0.4554,-0.7077,-0.0209
2023-12-27,21.2500,-0.0117,0.3044,0.0165,0.0000,0.0000,0.4726,0.0000,0.7026,-0.0116,0.4524,-0.8252,-0.0094
2023-12-28,21.0500,-0.0095,0.5091,0.0000,0.0000,0.0000,0.4707,0.0000,0.6866,-0.0094,0.4365,-1.0240,0.0119
2023-12-31,21.3000,0.0118,0.2398,0.0047,0.0000,0.0000,0.5150,1.0000,0.6119,0.0119,0.4465,-0.8762,0.0188
2024-01-01,21.7000,0.0186,0.6413,0.0092,0.0000,0.0000,0.5616,2.0000,0.5264,0.0188,0.4471,-0.5437,0.0184
2024-01-02,22.1000,0.0183,0.4893,0.0181,0.0000,0.0000,0.5661,3.0000,0.3585,0.0184,0.4550,-0.3310,0.0181
2024-01-03,22.5000,0.0179,0.5960,0.0000,0.0000,0.0000,0.5421,4.0000,0.3587,0.0181,0.4482,-0.0639,0.0178
2024-01-04,22.9000,0.0176,1.6082,0.0066,0.0000,0.0000,0.5346,5.0000,0.2852,0.0178,0.4489,0.6271,-0.0022
2024-01-07,23.3500,0.0195,1.3501,0.0107,0.0000,0.0000,0.4513,6.0000,0.0464,0.0197,0.4353,1.3551,-0.0214
2024-01-08,23.8000,0.0191,1.2587,0.0126,0.0000,0.0000,0.4678,7.0000,-0.5603,0.0193,0.4345,2.4421,-0.0399
2024-01-09,24.2500,0.0187,1.4382,0.0000,0.0000,0.0000,0.4755,8.0000,-0.2211,0.0189,0.2898,2.4582,-0.0577
2024-01-10,24.7000,0.0184,1.7633,0.0000,0.0000,0.0000,0.3543,9.0000,-0.3354,0.0186,0.2805,2.4437,-0.0749
2024-01-11,25.1500,0.0181,2.2904,0.0000,0.0000,0.0000,0.0883,10.0000,-0.4756,0.0182,0.3055,2.4435,-0.0954
2024-01-14,25.6500,0.0197,1.0866,0.0000,0.0000,0.0000,0.0277,11.0000,-0.7059,0.0199,0.2832,2.2072,-0.1442
2024-01-15,26.0000,0.0136,0.6681,0.0019,0.0000,0.0000,0.0729,12.0000,-0.9448,0.0136,0.2867,1.9700,-0.1558
2024-01-16,26.1000,0.0038,1.6485,0.0019,0.0000,0.0000,0.2082,13.0000,-1.0768,0.0038,0.2804,1.9413,-0.1590
2024-01-17,25.6500,-0.0174,0.7903,0.0175,0.0000,0.0000,0.5200,0.0000,-1.0627,-0.0172,0.2758,1.5740,-0.1442
2024-01-18,26.1500,0.0193,1.6626,0.0019,0.0000,0.0000,0.5236,1.0000,-1.3746,0.0195,0.2763,1.6448,-0.1606
2024-01-22,25.6000,-0.0213,0.5073,0.0137,0.0000,0.0000,0.6990,0.0000,-1.4392,-0.0210,0.2754,1.3928,-0.1426
2024-01-23,25.1000,-0.0197,0.1815,0.0000,0.0000,0.0000,0.7852,0.0000,-1.1647,-0.0195,0.2987,1.2287,-0.1255
2024-01-24,25.0000,-0.0040,0.4967,0.0200,0.0000,0.0000,0.7681,0.0000,-0.9530,-0.0040,0.3064,1.0391,-0.1220
2024-01-28,24.5500,-0.0182,0.4078,0.0183,0.0000,0.0000,0.7804,0.0000,-0.9462,-0.0180,0.3071,0.8819,-0.1059
2024-01-29,24.0500,-0.0206,1.5543,0.0208,0.0000,0.0000,0.7657,0.0000,-0.9216,-0.0204,0.3025,0.5312,-0.0873
2024-01-30,23.8000,-0.0104,1.1355,0.0147,0.0000,0.0000,0.6699,0.0000,-0.7034,-0.0104,0.2786,0.2236,-0.0777
2024-01-31,23.6000,-0.0084,0.7603,0.0085,0.0000,0.0000,0.5856,0.0000,-0.4984,-0.0084,0.2788,-0.0409,-0.0699
2024-02-01,23.4500,-0.0064,0.4438,0.0021,0.0000,0.0000,0.5522,0.0000,-0.3184,-0.0064,0.2840,-0.2746,-0.0640
2024-02-04,23.0000,-0.0194,0.8606,0.0196,0.0000,0.0000,0.5585,0.0000,-0.1058,-0.0192,0.2779,-0.6958,-0.0457
2024-02-05,22.8500,-0.0065,0.1911,0.0066,0.0000,0.0000,0.3116,0.0000,0.0663,-0.0065,0.3026,-0.9347,-0.0394
2024-02-06,22.8500,0.0000,0.6366,0.0131,0.0000,0.0000,0.3397,0.0000,0.1706,0.0000,0.3116,-1.0926,-0.0394
2024-02-07,23.3000,0.0195,0.5145,0.0258,0.0000,0.0000,0.5310,1.0000,0.1728,0.0197,0.3238,-1.0337,-0.0644
2024-02-08,23.3000,0.0000,0.9978,0.0193,0.0000,0.0000,0.5426,0.0000,0.2752,0.0000,0.3241,-1.0935,-0.0815
2024-02-11,23.9500,0.0275,3.7071,0.0668,0.0000,0.0000,0.7007,1.0000,0.3852,0.0494,0.3897,0.3794,-0.1232
2024-02-12,22.7500,-0.0514,2.4068,0.0725,0.0000,0.0000,0.9459,0.0000,-0.2809,0.0188,0.4003,-0.6380,-0.0945
2024-02-13,21.9500,-0.0358,1.7789,0.0478,0.0000,0.0000,1.0265,0.0000,-0.1517,-0.0308,0.4054,-1.2925,-0.0797
2024-02-14,23.0000,0.0467,1.0243,0.0652,0.0000,0.0000,1.2553,1.0000,0.4602,-0.0205,0.3971,-0.7681,-0.1391
2024-02-15,24.1500,0.0488,2.8580,0.0807,0.0000,0.0000,1.4073,2.0000,0.6034,0.0370,0.4262,0.6269,-0.1967
2024-02-18,25.3000,0.0465,3.1742,0.0455,0.0000,0.0000,1.4542,3.0000,0.4502,0.0497,0.4532,2.0806,-0.2470
2024-02-19,26.5500,0.0482,3.6135,0.0772,0.0000,0.0000,1.4903,4.0000,0.4602,0.0237,0.4927,3.0026,-0.2919
2024-02-20,27.6500,0.0406,3.3521,0.0344,0.0000,0.0000,1.4912,5.0000,0.2388,0.0471,0.5037,3.1166,-0.3291
2024-02-21,27.1000,-0.0201,0.2517,0.0000,0.0000,0.0000,1.5681,0.0000,0.2391,-0.0199,0.4933,2.3994,-0.3155
2024-02-22,26.5500,-0.0205,0.2376,0.0000,0.0000,0.0000,1.6175,0.0000,0.2903,-0.0203,0.4947,1.9684,-0.3013
2024-02-25,26.0500,-0.0190,0.1385,0.0000,0.0000,0.0000,1.6454,0.0000,0.2916,-0.0188,0.4998,1.6840,-0.2879
2024-02-26,25.5500,-0.0194,0.0527,0.0000,0.0000,0.0000,1.4908,0.0000,0.2903,-0.0192,0.5292,1.4783,-0.2740
2024-02-27,25.0500,-0.0198,0.0561,0.0000,0.0000,0.0000,1.4317,0.0000,0.3139,-0.0196,0.5544,1.3103,-0.2595
2024-02-28,24.5500,-0.0202,0.0598,0.0000,0.0000,0.0000,1.4250,0.0000,0.3467,-0.0200,0.5736,1.1684,-0.2444
2024-02-29,24.0500,-0.0206,0.0786,0.0000,0.0000,0.0000,1.3403,0.0000,0.3897,-0.0204,0.5844,1.0424,-0.2287
2024-03-03,23.1500,-0.0381,0.1223,0.0000,0.0000,0.0000,1.2127,0.0000,0.3647,-0.0374,0.5999,0.9233,-0.1987
2024-03-04,22.7000,-0.0196,0.0872,0.0000,0.0000,0.0000,0.8666,0.0000,0.4095,-0.0194,0.6015,0.8201,-0.1828
2024-03-05,22.2500,-0.0200,0.0977,0.0022,0.0000,0.0000,0.2486,0.0000,0.4873,-0.0198,0.6124,0.7215,-0.1663
2024-03-06,21.8000,-0.0204,0.2696,0.0000,0.0000,0.0000,0.2482,0.0000,0.6688,-0.0202,0.6130,0.5943,-0.1491
2024-03-10,21.4000,-0.0185,0.3890,0.0047,0.0000,0.0000,0.2519,0.0000,0.7466,-0.0183,0.6169,0.4419,-0.1332
2024-03-11,21.0000,-0.0189,0.2492,0.0119,0.0000,0.0000,0.2513,0.0000,0.9766,-0.0187,0.6410,0.3242,-0.1167
2024-03-12,20.6000,-0.0192,0.0486,0.0000,0.0000,0.0000,0.2515,0.0000,1.1376,-0.0190,0.6706,0.2307,-0.0995
2024-03-13,20.2000,-0.0196,0.3338,0.0000,0.0000,0.0000,0.2515,0.0000,1.1789,-0.0194,0.6820,0.0470,-0.0817
2024-03-14,19.8000,-0.0200,0.2223,0.0000,0.0000,0.0000,0.2516,0.0000,1.5330,-0.0198,0.6916,-0.1968,-0.0631
2024-03-17,19.4000,-0.0204,0.8845,0.0000,0.0000,0.0000,0.2516,0.0000,1.9877,-0.0202,0.6964,-0.8594,-0.0438
2024-03-18,19.0500,-0.0182,0.2595,0.0184,0.0000,0.0000,0.0329,0.0000,2.6506,-0.0180,0.6962,-1.6235,-0.0262
2024-03-19,18.8000,-0.0132,0.2122,0.0000,0.0000,0.0000,0.0908,0.0000,3.6558,-0.0131,0.6520,-1.7835,-0.0133
2024-03-20,18.5500,-0.0134,0.9429,0.0162,0.0000,0.0000,0.1144,0.0000,-2.9504,-0.0133,0.3784,-1.7354,0.0189
2024-03-21,18.9000,0.0187,1.2840,0.0185,0.0000,0.0000,0.5061,1.0000,2.5272,0.0189,0.3750,-1.3769,0.0185
2024-03-25,19.2500,0.0183,0.4686,0.0000,0.0000,0.0000,0.6616,2.0000,2.0149,0.0185,0.3847,-1.1823,0.0182
2024-03-26,19.6000,0.0180,1.4471,0.0026,0.0000,0.0000,0.7491,3.0000,1.5762,0.0182,0.3847,-0.8569,0.0179
2024-03-27,19.9500,0.0177,0.6555,0.0000,0.0000,0.0000,0.7905,4.0000,1.2236,0.0179,0.3721,-0.6671,0.0476
