Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2026-01-13,44.2467,0.0672,0.7206,0.0821,0.0000,0.5968,1.1164,1.0000,0.7276,0.0394,0.6250,2.0201,0.0000
2026-01-14,44.2467,0.0000,0.0000,0.0000,0.0000,0.0000,1.1205,0.0000,0.8531,0.0000,0.6546,1.7511,0.0482
2026-01-15,47.5533,0.0721,6.9142,0.0911,0.0000,3.0665,1.2648,1.0000,0.6916,-0.0056,0.7006,3.0719,-0.0247
2026-01-18,50.2900,0.0560,4.7515,0.1141,0.0000,2.6760,1.2292,2.0000,0.4599,0.0150,0.6911,3.1612,-0.0777
2026-01-19,49.1167,-0.0236,2.3208,0.0943,0.0000,1.0151,1.2429,0.0000,0.5212,0.0019,0.6608,2.0615,-0.0557
2026-01-20,46.7633,-0.0491,3.0761,0.0817,0.0000,1.8570,1.3812,0.0000,0.4665,-0.0024,0.6302,0.9954,-0.0082
2026-01-21,49.0333,0.0474,2.6066,0.0524,0.0000,1.5285,1.4126,1.0000,0.3426,0.0130,0.5976,1.6805,-0.0541
2026-01-22,46.3800,-0.0556,1.9818,0.1374,0.0000,1.2753,1.4834,0.0000,0.3582,0.0128,0.5833,0.8777,0.0640
2026-01-26,49.3500,0.0621,7.6444,0.0767,0.0000,6.7630,1.4921,1.0000,0.1540,0.0152,0.6785,3.2386,0.0270
2026-01-27,50.6833,0.0267,6.1810,0.0250,0.0000,5.1630,1.4213,2.0000,0.1239,0.0057,0.7032,3.5218,0.0157
2026-01-28,51.4800,0.0156,3.5915,0.0117,0.0000,3.1645,1.3400,3.0000,0.2117,0.0046,0.6940,3.1186,0.0128
2026-01-29,52.1367,0.0127,3.1316,0.0097,0.0000,1.6228,1.3336,4.0000,0.1256,0.0039,0.6630,2.8494,0.0272
2026-02-01,53.5533,0.0268,3.1304,0.0107,0.0000,2.2269,1.2195,5.0000,-0.0453,0.0168,0.6285,2.6948,0.0099
2026-02-02,54.0833,0.0098,3.1184,0.0083,0.0000,1.8551,1.1357,6.0000,-0.1362,0.0027,0.5958,2.5953,-0.0499
2026-02-03,54.7000,0.0113,2.8708,0.0088,0.0000,1.0206,1.0905,7.0000,-0.2417,0.0038,0.5619,2.4962,-0.1075
2026-02-04,55.4300,0.0133,2.6336,0.0096,0.0000,1.9763,0.9008,8.0000,-0.2857,0.0043,0.5266,2.4001,-0.1633
2026-02-05,56.0400,0.0109,2.5652,0.0080,0.0000,1.6772,0.8457,9.0000,-0.2741,0.0046,0.4951,2.3281,-0.2137
2026-02-08,56.7733,0.0130,2.4154,0.0085,0.0000,1.0790,0.4667,10.0000,-0.3984,0.0054,0.4626,2.2616,-0.2626
2026-02-09,57.3867,0.0107,2.2686,0.0228,0.0000,1.7303,0.1858,11.0000,-0.2909,0.0067,0.4408,2.1946,-0.3069
2026-02-10,58.0900,0.0122,2.2899,0.0083,0.0000,1.9551,0.1441,12.0000,-0.3983,0.0069,0.4111,2.1541,-0.3495
2026-02-11,58.7667,0.0116,2.1368,0.0053,0.0000,1.5515,0.1444,13.0000,-0.4197,0.0068,0.3808,2.1091,-0.3891
2026-02-12,59.3867,0.0105,2.0397,0.0039,0.0000,1.6385,0.1481,14.0000,-0.4760,0.0071,0.3490,2.0690,-0.4257
2026-02-15,60.5033,0.0186,2.2836,0.0136,0.0000,0.7814,0.0746,15.0000,-0.7900,0.0075,0.3433,2.0718,-0.4644
2026-02-16,61.5133,0.0166,1.7877,0.0099,0.0000,0.7421,0.0802,16.0000,-0.9755,0.0075,0.3201,2.0100,-0.4996
2026-02-17,62.5300,0.0164,2.0202,0.0104,0.0000,1.0505,0.0846,17.0000,-1.2427,0.0068,0.3003,2.0012,-0.5323
2026-02-18,63.4433,0.0145,1.6990,0.0079,0.0000,0.6407,0.0852,18.0000,-1.3063,0.0075,0.2740,1.9599,-0.5620
2026-02-19,64.3767,0.0146,2.1809,0.0068,0.0000,0.9112,0.0816,19.0000,-1.5662,0.0109,0.2663,1.9999,-0.5899
2026-02-22,65.5600,0.0182,1.6181,0.0096,0.0000,1.2752,0.0925,20.0000,3.3778,0.0100,0.2375,1.9639,-0.6174
2026-02-23,66.4033,0.0128,0.5270,0.0078,0.0000,0.1921,0.0871,21.0000,1.6039,0.0080,0.2396,1.7915,-0.6412
