Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,78.1133,0.0245,0.6985,0.0319,0.0000,0.5785,1.0308,1.0000,-0.0563,0.0020,0.3618,0.9492,-0.0338
2023-10-16,80.3053,0.0277,0.9859,0.0403,0.0000,0.4654,1.0591,2.0000,-0.1968,0.0198,0.3545,1.1520,-0.0602
2023-10-17,79.9068,-0.0050,0.9428,0.0368,0.0000,0.4181,1.0690,0.0000,-0.0540,0.0167,0.3452,0.7539,-0.0555
2023-10-18,80.6042,0.0087,0.5611,0.0488,0.0000,0.3160,0.8725,1.0000,-0.1701,0.0081,0.3310,0.8650,-0.0637
2023-10-19,79.7075,-0.0112,0.5067,0.0400,0.0000,0.2216,0.8874,0.0000,-0.0610,0.0000,0.3371,0.6057,-0.0531
2023-10-22,76.6686,-0.0389,1.0636,0.0767,0.0000,0.6421,0.7581,0.0000,-0.1639,0.0012,0.3326,0.0997,-0.0156
2023-10-24,75.4730,-0.0157,0.6709,0.0634,0.0000,0.3934,0.7812,0.0000,-0.0941,0.0026,0.3154,-0.3587,0.0125
2023-10-25,76.6188,0.0151,0.6679,0.0592,0.0000,0.4298,0.8139,1.0000,-0.2093,-0.0198,0.2969,-0.1801,-0.0026
2023-10-26,78.8606,0.0288,0.4958,0.0379,0.0000,0.4386,0.8868,2.0000,-0.4908,0.0013,0.2850,0.0201,-0.0310
2023-10-29,78.2628,-0.0076,0.4368,0.0356,0.0000,0.3649,0.8985,0.0000,-0.3767,0.0101,0.2883,-0.3627,-0.0236
2023-10-30,78.2628,0.0000,0.2148,0.0261,0.0000,0.1893,0.8434,0.0000,-0.3918,0.0134,0.3172,-0.5362,-0.0236
2023-10-31,76.8679,-0.0180,0.3464,0.0324,0.0000,0.1795,0.7759,0.0000,-0.1840,0.0045,0.3376,-0.9498,-0.0058
2023-11-01,76.5690,-0.0039,0.5109,0.0390,0.0000,0.3634,0.7925,0.0000,-0.1183,0.0045,0.3475,-1.3527,-0.0020
2023-11-02,76.4196,-0.0020,0.3671,0.0287,0.0000,0.2184,0.7717,0.0000,-0.6172,0.0000,0.3503,-1.4486,0.0013
2023-11-05,76.5192,0.0013,0.5204,0.0254,0.0000,0.1850,0.7716,1.0000,-0.5943,0.0156,0.3044,-1.1981,0.0000
2023-11-06,76.5192,0.0000,0.3338,0.0156,0.0000,0.2505,0.5791,0.0000,-0.0598,0.0026,0.2489,-1.0854,0.0130
2023-11-07,77.5155,0.0129,0.5848,0.0283,0.0000,0.3823,0.5530,1.0000,-0.1856,0.0052,0.2603,-0.6288,0.0495
2023-11-08,81.3515,0.0483,0.9485,0.0000,0.0000,0.4237,0.8018,2.0000,0.3097,0.0495,0.2584,0.0113,0.0496
2023-11-09,85.3867,0.0484,0.6313,0.0000,0.0000,0.4815,0.9212,3.0000,0.4000,0.0496,0.2666,0.4505,0.0560
2023-11-12,94.0548,0.0967,4.5399,0.0244,0.0000,3.8762,1.3322,4.0000,1.2748,0.1015,0.3784,2.8888,-0.0413
2023-11-14,95.8981,0.0194,1.6525,0.0192,0.0000,1.1999,1.3111,5.0000,1.3127,0.0196,0.3854,2.8214,-0.0597
2023-11-15,97.7911,0.0195,2.0220,0.0188,0.0000,1.6243,1.3435,6.0000,1.3749,0.0197,0.3977,2.8119,-0.0779
2023-11-16,96.1472,-0.0170,1.2781,0.0187,0.0000,0.4374,1.4071,0.0000,1.3473,-0.0168,0.3969,1.9770,-0.0622
2023-11-19,97.6417,0.0154,1.1957,0.0041,0.0000,0.4964,1.3891,1.0000,1.3060,0.0155,0.3959,2.0055,-0.0765
2023-11-20,97.6915,0.0005,0.4491,0.0199,0.0000,0.2335,1.3918,2.0000,1.3008,0.0005,0.4043,1.8289,-0.0770
2023-11-21,95.7486,-0.0201,0.4879,0.0198,0.0000,0.1840,1.4794,0.0000,1.6242,-0.0199,0.4086,1.5052,-0.0583
2023-11-22,93.8556,-0.0200,0.6017,0.0005,0.0000,0.2514,1.5794,0.0000,1.5832,-0.0198,0.4125,1.2298,-0.0393
