Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,4.2000,-0.0118,1.7324,0.0000,0.0000,1.7324,0.5361,0.0000,1.7455,-0.0118,0.3123,-1.6072,-0.0476
2023-10-31,4.1500,-0.0120,0.5308,0.0000,0.0000,0.5308,0.4960,0.0000,2.2495,-0.0119,0.3300,-1.6242,-0.0361
2023-11-01,4.1000,-0.0121,0.2455,0.0000,0.0000,0.2455,0.5004,0.0000,1.4415,-0.0120,0.3554,-1.6704,-0.0244
2023-11-02,4.0500,-0.0123,1.4139,0.0000,0.0000,1.4139,0.3871,0.0000,1.3975,-0.0122,0.3316,-1.9701,-0.0123
2023-11-05,4.1000,0.0123,6.2140,0.0244,0.0000,6.2140,0.4037,1.0000,1.1008,0.0123,0.4857,1.0486,-0.0244
2023-11-06,4.1500,0.0121,0.5894,0.0120,0.0000,0.5894,0.4724,2.0000,0.8377,0.0122,0.4732,1.4292,-0.0361
2023-11-07,4.1000,-0.0121,1.2248,0.0122,0.0000,1.2248,0.4821,0.0000,0.8273,-0.0120,0.4686,0.8400,-0.0244
2023-11-08,4.0500,-0.0123,1.2596,0.0247,0.0000,1.2596,0.4843,0.0000,0.8346,-0.0122,0.4691,0.1676,-0.0123
2023-11-09,4.0000,-0.0124,0.8337,0.0000,0.0000,0.8337,0.4957,0.0000,0.8673,-0.0123,0.4740,-0.2798,0.1000
2023-11-12,4.4000,0.0953,1.0006,0.0341,0.0000,1.0006,1.4767,1.0000,3.2618,0.1000,0.4750,0.3442,0.0455
2023-11-14,4.6000,0.0445,0.4697,0.0000,0.0000,0.4697,1.5303,2.0000,2.6099,0.0455,0.4874,0.6168,0.0000
2023-11-15,4.8000,0.0426,0.9775,0.0000,0.0000,0.9775,1.5346,3.0000,2.1731,0.0435,0.4681,1.1266,-0.0417
2023-11-16,4.9500,0.0308,5.7426,0.0606,0.0000,5.7426,1.4900,4.0000,1.8940,0.0417,0.5650,3.3004,-0.0707
2023-11-19,4.8000,-0.0308,2.1783,0.0521,0.0000,2.1783,1.5707,0.0000,1.8315,0.0101,0.5636,1.8301,-0.0417
2023-11-20,4.9000,0.0206,2.0217,0.0408,0.0000,2.0217,1.5651,1.0000,1.7513,0.0313,0.5672,2.2968,-0.0612
