Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,101.8000,-0.0029,1.5469,0.0368,0.0000,0.5416,1.1444,0.0000,0.8585,0.0000,0.4247,0.2349,-0.1415
2023-10-31,99.8000,-0.0198,1.1314,0.0266,0.0000,0.3961,1.1296,0.0000,1.1464,0.0005,0.4249,-0.2526,-0.1383
2023-11-01,99.6000,-0.0020,1.2150,0.0387,0.0000,0.4254,1.0283,0.0000,1.0082,0.0000,0.3697,-0.7775,-0.1365
2023-11-02,99.3000,-0.0030,1.5582,0.0373,0.0000,0.5455,0.8887,0.0000,0.8902,0.0171,0.3571,-1.4014,-0.1430
2023-11-05,99.7000,0.0040,0.9673,0.0301,0.0000,0.3387,0.7349,1.0000,0.7015,0.0121,0.3384,-0.8839,-0.1620
2023-11-06,99.8500,0.0015,0.9146,0.0330,0.0000,0.3202,0.7252,2.0000,0.5489,0.0130,0.3095,-0.4294,-0.1713
2023-11-07,99.2000,-0.0065,1.1927,0.0338,0.0000,0.4176,0.6703,0.0000,0.4879,-0.0145,0.2828,-0.9940,-0.1658
2023-11-08,97.5000,-0.0173,2.5430,0.0400,0.0000,0.8903,0.6464,0.0000,0.4928,0.0000,0.2956,-2.0708,-0.1513
2023-11-09,98.4500,0.0097,0.5144,0.0218,0.0000,0.1801,0.6308,1.0000,0.2873,0.0195,0.2905,-1.6375,-0.1595
2023-11-12,97.8000,-0.0066,1.0034,0.0383,0.0000,0.3513,0.5635,0.0000,0.2457,0.0300,0.2873,-1.8879,-0.1539
2023-11-14,97.6500,-0.0015,0.6755,0.0348,0.0000,0.2365,0.5685,0.0000,0.1628,0.0066,0.2793,-1.9479,-0.1603
2023-11-15,98.5000,0.0087,0.6882,0.0330,0.0000,0.2409,0.5033,1.0000,0.1361,0.0138,0.2555,-1.5028,-0.1817
2023-11-16,98.6000,0.0010,1.5844,0.0284,0.0000,0.5547,0.5062,2.0000,0.1327,-0.0178,0.2654,-0.8552,-0.1927
2023-11-19,96.6500,-0.0200,1.1014,0.0352,0.0000,0.3856,0.6361,0.0000,0.1812,0.0142,0.2650,-1.1226,-0.1904
2023-11-20,96.7000,0.0005,0.9847,0.0336,0.0000,0.3448,0.6262,1.0000,-0.0840,0.0176,0.2653,-0.7003,-0.2068
2023-11-21,95.2000,-0.0156,1.1448,0.0231,0.0000,0.4008,0.6620,0.0000,-0.0755,0.0031,0.2552,-1.0238,-0.2075
2023-11-22,93.3500,-0.0196,1.0584,0.0370,0.0000,0.3706,0.7244,0.0000,-0.0687,0.0163,0.2220,-1.3073,-0.2078
2023-11-23,91.7000,-0.0178,1.8779,0.0382,0.0000,0.6575,0.7291,0.0000,-0.0495,0.0177,0.2209,-1.8448,-0.1936
2023-11-27,89.9000,-0.0198,1.8455,0.0289,0.0000,0.6461,0.6813,0.0000,0.0300,0.0087,0.2346,-2.2836,-0.1774
2023-11-28,88.2500,-0.0185,1.4021,0.0204,0.0000,0.4909,0.7016,0.0000,0.0321,0.0000,0.2320,-2.4183,-0.1620
2023-11-29,87.4000,-0.0097,1.2424,0.0395,0.0000,0.4350,0.6786,0.0000,0.1368,0.0000,0.2338,-2.3805,-0.1539
2023-11-30,86.0000,-0.0161,1.6356,0.0157,0.0000,0.5726,0.5196,0.0000,0.1533,-0.0200,0.2415,-2.3925,-0.1401
2023-12-03,86.1500,0.0017,1.0171,0.0284,0.0000,0.3561,0.5323,1.0000,0.1196,0.0169,0.2369,-1.7927,-0.1416
2023-12-04,85.1000,-0.0123,1.1010,0.0241,0.0000,0.3855,0.5144,0.0000,0.2595,0.0041,0.2366,-1.8226,-0.1310
2023-12-05,83.5500,-0.0184,1.1439,0.0365,0.0000,0.4005,0.4269,0.0000,0.4798,0.0159,0.2267,-1.8531,-0.1149
2023-12-06,82.7500,-0.0096,0.9941,0.0187,0.0000,0.3480,0.4405,0.0000,0.6457,-0.0030,0.2146,-1.8519,-0.1063
2023-12-07,83.1000,0.0042,2.1347,0.0337,0.0000,0.7474,0.5601,1.0000,0.5253,-0.0187,0.2404,-1.1409,-0.1101
2023-12-10,84.7500,0.0197,2.2341,0.0142,0.0000,0.7822,0.8337,2.0000,0.6538,0.0054,0.2585,-0.4324,-0.1274
2023-12-11,84.6500,-0.0012,2.2351,0.0219,0.0000,0.7825,0.8040,0.0000,0.7369,0.0147,0.2655,-1.0511,-0.1264
2023-12-12,83.6500,-0.0119,0.8613,0.0395,0.0000,0.3015,0.7729,0.0000,0.8037,0.0000,0.2573,-1.2039,-0.1160
2023-12-13,82.0000,-0.0199,1.2441,0.0244,0.0000,0.4356,0.8352,0.0000,0.9501,0.0042,0.2402,-1.4484,-0.0982
2023-12-14,80.6000,-0.0172,1.2321,0.0254,0.0000,0.4314,0.8499,0.0000,1.2539,0.0055,0.2199,-1.6528,-0.0825
2023-12-17,79.6000,-0.0125,1.0625,0.0371,0.0000,0.3720,0.8451,0.0000,1.5118,0.0167,0.2185,-1.7884,-0.0710
2023-12-18,78.2500,-0.0171,0.9482,0.0211,0.0000,0.3320,0.8749,0.0000,1.5431,0.0000,0.2076,-1.8554,-0.0550
2023-12-19,76.7000,-0.0200,0.8801,0.0300,0.0000,0.3081,0.8951,0.0000,1.8212,-0.0147,0.1923,-1.9202,-0.0359
2023-12-20,75.4500,-0.0164,0.6895,0.0199,0.0000,0.2414,0.9257,0.0000,1.8221,0.0000,0.1866,-1.9173,-0.0199
