Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,19.1500,-0.0283,0.3464,0.0496,0.0000,0.1705,1.8562,0.0000,0.7798,-0.0051,0.6718,1.3805,-0.0783
2023-10-16,18.8000,-0.0184,0.1943,0.0266,0.0000,0.0466,1.8623,0.0000,0.8926,-0.0235,0.6618,1.2106,-0.0612
2023-10-17,18.1000,-0.0379,0.2263,0.0552,0.0000,0.0910,1.9033,0.0000,0.8898,-0.0160,0.6535,1.0581,-0.0249
2023-10-18,20.2000,0.1098,2.2483,0.2054,0.0000,1.4809,2.0474,1.0000,0.7056,-0.0304,0.6507,1.4100,-0.1262
2023-10-19,19.3000,-0.0456,0.5083,0.0959,0.0000,0.2169,2.0593,0.0000,0.9449,0.0000,0.6558,1.1751,-0.0855
2023-10-22,17.9500,-0.0725,0.3306,0.1393,0.0000,0.1312,1.5871,0.0000,1.1454,0.0026,0.6660,1.0033,-0.0167
2023-10-24,17.6500,-0.0169,0.1656,0.0538,0.0000,0.0371,1.3842,0.0000,1.4754,0.0000,0.6796,0.8801,0.0085
2023-10-25,17.8000,0.0085,0.2356,0.0983,0.0000,0.1433,1.3662,1.0000,1.4568,-0.0312,0.6843,0.8358,0.0028
2023-10-26,18.1000,0.0167,0.0550,0.0249,0.0000,0.0141,1.3961,2.0000,1.4076,0.0084,0.6921,0.7633,-0.0138
2023-10-29,18.4500,0.0192,0.0769,0.0298,0.0000,0.0356,1.4124,3.0000,1.3204,0.0221,0.6988,0.6997,-0.0325
2023-10-30,17.8500,-0.0331,0.1240,0.0392,0.0000,0.0325,1.4175,0.0000,1.4915,0.0000,0.7017,0.5992,0.0308
2023-10-31,19.5500,0.0910,1.6715,0.1535,0.0000,1.0114,1.5987,1.0000,1.1635,0.0028,0.6867,0.9241,-0.0588
2023-11-01,19.6000,0.0026,0.1314,0.0485,0.0000,0.0759,1.5493,2.0000,1.1499,0.0205,0.6905,0.9160,-0.0612
2023-11-02,19.2500,-0.0180,0.1343,0.0442,0.0000,0.0581,1.2119,0.0000,1.2766,0.0051,0.6930,0.8827,-0.0494
2023-11-05,19.2000,-0.0026,0.2759,0.0625,0.0000,0.0901,1.1520,0.0000,1.2444,0.0234,0.6863,1.0741,-0.0651
2023-11-06,19.0500,-0.0078,0.1009,0.0341,0.0000,0.0267,0.9306,0.0000,1.1595,0.0000,0.6527,1.0901,-0.0577
2023-11-07,18.8000,-0.0132,0.3841,0.0479,0.0000,0.1254,0.9239,0.0000,1.4812,0.0000,0.5635,0.8961,-0.0452
2023-11-08,19.0000,0.0106,0.3735,0.0368,0.0000,0.0965,0.9253,1.0000,1.4450,0.0053,0.5670,0.9501,-0.0553
2023-11-09,18.7000,-0.0159,0.1992,0.0561,0.0000,0.0553,0.9391,0.0000,1.4534,-0.0289,0.5836,0.7956,-0.0401
2023-11-12,18.8500,0.0080,0.3444,0.0265,0.0000,0.1389,0.9313,1.0000,1.3556,0.0000,0.5910,0.8275,-0.0477
