Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,60.3374,-0.0114,0.3010,0.0269,0.0000,0.1065,1.5572,0.0000,1.4945,0.0032,0.5615,0.7604,0.0000
2023-10-16,66.6369,0.0993,8.8059,0.1677,0.0000,7.0051,1.6625,1.0000,1.2026,0.0147,0.6804,3.4835,-0.0945
2023-10-17,76.5783,0.1391,8.3670,0.1279,0.0000,6.7279,1.7964,2.0000,0.9512,0.0620,0.7365,3.8053,-0.2121
2023-10-18,76.8735,0.0038,1.7299,0.0883,0.0000,1.4040,1.8112,3.0000,0.9499,0.0006,0.7089,2.9723,-0.2151
2023-10-19,74.0683,-0.0372,0.8083,0.1302,0.0000,0.4791,1.8553,0.0000,0.9387,-0.0006,0.6817,2.2426,-0.1854
2023-10-22,70.3772,-0.0511,0.0478,0.0909,0.0000,0.0283,2.0433,0.0000,0.9606,0.0100,0.6792,1.8945,-0.1427
2023-10-24,66.8829,-0.0509,0.0184,0.0088,0.0000,0.0109,2.1930,0.0000,1.2308,-0.0490,0.6964,1.6472,-0.0979
2023-10-25,63.6348,-0.0498,0.0979,0.0534,0.0000,0.0580,1.8330,0.0000,1.2053,-0.0500,0.7009,1.4457,-0.0518
2023-10-26,64.3730,0.0115,0.1324,0.0734,0.0000,0.0785,1.8115,1.0000,1.4950,0.0070,0.7207,1.3107,-0.0627
2023-10-29,61.6662,-0.0430,0.0869,0.0519,0.0000,0.0515,1.8603,0.0000,1.5609,0.0000,0.7410,1.1678,-0.0215
2023-10-30,60.4850,-0.0193,0.0558,0.0521,0.0000,0.0331,1.8803,0.0000,1.5815,-0.0088,0.7481,1.0477,-0.0024
2023-10-31,60.3374,-0.0024,0.0675,0.0808,0.0000,0.0400,1.6144,0.0000,1.5472,0.0317,0.7557,0.9394,0.0155
2023-11-01,61.4693,0.0186,0.0294,0.0392,0.0000,0.0175,0.7797,1.0000,1.4570,0.0114,0.7632,0.8532,-0.0032
2023-11-02,64.4222,0.0469,0.0769,0.0542,0.0000,0.0456,0.9663,2.0000,1.4041,0.0104,0.7725,0.7793,-0.0489
2023-11-05,67.6212,0.0485,0.0959,0.0408,0.0000,0.0569,1.0993,3.0000,1.2357,0.0489,0.7730,0.7126,-0.0939
2023-11-06,68.9992,0.0202,0.0552,0.0642,0.0000,0.0327,1.0443,4.0000,1.2059,0.0408,0.7787,0.6437,-0.1120
2023-11-07,68.4578,-0.0079,0.0692,0.0489,0.0000,0.0410,0.9351,0.0000,1.1958,0.0200,0.7825,0.5585,-0.1050
2023-11-08,66.7353,-0.0255,0.0251,0.0568,0.0000,0.0149,0.8347,0.0000,1.3183,-0.0295,0.8051,0.4791,-0.0819
2023-11-09,67.1782,0.0066,0.0335,0.0293,0.0000,0.0199,0.8324,1.0000,1.2795,0.0030,0.8216,0.4072,-0.0879
2023-11-12,67.1290,-0.0007,0.0340,0.0572,0.0000,0.0201,0.6993,0.0000,1.3053,0.0388,0.8276,0.3166,-0.0872
2023-11-14,65.2589,-0.0283,0.0557,0.0528,0.0000,0.0330,0.7299,0.0000,1.3131,0.0191,0.8300,0.2009,-0.0656
2023-11-15,64.5206,-0.0114,0.0492,0.0610,0.0000,0.0292,0.7442,0.0000,1.6780,-0.0121,0.8486,-0.2166,-0.0549
2023-11-16,64.5206,0.0000,0.1980,0.0290,0.0000,0.1174,0.7375,0.0000,0.2501,-0.0084,0.7125,-0.4479,-0.0549
2023-11-19,63.3887,-0.0177,0.1724,0.0148,0.0000,0.1022,0.6335,0.0000,0.3669,-0.0053,0.5724,-0.9575,-0.0380
2023-11-20,61.6662,-0.0275,0.8603,0.0638,0.0000,0.5100,0.4414,0.0000,0.3620,0.0171,0.3094,-1.4760,-0.0463
2023-11-21,61.2724,-0.0064,0.7489,0.0426,0.0000,0.4439,0.3416,0.0000,0.3669,0.0279,0.3135,-1.7776,-0.0402
2023-11-22,61.5185,0.0040,0.5163,0.0160,0.0000,0.3061,0.3710,1.0000,0.3953,-0.0040,0.3054,-1.2577,-0.0440
2023-11-23,63.1426,0.0261,0.3804,0.0343,0.0000,0.2255,0.4592,2.0000,0.4526,0.0392,0.3085,-0.9608,-0.0686
2023-11-27,66.2924,0.0487,1.3035,0.0282,0.0000,0.7727,0.6530,3.0000,0.4773,0.0203,0.2637,-0.1224,-0.1128
2023-11-28,66.7845,0.0074,1.0464,0.0516,0.0000,0.6203,0.6575,4.0000,0.6239,0.0245,0.2480,0.4898,-0.1194
2023-11-29,65.6034,-0.0178,0.7497,0.0630,0.0000,0.4444,0.6254,0.0000,0.6286,0.0206,0.2515,0.0348,-0.1035
2023-11-30,64.5206,-0.0166,0.9136,0.0686,0.0000,0.5416,0.6350,0.0000,0.6607,0.0000,0.2457,-0.5412,-0.0885
2023-12-03,66.1939,0.0256,1.0181,0.0394,0.0000,0.6035,0.6714,1.0000,0.6203,0.0313,0.2401,0.0104,-0.1115
2023-12-04,63.4871,-0.0418,1.3129,0.0496,0.0000,0.7783,0.7517,0.0000,0.5671,0.0000,0.2279,-0.7269,-0.0736
2023-12-05,62.8473,-0.0101,1.2704,0.0274,0.0000,0.7531,0.7125,0.0000,0.5996,0.0000,0.1935,-1.3010,-0.0642
2023-12-06,63.2410,0.0062,0.4090,0.0311,0.0000,0.2425,0.7090,1.0000,0.6834,-0.0008,0.2119,-1.0411,-0.0700
