Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,451.3316,0.0351,2.5643,0.0349,0.0000,0.3659,0.5752,1.0000,0.3440,0.0267,0.2591,0.7316,0.0143
2023-10-16,496.4248,0.0952,5.6329,0.0745,0.0000,1.5536,1.0830,2.0000,1.5980,0.0597,0.4087,3.1068,-0.0779
2023-10-17,518.3971,0.0433,3.8336,0.0644,0.0000,1.8716,1.0912,3.0000,1.2759,0.0301,0.4648,3.2782,-0.1169
2023-10-18,556.0497,0.0701,2.9278,0.0904,0.0000,1.2812,1.1138,4.0000,1.1297,0.0201,0.4803,3.0492,-0.1859
2023-10-19,535.9750,-0.0368,2.3845,0.0765,0.0000,0.9574,1.2146,0.0000,0.9677,0.0238,0.4842,1.8908,-0.1655
2023-10-22,516.5994,-0.0368,0.8299,0.0851,0.0000,0.2484,1.3064,0.0000,0.9598,0.0323,0.4729,1.4370,-0.1342
2023-10-24,496.9742,-0.0387,0.6232,0.0717,0.0000,0.2603,1.3854,0.0000,0.9165,0.0000,0.4672,1.1170,-0.1000
2023-10-25,490.6321,-0.0128,0.7909,0.0513,0.0000,0.3207,1.4082,0.0000,0.9137,-0.0153,0.4508,0.7787,-0.0883
2023-10-26,503.3162,0.0255,0.3608,0.0359,0.0000,0.1224,1.4091,1.0000,0.8194,0.0483,0.4552,0.8088,-0.1113
2023-10-29,485.7383,-0.0355,0.8118,0.0884,0.0000,0.4517,1.4624,0.0000,0.9907,0.0418,0.4434,0.4741,-0.0792
2023-10-30,510.0077,0.0488,0.7194,0.0363,0.0000,0.3635,1.4891,1.0000,0.9360,0.0160,0.4446,0.6450,-0.1230
2023-10-31,502.9167,-0.0140,0.9195,0.0461,0.0000,0.5426,1.2254,0.0000,1.0224,-0.0038,0.4396,0.2950,-0.1106
2023-11-01,505.7631,0.0056,0.6043,0.0513,0.0000,0.4207,1.1659,1.0000,0.9583,0.0466,0.4298,0.4470,-0.1156
2023-11-02,508.1101,0.0046,0.5223,0.0317,0.0000,0.3713,0.9089,2.0000,0.9176,0.0162,0.4251,0.5606,-0.1380
2023-11-05,504.9142,-0.0063,0.8825,0.0513,0.0000,0.4752,0.8724,0.0000,0.9164,0.0318,0.4078,0.1819,-0.1368
2023-11-06,506.3623,0.0029,0.8629,0.0305,0.0000,0.5051,0.8161,1.0000,0.9034,0.0029,0.4019,0.4363,-0.1609
2023-11-07,507.1613,0.0016,0.4516,0.0215,0.0000,0.2947,0.7112,2.0000,0.9121,0.0001,0.3987,0.5420,-0.1623
2023-11-08,481.8432,-0.0512,0.8746,0.0726,0.0000,0.3411,0.8643,0.0000,0.7927,0.0191,0.3759,0.0787,-0.1183
2023-11-09,457.7735,-0.0512,0.3327,0.0000,0.0000,0.0009,0.9146,0.0000,0.7159,-0.0500,0.3783,-0.2029,-0.0719
2023-11-12,461.9682,0.0091,0.6956,0.0429,0.0000,0.4453,0.8872,1.0000,0.6284,0.0177,0.3588,0.0478,-0.0803
2023-11-14,458.6224,-0.0073,0.8227,0.0503,0.0000,0.5058,0.6821,0.0000,0.8062,0.0373,0.3568,-0.8339,-0.0736
2023-11-15,462.0681,0.0075,0.6628,0.0331,0.0000,0.4080,0.7077,1.0000,0.4941,0.0124,0.3122,-0.3567,-0.0805
2023-11-16,462.5674,0.0011,0.6576,0.0327,0.0000,0.4555,0.6998,2.0000,0.6161,0.0217,0.2686,0.1805,-0.0815
2023-11-19,452.6799,-0.0216,0.7592,0.0528,0.0000,0.5084,0.6908,0.0000,0.2093,0.0148,0.2155,-0.2415,-0.0614
2023-11-20,447.2867,-0.0120,1.2634,0.0521,0.0000,0.7628,0.6878,0.0000,0.1325,0.0215,0.1489,-1.5919,-0.0501
2023-11-21,458.5226,0.0248,1.0579,0.0316,0.0000,0.5882,0.7632,1.0000,-0.0616,0.0095,0.1491,-0.1960,-0.0734
2023-11-22,459.1218,0.0013,0.9932,0.0499,0.0000,0.5948,0.7679,2.0000,-0.2006,0.0152,0.1464,1.2654,-0.0746
2023-11-23,460.1705,0.0023,1.2379,0.0384,0.0000,0.6961,0.6320,3.0000,-0.3025,0.0000,0.1477,2.4127,-0.0767
2023-11-27,455.9757,-0.0092,1.4269,0.0678,0.0000,0.6706,0.3991,0.0000,-0.2035,0.0483,0.1378,0.5797,-0.0682
2023-11-28,456.1256,0.0003,0.7254,0.0355,0.0000,0.5070,0.3864,1.0000,-0.3511,0.0044,0.1449,1.3278,-0.0685
2023-11-29,450.1831,-0.0131,0.8644,0.0333,0.0000,0.5210,0.3995,0.0000,-1.3522,0.0138,0.1463,0.2691,-0.0562
2023-11-30,451.0819,0.0020,0.8259,0.0420,0.0000,0.5703,0.3895,1.0000,-1.4891,0.0383,0.1475,1.1393,-0.0581
2023-12-03,449.4340,-0.0037,1.4213,0.0331,0.0000,0.6923,0.3882,0.0000,-1.4612,0.0185,0.1529,-0.6368,-0.0547
2023-12-04,437.9984,-0.0258,1.5989,0.0831,0.0000,1.0292,0.4134,0.0000,-1.1913,0.0327,0.1611,-2.2088,-0.0300
2023-12-05,435.8511,-0.0049,1.3049,0.0483,0.0000,0.7962,0.4073,0.0000,-1.2023,0.0033,0.1637,-2.7642,-0.0252
2023-12-06,424.8649,-0.0255,1.6143,0.0468,0.0000,0.7652,0.3402,0.0000,-0.9633,0.0149,0.1773,-2.9139,0.0468
2023-12-07,462.6674,0.0852,1.8195,0.0969,0.0000,0.9065,0.9567,1.0000,1.3740,-0.0056,0.1879,-1.4507,-0.0387
2023-12-10,449.3841,-0.0291,1.3786,0.0671,0.0000,0.8029,1.0060,0.0000,1.7522,0.0150,0.1925,-1.9988,-0.0103
2023-12-11,444.7399,-0.0104,0.8695,0.0449,0.0000,0.5222,1.0193,0.0000,2.4836,0.0223,0.1729,-2.0947,0.0092
2023-12-12,449.9833,0.0117,0.8297,0.0799,0.0000,0.4568,1.0417,1.0000,2.4501,-0.0006,0.1738,-1.4593,-0.0026
2023-12-13,454.4277,0.0098,1.3468,0.0398,0.0000,0.7612,1.0398,2.0000,2.3159,0.0088,0.1778,-0.7095,-0.0123
2023-12-14,454.6774,0.0005,0.5366,0.0247,0.0000,0.3092,1.0487,3.0000,2.3812,0.0148,0.1868,-0.3911,-0.0128
2023-12-17,470.8071,0.0349,1.4293,0.0487,0.0000,0.6600,1.1094,4.0000,1.9809,0.0102,0.1840,0.3995,-0.0467
2023-12-18,457.9233,-0.0277,1.6322,0.0870,0.0000,1.0417,1.1278,0.0000,1.9081,0.0182,0.1880,-0.4714,-0.0198
2023-12-19,448.8348,-0.0200,0.9868,0.0668,0.0000,0.5456,1.1512,0.0000,1.8798,-0.0164,0.1871,-0.9520,0.0083
2023-12-20,452.5800,0.0083,0.5532,0.0376,0.0000,0.3116,1.1229,1.0000,2.0633,0.0058,0.1956,-0.5826,0.0100
2023-12-21,457.1244,0.0100,0.3529,0.0263,0.0000,0.2086,0.6770,2.0000,1.9854,0.0150,0.2140,-0.3257,0.0008
2023-12-25,457.4739,0.0008,0.5971,0.0356,0.0000,0.3322,0.5994,3.0000,1.9964,-0.0150,0.2231,0.1015,0.0171
2023-12-26,476.8994,0.0416,1.3182,0.0556,0.0000,0.6109,0.7045,4.0000,1.5810,0.0041,0.2238,0.9562,-0.0243
2023-12-27,469.9582,-0.0147,0.7521,0.0420,0.0000,0.4036,0.7466,0.0000,1.6139,0.0027,0.2174,0.5901,-0.0207
2023-12-28,465.3140,-0.0099,0.6290,0.0300,0.0000,0.3452,0.7680,0.0000,1.6132,0.0137,0.2187,0.2401,-0.0109
2023-12-31,502.1176,0.0761,2.8347,0.0685,0.0000,1.1257,1.0712,1.0000,1.3504,0.0300,0.2667,2.4483,-0.0834
2024-01-01,503.2163,0.0022,1.2716,0.0436,0.0000,0.5098,1.0502,2.0000,1.3288,0.0008,0.2671,2.7085,-0.0893
2024-01-02,497.5734,-0.0113,0.9213,0.0480,0.0000,0.4075,1.0002,0.0000,1.3771,0.0199,0.2694,1.8273,-0.0790
2024-01-03,502.5671,0.0100,0.7179,0.0218,0.0000,0.1993,0.9423,1.0000,1.3146,0.0136,0.2741,1.8935,-0.1104
2024-01-04,497.1739,-0.0108,0.5120,0.0280,0.0000,0.1956,0.9820,0.0000,1.3770,0.0036,0.2869,1.4637,-0.1007
2024-01-07,500.1701,0.0060,0.5595,0.0288,0.0000,0.2285,0.9904,1.0000,1.3881,0.0244,0.2905,1.5149,-0.1061
2024-01-08,494.6271,-0.0111,0.8249,0.0489,0.0000,0.3790,1.0223,0.0000,1.5767,0.0062,0.2912,1.0552,-0.0961
2024-01-09,481.3938,-0.0271,0.8126,0.0498,0.0000,0.2753,1.0024,0.0000,1.4211,0.0035,0.2911,0.6324,-0.0821
2024-01-10,475.1017,-0.0132,0.7853,0.0452,0.0000,0.3044,1.0000,0.0000,1.5306,0.0089,0.2907,0.1965,-0.0728
2024-01-11,485.2389,0.0211,0.8842,0.0409,0.0000,0.4196,1.0098,1.0000,1.4241,0.0150,0.2891,0.5488,-0.1224
2024-01-14,485.2389,0.0000,0.0000,0.0000,0.0000,0.0000,0.4882,0.0000,1.4271,0.0000,0.3206,0.4831,-0.1224
2024-01-15,474.5524,-0.0223,0.4780,0.0437,0.0000,0.1945,0.5281,0.0000,1.7227,0.0103,0.3309,0.2319,-0.1026
2024-01-16,475.4512,0.0019,0.3509,0.0405,0.0000,0.1658,0.5328,1.0000,1.8170,-0.0139,0.3379,0.3150,-0.1043
2024-01-17,472.1055,-0.0071,0.4914,0.0547,0.0000,0.2224,0.5055,0.0000,1.8791,0.0206,0.3509,0.0040,-0.0979
2024-01-18,483.0417,0.0229,1.4775,0.0476,0.0000,0.5498,0.5986,1.0000,1.7155,0.0271,0.3509,0.6759,-0.1184
2024-01-22,481.5935,-0.0030,0.7097,0.0494,0.0000,0.3281,0.5880,0.0000,1.8081,-0.0137,0.3373,0.1855,-0.1173
