Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,70.4500,-0.0064,0.2976,0.0241,0.0000,0.2464,1.4633,0.0000,1.2941,0.0113,0.6024,0.9732,-0.1143
2023-10-16,70.5500,0.0014,0.3348,0.0227,0.0000,0.1581,1.4658,1.0000,1.3168,0.0114,0.6068,0.9392,-0.1155
2023-10-17,68.7500,-0.0258,0.6504,0.0604,0.0000,0.2885,1.0911,0.0000,1.3469,0.0198,0.6070,0.7348,-0.0924
2023-10-18,69.6000,0.0123,0.5662,0.0417,0.0000,0.3189,1.0012,1.0000,1.3264,0.0065,0.5982,0.7640,-0.1034
2023-10-19,68.2000,-0.0203,0.4615,0.0418,0.0000,0.2018,0.9881,0.0000,1.3058,0.0180,0.5853,0.5994,-0.0850
2023-10-22,63.7000,-0.0683,0.9362,0.0997,0.0000,0.5652,1.1700,0.0000,0.4096,0.0029,0.5754,0.3370,-0.0204
2023-10-24,62.4000,-0.0206,0.8255,0.0793,0.0000,0.4841,1.1783,0.0000,0.4472,0.0283,0.5719,0.0817,0.0184
2023-10-25,64.0500,0.0261,1.3947,0.0742,0.0000,0.8975,1.2610,1.0000,0.3199,0.0216,0.5555,0.3501,-0.0078
2023-10-26,64.9500,0.0140,0.9685,0.0593,0.0000,0.8569,1.0887,2.0000,0.2794,0.0226,0.5370,0.5431,-0.0216
2023-10-29,64.3500,-0.0093,0.1323,0.0218,0.0000,0.1105,1.1263,0.0000,0.3545,0.0000,0.5391,0.4265,-0.0124
2023-10-30,64.6000,0.0039,0.1320,0.0170,0.0000,0.1163,1.1430,1.0000,0.3212,0.0148,0.5390,0.3959,-0.0163
2023-10-31,63.7500,-0.0132,0.2712,0.0314,0.0000,0.1405,1.1339,0.0000,0.3740,0.0101,0.5331,0.1667,-0.0031
2023-11-01,63.5500,-0.0031,0.2960,0.0228,0.0000,0.2106,1.1182,0.0000,-0.4854,0.0149,0.5282,-0.3388,0.0016
2023-11-02,64.8000,0.0195,0.2385,0.0216,0.0000,0.1419,1.1434,1.0000,-0.5754,0.0079,0.3373,-0.1203,-0.0177
2023-11-05,65.8000,0.0153,0.7123,0.0372,0.0000,0.2532,1.1605,2.0000,-0.5748,0.0185,0.3432,0.5227,-0.0327
2023-11-06,66.1000,0.0045,0.9305,0.0552,0.0000,0.6983,0.6608,3.0000,-0.7889,-0.0106,0.3399,1.2619,-0.0371
2023-11-07,67.4000,0.0195,0.7224,0.0319,0.0000,0.4723,0.5736,4.0000,-0.8951,0.0000,0.3437,1.6603,-0.0556
2023-11-08,67.2500,-0.0022,0.7686,0.0387,0.0000,0.3434,0.5126,0.0000,-0.9229,0.0208,0.3415,1.0473,-0.0535
2023-11-09,65.3000,-0.0294,0.3805,0.0482,0.0000,0.2902,0.6663,0.0000,-1.2113,-0.0260,0.3578,0.8475,-0.0253
2023-11-12,63.6500,-0.0256,1.0471,0.0463,0.0000,0.8940,0.7452,0.0000,-1.0534,-0.0145,0.3483,0.1702,0.0000
2023-11-14,63.6500,0.0000,0.6055,0.0306,0.0000,0.4397,0.7418,0.0000,-1.0957,0.0220,0.3464,0.1491,0.0024
2023-11-15,63.8000,0.0024,0.4871,0.0282,0.0000,0.3913,0.7212,1.0000,-1.0997,0.0157,0.3524,0.4424,0.0000
2023-11-16,64.0500,0.0039,0.5185,0.0219,0.0000,0.1774,0.7232,2.0000,-1.3450,0.0172,0.3624,0.6891,-0.0039
2023-11-19,64.1000,0.0008,0.2844,0.0164,0.0000,0.1181,0.6752,3.0000,-1.3333,0.0109,0.3843,0.7966,-0.0047
2023-11-20,63.8000,-0.0047,0.3303,0.0125,0.0000,0.1718,0.6335,0.0000,-1.4942,0.0062,0.4024,0.5505,0.0055
2023-11-21,64.1500,0.0055,1.0171,0.0475,0.0000,0.3835,0.6363,1.0000,-0.3464,-0.0016,0.3886,1.0192,0.0000
2023-11-22,64.1500,0.0000,0.9088,0.0257,0.0000,0.3797,0.5432,0.0000,-0.4624,-0.0023,0.3741,1.2437,0.0273
2023-11-23,68.8000,0.0700,5.9076,0.1199,0.0000,4.6558,1.1305,1.0000,1.6711,-0.0055,0.4505,3.7368,-0.0422
2023-11-27,74.8000,0.0836,9.5480,0.1043,0.0000,3.4802,1.3713,2.0000,1.7984,0.0116,0.6437,4.0088,-0.1190
2023-11-28,73.8500,-0.0128,1.8616,0.0589,0.0000,1.0730,1.3155,0.0000,1.7854,0.0080,0.6364,2.5553,-0.1077
2023-11-29,72.9000,-0.0129,0.6825,0.0357,0.0000,0.2836,1.3530,0.0000,1.7967,0.0108,0.6208,1.9782,-0.0960
2023-11-30,72.5000,-0.0055,0.6814,0.0469,0.0000,0.2469,1.3675,0.0000,1.8123,0.0014,0.6142,1.5796,-0.0910
2023-12-03,72.1000,-0.0055,0.6113,0.0492,0.0000,0.4335,1.3835,0.0000,1.8146,0.0069,0.6061,1.2812,-0.0860
2023-12-04,70.9500,-0.0161,0.4336,0.0444,0.0000,0.3616,1.4224,0.0000,1.9425,-0.0014,0.5908,1.0641,-0.0712
2023-12-05,68.7500,-0.0315,0.8693,0.0611,0.0000,0.6635,1.4948,0.0000,1.8967,-0.0099,0.5881,0.7756,-0.0415
2023-12-06,71.3500,0.0371,1.1473,0.0736,0.0000,0.7385,1.5215,1.0000,1.6137,-0.0073,0.5875,0.9577,-0.0764
2023-12-07,69.8000,-0.0220,0.4437,0.0516,0.0000,0.1816,1.5637,0.0000,1.7519,0.0126,0.5865,0.7706,-0.0559
2023-12-10,70.1500,0.0050,0.2709,0.0285,0.0000,0.1039,1.3227,1.0000,1.7129,-0.0115,0.5945,0.7546,-0.0606
2023-12-11,69.0000,-0.0165,0.4148,0.0391,0.0000,0.3715,0.7232,0.0000,1.8021,0.0107,0.5836,0.5819,-0.0449
2023-12-12,69.2500,0.0036,0.2729,0.0325,0.0000,0.1620,0.7332,1.0000,1.8389,0.0145,0.5938,0.5742,-0.0484
