Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,2.8500,0.0177,0.4981,0.0351,0.0000,0.2201,0.9034,1.0000,-0.1351,0.0179,0.2820,-1.2704,-0.0526
2023-10-31,2.9000,0.0174,0.4253,0.0517,0.0000,0.1879,0.9570,2.0000,-0.1328,0.0175,0.2462,-1.0036,-0.0690
2023-11-01,2.9500,0.0171,0.5044,0.0339,0.0000,0.2229,0.9665,3.0000,-0.2768,0.0000,0.2556,-0.7341,-0.0847
2023-11-02,2.9500,0.0000,1.1534,0.0339,0.0000,0.5097,0.9665,0.0000,-0.3167,0.0000,0.2570,-0.6563,-0.0847
2023-11-05,3.0000,0.0168,0.8546,0.0333,0.0000,0.3776,0.9922,1.0000,-0.3516,0.0000,0.2468,-0.2582,-0.1000
2023-11-06,2.8500,-0.0513,1.4907,0.0175,0.0000,0.6587,1.0519,0.0000,-0.2366,-0.0500,0.2273,-0.7610,-0.0526
2023-11-07,2.8000,-0.0177,0.7781,0.0357,0.0000,0.3438,0.9516,0.0000,-0.2967,0.0175,0.2295,-0.9878,-0.0357
2023-11-08,2.7000,-0.0364,2.0540,0.0741,0.0000,0.9077,0.8614,0.0000,-0.1149,0.0000,0.2377,-1.6887,0.0185
2023-11-09,2.8000,0.0364,0.5290,0.0357,0.0000,0.2338,0.8609,1.0000,0.0069,0.0185,0.2458,-1.4000,-0.0179
2023-11-12,2.8000,0.0000,0.4990,0.0357,0.0000,0.2205,0.8541,0.0000,-0.1475,-0.0357,0.2590,-1.3322,-0.0179
2023-11-14,2.8000,0.0000,1.7347,0.0536,0.0000,0.7665,0.8321,0.0000,-0.1475,-0.0179,0.2641,-1.3241,-0.0179
2023-11-15,2.8000,0.0000,1.1443,0.0357,0.0000,0.5057,0.8080,0.0000,-0.2366,-0.0357,0.2483,-1.2421,-0.0179
2023-11-16,2.9000,0.0351,2.3168,0.0345,0.0000,1.0238,0.8712,1.0000,-0.3772,0.0000,0.2800,0.3827,-0.0517
2023-11-19,2.9000,0.0000,0.9391,0.0345,0.0000,0.4150,0.8743,0.0000,-0.3772,-0.0172,0.2796,0.4927,-0.0517
2023-11-20,2.9000,0.0000,0.7323,0.0345,0.0000,0.3236,0.8512,0.0000,-0.3772,0.0172,0.2827,0.6359,-0.0517
2023-11-21,2.8000,-0.0351,0.6340,0.0357,0.0000,0.2802,0.7572,0.0000,-0.3729,0.0000,0.2821,0.1644,-0.0179
2023-11-22,2.8500,0.0177,0.4085,0.0175,0.0000,0.1805,0.7563,1.0000,-0.5519,0.0179,0.2982,0.4734,-0.0351
