Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,24.1500,0.0041,1.9359,0.0352,0.0000,0.4611,0.9175,3.0000,0.9908,0.0125,0.3032,2.0425,-0.0248
2023-10-31,23.9000,-0.0104,1.2445,0.0335,0.0000,0.4384,0.9199,0.0000,1.1387,0.0124,0.3046,1.1094,-0.0146
2023-11-01,23.5500,-0.0148,1.2413,0.0361,0.0000,0.3987,0.9374,0.0000,1.1359,0.0021,0.2986,0.2398,0.0000
2023-11-02,23.5500,0.0000,0.9045,0.0340,0.0000,0.2373,0.9279,0.0000,1.3041,0.0191,0.2875,0.2358,0.0276
2023-11-05,25.9000,0.0951,9.8568,0.1699,0.0000,5.1285,1.3114,1.0000,1.8608,0.0021,0.5808,4.0303,-0.0656
2023-11-06,26.6500,0.0285,2.6973,0.0450,0.0000,1.0830,1.2643,2.0000,1.8514,0.0077,0.6010,3.2509,-0.0919
2023-11-07,26.0000,-0.0247,2.5591,0.0942,0.0000,1.3814,1.3038,0.0000,1.8425,0.0150,0.6011,1.9754,-0.0692
2023-11-08,24.5000,-0.0594,1.7376,0.0571,0.0000,0.8533,1.4484,0.0000,1.2449,-0.0346,0.5920,1.2539,-0.0122
2023-11-09,24.2000,-0.0123,0.8848,0.0579,0.0000,0.3923,1.4048,0.0000,1.2531,-0.0184,0.5763,0.8751,0.0537
2023-11-12,25.6000,0.0562,2.2448,0.0762,0.0000,0.9700,1.4007,1.0000,1.0265,0.0083,0.5642,1.4921,-0.0039
2023-11-14,26.1000,0.0193,1.5129,0.0498,0.0000,0.6070,1.4045,2.0000,0.9359,0.0059,0.5480,1.7578,-0.0230
2023-11-15,25.5000,-0.0233,1.0924,0.0529,0.0000,0.4623,1.4240,0.0000,0.9451,0.0057,0.5289,1.2347,0.0451
2023-11-16,28.9500,0.1269,8.0138,0.1364,0.0000,4.6216,1.6960,1.0000,1.1838,0.0098,0.6482,3.3485,-0.0794
2023-11-19,29.0000,0.0017,4.0649,0.1138,0.0000,2.2475,1.6966,2.0000,1.1609,0.0328,0.6465,3.2038,-0.0810
2023-11-20,28.8000,-0.0069,1.7943,0.0903,0.0000,0.9691,1.5335,0.0000,1.1566,0.0086,0.6224,2.1570,-0.0747
2023-11-21,27.9000,-0.0317,0.6359,0.0824,0.0000,0.2435,1.5590,0.0000,1.1304,0.0069,0.5989,1.7113,-0.0448
2023-11-22,27.8000,-0.0036,0.3294,0.0432,0.0000,0.1067,1.5446,0.0000,1.1194,0.0108,0.5902,1.4405,-0.0414
2023-11-23,28.3500,0.0196,0.8216,0.0829,0.0000,0.3978,1.3823,1.0000,1.0386,0.0018,0.5685,1.4695,-0.0600
2023-11-27,29.0500,0.0244,0.9024,0.0396,0.0000,0.2848,1.4313,2.0000,1.1438,0.0459,0.5415,1.5127,-0.0826
2023-11-28,28.1500,-0.0315,0.3668,0.0444,0.0000,0.0922,1.4341,0.0000,1.3596,0.0086,0.5433,1.2752,-0.0533
2023-11-29,27.4500,-0.0252,0.2715,0.0492,0.0000,0.1067,1.4637,0.0000,1.3897,0.0124,0.5398,1.0919,-0.0291
2023-11-30,27.2000,-0.0091,0.2933,0.0460,0.0000,0.1326,1.4456,0.0000,1.3879,0.0000,0.5299,0.9234,-0.0202
2023-12-03,27.6000,0.0146,0.2929,0.0380,0.0000,0.0991,0.6710,1.0000,1.3080,0.0147,0.5195,0.9091,-0.0344
2023-12-04,26.6500,-0.0350,0.5242,0.0976,0.0000,0.1882,0.7871,0.0000,1.3012,0.0236,0.4960,0.6895,0.0094
2023-12-05,27.0500,0.0149,0.2987,0.0333,0.0000,0.1150,0.8285,1.0000,1.5532,0.0019,0.4978,0.6887,-0.0055
2023-12-06,27.5000,0.0165,0.3116,0.0255,0.0000,0.0807,0.8033,2.0000,1.6280,0.0166,0.5104,0.6918,-0.0218
2023-12-07,27.0000,-0.0183,0.2799,0.0389,0.0000,0.0751,0.8389,0.0000,1.6351,0.0018,0.5247,0.5436,-0.0037
2023-12-10,26.9000,-0.0037,0.3761,0.0446,0.0000,0.1275,0.8051,0.0000,2.0308,0.0259,0.5308,0.3623,0.1989
2023-12-11,32.2500,0.1814,5.2045,0.1628,0.0000,2.4987,1.9046,1.0000,2.1247,0.0037,0.5835,2.1894,0.0109
2023-12-12,38.6500,0.1810,6.6556,0.1371,0.0000,4.0619,2.1362,2.0000,1.8553,0.0543,0.6582,3.5470,-0.1565
2023-12-13,35.1500,-0.0949,2.7696,0.1394,0.0000,1.3853,2.2715,0.0000,1.4980,0.0220,0.6466,2.0577,-0.0725
2023-12-14,35.5500,0.0113,0.9866,0.0816,0.0000,0.4568,2.2661,1.0000,1.4617,0.0398,0.6334,2.1149,-0.0830
2023-12-17,33.9000,-0.0475,0.3220,0.0560,0.0000,0.1491,2.3236,0.0000,1.8391,0.0042,0.6472,1.7340,-0.0383
2023-12-18,34.5500,0.0190,0.2404,0.0333,0.0000,0.1113,2.2710,1.0000,1.7932,0.0000,0.6598,1.5805,-0.0564
2023-12-19,32.8500,-0.0505,0.2766,0.0807,0.0000,0.1280,2.3435,0.0000,1.7628,0.0029,0.6675,1.3454,-0.0076
2023-12-20,33.4000,0.0166,0.2656,0.0763,0.0000,0.1230,2.3418,1.0000,1.6999,-0.0502,0.6701,1.2632,-0.0240
2023-12-21,32.6000,-0.0242,0.2144,0.0736,0.0000,0.0993,2.3435,0.0000,1.7169,0.0045,0.6690,1.0942,0.0046
2023-12-25,33.3500,0.0227,0.2273,0.0480,0.0000,0.1052,2.3469,1.0000,1.7068,0.0138,0.6740,1.0362,-0.0180
2023-12-26,32.7500,-0.0182,0.1770,0.0794,0.0000,0.0819,1.8726,0.0000,1.7984,0.0435,0.6811,0.9020,0.0000
2023-12-27,32.7500,0.0000,0.1250,0.0565,0.0000,0.0579,0.9774,0.0000,1.7757,0.0336,0.6883,0.8149,0.0168
2023-12-28,33.3000,0.0167,0.1959,0.0420,0.0000,0.0907,0.7102,1.0000,1.7121,0.0198,0.6872,0.7745,0.0015
2023-12-31,33.8500,0.0164,0.2366,0.0428,0.0000,0.1096,0.7201,2.0000,1.6595,0.0210,0.6853,0.7466,-0.0148
2024-01-01,34.3000,0.0132,0.3098,0.0437,0.0000,0.1434,0.6208,3.0000,1.6633,0.0044,0.6816,0.7393,-0.0277
2024-01-02,33.9500,-0.0103,0.1774,0.0412,0.0000,0.0821,0.6043,0.0000,1.6711,0.0160,0.6870,0.6210,-0.0177
2024-01-03,33.3500,-0.0178,0.2063,0.0675,0.0000,0.0955,0.4517,0.0000,1.7232,0.0236,0.6858,0.4919,0.0090
2024-01-04,33.6500,0.0090,0.2371,0.0520,0.0000,0.1098,0.4373,1.0000,1.7436,0.0090,0.6833,0.4884,0.0267
2024-01-07,35.3000,0.0479,0.3372,0.0227,0.0000,0.1561,0.5151,2.0000,1.5782,0.0253,0.6768,0.5522,-0.0212
2024-01-08,35.6500,0.0099,0.4002,0.0575,0.0000,0.1853,0.4988,3.0000,1.5531,0.0453,0.6727,0.8950,-0.0309
2024-01-09,36.7500,0.0304,0.4377,0.0395,0.0000,0.2027,0.4785,4.0000,1.5944,0.0168,0.6588,1.6776,-0.0599
2024-01-10,37.1500,0.0108,0.6616,0.0269,0.0000,0.3063,0.4679,5.0000,-1.3427,0.0299,0.4888,2.3388,-0.0700
2024-01-11,36.7000,-0.0122,0.8893,0.0450,0.0000,0.4117,0.5052,0.0000,-0.6264,0.0215,0.2755,1.7974,-0.0749
2024-01-14,36.8000,0.0027,0.9583,0.0435,0.0000,0.4437,0.5043,1.0000,-0.5785,0.0218,0.1539,1.8550,-0.0951
2024-01-15,35.1500,-0.0459,1.0123,0.0740,0.0000,0.4687,0.6555,0.0000,-0.5560,0.0217,0.1450,1.3390,-0.0669
2024-01-16,34.5500,-0.0172,0.5407,0.0420,0.0000,0.2503,0.6664,0.0000,-0.3570,-0.0043,0.1613,1.0448,-0.0695
2024-01-17,36.2500,0.0480,1.0871,0.0455,0.0000,0.5033,0.7276,1.0000,-0.0535,0.0014,0.1607,1.2690,-0.1145
2024-01-18,38.0500,0.0485,1.8815,0.0000,0.0000,0.8711,0.7883,2.0000,0.0315,0.0497,0.1865,1.6740,-0.1590
2024-01-22,41.9000,0.0964,4.7613,0.0000,0.0000,2.2045,0.9741,3.0000,0.7828,0.1012,0.3255,2.7253,-0.2506
2024-01-23,43.9500,0.0478,3.2856,0.0330,0.0000,1.5212,0.9932,4.0000,0.6632,0.0489,0.3827,2.8508,-0.2947
2024-01-24,43.1000,-0.0195,1.3271,0.0000,0.0000,0.6144,1.0378,0.0000,0.6583,-0.0193,0.3776,2.0572,-0.2912
2024-01-28,42.2500,-0.0199,0.5818,0.0000,0.0000,0.2694,1.0717,0.0000,0.6586,-0.0197,0.3622,1.6665,-0.2781
2024-01-29,41.4000,-0.0203,0.2937,0.0000,0.0000,0.1360,1.0893,0.0000,0.7414,-0.0201,0.3740,1.4208,-0.2705
2024-01-30,40.6000,-0.0195,0.3894,0.0000,0.0000,0.1803,1.1122,0.0000,0.8344,-0.0193,0.3845,1.1920,-0.2709
2024-01-31,39.8000,-0.0199,0.7855,0.0000,0.0000,0.3637,1.0435,0.0000,0.9180,-0.0197,0.3845,0.8962,-0.2714
2024-02-01,39.0000,-0.0203,1.1075,0.0051,0.0000,0.5128,1.0472,0.0000,0.9188,-0.0201,0.3734,0.5272,-0.2564
