Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,67.3000,0.0045,0.4055,0.0275,0.0000,0.3359,1.3652,1.0000,-0.6361,0.0269,0.3648,0.6831,-0.1100
2023-10-16,66.8000,-0.0075,1.0522,0.0449,0.0000,0.4968,1.3213,0.0000,-0.5972,0.0030,0.3605,-0.2187,-0.1033
2023-10-17,67.0500,0.0037,0.6139,0.0224,0.0000,0.2723,1.3284,1.0000,-0.7907,0.0030,0.3442,0.1335,-0.1066
2023-10-18,67.3500,0.0045,0.4437,0.0193,0.0000,0.2499,1.1280,2.0000,-0.8001,0.0097,0.3215,0.4549,-0.1106
2023-10-19,65.9500,-0.0210,0.6427,0.0440,0.0000,0.2811,1.1454,0.0000,-0.5857,-0.0119,0.3123,-0.1550,-0.0917
2023-10-22,61.3000,-0.0731,1.1378,0.0881,0.0000,0.6869,1.1974,0.0000,-0.9311,0.0000,0.3063,-1.2365,-0.0228
2023-10-24,61.1000,-0.0033,0.4312,0.0491,0.0000,0.2529,1.1306,0.0000,-0.9429,-0.0131,0.2998,-1.6493,-0.0196
2023-10-25,59.9000,-0.0198,0.7309,0.0543,0.0000,0.4703,1.0004,0.0000,-0.8941,0.0008,0.2928,-2.2944,0.0092
2023-10-26,60.9000,0.0166,0.4648,0.0394,0.0000,0.4112,1.0696,1.0000,-0.9139,0.0117,0.2968,-1.6788,-0.0074
2023-10-29,61.2500,0.0057,0.3157,0.0351,0.0000,0.2637,1.0921,2.0000,-0.9032,-0.0140,0.3171,-1.2833,-0.0131
2023-10-30,60.4500,-0.0131,0.7680,0.0455,0.0000,0.6767,1.0719,0.0000,-0.9254,0.0139,0.3003,-1.6419,0.0074
2023-10-31,60.9000,0.0074,0.6214,0.0255,0.0000,0.3220,1.1027,1.0000,-0.9672,0.0124,0.3063,-1.0981,0.0074
2023-11-01,61.3500,0.0074,0.3891,0.0236,0.0000,0.2768,1.1140,2.0000,-1.0238,-0.0049,0.3070,-0.8026,0.0008
2023-11-02,63.9000,0.0407,2.6037,0.1221,0.0000,1.5490,1.2826,3.0000,-1.0804,0.0147,0.2896,0.8893,-0.0391
