Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,4.9500,0.0412,1.6308,0.0202,0.0000,1.3507,0.7465,3.0000,0.1123,0.0421,0.3306,2.9299,-0.1414
2023-10-16,5.1500,0.0396,2.3971,0.0194,0.0000,1.1317,0.7863,4.0000,-0.0461,0.0404,0.3541,3.1184,-0.1748
2023-10-17,4.9500,-0.0396,2.3822,0.1010,0.0000,1.0565,0.8164,0.0000,-0.1859,0.0388,0.3736,1.6696,-0.1414
2023-10-18,5.0000,0.0101,0.9020,0.0400,0.0000,0.5080,0.8331,1.0000,-0.3458,0.0000,0.3735,1.7947,-0.1500
2023-10-19,4.8500,-0.0305,1.2489,0.0722,0.0000,0.5463,0.9300,0.0000,-0.1973,-0.0400,0.3592,1.1246,-0.1237
2023-10-22,4.6000,-0.0529,1.0565,0.0761,0.0000,0.6378,1.0837,0.0000,-0.2984,0.0000,0.3382,0.6009,-0.0761
2023-10-24,4.5500,-0.0109,0.7529,0.0659,0.0000,0.4415,1.0925,0.0000,-0.3523,0.0217,0.3407,0.2232,-0.0659
2023-10-25,4.4000,-0.0335,0.6579,0.0682,0.0000,0.4234,1.1426,0.0000,-0.1375,0.0220,0.3211,-0.1062,-0.0341
2023-10-26,4.3000,-0.0230,1.0348,0.0581,0.0000,0.9155,1.0981,0.0000,-0.0916,0.0227,0.3193,-0.6263,-0.0116
2023-10-29,4.2500,-0.0117,0.5650,0.0471,0.0000,0.4719,0.9691,0.0000,0.0351,0.0349,0.3067,-0.9075,0.0000
2023-10-30,4.2500,0.0000,0.7663,0.0588,0.0000,0.6752,0.8124,0.0000,0.0351,0.0471,0.2860,-0.9164,0.0118
2023-10-31,4.3000,0.0117,0.5064,0.0465,0.0000,0.2624,0.6498,1.0000,0.0696,0.0235,0.2791,-0.6746,0.0116
2023-11-01,4.3500,0.0116,0.3780,0.0460,0.0000,0.2689,0.6608,2.0000,-0.1033,-0.0116,0.2771,-0.5208,0.0115
2023-11-02,4.4000,0.0114,0.5076,0.0341,0.0000,0.3020,0.6660,3.0000,-0.1033,0.0230,0.2806,-0.2884,0.0114
2023-11-05,4.4500,0.0113,0.8510,0.0337,0.0000,0.3025,0.6734,4.0000,-0.1033,0.0227,0.2619,0.1299,0.0000
2023-11-06,4.4500,0.0000,0.6899,0.0674,0.0000,0.5177,0.4859,0.0000,-0.1698,0.0337,0.2613,0.0751,0.0112
2023-11-07,4.5000,0.0112,1.7921,0.0222,0.0000,1.1717,0.4967,1.0000,-0.2327,0.0225,0.2721,1.0017,0.0444
2023-11-08,4.7000,0.0435,1.2107,0.0426,0.0000,0.5408,0.5266,2.0000,-0.2635,0.0111,0.2679,1.5084,0.0426
2023-11-09,4.9000,0.0417,1.5292,0.0000,0.0000,1.1663,0.5169,3.0000,-0.2300,0.0426,0.2734,1.9957,0.0510
