Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,11.5750,-0.0129,0.5828,0.0583,0.0000,0.1466,1.1725,0.0000,1.0443,0.0192,0.4964,0.8226,0.0238
2023-10-31,12.2750,0.0587,2.7886,0.1100,0.0000,1.5697,1.2828,1.0000,0.8141,0.0065,0.5105,2.0289,-0.0346
2023-11-01,12.8000,0.0419,5.3227,0.0898,0.0000,2.1152,1.3001,2.0000,0.5699,0.0326,0.5731,3.3651,-0.0742
2023-11-02,12.9750,0.0136,1.2796,0.0366,0.0000,0.2575,1.3001,3.0000,0.5219,0.0215,0.5618,2.8186,-0.0867
2023-11-05,12.8750,-0.0077,1.4668,0.0485,0.0000,0.5260,1.0260,0.0000,0.6817,0.0000,0.5421,1.9227,-0.0796
2023-11-06,12.5750,-0.0236,0.3427,0.0338,0.0000,0.0816,0.9924,0.0000,0.7312,-0.0117,0.5415,1.5858,-0.0577
2023-11-07,12.2750,-0.0241,0.5616,0.0489,0.0000,0.2095,0.7907,0.0000,0.9510,0.0099,0.5429,1.2626,-0.0346
2023-11-08,12.0500,-0.0185,0.4175,0.0519,0.0000,0.1351,0.8211,0.0000,1.0061,0.0102,0.5487,1.0292,-0.0166
2023-11-09,12.1750,0.0103,0.0701,0.0411,0.0000,0.0254,0.8210,1.0000,0.9487,0.0104,0.5702,0.9494,-0.0267
2023-11-12,12.2000,0.0021,0.1882,0.0246,0.0000,0.1147,0.8200,2.0000,0.9384,0.0041,0.5719,0.9075,-0.0287
2023-11-14,12.1250,-0.0062,0.7535,0.0247,0.0000,0.2719,0.8088,0.0000,0.9379,0.0082,0.5639,0.6121,-0.0227
2023-11-15,11.9500,-0.0145,1.0018,0.0272,0.0000,0.6072,0.5987,0.0000,0.9470,0.0021,0.5505,0.2289,-0.0084
2023-11-16,11.9750,0.0021,0.9015,0.0334,0.0000,0.7473,0.3958,1.0000,0.8852,0.0084,0.5411,0.4561,-0.0104
2023-11-19,11.8500,-0.0105,2.3251,0.0380,0.0000,2.2070,0.3368,0.0000,0.9607,0.0167,0.5302,-0.6077,0.0105
2023-11-20,11.9750,0.0105,0.2826,0.0271,0.0000,0.1673,0.3832,1.0000,0.2359,0.0169,0.5213,-0.5057,0.0042
2023-11-21,12.4250,0.0369,1.9428,0.0563,0.0000,0.8834,0.5188,2.0000,0.0732,0.0313,0.5246,0.1774,-0.0322
