Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,4.9000,0.0000,0.2857,0.0204,0.0000,0.2366,0.9049,0.0000,0.1739,0.0000,0.2929,-1.0330,-0.1020
2023-10-16,5.0500,0.0302,1.0009,0.0693,0.0000,0.4725,0.9327,1.0000,0.1559,0.0000,0.2825,-0.4479,-0.1287
2023-10-17,4.9000,-0.0302,0.8622,0.0510,0.0000,0.3824,0.7938,0.0000,0.1407,0.0099,0.2721,-0.8905,-0.1020
2023-10-18,4.9000,0.0000,0.7013,0.0306,0.0000,0.3950,0.5722,0.0000,0.0301,0.0000,0.2780,-0.8137,-0.1020
2023-10-19,4.9000,0.0000,0.4792,0.0306,0.0000,0.2096,0.5668,0.0000,-0.0693,0.0000,0.2874,-0.7336,-0.1020
2023-10-22,4.6500,-0.0524,0.8789,0.1075,0.0000,0.5306,0.4754,0.0000,0.1080,0.0000,0.2884,-1.2019,-0.0538
2023-10-24,4.4000,-0.0553,1.1510,0.0795,0.0000,0.6749,0.5498,0.0000,0.2223,-0.0108,0.2819,-1.8119,0.0114
2023-10-25,4.4500,0.0113,2.1524,0.1011,0.0000,1.3850,0.5652,1.0000,0.0953,0.0000,0.3030,-0.1414,0.0449
2023-10-26,4.8500,0.0861,0.9761,0.0825,0.0000,0.8636,0.8237,2.0000,0.3320,0.0112,0.3020,0.6483,-0.0412
2023-10-29,4.8500,0.0000,1.0644,0.0619,0.0000,0.8891,0.8229,0.0000,0.3698,0.0206,0.2999,0.7791,-0.0412
2023-10-30,4.6500,-0.0421,1.1427,0.0753,0.0000,1.0069,0.8596,0.0000,0.4754,-0.0103,0.2937,-0.1352,0.0000
2023-10-31,4.6500,0.0000,0.3876,0.0323,0.0000,0.2009,0.8256,0.0000,0.4055,0.0000,0.2980,-0.0259,0.0000
2023-11-01,4.6500,0.0000,0.5006,0.0323,0.0000,0.3562,0.8142,0.0000,0.5732,0.0000,0.2939,-0.0161,0.0000
2023-11-02,4.6500,0.0000,0.7638,0.0323,0.0000,0.4544,0.8149,0.0000,0.4596,0.0108,0.2849,0.1069,0.0108
2023-11-05,4.7000,0.0107,0.5858,0.0319,0.0000,0.2083,0.8208,1.0000,0.3219,0.0215,0.2959,0.8255,0.0106
2023-11-06,4.7500,0.0106,0.7813,0.0421,0.0000,0.5863,0.7494,2.0000,0.5950,0.0106,0.2687,1.5131,0.0316
2023-11-07,5.0000,0.0513,1.9756,0.0800,0.0000,1.2916,0.6841,3.0000,0.5646,0.0105,0.2876,2.7459,-0.0200
2023-11-08,4.9000,-0.0202,0.6782,0.0612,0.0000,0.3030,0.7146,0.0000,0.6338,0.0400,0.2933,1.8448,0.0000
