Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,16.8500,0.0486,1.7377,0.0386,0.0000,0.2747,1.0398,1.0000,0.1620,0.0125,0.2818,2.1053,0.0208
2023-10-31,17.6500,0.0464,1.1105,0.0227,0.0000,0.0602,1.0510,2.0000,0.0268,0.0356,0.2816,2.2787,-0.0255
2023-11-01,18.5000,0.0470,1.6091,0.0243,0.0000,0.4308,1.0866,3.0000,-0.0750,0.0482,0.2870,2.5925,-0.0703
2023-11-02,18.0000,-0.0274,2.7235,0.0861,0.0000,1.0276,1.1141,0.0000,0.0556,0.0378,0.2854,1.1336,-0.0444
2023-11-05,17.2000,-0.0455,0.8625,0.0698,0.0000,0.2737,1.1379,0.0000,0.0255,0.0194,0.2863,0.6463,0.0291
2023-11-06,17.9500,0.0427,0.7979,0.0474,0.0000,0.2537,1.0328,1.0000,-0.1826,0.0000,0.2909,0.9516,-0.0139
2023-11-07,18.8000,0.0463,1.8824,0.0319,0.0000,0.3849,1.0207,2.0000,-0.3064,0.0139,0.3066,1.7314,-0.0585
2023-11-08,18.0000,-0.0435,2.2891,0.0889,0.0000,0.8010,1.1332,0.0000,-0.1134,0.0319,0.3307,0.3910,-0.0167
2023-11-09,17.7000,-0.0168,0.2765,0.0480,0.0000,0.1192,1.1659,0.0000,0.0784,0.0194,0.3495,0.1892,0.0056
2023-11-12,17.8000,0.0056,0.2980,0.0225,0.0000,0.0831,1.1650,1.0000,0.1559,0.0169,0.3713,0.3283,-0.0197
2023-11-14,18.1500,0.0195,0.3190,0.0468,0.0000,0.1087,1.1042,2.0000,-0.0136,0.0337,0.3796,0.4545,-0.0386
2023-11-15,18.6000,0.0245,1.0604,0.0538,0.0000,0.2235,1.0488,3.0000,-0.2017,0.0000,0.3668,0.9368,-0.0618
2023-11-16,19.2500,0.0343,3.8707,0.0779,0.0000,1.4732,1.0034,4.0000,-0.3467,-0.0027,0.4103,2.6333,-0.0935
2023-11-19,19.5500,0.0155,1.2607,0.0512,0.0000,0.2830,0.9543,5.0000,-0.4983,0.0390,0.3832,2.5628,-0.1074
